epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.70730938,0.25370940,0.75873269,0.12295993
2,0.34072056,0.21234182,0.53318895,0.11048199
3,0.26772066,0.19618059,0.47538310,0.10486196
4,0.22788443,0.18624110,0.43991687,0.10159208
5,0.20168318,0.17802061,0.41457369,0.09870974
6,0.18104946,0.17066290,0.39320197,0.09658573
7,0.16500866,0.16406862,0.37551965,0.09493764
8,0.15174690,0.15778690,0.35998536,0.09313140
9,0.14083501,0.15157873,0.34677890,0.09177180
10,0.13132168,0.14792755,0.33451670,0.09054815
11,0.12314037,0.14216715,0.32359432,0.08877263
12,0.11605325,0.14004429,0.31360037,0.08804254
13,0.10994935,0.13558775,0.30472864,0.08660804
14,0.10448569,0.13367378,0.29643159,0.08566567
15,0.09958170,0.13060139,0.28873333,0.08507465
16,0.09545304,0.12868287,0.28209040,0.08351407
17,0.09161718,0.12593527,0.27571919,0.08317586
18,0.08802074,0.12437294,0.26967629,0.08232438
19,0.08518741,0.12187455,0.26450725,0.08162002
20,0.08238915,0.11987665,0.25968288,0.08070377
21,0.08010733,0.11848942,0.25532705,0.08056229
22,0.07799878,0.11654726,0.25152538,0.07984959
23,0.07614564,0.11654414,0.24811301,0.07968126
24,0.07430392,0.11515748,0.24452974,0.07924637
25,0.07281243,0.11378296,0.24196782,0.07900342
26,0.07141198,0.11218045,0.23943144,0.07840618
27,0.07012765,0.11121707,0.23707385,0.07723186
28,0.06901805,0.10917652,0.23521677,0.07717493
29,0.06796515,0.10846407,0.23343110,0.07685185
30,0.06688619,0.10812216,0.23171454,0.07723698
31,0.06601069,0.10664056,0.23044718,0.07602757
32,0.06515960,0.10644798,0.22943395,0.07564936
33,0.06445031,0.10404440,0.22864611,0.07521168
34,0.06379200,0.10517275,0.22820690,0.07576131
35,0.06306724,0.10465104,0.22750807,0.07512735
36,0.06243188,0.10394335,0.22728948,0.07507587
37,0.06193492,0.10299219,0.22739507,0.07448737
38,0.06133917,0.10121958,0.22738566,0.07403145
39,0.06086156,0.10179694,0.22779550,0.07389336
40,0.06040123,0.10119735,0.22844773,0.07414577
41,0.05989273,0.10085153,0.22884296,0.07381693
42,0.05948166,0.10141933,0.22973239,0.07396355
43,0.05897968,0.09901947,0.23047533,0.07297337
44,0.05852271,0.09903364,0.23150536,0.07317150
45,0.05817323,0.09979577,0.23283854,0.07324145
46,0.05772437,0.10000662,0.23394216,0.07339477
47,0.05732195,0.09847104,0.23550147,0.07312005
48,0.05688315,0.09890680,0.23696829,0.07326062
49,0.05644109,0.09913205,0.23854441,0.07317322
50,0.05601146,0.09926572,0.24023643,0.07310372
51,0.05579171,0.09831768,0.23991144,0.07248446
52,0.05556025,0.09889244,0.23915832,0.07275943
53,0.05535280,0.09875992,0.23866066,0.07304803
54,0.05515961,0.09886823,0.23807447,0.07251352
55,0.05495930,0.09765212,0.23736391,0.07237444
56,0.05475653,0.09845483,0.23677343,0.07286371
57,0.05456476,0.09778125,0.23612733,0.07206581
58,0.05441678,0.09870581,0.23561369,0.07267731
59,0.05425546,0.09834899,0.23512512,0.07287538
60,0.05413880,0.09813716,0.23469566,0.07212468
61,0.05396581,0.09849611,0.23408107,0.07270367
62,0.05385131,0.09901998,0.23368021,0.07282869
63,0.05366326,0.09882121,0.23312125,0.07260506
64,0.05358569,0.09863527,0.23283984,0.07276212
65,0.05342063,0.09785033,0.23222725,0.07232323
66,0.05331022,0.09898978,0.23177032,0.07245710
67,0.05318146,0.09886530,0.23139771,0.07263298
68,0.05310109,0.09880435,0.23100201,0.07230941
69,0.05299176,0.09882199,0.23063016,0.07241305
70,0.05286237,0.09872235,0.23022103,0.07222142
71,0.05275915,0.09940685,0.22978866,0.07256193
72,0.05274205,0.09954875,0.22966946,0.07267079
73,0.05260587,0.09926514,0.22917920,0.07272107
74,0.05250804,0.09859148,0.22880021,0.07231735
75,0.05244351,0.09800495,0.22859298,0.07218614
76,0.05235745,0.09899430,0.22829486,0.07251004
77,0.05227003,0.09936924,0.22800800,0.07256395
78,0.05219990,0.09887323,0.22763360,0.07257680
79,0.05213398,0.09885060,0.22739925,0.07286023
80,0.05208114,0.09786026,0.22721923,0.07226105
81,0.05200929,0.09890613,0.22692448,0.07245450
82,0.05192493,0.09817360,0.22673123,0.07232834
83,0.05185845,0.09785657,0.22638773,0.07196280
84,0.05181968,0.09978626,0.22624683,0.07278485
85,0.05175227,0.09795132,0.22600850,0.07207774
86,0.05167877,0.09784505,0.22567299,0.07198668
87,0.05160275,0.09893816,0.22544813,0.07245733
88,0.05154472,0.09760053,0.22515420,0.07188025
89,0.05150957,0.09901732,0.22505404,0.07228519
90,0.05143434,0.09831239,0.22481687,0.07229994
91,0.05140059,0.09881169,0.22456805,0.07237439
92,0.05135649,0.09961511,0.22449614,0.07273267
93,0.05130194,0.09953823,0.22421233,0.07229474
94,0.05124660,0.09931421,0.22410258,0.07263903
95,0.05123261,0.09904345,0.22403377,0.07242339
96,0.05113357,0.09973787,0.22356342,0.07241022
97,0.05109985,0.09852236,0.22346595,0.07238806
98,0.05107122,0.09930479,0.22333214,0.07259604
99,0.05104213,0.10040943,0.22319771,0.07267835
100,0.05098773,0.09960074,0.22305720,0.07235360
101,0.05097653,0.09984944,0.22292158,0.07271881
102,0.05091612,0.09887505,0.22272793,0.07230010
103,0.05090143,0.09873553,0.22273155,0.07240924
104,0.05082871,0.09921606,0.22241763,0.07241681
105,0.05078951,0.09997251,0.22225805,0.07273987
106,0.05075701,0.09865110,0.22206866,0.07212375
107,0.05071412,0.09989245,0.22194287,0.07291863
108,0.05071150,0.10016205,0.22192381,0.07245335
109,0.05064885,0.09978530,0.22166091,0.07268554
110,0.05062512,0.09941863,0.22154612,0.07232533
111,0.05058708,0.09914578,0.22135778,0.07242631
