epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.26982560,0.44270005,0.99556154,0.16501357
2,0.58278934,0.31639601,0.69071549,0.13839700
3,0.46190585,0.26950264,0.61807004,0.12649572
4,0.39084044,0.24276622,0.57025401,0.11906276
5,0.34463813,0.22487465,0.53744047,0.11419514
6,0.30877913,0.21436385,0.50995007,0.11071174
7,0.28330523,0.20476636,0.48964628,0.10804444
8,0.26414213,0.19841149,0.47365307,0.10573389
9,0.24701727,0.19312685,0.45905345,0.10409824
10,0.23274981,0.18963461,0.44606512,0.10266237
11,0.22061968,0.18721688,0.43512961,0.10156437
12,0.20949901,0.18315987,0.42426891,0.10012064
13,0.20030998,0.17939492,0.41539373,0.09924784
14,0.19183226,0.17755620,0.40708748,0.09852521
15,0.18470890,0.17312380,0.39991466,0.09750322
16,0.17669506,0.17124182,0.39155925,0.09664434
17,0.17079601,0.16992853,0.38500032,0.09611587
18,0.16410958,0.16727664,0.37791830,0.09532442
19,0.15862607,0.16346957,0.37179885,0.09432031
20,0.15375582,0.16177824,0.36621140,0.09373804
21,0.14854380,0.15876853,0.35990743,0.09305936
22,0.14438892,0.15677242,0.35507218,0.09243197
23,0.14048352,0.15500942,0.35038677,0.09180855
24,0.13653891,0.15337216,0.34558501,0.09112558
25,0.13250682,0.15169119,0.34052390,0.09087178
26,0.12953514,0.15000702,0.33657502,0.09054588
27,0.12608886,0.14728060,0.33231041,0.08958214
28,0.12344496,0.14562742,0.32876913,0.08916777
29,0.12043540,0.14490461,0.32483665,0.08920266
30,0.11766022,0.14200185,0.32128914,0.08815735
31,0.11520657,0.14086842,0.31803877,0.08784622
32,0.11250735,0.13973769,0.31396884,0.08724181
33,0.11005158,0.13742170,0.31053008,0.08698825
34,0.10790572,0.13656793,0.30793887,0.08645480
35,0.10591605,0.13560513,0.30464162,0.08553796
36,0.10398256,0.13395305,0.30209055,0.08582179
37,0.10240863,0.13218432,0.29980352,0.08507405
38,0.10035447,0.13118589,0.29670139,0.08473681
39,0.09870602,0.13002895,0.29445956,0.08477145
40,0.09667392,0.12871864,0.29131243,0.08401389
41,0.09545054,0.12787124,0.28963644,0.08389150
42,0.09410774,0.12795056,0.28769260,0.08387547
43,0.09245086,0.12625126,0.28534128,0.08323121
44,0.09103308,0.12604771,0.28292433,0.08307191
45,0.08989989,0.12597826,0.28130004,0.08284417
46,0.08843997,0.12273260,0.27954535,0.08223186
47,0.08745935,0.12172803,0.27776809,0.08219143
48,0.08619996,0.12117765,0.27615301,0.08178686
49,0.08500407,0.11980681,0.27420954,0.08112587
50,0.08433742,0.11945583,0.27368030,0.08082573
51,0.08324771,0.12025656,0.27131413,0.08105000
52,0.08220779,0.11899153,0.26921223,0.08119038
53,0.08145267,0.11787818,0.26741740,0.08026689
54,0.08053990,0.11972529,0.26571944,0.08060340
55,0.07988673,0.11775332,0.26389692,0.08004473
56,0.07914189,0.11889732,0.26227873,0.08013819
57,0.07838637,0.11942007,0.26064408,0.08057254
58,0.07777032,0.11750187,0.25917475,0.07966590
59,0.07695132,0.11677260,0.25729892,0.07939472
60,0.07638477,0.11635255,0.25592028,0.07934964
61,0.07588580,0.11517816,0.25479871,0.07897416
62,0.07503260,0.11653487,0.25277020,0.07910512
63,0.07451204,0.11619272,0.25175187,0.07913276
64,0.07404527,0.11557172,0.25029736,0.07882408
65,0.07355169,0.11441627,0.24935403,0.07842502
66,0.07293149,0.11470153,0.24770287,0.07863125
67,0.07242780,0.11620015,0.24642508,0.07921525
68,0.07190815,0.11518822,0.24540934,0.07853372
69,0.07146217,0.11497495,0.24403008,0.07825812
70,0.07099349,0.11500273,0.24294959,0.07875624
71,0.07062779,0.11502319,0.24186304,0.07821331
72,0.07005487,0.11428567,0.24028303,0.07809651
73,0.06959719,0.11330152,0.23935547,0.07740596
74,0.06918644,0.11229248,0.23850104,0.07764314
75,0.06894904,0.11387628,0.23771573,0.07800011
76,0.06838983,0.11311269,0.23608231,0.07763893
77,0.06824778,0.11449924,0.23573379,0.07771858
78,0.06765966,0.11424560,0.23436382,0.07815883
79,0.06731925,0.11406988,0.23333838,0.07733840
80,0.06695691,0.11299810,0.23239697,0.07725401
81,0.06671200,0.11386482,0.23180087,0.07742343
82,0.06649148,0.11330664,0.23125602,0.07703000
83,0.06622523,0.11177923,0.23070711,0.07677331
84,0.06560873,0.11152109,0.22907810,0.07704460
85,0.06539907,0.11305643,0.22824570,0.07713773
86,0.06522966,0.11221063,0.22774598,0.07691253
87,0.06497014,0.11292066,0.22719986,0.07719156
88,0.06455424,0.11141547,0.22600711,0.07658215
89,0.06420982,0.11279446,0.22507279,0.07682864
90,0.06394290,0.11227748,0.22451616,0.07666596
91,0.06361476,0.11082404,0.22307340,0.07634607
92,0.06324618,0.11190758,0.22251124,0.07700808
93,0.06323622,0.11227613,0.22237505,0.07714551
94,0.06294722,0.11135904,0.22159921,0.07691923
95,0.06265203,0.11160221,0.22070403,0.07661996
96,0.06244156,0.11059063,0.22002282,0.07617408
97,0.06217187,0.11027280,0.21943906,0.07595602
98,0.06179235,0.11040585,0.21829365,0.07619237
99,0.06161294,0.10891863,0.21778831,0.07599186
100,0.06162392,0.11113266,0.21772670,0.07645386
101,0.06137058,0.11013761,0.21711482,0.07616111
102,0.06115403,0.10999303,0.21630496,0.07578863
103,0.06089501,0.11182018,0.21576508,0.07638906
104,0.06063428,0.10971640,0.21500884,0.07613327
105,0.06040014,0.10953900,0.21435751,0.07586095
106,0.06011160,0.10950671,0.21336228,0.07555563
107,0.06015621,0.10913837,0.21366722,0.07577043
108,0.05985487,0.10943133,0.21264820,0.07566191
109,0.05968573,0.10880808,0.21207367,0.07561230
110,0.05955243,0.11011731,0.21163580,0.07622383
111,0.05939123,0.10943160,0.21120353,0.07594449
112,0.05926016,0.10993949,0.21078719,0.07621834
113,0.05899596,0.10964720,0.20999778,0.07578994
114,0.05891266,0.10896573,0.20975413,0.07546476
115,0.05866167,0.10992469,0.20917274,0.07549058
116,0.05855941,0.11008426,0.20887870,0.07609624
117,0.05846401,0.10991365,0.20827131,0.07585491
118,0.05817210,0.10981646,0.20771996,0.07566777
119,0.05800337,0.10866163,0.20695541,0.07488809
120,0.05797948,0.10773682,0.20679443,0.07479931
121,0.05794546,0.10909597,0.20696192,0.07511684
122,0.05765812,0.10796800,0.20593911,0.07525609
123,0.05751959,0.10752153,0.20564793,0.07475519
124,0.05742414,0.10939082,0.20518344,0.07517524
125,0.05709270,0.10855511,0.20408271,0.07480047
126,0.05704829,0.10780033,0.20400155,0.07478098
127,0.05694993,0.10917658,0.20387715,0.07530485
128,0.05678592,0.10884589,0.20343038,0.07523036
129,0.05674655,0.10905197,0.20302362,0.07533168
130,0.05654430,0.10862059,0.20251043,0.07538214
131,0.05643620,0.10891380,0.20216206,0.07524411
132,0.05639091,0.10766607,0.20212209,0.07497638
133,0.05614429,0.10791834,0.20123934,0.07495832
134,0.05604545,0.10890455,0.20069174,0.07481816
135,0.05590361,0.10693685,0.20058795,0.07499301
136,0.05576917,0.10693928,0.19991638,0.07451462
137,0.05587815,0.10700518,0.20045198,0.07482759
138,0.05560962,0.10781197,0.19938528,0.07469264
139,0.05555034,0.10853247,0.19945023,0.07515358
140,0.05532579,0.10805330,0.19843341,0.07496691
141,0.05518341,0.10699261,0.19835280,0.07467409
142,0.05516722,0.10811949,0.19825714,0.07485627
143,0.05513141,0.10746622,0.19803533,0.07458729
144,0.05503988,0.10771240,0.19768748,0.07472188
145,0.05494223,0.11067617,0.19740971,0.07506421
146,0.05485499,0.10732531,0.19726797,0.07452705
147,0.05468321,0.10799620,0.19665507,0.07456205
148,0.05455965,0.10680097,0.19621078,0.07422660
149,0.05447461,0.10659765,0.19591025,0.07422657
150,0.05424287,0.10701939,0.19514636,0.07441565
151,0.05437216,0.10687078,0.19549626,0.07426180
152,0.05417067,0.10704388,0.19502320,0.07428989
153,0.05411348,0.10603473,0.19474482,0.07431511
154,0.05410620,0.10710503,0.19462064,0.07431273
155,0.05391824,0.10689144,0.19414372,0.07463759
156,0.05380586,0.10618796,0.19373626,0.07431820
157,0.05374204,0.10745869,0.19336823,0.07428107
158,0.05369537,0.10556683,0.19335893,0.07409688
159,0.05356694,0.10674793,0.19298485,0.07408770
160,0.05365986,0.10759750,0.19298749,0.07442716
161,0.05345374,0.10755272,0.19258794,0.07439239
162,0.05329171,0.10698529,0.19196322,0.07413461
163,0.05337446,0.10816987,0.19220276,0.07432839
164,0.05321573,0.10703920,0.19180443,0.07412690
165,0.05320214,0.10689216,0.19167916,0.07445634
166,0.05297856,0.10780792,0.19094752,0.07422928
167,0.05308955,0.10666218,0.19115750,0.07385285
168,0.05293386,0.10699725,0.19066998,0.07414307
169,0.05279127,0.10622472,0.19027113,0.07412303
170,0.05280987,0.10689641,0.19012940,0.07440768
171,0.05286205,0.10705340,0.19059157,0.07397961
