epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.61122543,0.17844423,0.69447283,0.10504614
2,0.33021026,0.14037452,0.51721521,0.09054944
3,0.25268869,0.12804033,0.45445530,0.08490256
4,0.21383313,0.12108109,0.41877534,0.08193865
5,0.19113844,0.11939918,0.39627524,0.08092956
6,0.17609015,0.11710323,0.38076176,0.08000805
7,0.16415325,0.11599298,0.36765616,0.07952838
8,0.15497309,0.11442330,0.35746325,0.07907420
9,0.14752163,0.11438615,0.34892222,0.07886022
10,0.14075475,0.11396076,0.34072833,0.07860569
11,0.13463517,0.11354647,0.33350914,0.07839422
12,0.12870936,0.11348903,0.32614158,0.07820773
13,0.12339492,0.11255953,0.31941709,0.07774654
14,0.11870393,0.11178210,0.31339080,0.07752545
15,0.11381826,0.11204655,0.30688234,0.07756352
16,0.10933230,0.11039533,0.30081112,0.07700445
17,0.10526598,0.11067565,0.29510162,0.07684552
18,0.10148963,0.11069556,0.28972580,0.07679902
19,0.09778826,0.10974736,0.28436608,0.07643222
20,0.09427612,0.11007973,0.27913174,0.07640540
21,0.09110333,0.10942876,0.27420597,0.07620055
22,0.08827404,0.10957287,0.26977153,0.07635463
23,0.08542970,0.10992941,0.26533295,0.07636795
24,0.08271794,0.10932517,0.26100524,0.07614554
25,0.08012030,0.10964414,0.25684591,0.07607696
26,0.07783435,0.10954962,0.25303040,0.07615004
27,0.07556447,0.11060415,0.24936930,0.07628245
28,0.07328399,0.11179657,0.24551558,0.07638622
29,0.07103282,0.11173139,0.24167636,0.07639483
30,0.06907227,0.11134569,0.23824914,0.07644909
31,0.06710665,0.11058431,0.23473777,0.07603056
32,0.06520531,0.11239933,0.23140025,0.07633682
33,0.06349279,0.11291120,0.22829706,0.07615149
34,0.06157882,0.11152759,0.22481285,0.07583015
35,0.05999554,0.11242076,0.22188525,0.07632150
36,0.05850880,0.11435964,0.21903922,0.07665655
37,0.05704215,0.11375816,0.21630947,0.07634603
38,0.05558452,0.11356516,0.21352587,0.07649874
39,0.05408995,0.11353231,0.21060165,0.07634676
40,0.05290153,0.10972675,0.20825455,0.07547785
41,0.05169179,0.11245873,0.20583639,0.07584641
42,0.05043161,0.11406119,0.20328620,0.07610685
43,0.04916192,0.11237570,0.20071335,0.07589279
44,0.04771787,0.11178511,0.19763703,0.07585685
45,0.04666839,0.11198026,0.19551327,0.07574609
46,0.04558408,0.10986927,0.19309994,0.07513293
47,0.04463715,0.10814946,0.19102058,0.07465491
48,0.04356121,0.11094919,0.18872876,0.07532012
49,0.04249234,0.11079739,0.18640195,0.07515809
50,0.04186124,0.11053192,0.18484117,0.07477965
51,0.04081548,0.11125551,0.18254001,0.07533645
52,0.03980926,0.10991860,0.18034084,0.07481029
53,0.03919482,0.11043942,0.17882798,0.07489280
54,0.03829333,0.10954986,0.17666765,0.07453447
55,0.03760249,0.11009879,0.17518517,0.07497903
56,0.03689296,0.11131733,0.17338735,0.07477782
57,0.03623793,0.10989297,0.17181288,0.07507738
58,0.03547446,0.11060050,0.17001087,0.07490464
59,0.03501741,0.10863600,0.16878334,0.07425857
60,0.03441605,0.10978870,0.16732497,0.07448931
61,0.03375999,0.10940555,0.16573619,0.07432058
62,0.03331323,0.10774955,0.16463061,0.07376350
63,0.03271317,0.10676704,0.16295439,0.07377491
64,0.03225205,0.10752911,0.16190601,0.07388860
65,0.03180596,0.10761282,0.16070651,0.07387435
66,0.03131263,0.10573015,0.15943222,0.07375901
67,0.03077125,0.10645003,0.15798944,0.07369121
68,0.03041523,0.10791084,0.15698596,0.07406859
69,0.02997506,0.10824329,0.15586210,0.07376105
70,0.02959374,0.10747041,0.15476363,0.07416087
71,0.02929493,0.10717662,0.15391989,0.07426537
72,0.02890297,0.10766212,0.15292018,0.07430837
73,0.02845297,0.10759333,0.15170777,0.07390954
74,0.02819495,0.10595442,0.15098056,0.07354462
75,0.02783318,0.10671197,0.15005986,0.07350350
76,0.02738036,0.10565266,0.14865823,0.07350699
77,0.02722726,0.10706348,0.14827402,0.07401610
78,0.02675479,0.10534029,0.14698364,0.07336623
79,0.02647231,0.10615669,0.14615308,0.07378511
80,0.02631460,0.10682850,0.14562883,0.07406335
81,0.02604090,0.10589498,0.14480524,0.07349317
82,0.02565208,0.10697325,0.14370294,0.07359578
83,0.02538703,0.10618158,0.14289256,0.07382871
84,0.02521915,0.10417074,0.14249590,0.07314637
85,0.02500513,0.10470444,0.14181180,0.07360041
86,0.02463888,0.10411383,0.14071512,0.07321565
87,0.02442445,0.10314709,0.14006771,0.07280713
88,0.02421076,0.10367390,0.13938553,0.07323986
89,0.02403264,0.10553885,0.13875653,0.07340924
90,0.02382118,0.10520931,0.13819658,0.07350191
91,0.02353745,0.10631836,0.13735012,0.07373042
92,0.02338610,0.10424678,0.13683754,0.07357588
93,0.02321806,0.10547826,0.13641039,0.07365239
94,0.02305093,0.10546652,0.13580462,0.07358985
95,0.02273501,0.10413123,0.13483011,0.07332308
96,0.02257599,0.10761749,0.13433462,0.07441280
97,0.02241327,0.10593957,0.13382304,0.07363893
98,0.02226674,0.10456538,0.13335567,0.07352721
99,0.02212457,0.10591313,0.13285980,0.07374748
100,0.02200570,0.10432983,0.13251141,0.07358765
101,0.02176290,0.10568718,0.13170703,0.07350650
102,0.02160775,0.10672936,0.13130487,0.07400713
103,0.02150619,0.10681861,0.13094220,0.07426082
104,0.02133625,0.10572542,0.13035174,0.07390565
105,0.02123222,0.10608033,0.13002207,0.07392115
106,0.02100428,0.10469729,0.12922739,0.07325996
107,0.02099815,0.10605706,0.12927622,0.07386215
108,0.02073383,0.10577208,0.12842451,0.07366736
109,0.02069333,0.10544497,0.12825520,0.07401010
110,0.02050888,0.10633921,0.12764769,0.07388380
111,0.02036817,0.10532949,0.12713582,0.07361023
112,0.02019663,0.10486953,0.12663970,0.07354739
113,0.02011969,0.10500708,0.12636813,0.07382785
114,0.01998486,0.10523497,0.12583732,0.07357808
115,0.01994563,0.10505238,0.12574290,0.07367996
116,0.01979624,0.10596777,0.12521750,0.07376708
117,0.01975047,0.10643092,0.12505976,0.07371678
118,0.01966526,0.10519856,0.12477720,0.07332596
119,0.01947241,0.10689735,0.12414613,0.07386534
120,0.01941813,0.10683738,0.12399173,0.07350040
121,0.01926694,0.10502142,0.12342022,0.07344651
122,0.01922578,0.10629800,0.12327427,0.07373155
123,0.01910406,0.10527586,0.12287375,0.07353778
124,0.01896392,0.10593376,0.12234434,0.07392221
125,0.01888624,0.10608838,0.12205761,0.07360967
126,0.01874381,0.10574206,0.12156240,0.07343487
127,0.01866050,0.10568275,0.12131387,0.07359652
128,0.01864812,0.10566750,0.12130399,0.07340068
129,0.01855332,0.10605088,0.12094521,0.07353991
130,0.01842521,0.10520379,0.12055348,0.07359556
131,0.01841562,0.10606555,0.12038070,0.07382522
132,0.01827693,0.10463417,0.11995510,0.07340767
133,0.01818378,0.10565375,0.11958050,0.07366156
134,0.01812819,0.10520935,0.11941664,0.07325474
135,0.01801089,0.10544784,0.11906721,0.07350553
136,0.01794571,0.10617988,0.11873576,0.07344632
137,0.01783081,0.10551619,0.11840762,0.07337933
