epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.61224466,0.17675778,0.70005257,0.10560581
2,0.32625017,0.13672946,0.51450155,0.09021817
3,0.25077471,0.12461234,0.45358779,0.08455629
4,0.21130582,0.11955123,0.41733833,0.08209266
5,0.18860701,0.11813279,0.39501936,0.08089533
6,0.17288488,0.11653422,0.37835806,0.08017452
7,0.16171658,0.11585986,0.36630730,0.07965450
8,0.15280243,0.11513835,0.35617057,0.07926362
9,0.14498030,0.11508504,0.34709613,0.07924859
10,0.13827213,0.11466782,0.33893094,0.07887047
11,0.13192545,0.11446030,0.33130531,0.07851172
12,0.12615096,0.11443251,0.32390953,0.07839604
13,0.12107302,0.11378145,0.31734477,0.07809022
14,0.11629285,0.11394385,0.31115193,0.07780822
15,0.11170863,0.11265378,0.30507036,0.07730390
16,0.10738496,0.11152325,0.29913903,0.07696883
17,0.10332192,0.11133162,0.29341807,0.07690059
18,0.09958663,0.11000834,0.28805855,0.07609324
19,0.09609269,0.11013895,0.28299472,0.07650498
20,0.09267826,0.10945555,0.27778358,0.07596542
21,0.08937479,0.10919878,0.27290516,0.07599427
22,0.08631352,0.11006197,0.26813803,0.07613331
23,0.08357152,0.11063172,0.26391572,0.07624615
24,0.08060947,0.11138370,0.25915049,0.07672759
25,0.07816197,0.11226172,0.25506681,0.07664524
26,0.07564125,0.11052634,0.25090936,0.07624785
27,0.07341893,0.11101298,0.24721190,0.07654337
28,0.07122184,0.10800612,0.24360064,0.07527262
29,0.06888519,0.11146942,0.23955278,0.07608320
30,0.06701663,0.10937842,0.23637058,0.07608333
31,0.06498509,0.10939700,0.23266257,0.07627144
32,0.06307701,0.10955779,0.22941386,0.07609179
33,0.06128436,0.11019952,0.22616893,0.07608719
34,0.05971435,0.11072187,0.22333257,0.07651651
35,0.05793843,0.11021042,0.21994890,0.07551481
36,0.05646812,0.11116308,0.21712147,0.07625649
37,0.05493688,0.11025126,0.21425385,0.07611371
38,0.05341484,0.11103256,0.21132156,0.07600907
39,0.05205691,0.10914773,0.20869764,0.07525748
40,0.05072452,0.10967582,0.20608007,0.07555912
41,0.04927437,0.10825493,0.20313642,0.07509166
42,0.04830937,0.10775261,0.20126020,0.07494856
43,0.04702387,0.10825680,0.19860653,0.07486806
44,0.04604671,0.10967258,0.19642084,0.07517676
45,0.04493686,0.10733723,0.19415413,0.07419565
46,0.04394244,0.11188249,0.19216061,0.07521762
47,0.04281336,0.11039900,0.18965483,0.07471941
48,0.04189381,0.11049213,0.18767406,0.07508686
49,0.04102459,0.10882257,0.18581694,0.07413339
50,0.04012649,0.10880346,0.18377079,0.07408839
51,0.03939385,0.10713341,0.18211216,0.07394432
52,0.03868865,0.10804310,0.18056842,0.07394624
53,0.03772046,0.10646675,0.17825553,0.07323849
54,0.03698021,0.10786232,0.17649195,0.07401559
55,0.03636362,0.10837580,0.17507315,0.07377349
56,0.03570659,0.10847275,0.17348310,0.07385055
57,0.03496252,0.10609027,0.17192751,0.07328590
58,0.03435296,0.10602678,0.17034719,0.07338727
59,0.03378855,0.10737112,0.16893530,0.07339507
60,0.03315480,0.10607444,0.16734510,0.07352769
61,0.03272753,0.10694145,0.16636581,0.07368302
62,0.03209945,0.10760387,0.16479339,0.07367527
63,0.03152454,0.10653291,0.16337705,0.07298444
64,0.03109869,0.10864092,0.16228654,0.07363253
65,0.03057129,0.10690963,0.16085829,0.07344584
66,0.03005856,0.10621188,0.15953702,0.07294853
67,0.02965265,0.10604460,0.15850049,0.07311573
68,0.02913237,0.10603667,0.15712250,0.07295294
69,0.02881455,0.10749621,0.15631841,0.07354841
70,0.02845715,0.10463685,0.15537557,0.07247536
71,0.02798720,0.10664530,0.15401557,0.07316160
72,0.02769416,0.10684779,0.15340512,0.07372334
73,0.02729133,0.10478314,0.15223622,0.07317107
74,0.02693344,0.10636258,0.15124848,0.07323254
75,0.02655578,0.10598966,0.15031555,0.07300079
76,0.02624375,0.10711160,0.14931993,0.07338654
77,0.02594214,0.10626838,0.14849876,0.07294866
78,0.02560999,0.10580366,0.14766228,0.07284296
79,0.02527303,0.10697398,0.14659864,0.07341831
80,0.02499609,0.10605698,0.14577764,0.07290438
81,0.02471745,0.10555847,0.14497444,0.07281678
82,0.02440469,0.10599117,0.14409146,0.07322729
83,0.02413375,0.10599521,0.14334709,0.07289126
