epoch,train_loss,val_loss,train_rmse,val_rmse
1,2.65372658,1.61300487,1.39981051,0.36127142
2,2.31190103,1.38416217,1.31862834,0.33156138
3,1.90710670,1.16462226,1.22219947,0.30059385
4,1.59627837,0.96701265,1.12744624,0.26937022
5,1.36271787,0.80811903,1.04896737,0.24108146
6,1.17708480,0.69345677,0.97621141,0.21966480
7,1.04581940,0.60388480,0.92054701,0.20361179
8,0.90057056,0.52770383,0.85803291,0.18942258
9,0.80427536,0.47496814,0.81358956,0.17934046
10,0.73329349,0.44736548,0.77662461,0.17450398
11,0.67845693,0.42901208,0.74592105,0.17044534
12,0.63771358,0.40771588,0.72446153,0.16478593
13,0.59910223,0.38525744,0.70280141,0.15863357
14,0.57824217,0.36704893,0.69103983,0.15330714
15,0.55123802,0.35308510,0.67608102,0.14940031
16,0.52982733,0.34100480,0.66359162,0.14631098
17,0.50303211,0.33249585,0.64672418,0.14423110
18,0.49109869,0.32546118,0.64185273,0.14246904
19,0.46456175,0.31929765,0.62276364,0.14092413
20,0.45483907,0.31479666,0.61745673,0.13988849
21,0.44646180,0.31172083,0.61301958,0.13884117
22,0.42750689,0.31025176,0.59858379,0.13824194
23,0.41387451,0.30687383,0.58909410,0.13737244
24,0.39976766,0.30334774,0.58092239,0.13632764
25,0.39186906,0.30103459,0.57478897,0.13540336
26,0.37736484,0.30081665,0.56317818,0.13507058
27,0.37284134,0.29794607,0.56174600,0.13447349
28,0.36075561,0.29409954,0.55137028,0.13351492
29,0.35580955,0.29242281,0.54774472,0.13270909
30,0.34775470,0.29120945,0.54292636,0.13263716
31,0.34015866,0.28871579,0.53623007,0.13220521
32,0.33545983,0.28781321,0.53177422,0.13168423
33,0.32621692,0.28676221,0.52522398,0.13153979
34,0.31941160,0.28858698,0.51959195,0.13170875
35,0.31941640,0.28987190,0.51972326,0.13158801
36,0.31087308,0.28804952,0.51330426,0.13131536
37,0.30365984,0.28941517,0.50747220,0.13146309
38,0.29319828,0.28862776,0.49985608,0.13134373
39,0.29420643,0.28724609,0.49963898,0.13095469
40,0.28864633,0.28597094,0.49518075,0.13017711
41,0.27932911,0.28338691,0.48704417,0.12976093
42,0.27547498,0.28348360,0.48394507,0.13011524
43,0.27187773,0.28420334,0.48049806,0.13001632
44,0.27158861,0.28429383,0.48195832,0.13007900
45,0.26375343,0.28356886,0.47315540,0.13005001
46,0.26074702,0.28402542,0.47115651,0.12974401
47,0.25656103,0.28443214,0.46774789,0.12975352
48,0.25573850,0.28424862,0.46719839,0.12996671
49,0.25002912,0.28347999,0.46286259,0.12949295
50,0.24965778,0.28312157,0.46118544,0.12918063
51,0.24406153,0.28256393,0.45595063,0.12927905
52,0.24748204,0.28272181,0.45955670,0.12901873
53,0.23816663,0.28461973,0.45142579,0.12939369
54,0.23532249,0.28311830,0.44869471,0.12963639
55,0.23182482,0.28022860,0.44486327,0.12903162
56,0.23038752,0.28099160,0.44399467,0.12898790
57,0.23191205,0.28118125,0.44574298,0.12906430
58,0.22393718,0.28133279,0.43791478,0.12893492
59,0.21951756,0.28325733,0.43315175,0.12921488
60,0.21824788,0.28518845,0.43228344,0.12977521
61,0.21470326,0.28318554,0.42928640,0.12942048
62,0.21497912,0.28168546,0.42985822,0.12928901
63,0.21459769,0.28143209,0.42788107,0.12929510
64,0.21080590,0.28406288,0.42561073,0.12939452
65,0.21053810,0.28390314,0.42472691,0.12937339
66,0.20815029,0.28257047,0.42303136,0.12922201
67,0.20651520,0.28231170,0.42014630,0.12911853
68,0.20510335,0.28289109,0.42006652,0.12948278
69,0.19957981,0.28258925,0.41401392,0.12942108
70,0.19803065,0.28154108,0.41174747,0.12916633
71,0.19807986,0.28321572,0.41274554,0.12981966
72,0.19809405,0.28355730,0.41263287,0.12999740
73,0.19450958,0.28357941,0.40889559,0.12995532
74,0.19447334,0.28325758,0.40909169,0.12978351
75,0.19231102,0.28218180,0.40604308,0.12940013
76,0.19076353,0.28239483,0.40433374,0.12933860
77,0.19005733,0.28448341,0.40452828,0.12961534
78,0.18843348,0.28542513,0.40217928,0.12956020
79,0.18574427,0.28429105,0.39955785,0.12956752
80,0.18680792,0.28363231,0.40002847,0.12950630
81,0.18517267,0.28338642,0.39813530,0.12950641
82,0.18309228,0.28274884,0.39671844,0.12947432
83,0.18072350,0.28380483,0.39399507,0.12942172
84,0.17960177,0.28519330,0.39264077,0.12999687
85,0.17799952,0.28641054,0.39167228,0.13029407
86,0.17635718,0.28546465,0.38974800,0.12998791
87,0.17816218,0.28314962,0.39109002,0.12988163
88,0.17365234,0.28371646,0.38621609,0.12998905
89,0.17176197,0.28327513,0.38492227,0.12990311
90,0.17450457,0.28495066,0.38785576,0.13017626
91,0.17229499,0.28620827,0.38509391,0.13042578
92,0.16991253,0.28318774,0.38248027,0.12987225
93,0.16927912,0.28182641,0.38124591,0.12961283
94,0.16923878,0.28449541,0.38147990,0.13033841
95,0.16776460,0.28395043,0.38013690,0.13037893
96,0.16752760,0.28730578,0.37974646,0.13060122
