epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.60409937,0.60566315,1.12112287,0.20379929
2,0.75536899,0.40669606,0.79102222,0.16317347
3,0.57116828,0.34728760,0.69108938,0.14821554
4,0.48757595,0.31954993,0.64183602,0.14077918
5,0.42714980,0.30481344,0.60260599,0.13657858
6,0.38407295,0.29506297,0.57416031,0.13401790
7,0.35284411,0.28734240,0.55182321,0.13149203
8,0.32255565,0.28334319,0.52996216,0.12980081
9,0.30016183,0.28085701,0.51202301,0.12918492
10,0.28290871,0.27839764,0.49825565,0.12826768
11,0.26703530,0.27351705,0.48536615,0.12705989
12,0.25347563,0.27219222,0.47359744,0.12671756
13,0.24180570,0.27192725,0.46322654,0.12675989
14,0.23180028,0.26984851,0.45482749,0.12629897
15,0.22293713,0.26831084,0.44633004,0.12612060
16,0.21423742,0.26680695,0.43835569,0.12574662
17,0.20727159,0.26551625,0.43171204,0.12562064
18,0.19872152,0.26589277,0.42318955,0.12553927
19,0.19331584,0.26294542,0.41775659,0.12529534
20,0.18690981,0.26148843,0.41171602,0.12541967
21,0.18188622,0.26049582,0.40637605,0.12450846
22,0.17716147,0.25983889,0.40172368,0.12468905
23,0.17185504,0.25865704,0.39584476,0.12428637
24,0.16825646,0.25910347,0.39257859,0.12434806
25,0.16351217,0.25803787,0.38747593,0.12419462
26,0.15988824,0.25754086,0.38357818,0.12439424
27,0.15643412,0.25637699,0.38016607,0.12399795
28,0.15310838,0.25235677,0.37666150,0.12308071
29,0.14994764,0.25536203,0.37326984,0.12313375
30,0.14694223,0.25327266,0.37008321,0.12306242
31,0.14436946,0.25389404,0.36766064,0.12312097
32,0.14214958,0.25045807,0.36597486,0.12244644
33,0.13967797,0.25243940,0.36326551,0.12236263
34,0.13671555,0.24821172,0.36010882,0.12178184
35,0.13476762,0.24990191,0.35864673,0.12203713
36,0.13298691,0.24749083,0.35713757,0.12187003
37,0.13084836,0.24536005,0.35550892,0.12160252
38,0.12924587,0.24377403,0.35449866,0.12060521
39,0.12731487,0.24569927,0.35281805,0.12088571
40,0.12547363,0.24252743,0.35167880,0.12080410
41,0.12374171,0.24153611,0.35054305,0.12022238
42,0.12210341,0.24171650,0.34960936,0.11996588
43,0.12067958,0.24151603,0.34897630,0.11983379
44,0.11897857,0.24118878,0.34803488,0.11985342
45,0.11779333,0.23593942,0.34803306,0.11885336
46,0.11630984,0.23567617,0.34779266,0.11904317
47,0.11496761,0.23585310,0.34758072,0.11930063
48,0.11356941,0.23626457,0.34766277,0.11883998
49,0.11239468,0.23465571,0.34787438,0.11834332
50,0.11083660,0.23382526,0.34749133,0.11815193
51,0.11017969,0.23499640,0.34658579,0.11883595
52,0.10975337,0.23347617,0.34591303,0.11787044
53,0.10897853,0.23249158,0.34472726,0.11793636
54,0.10829463,0.23259729,0.34343682,0.11772542
55,0.10774038,0.23277336,0.34231489,0.11829479
56,0.10692075,0.23182945,0.34052048,0.11733363
57,0.10646055,0.22875738,0.33921537,0.11654090
58,0.10598119,0.23064654,0.33839831,0.11734840
59,0.10535587,0.22813604,0.33759619,0.11733339
60,0.10484165,0.23072653,0.33594763,0.11721260
61,0.10427170,0.22781601,0.33505849,0.11665863
62,0.10374085,0.22840999,0.33390243,0.11699630
63,0.10342783,0.22890886,0.33285473,0.11700326
64,0.10283119,0.22677542,0.33184483,0.11659803
65,0.10244935,0.22852736,0.33092259,0.11656017
66,0.10192070,0.22846627,0.32972387,0.11643636
67,0.10135699,0.22718487,0.32860626,0.11655524
68,0.10113316,0.22755965,0.32761717,0.11691319
69,0.10073137,0.22775932,0.32695786,0.11666216
70,0.10026365,0.22551061,0.32578273,0.11651239
71,0.10008466,0.22736282,0.32525102,0.11654841
72,0.09982460,0.22623059,0.32474551,0.11602874
73,0.09924008,0.22568559,0.32354904,0.11613072
74,0.09915362,0.22555384,0.32323683,0.11605584
75,0.09858543,0.22541038,0.32198801,0.11660036
76,0.09802793,0.22654208,0.32064214,0.11625237
77,0.09791893,0.22696014,0.31973023,0.11628441
78,0.09748393,0.22796593,0.31922038,0.11676751
79,0.09711315,0.22532873,0.31821100,0.11608285
80,0.09686401,0.22555950,0.31762047,0.11629387
81,0.09656653,0.22801653,0.31679982,0.11640776
82,0.09620651,0.22439919,0.31619928,0.11543807
83,0.09609383,0.22480795,0.31572308,0.11619510
84,0.09555010,0.22440955,0.31453557,0.11622330
85,0.09571361,0.22537641,0.31473347,0.11674687
86,0.09519712,0.22797831,0.31362466,0.11580902
87,0.09488814,0.22479850,0.31243547,0.11650418
88,0.09452581,0.22446754,0.31181097,0.11581386
89,0.09425479,0.22533887,0.31068315,0.11653949
90,0.09406225,0.22482805,0.31042707,0.11616541
91,0.09391272,0.22064487,0.31033923,0.11566888
92,0.09362623,0.22422801,0.30950478,0.11681189
93,0.09351289,0.22441543,0.30872173,0.11641372
94,0.09316055,0.22476308,0.30824889,0.11644830
95,0.09296755,0.22339980,0.30779519,0.11567440
96,0.09281139,0.22454933,0.30700507,0.11579763
97,0.09256462,0.22255816,0.30655181,0.11620518
98,0.09223521,0.22403730,0.30555634,0.11670735
99,0.09192206,0.22291632,0.30490664,0.11553384
100,0.09165665,0.22316282,0.30374319,0.11589127
101,0.09147786,0.22474947,0.30372676,0.11732173
102,0.09138481,0.22093433,0.30311868,0.11560703
103,0.09137898,0.22326357,0.30304791,0.11690269
104,0.09103119,0.21978486,0.30236517,0.11588248
105,0.09081192,0.22007909,0.30186703,0.11625594
106,0.09069166,0.22238045,0.30159571,0.11681613
107,0.09058105,0.21899557,0.30124792,0.11633532
108,0.09046413,0.22280501,0.30098895,0.11605899
109,0.09002542,0.22098503,0.29948177,0.11663407
110,0.08980177,0.22114537,0.29893551,0.11683698
111,0.08983781,0.21938263,0.29913223,0.11600241
112,0.08937075,0.22224260,0.29793603,0.11607786
113,0.08934719,0.22207359,0.29750066,0.11665878
114,0.08922546,0.21907229,0.29753199,0.11554979
115,0.08886318,0.22120225,0.29640587,0.11658958
116,0.08877728,0.22048142,0.29650161,0.11643621
117,0.08868182,0.21879160,0.29605327,0.11642574
118,0.08834180,0.21859303,0.29517579,0.11699104
119,0.08814591,0.21957153,0.29442125,0.11649662
120,0.08820123,0.21902970,0.29486736,0.11590716
121,0.08797701,0.21722178,0.29391929,0.11553961
122,0.08753038,0.22148676,0.29272344,0.11666029
123,0.08741786,0.21817787,0.29247200,0.11586173
124,0.08752359,0.21967226,0.29288976,0.11627987
125,0.08735468,0.22174291,0.29227054,0.11695112
