epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.87740653,0.77121897,1.22069717,0.24974974
2,0.87081011,0.48914864,0.85225550,0.18872748
3,0.64129110,0.39898497,0.72936725,0.16596962
4,0.54396846,0.37029408,0.67521072,0.15602284
5,0.47795452,0.35289720,0.63648874,0.15013239
6,0.43117730,0.33695238,0.60686035,0.14645506
7,0.39370197,0.32597150,0.58307202,0.14288600
8,0.36314958,0.31658613,0.56203445,0.14035041
9,0.33778306,0.30981882,0.54418829,0.13883730
10,0.31639192,0.30166846,0.52753311,0.13668672
11,0.29653166,0.30076513,0.51335693,0.13665985
12,0.28249500,0.29296383,0.50224663,0.13514292
13,0.26794461,0.28901587,0.49031053,0.13483790
14,0.25512812,0.28891482,0.47961592,0.13382027
15,0.24483591,0.28597105,0.47122304,0.13373492
16,0.23635563,0.28374326,0.46396344,0.13363593
17,0.22576778,0.28176899,0.45460600,0.13317125
18,0.21886957,0.28014053,0.44869119,0.13300961
19,0.21151105,0.27693840,0.44144952,0.13208893
20,0.20526184,0.27660720,0.43619968,0.13195777
21,0.19817044,0.27269787,0.42899322,0.13141270
22,0.19272457,0.27206703,0.42416606,0.13140648
23,0.18854357,0.27256832,0.42095590,0.13086326
24,0.18390368,0.27059386,0.41605272,0.13087212
25,0.17824601,0.26765655,0.41061322,0.13043689
26,0.17467665,0.26563465,0.40775940,0.12996011
27,0.17073756,0.26665427,0.40430012,0.13014077
28,0.16706973,0.26244316,0.40063439,0.12940885
29,0.16300232,0.26286941,0.39718988,0.12912747
30,0.16059351,0.26323543,0.39547646,0.12915735
31,0.15746799,0.26118581,0.39254326,0.12850690
32,0.15379737,0.25738861,0.38955332,0.12752639
33,0.15099180,0.25634368,0.38747491,0.12703719
34,0.14839068,0.25367746,0.38576386,0.12652056
35,0.14588728,0.25337318,0.38383101,0.12642879
36,0.14313365,0.25330025,0.38156174,0.12614116
37,0.14077178,0.25324258,0.38058830,0.12642894
38,0.13836332,0.25092647,0.37847366,0.12555966
39,0.13620397,0.24843631,0.37782608,0.12513625
40,0.13410442,0.24966483,0.37709914,0.12544889
41,0.13199185,0.24432097,0.37653014,0.12397836
42,0.13023594,0.24426967,0.37519166,0.12342874
43,0.12791556,0.24546641,0.37482900,0.12431218
44,0.12614166,0.24143588,0.37454234,0.12302631
45,0.12419322,0.24192310,0.37372782,0.12311254
46,0.12246965,0.23975570,0.37406014,0.12238433
47,0.12059785,0.24023944,0.37312820,0.12242668
48,0.11900942,0.23630557,0.37459407,0.12141572
49,0.11730499,0.23686519,0.37449618,0.12115365
50,0.11531919,0.23617741,0.37429492,0.12084458
51,0.11472792,0.23602021,0.37413847,0.12149779
