epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27851298,0.22802108,0.49478805,0.11514520
2,0.26790973,0.22423249,0.48448905,0.11317548
3,0.25371247,0.22025187,0.47041785,0.11179108
4,0.23668583,0.21698015,0.45195747,0.11114439
5,0.22171442,0.21437651,0.43331836,0.11076675
6,0.20866972,0.21555588,0.41539205,0.11105741
7,0.19967865,0.21621757,0.40156403,0.11121321
8,0.19250757,0.21906043,0.39019627,0.11181793
9,0.18754555,0.21795960,0.38189123,0.11177065
10,0.18235732,0.22133985,0.37352559,0.11212343
11,0.17829935,0.22446286,0.36675127,0.11260807
12,0.17473742,0.22340205,0.36054209,0.11236646
13,0.17170007,0.22711772,0.35564355,0.11256572
14,0.16865331,0.22854151,0.35013807,0.11269203
15,0.16582439,0.22960576,0.34541156,0.11283065
16,0.16361582,0.22969387,0.34111388,0.11287486
17,0.16146547,0.22910931,0.33736383,0.11266492
18,0.15966286,0.23235366,0.33432628,0.11285912
19,0.15751979,0.23749245,0.33020755,0.11342060
20,0.15606011,0.23133575,0.32725384,0.11267801
21,0.15412014,0.23299650,0.32385821,0.11276726
22,0.15292637,0.23462744,0.32162199,0.11249557
23,0.15121086,0.23079369,0.31847947,0.11222166
24,0.15013263,0.23455564,0.31631639,0.11276587
25,0.14874486,0.23048192,0.31358873,0.11172919
26,0.14728200,0.22994815,0.31106848,0.11201280
27,0.14657687,0.22594219,0.30932897,0.11129321
28,0.14532873,0.22962863,0.30746338,0.11158825
29,0.14461270,0.22657263,0.30552363,0.11135376
30,0.14331616,0.22882629,0.30330047,0.11144665
31,0.14244700,0.22663844,0.30136751,0.11122858
32,0.14171449,0.22713314,0.29995858,0.11128636
33,0.14041172,0.22660223,0.29772132,0.11099517
34,0.13966502,0.22340146,0.29617077,0.11133315
35,0.13897246,0.21889404,0.29460028,0.11089464
36,0.13810884,0.22399855,0.29306428,0.11138595
37,0.13743009,0.21709858,0.29175854,0.11018680
38,0.13700782,0.21847293,0.29079921,0.11048421
39,0.13593172,0.22221761,0.28867519,0.11022844
40,0.13514359,0.21895942,0.28714549,0.11029088
41,0.13448291,0.21905250,0.28598386,0.11001433
42,0.13363303,0.21981563,0.28406997,0.11024838
43,0.13318525,0.21456628,0.28350655,0.10965197
44,0.13250185,0.21824360,0.28193403,0.11031267
45,0.13179315,0.21484499,0.28037517,0.10973398
46,0.13148852,0.21737089,0.28027987,0.10976535
47,0.13086460,0.21466884,0.27856941,0.10996549
48,0.13003690,0.21594906,0.27707888,0.10988813
49,0.12924385,0.21592175,0.27554466,0.11002248
50,0.12864309,0.21298260,0.27424388,0.10902376
51,0.12815530,0.21549544,0.27331937,0.11016236
52,0.12727304,0.21475493,0.27148792,0.11031489
53,0.12717927,0.21225641,0.27107870,0.10994717
54,0.12673952,0.21934183,0.27023047,0.11080318
55,0.12579468,0.21108537,0.26840780,0.10976538
56,0.12578654,0.21399876,0.26816740,0.11030731
57,0.12508228,0.21774136,0.26700150,0.11137058
58,0.12505403,0.21480238,0.26663251,0.11054275
59,0.12414602,0.21457940,0.26513188,0.11065037
60,0.12387638,0.21335490,0.26441793,0.11080679
61,0.12360065,0.21396884,0.26377788,0.11056977
62,0.12279319,0.21230171,0.26219720,0.11121065
63,0.12285171,0.20846214,0.26188570,0.11060343
64,0.12227783,0.21253079,0.26110140,0.11148664
65,0.12167053,0.21258286,0.26017749,0.11148155
66,0.12154245,0.21105523,0.25897130,0.11141124
67,0.12130069,0.21602009,0.25899179,0.11160312
68,0.12097868,0.20919775,0.25835176,0.11145843
69,0.12053590,0.21099009,0.25720946,0.11143887
70,0.12055273,0.21071346,0.25717700,0.11165764
71,0.12009272,0.21451613,0.25655892,0.11208868
72,0.11968732,0.21139470,0.25519718,0.11193339
73,0.11943037,0.21145313,0.25470443,0.11173304
74,0.11914821,0.21549940,0.25421631,0.11213145
75,0.11912062,0.21352410,0.25385531,0.11261646
76,0.11855910,0.21686585,0.25336998,0.11272456
77,0.11832048,0.21470681,0.25181472,0.11253156
78,0.11817352,0.21113637,0.25221571,0.11176772
79,0.11785235,0.20997917,0.25129955,0.11160883
80,0.11747779,0.21279242,0.25059843,0.11187160
81,0.11745367,0.21062593,0.25039466,0.11200661
82,0.11748376,0.21604833,0.25035059,0.11296296
83,0.11712836,0.21427013,0.24978928,0.11245980
84,0.11668478,0.21223100,0.24867176,0.11249166
85,0.11660927,0.21263106,0.24861018,0.11247844
86,0.11618117,0.21224184,0.24759335,0.11216588
87,0.11604698,0.21476027,0.24710487,0.11239570
88,0.11599713,0.21147948,0.24711213,0.11227301
89,0.11589703,0.21280156,0.24675896,0.11215887
90,0.11553818,0.21410838,0.24600267,0.11266614
91,0.11533278,0.21442271,0.24608195,0.11277150
92,0.11529933,0.21328984,0.24506263,0.11240977
93,0.11475220,0.21514685,0.24406622,0.11255168
94,0.11491381,0.21166799,0.24509074,0.11188792
95,0.11484297,0.21414212,0.24422778,0.11305093
96,0.11465509,0.21106943,0.24398215,0.11221117
97,0.11421840,0.21441749,0.24340363,0.11288135
98,0.11402802,0.21246533,0.24250609,0.11268562
99,0.11379023,0.21379215,0.24190498,0.11249273
100,0.11383346,0.21513857,0.24219600,0.11291809
101,0.11351592,0.21293429,0.24150163,0.11302200
102,0.11372967,0.21318464,0.24169773,0.11270496
103,0.11343434,0.21384988,0.24104354,0.11319151
104,0.11315015,0.21440921,0.24043617,0.11352583
105,0.11291248,0.21435819,0.24004708,0.11302550
106,0.11280643,0.21483463,0.23967146,0.11404231
107,0.11286124,0.21536845,0.23967437,0.11345635
108,0.11254929,0.21332279,0.23926509,0.11296415
109,0.11251384,0.21627445,0.23888443,0.11383961
