epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27674997,0.22767468,0.49307783,0.11492996
2,0.26246211,0.22294189,0.47940769,0.11304808
3,0.24249431,0.21714231,0.45897982,0.11195348
4,0.22289567,0.21277260,0.43535759,0.11096396
5,0.20846608,0.21077187,0.41502369,0.11047462
6,0.19788641,0.21243312,0.39919077,0.11080455
7,0.18967813,0.21249097,0.38601947,0.11119456
8,0.18371481,0.21454910,0.37613269,0.11123947
9,0.17913590,0.21884703,0.36799216,0.11170632
10,0.17460521,0.21644729,0.36046120,0.11101664
11,0.17121140,0.21746467,0.35473475,0.11144009
12,0.16763159,0.21978865,0.34861920,0.11115682
13,0.16489687,0.21796101,0.34337757,0.11066497
14,0.16192748,0.21887050,0.33821581,0.11083769
15,0.15962445,0.22198506,0.33398276,0.11094262
16,0.15749805,0.22158459,0.32989146,0.11105077
17,0.15546657,0.21803545,0.32639484,0.11077209
18,0.15368826,0.22129532,0.32283110,0.11075352
19,0.15204027,0.22533806,0.32005345,0.11131277
20,0.15012893,0.22149302,0.31605303,0.11095462
21,0.14871464,0.22071993,0.31372208,0.11080985
22,0.14725447,0.21916334,0.31073831,0.11050357
23,0.14595365,0.21843671,0.30834420,0.11067544
24,0.14460017,0.22112755,0.30561585,0.11119570
25,0.14344825,0.21899902,0.30324827,0.11098187
26,0.14227201,0.22237846,0.30110064,0.11167437
27,0.14117985,0.21593000,0.29908918,0.11085274
28,0.13985907,0.21910460,0.29669613,0.11096906
29,0.13930267,0.22136588,0.29554426,0.11132670
30,0.13809439,0.22101065,0.29299880,0.11186558
31,0.13734839,0.22115883,0.29158022,0.11135751
32,0.13641155,0.22246715,0.28982221,0.11143227
33,0.13547664,0.21827419,0.28793801,0.11129662
34,0.13439122,0.21754525,0.28581485,0.11119147
35,0.13375408,0.22189170,0.28473355,0.11150940
36,0.13306345,0.21748612,0.28307155,0.11144236
37,0.13227397,0.22269159,0.28148612,0.11170550
38,0.13153176,0.21853374,0.28002749,0.11112017
39,0.13094088,0.21749641,0.27895628,0.11129579
40,0.13017378,0.21902536,0.27745307,0.11136456
41,0.12923192,0.21803252,0.27550343,0.11152376
42,0.12854611,0.21791091,0.27417510,0.11203315
43,0.12799694,0.22092850,0.27332850,0.11243013
44,0.12730695,0.21732625,0.27161317,0.11147552
45,0.12678369,0.21815384,0.27054832,0.11149259
46,0.12626046,0.22117197,0.26970963,0.11260575
47,0.12560697,0.22097408,0.26810860,0.11262895
48,0.12523032,0.21773607,0.26723660,0.11179982
49,0.12445928,0.21827248,0.26557305,0.11237015
50,0.12394201,0.21800711,0.26472553,0.11253312
51,0.12346923,0.22158010,0.26368168,0.11346053
52,0.12283513,0.22143334,0.26241500,0.11323876
53,0.12242847,0.22172756,0.26161239,0.11291030
54,0.12188923,0.21874882,0.26021642,0.11285800
55,0.12161465,0.21945311,0.25977988,0.11286813
56,0.12102812,0.22154425,0.25829932,0.11344732
57,0.12055048,0.22289140,0.25775464,0.11366957
58,0.12024291,0.22412240,0.25668356,0.11360499
59,0.11972448,0.22208383,0.25567050,0.11395803
60,0.11939396,0.21953900,0.25502426,0.11365139
61,0.11866849,0.22236234,0.25350132,0.11438063
62,0.11859106,0.22361681,0.25352184,0.11428587
63,0.11815353,0.22372450,0.25226709,0.11479981
64,0.11808978,0.22170483,0.25186292,0.11414417
65,0.11789853,0.22262552,0.25174037,0.11463431
