epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27834614,0.22900578,0.49450279,0.11589543
2,0.27185399,0.22700102,0.48773278,0.11474363
3,0.26504332,0.22398963,0.48090950,0.11364865
4,0.25542942,0.22058090,0.47097928,0.11285832
5,0.24521305,0.21678442,0.45898450,0.11218986
6,0.23504374,0.21346374,0.44536719,0.11145047
7,0.22731383,0.21138833,0.43336277,0.11083507
8,0.22062005,0.20995604,0.42282169,0.11054503
9,0.21579633,0.20977740,0.41470189,0.11058154
10,0.21208793,0.20975388,0.40814799,0.11042573
11,0.20922461,0.20971522,0.40277852,0.11060350
12,0.20502397,0.20973023,0.39634471,0.11027541
13,0.20244862,0.20998166,0.39161867,0.11040120
14,0.20014312,0.20989360,0.38719535,0.11007901
15,0.19760379,0.20946502,0.38334971,0.10979259
16,0.19590715,0.20977809,0.37977451,0.10995658
17,0.19420967,0.20972372,0.37680969,0.10941474
18,0.19263786,0.21205291,0.37418524,0.10976749
19,0.19081109,0.21138661,0.37086102,0.10964587
20,0.18953504,0.21155251,0.36841724,0.10957278
21,0.18811364,0.20984719,0.36583471,0.10924460
22,0.18671887,0.21059949,0.36301059,0.10927057
23,0.18555369,0.20786051,0.36100203,0.10922922
24,0.18466916,0.20924532,0.35916185,0.10915168
25,0.18323715,0.20863706,0.35699813,0.10883554
26,0.18266728,0.20906436,0.35551932,0.10905235
27,0.18130905,0.20986126,0.35264082,0.10874080
28,0.18080750,0.20778857,0.35204506,0.10885142
29,0.17978980,0.21172982,0.35047003,0.10952953
30,0.17897664,0.21037804,0.34801305,0.10907247
31,0.17822603,0.21035048,0.34695591,0.10917924
32,0.17687294,0.21050908,0.34478597,0.10889956
33,0.17613134,0.21250659,0.34305516,0.10906285
34,0.17620093,0.20858596,0.34319858,0.10881601
35,0.17511437,0.20993128,0.34111287,0.10891110
36,0.17455714,0.21151943,0.34033979,0.10927446
37,0.17371576,0.20673292,0.33859144,0.10883625
38,0.17313167,0.20759200,0.33767562,0.10904507
39,0.17197202,0.21186071,0.33560839,0.10910788
40,0.17155755,0.21006568,0.33469192,0.10909497
41,0.17096272,0.21046425,0.33349270,0.10935178
42,0.17055709,0.21080152,0.33306548,0.10888747
43,0.17024804,0.21122343,0.33195048,0.10914311
44,0.17004431,0.20856257,0.33138608,0.10935277
45,0.16909788,0.21283782,0.32945243,0.10965031
46,0.16864875,0.21336992,0.32933333,0.10945643
47,0.16860691,0.20952672,0.32878282,0.10918881
48,0.16787700,0.20857489,0.32714788,0.10939620
49,0.16726436,0.20840105,0.32633417,0.10902087
50,0.16712727,0.20759133,0.32550702,0.10900260
51,0.16609282,0.20935837,0.32451997,0.10925500
52,0.16560442,0.20827720,0.32351495,0.10836102
53,0.16589587,0.20564017,0.32403705,0.10927675
54,0.16461867,0.20944129,0.32152338,0.10964103
55,0.16480009,0.20557298,0.32139059,0.10903517
56,0.16392407,0.20672104,0.32030485,0.10867202
57,0.16416442,0.20715309,0.32037458,0.10923674
58,0.16348617,0.20836011,0.31918694,0.10879884
59,0.16316415,0.20836076,0.31845306,0.10926163
60,0.16230985,0.20847030,0.31734266,0.10909512
61,0.16249776,0.20880321,0.31761363,0.10937972
62,0.16189127,0.21104548,0.31629026,0.10921720
63,0.16157594,0.21052673,0.31567075,0.10930498
64,0.16149063,0.20851056,0.31540649,0.10892476
65,0.16116445,0.20979854,0.31526003,0.10908834
66,0.16097245,0.20834650,0.31420051,0.10927803
67,0.16034465,0.20965969,0.31355873,0.10981014
68,0.16061205,0.20897861,0.31371009,0.10924140
69,0.15999181,0.20818255,0.31253398,0.10906969
70,0.15991064,0.20833522,0.31243631,0.10956086
71,0.15953689,0.20851342,0.31164037,0.10926593
72,0.15944755,0.20832649,0.31109395,0.10933106
73,0.15925988,0.20956362,0.31140956,0.10953028
74,0.15869745,0.20879086,0.31013348,0.10945851
75,0.15839455,0.20800251,0.30940140,0.10900426
76,0.15835657,0.20889795,0.30924613,0.10942425
77,0.15807039,0.21068668,0.30876107,0.10963958
78,0.15795787,0.20836318,0.30885665,0.10958193
79,0.15735692,0.20775116,0.30724706,0.10948915
80,0.15755956,0.20896380,0.30769682,0.10968878
81,0.15751303,0.20774343,0.30757088,0.10989207
82,0.15722536,0.21044746,0.30713867,0.10994600
83,0.15691320,0.20658836,0.30656525,0.10918460
84,0.15690969,0.20934015,0.30626294,0.11010908
85,0.15658890,0.20771531,0.30560643,0.10950137
86,0.15663090,0.20912698,0.30597913,0.10938033
87,0.15632496,0.20961497,0.30555607,0.10952952
88,0.15614840,0.20849259,0.30454579,0.11002977
89,0.15583876,0.20877719,0.30423252,0.11006767
90,0.15528421,0.20869865,0.30375311,0.11044138
91,0.15525047,0.20863151,0.30341291,0.10990100
92,0.15546542,0.20954203,0.30340861,0.10992705
93,0.15531547,0.20834632,0.30334100,0.10972564
94,0.15516099,0.20943770,0.30250498,0.10978857
95,0.15467771,0.21082284,0.30220793,0.11032824
96,0.15519028,0.20936939,0.30239459,0.11008852
97,0.15520449,0.20810997,0.30258089,0.11018465
98,0.15474374,0.20981057,0.30196668,0.11010544
99,0.15437462,0.20926843,0.30137183,0.11030080
100,0.15421202,0.21019018,0.30067333,0.11060397
101,0.15416670,0.20781099,0.30081029,0.11030660
102,0.15425964,0.21137170,0.30117247,0.11043097
103,0.15427130,0.20986757,0.30055899,0.11054294
104,0.15363043,0.20990449,0.29967043,0.11023630
105,0.15332790,0.21027447,0.29978944,0.11065695
106,0.15363877,0.21015785,0.29961656,0.11067149
107,0.15330049,0.20999228,0.29902053,0.11054976
108,0.15340048,0.21214443,0.29890020,0.11059851
109,0.15284285,0.21086808,0.29833386,0.11033203
110,0.15319226,0.20806421,0.29830680,0.11040611
111,0.15310096,0.21065961,0.29830642,0.11019212
