epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.08776445,0.51246596,0.28422075,0.17173491,1.35574046
2,0.50507999,0.39950804,0.18980511,0.14919555,0.61717529
3,0.40806592,0.35775057,0.17024174,0.13953585,0.49617740
4,0.35241408,0.33371518,0.15765786,0.13327480,0.42657186
5,0.31526625,0.31956785,0.14874571,0.12929370,0.38012217
6,0.28846124,0.31030015,0.14187560,0.12665927,0.34647928
7,0.26745737,0.29939205,0.13657341,0.12457758,0.32118298
8,0.25001293,0.29516740,0.13187866,0.12294904,0.29957226
9,0.23739360,0.29128386,0.12817561,0.12171309,0.28347288
10,0.22347596,0.28697083,0.12435146,0.12097819,0.26674241
11,0.21406528,0.28263386,0.12180168,0.11981434,0.25591509
12,0.20398637,0.28063352,0.11880476,0.11901032,0.24365633
13,0.19727662,0.27987674,0.11678226,0.11884301,0.23541591
14,0.18994024,0.27504831,0.11465088,0.11776562,0.22698398
15,0.18310729,0.27313988,0.11247733,0.11756662,0.21861474
16,0.17679098,0.27272597,0.11061665,0.11704949,0.21118941
17,0.17043151,0.27111216,0.10864022,0.11672082,0.20372834
18,0.16650605,0.26833610,0.10733668,0.11637667,0.19883816
19,0.16127439,0.26707413,0.10580551,0.11606087,0.19303339
20,0.15718893,0.26671519,0.10434774,0.11560754,0.18796664
21,0.15326798,0.26322911,0.10314317,0.11520394,0.18350173
22,0.14850439,0.26527543,0.10172117,0.11548878,0.17819268
23,0.14452426,0.26367935,0.10029548,0.11498011,0.17327706
24,0.14103015,0.26231133,0.09910224,0.11464940,0.16913603
25,0.13786556,0.26407404,0.09794246,0.11464003,0.16531950
26,0.13436607,0.26236050,0.09680104,0.11481677,0.16131556
27,0.13128133,0.26001412,0.09582825,0.11432571,0.15788762
28,0.12824119,0.26261258,0.09469899,0.11444641,0.15425474
29,0.12503241,0.26124701,0.09358061,0.11421896,0.15038985
30,0.12248614,0.26246017,0.09273224,0.11459351,0.14747347
31,0.11957222,0.26244157,0.09162649,0.11420902,0.14406636
32,0.11727586,0.26137934,0.09077217,0.11390637,0.14129229
33,0.11470879,0.26227494,0.08989367,0.11432807,0.13842087
34,0.11250725,0.26274499,0.08913736,0.11433198,0.13598099
35,0.11001355,0.26163606,0.08815922,0.11390847,0.13294216
36,0.10791709,0.26246740,0.08727691,0.11444659,0.13040205
37,0.10569409,0.25999169,0.08652752,0.11366768,0.12796206
