epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,2.10289750,1.91344085,0.40844529,0.34065984,2.76692152
2,1.72767681,1.52941211,0.36189284,0.29876417,2.18685198
3,1.42203460,1.20729985,0.32290952,0.26483794,1.76025571
4,1.17195197,0.94954755,0.28975421,0.23656572,1.42855724
5,0.96466721,0.76831109,0.26134992,0.21426209,1.16766101
6,0.83331932,0.65548320,0.24313954,0.19871607,1.00729886
7,0.72435811,0.58463945,0.22745995,0.18755963,0.87985529
8,0.65131031,0.53792585,0.21632733,0.17870477,0.79676221
9,0.60488304,0.50251414,0.20778831,0.17153532,0.73908890
10,0.56557136,0.47495950,0.20113401,0.16595181,0.69286415
11,0.53816180,0.45503737,0.19554946,0.16172484,0.65651194
12,0.51152545,0.44181956,0.19100726,0.15857609,0.62581754
13,0.50001223,0.43035794,0.18943416,0.15599190,0.61370347
14,0.47309970,0.41825967,0.18310570,0.15334108,0.57657284
15,0.46176677,0.40615307,0.18093860,0.15092790,0.56187820
16,0.44448371,0.39553280,0.17678596,0.14893288,0.53788795
17,0.43126541,0.38740535,0.17438345,0.14698088,0.52378713
18,0.41991112,0.38062499,0.17191357,0.14521529,0.50979263
19,0.40821185,0.37309370,0.16978387,0.14348360,0.49507318
20,0.39889299,0.36767489,0.16780937,0.14193906,0.48324271
21,0.38398755,0.36097519,0.16400138,0.14036657,0.46392862
22,0.37418211,0.35665539,0.16247883,0.13919154,0.45409654
23,0.37256863,0.35190873,0.16195109,0.13814870,0.45110975
24,0.36154976,0.34736064,0.15878671,0.13691533,0.43436449
25,0.35206098,0.34339558,0.15732405,0.13593668,0.42517549
26,0.34659597,0.33994479,0.15533159,0.13502988,0.41650823
27,0.33905759,0.33587815,0.15427765,0.13414740,0.40931250
28,0.33186628,0.33289135,0.15226258,0.13330904,0.39989178
29,0.32532065,0.33050022,0.15041282,0.13251800,0.39166959
30,0.31594749,0.32608471,0.14876569,0.13164685,0.38082777
31,0.31245815,0.32464336,0.14710141,0.13104766,0.37496776
32,0.30850595,0.32160408,0.14680559,0.13021143,0.37159733
33,0.29906483,0.32028099,0.14452825,0.12963604,0.35955979
34,0.29703341,0.31985201,0.14375728,0.12952655,0.35599170
35,0.29472037,0.31664550,0.14341991,0.12883803,0.35369768
36,0.28454741,0.31451782,0.14096548,0.12822629,0.34213431
37,0.27842616,0.31278555,0.13914284,0.12775589,0.33440225
38,0.27811223,0.31129264,0.13875627,0.12748043,0.33344592
39,0.27364861,0.30941190,0.13762005,0.12692440,0.32688135
40,0.26755864,0.30702173,0.13643322,0.12620948,0.32063194
41,0.26392220,0.30521640,0.13515425,0.12567305,0.31574157
42,0.25964941,0.30419084,0.13376162,0.12533896,0.30978857
43,0.25621630,0.30384468,0.13297779,0.12509511,0.30603892
44,0.25086636,0.30053341,0.13163481,0.12471711,0.29908424
45,0.25278944,0.29774061,0.13265760,0.12431679,0.30375246
46,0.24789258,0.29578541,0.13088781,0.12395312,0.29583578
47,0.24505503,0.29498405,0.13029523,0.12365834,0.29338091
48,0.24089588,0.29493521,0.12914875,0.12355246,0.28752185
49,0.23660349,0.29477522,0.12775589,0.12353225,0.28206400
50,0.23196967,0.29592170,0.12687633,0.12340806,0.27728199
51,0.23529114,0.29407611,0.12736983,0.12313871,0.28131691
52,0.22616864,0.29292891,0.12492349,0.12298229,0.26975377
53,0.23050675,0.29066964,0.12541110,0.12271267,0.27389072
54,0.22161055,0.29010489,0.12348505,0.12240661,0.26421234
55,0.22297429,0.28919940,0.12398314,0.12194341,0.26562061
56,0.21737313,0.28808442,0.12251678,0.12155312,0.25879285
57,0.21742035,0.28704548,0.12220026,0.12148294,0.25884797
58,0.21563558,0.28535744,0.12177215,0.12144485,0.25679163
59,0.21231247,0.28574849,0.12079788,0.12133371,0.25273713
60,0.21008437,0.28541922,0.12002508,0.12138576,0.24953435
61,0.21004632,0.28430901,0.12004920,0.12115568,0.24958235
62,0.20727013,0.28364271,0.11946333,0.12091440,0.24729569
63,0.20401162,0.28513179,0.11855542,0.12085292,0.24386313
64,0.20288190,0.28388634,0.11794781,0.12053684,0.24178092
65,0.20080869,0.28181555,0.11726069,0.12016341,0.23836130
66,0.20034364,0.27990783,0.11762276,0.12010517,0.23893884
67,0.19776005,0.28028792,0.11622899,0.11996798,0.23477155
68,0.19671251,0.28022442,0.11644349,0.11979783,0.23392485
69,0.19368731,0.28008809,0.11513426,0.11967229,0.23054895
70,0.19281266,0.27801089,0.11532680,0.11948525,0.22980336
71,0.18915202,0.27819679,0.11424483,0.11963716,0.22551082
72,0.19054540,0.27870593,0.11404465,0.11966642,0.22627306
73,0.18815770,0.27705524,0.11358170,0.11923887,0.22350054
74,0.18748153,0.27509467,0.11325820,0.11871686,0.22212521
75,0.18664846,0.27600311,0.11316884,0.11886466,0.22122152
76,0.18319828,0.27475019,0.11226896,0.11890838,0.21770432
77,0.18102453,0.27400787,0.11151478,0.11887799,0.21561446
78,0.17830537,0.27427679,0.11104747,0.11859976,0.21295264
79,0.17825327,0.27367002,0.11029586,0.11830386,0.21178800
80,0.17899331,0.27587173,0.11077138,0.11856863,0.21253284
81,0.17687103,0.27250659,0.11063002,0.11844077,0.21146093
82,0.17538317,0.27466141,0.10963413,0.11849821,0.20854585
83,0.17348928,0.27339231,0.10917601,0.11822607,0.20660318
84,0.17298575,0.27206296,0.10902896,0.11797891,0.20578868
85,0.16901270,0.27167559,0.10810553,0.11769827,0.20214545
86,0.16964330,0.27240266,0.10793258,0.11797412,0.20156588
87,0.16859228,0.27102719,0.10763026,0.11780250,0.20069670
88,0.16405926,0.27045097,0.10674152,0.11796086,0.19630176
89,0.16615782,0.26891924,0.10710712,0.11746376,0.19845421
90,0.16344350,0.27030286,0.10614257,0.11758285,0.19495128
91,0.16185105,0.26866054,0.10562199,0.11761897,0.19282624
92,0.16061005,0.26806674,0.10553907,0.11753275,0.19204369
93,0.16253795,0.27010992,0.10539938,0.11784525,0.19319995
94,0.16003087,0.26975574,0.10479350,0.11754654,0.19030863
95,0.15602446,0.27052321,0.10365556,0.11781849,0.18602801
96,0.15928045,0.26893777,0.10469965,0.11793154,0.18953526
97,0.15597841,0.26785997,0.10381214,0.11757034,0.18576882
98,0.15677427,0.26775469,0.10375820,0.11708930,0.18674498
99,0.15411253,0.26609976,0.10289440,0.11708728,0.18325133
100,0.15366990,0.26753660,0.10310876,0.11720767,0.18369910
101,0.15338300,0.26671942,0.10288255,0.11727509,0.18297536
102,0.15119396,0.26577097,0.10185056,0.11714584,0.17976202
103,0.15020317,0.26437006,0.10187949,0.11696776,0.17921336
104,0.15084862,0.26382541,0.10191992,0.11679485,0.17996802
105,0.15029436,0.26503010,0.10205016,0.11671635,0.17948385
106,0.14719995,0.26534810,0.10091454,0.11663984,0.17603149
107,0.14841587,0.26416104,0.10110891,0.11655553,0.17686245
108,0.14471435,0.26558097,0.09982807,0.11654148,0.17253389
109,0.14310660,0.26496407,0.09956275,0.11639921,0.17091141
110,0.14527499,0.26593838,0.10051728,0.11673687,0.17411796
111,0.14331327,0.26685378,0.09945260,0.11689306,0.17085994
112,0.14147597,0.26421186,0.09858716,0.11665525,0.16832862
113,0.14065871,0.26332717,0.09864370,0.11633988,0.16793331
114,0.14198243,0.26406785,0.09921608,0.11627570,0.16960864
115,0.13727321,0.26294271,0.09745200,0.11628854,0.16372333
116,0.13882698,0.26519130,0.09794246,0.11644690,0.16547679
117,0.13872359,0.26420622,0.09789418,0.11646591,0.16558191
118,0.13743469,0.26271682,0.09747666,0.11607665,0.16368427
119,0.13711014,0.26340426,0.09763677,0.11614975,0.16459363
120,0.13538922,0.26375990,0.09661626,0.11643070,0.16148575
121,0.13450784,0.26359139,0.09693768,0.11653079,0.16127894
122,0.13313816,0.26177667,0.09574455,0.11579128,0.15859729
