epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.96748483,1.67594391,0.39742772,0.35630347,2.63687289
2,1.86789006,1.54077796,0.38587980,0.33934533,2.49610007
3,1.73068082,1.41145472,0.37004851,0.32245304,2.27103913
4,1.60193652,1.28806407,0.35238224,0.30562250,2.08346248
5,1.46470660,1.17269347,0.33903625,0.28927368,1.90498465
6,1.34195542,1.06605474,0.32293828,0.27350683,1.70586210
7,1.24412346,0.96838955,0.30869596,0.25845375,1.58946389
8,1.14136004,0.87967672,0.29404276,0.24426031,1.42213035
9,1.06233883,0.80013059,0.28166020,0.23107371,1.31499314
10,1.01428407,0.73089760,0.27181761,0.21916391,1.24241489
11,0.91526702,0.67235297,0.26050769,0.20877620,1.12170595
12,0.84718153,0.62381772,0.24502828,0.20002203,1.03790212
13,0.80854577,0.58395066,0.23985207,0.19277938,0.97230762
14,0.75246677,0.55209701,0.23157900,0.18701739,0.89905661
15,0.71564594,0.52727403,0.22772293,0.18267539,0.86352363
16,0.66568354,0.50832430,0.21957024,0.17935575,0.79967552
17,0.64297968,0.49355006,0.21427489,0.17660991,0.76785311
18,0.61791444,0.48170813,0.21077645,0.17408495,0.74001956
19,0.61371514,0.47138024,0.20945222,0.17159495,0.72705978
20,0.56281540,0.46211262,0.20148677,0.16904513,0.67148957
21,0.57185364,0.45352968,0.19814635,0.16639277,0.66997275
22,0.53687617,0.44504784,0.19830636,0.16356440,0.64005920
23,0.51481947,0.43710383,0.19174022,0.16095932,0.60396665
24,0.50816481,0.42932590,0.19223119,0.15854255,0.60647666
25,0.49231699,0.42131631,0.18582029,0.15624286,0.57662013
26,0.46495560,0.41265061,0.18392200,0.15412338,0.54966360
27,0.47434452,0.40414446,0.18438566,0.15231822,0.55193293
28,0.44499309,0.39575555,0.17884969,0.15064013,0.52377906
29,0.44623889,0.38797722,0.17721146,0.14895476,0.52433977
30,0.44175117,0.38091014,0.17682853,0.14720490,0.51353717
31,0.42492971,0.37424901,0.17479921,0.14552616,0.50027062
32,0.40710369,0.36816313,0.17263303,0.14403080,0.47650535
33,0.41841552,0.36286457,0.17296574,0.14264724,0.48793854
34,0.39722909,0.35752760,0.17021501,0.14139402,0.46949181
35,0.39747812,0.35221688,0.16976845,0.14017693,0.46261927
36,0.39172627,0.34738163,0.16847764,0.13911358,0.45880659
37,0.38221347,0.34305465,0.16361644,0.13815665,0.44099753
38,0.36541824,0.33915533,0.16395978,0.13731935,0.43125394
39,0.37400888,0.33522735,0.16322689,0.13650413,0.43283211
40,0.37536822,0.33114426,0.16418064,0.13552616,0.42869322
41,0.36055776,0.32721582,0.16051883,0.13452266,0.41852300
42,0.35870090,0.32366092,0.15914163,0.13358735,0.41345109
43,0.34955020,0.32087412,0.15858857,0.13261075,0.40264665
44,0.34710044,0.31819121,0.15808886,0.13166051,0.40180761
45,0.34004971,0.31451625,0.15631469,0.13078284,0.38951497
46,0.34471339,0.31059272,0.15707930,0.12978688,0.39041544
47,0.32754274,0.30723484,0.15351512,0.12879513,0.37571964
48,0.32771304,0.30477978,0.15501341,0.12797824,0.37914121
49,0.32942094,0.30349348,0.15105351,0.12744315,0.37112235
50,0.31335525,0.30273818,0.15060071,0.12705027,0.36101951
51,0.30843256,0.30191564,0.14965817,0.12665901,0.35270195
52,0.31011423,0.30064877,0.14924552,0.12632617,0.35310011
53,0.31246912,0.29904320,0.15069564,0.12615258,0.35833260
54,0.30854234,0.29718891,0.14867687,0.12589079,0.35137436
55,0.29401401,0.29540173,0.14608692,0.12529895,0.33290896
56,0.29784560,0.29408897,0.14391203,0.12470451,0.33406523
57,0.29297562,0.29245804,0.14523608,0.12417820,0.33152540
58,0.28630237,0.29036504,0.14387998,0.12358171,0.32117386
59,0.27299722,0.28825400,0.14088356,0.12306442,0.30655849
60,0.27618061,0.28598010,0.14016716,0.12263772,0.30575635
61,0.28265077,0.28381186,0.14187431,0.12213931,0.31382433
62,0.26992558,0.28234107,0.13960578,0.12164518,0.30340546
63,0.28251371,0.28144353,0.14043758,0.12120111,0.31314524
64,0.26728831,0.28069982,0.13874140,0.12090068,0.29696578
65,0.27350099,0.28022823,0.13798803,0.12070458,0.29865165
66,0.26376197,0.27945275,0.13657360,0.12040140,0.29065250
67,0.25544588,0.27888491,0.13393588,0.12017647,0.27921620
68,0.25588702,0.27799731,0.13517928,0.11999066,0.28050698
69,0.24918704,0.27675142,0.13357916,0.11978843,0.27367520
70,0.25655100,0.27543462,0.13580637,0.11950212,0.28270416
71,0.25313129,0.27438560,0.13537332,0.11930520,0.27894948
72,0.24903853,0.27353231,0.13113522,0.11903400,0.27104460
73,0.25732291,0.27261363,0.13335725,0.11879136,0.27837656
74,0.25372806,0.27187966,0.13424069,0.11843313,0.27476595
75,0.23423921,0.27113463,0.13157797,0.11790398,0.25621769
76,0.24127721,0.27047532,0.13113529,0.11739259,0.26153256
77,0.24257295,0.26996604,0.13103469,0.11704304,0.26033935
78,0.24211027,0.26914988,0.13210436,0.11668082,0.25925866
79,0.24035233,0.26885470,0.13047926,0.11645272,0.25652750
80,0.24097064,0.26877190,0.13008761,0.11628005,0.25714415
81,0.23479343,0.26806869,0.12809075,0.11607711,0.25203262
82,0.23481943,0.26686669,0.12796073,0.11587250,0.24910522
83,0.23495615,0.26600584,0.12814273,0.11572710,0.24865305
84,0.23398962,0.26575904,0.12714319,0.11562869,0.24499132
85,0.22776645,0.26587317,0.12700493,0.11553329,0.23974201
86,0.21351129,0.26565909,0.12536258,0.11545187,0.22372990
87,0.22054231,0.26489632,0.12560618,0.11527173,0.22983046
88,0.21776694,0.26362286,0.12461256,0.11498823,0.22814270
89,0.21808007,0.26218828,0.12420497,0.11466262,0.22847378
90,0.22573398,0.26087476,0.12535539,0.11440881,0.23163223
91,0.21607577,0.25980955,0.12412675,0.11423371,0.22375580
92,0.21870480,0.25911211,0.12538587,0.11410030,0.22332327
93,0.21549054,0.25875104,0.12272487,0.11402545,0.21781055
94,0.21916894,0.25842973,0.12473455,0.11390171,0.22306900
95,0.21785302,0.25857629,0.12446115,0.11376973,0.21814517
96,0.22488715,0.25834780,0.12442940,0.11372285,0.22742021
97,0.21040846,0.25780863,0.12166654,0.11368654,0.21274894
98,0.20440803,0.25717463,0.12094039,0.11342021,0.20657688
99,0.21005391,0.25710249,0.12134000,0.11316054,0.20734216
100,0.20677654,0.25719757,0.11964124,0.11309214,0.20429043
101,0.20833293,0.25717397,0.12179732,0.11306781,0.20922796
102,0.21391292,0.25738418,0.12073914,0.11318742,0.21007860
103,0.20189066,0.25753445,0.12010580,0.11327322,0.20065831
104,0.20820389,0.25714249,0.12018458,0.11300232,0.20461527
105,0.21334598,0.25646083,0.12079062,0.11266353,0.20337086
106,0.20782152,0.25567691,0.12003308,0.11241813,0.19896907
107,0.20475420,0.25482147,0.11961660,0.11233831,0.19763611
108,0.20016230,0.25449012,0.11800535,0.11249669,0.19326700
109,0.19621401,0.25416292,0.11831878,0.11247054,0.19117915
110,0.19825683,0.25377512,0.11759401,0.11233392,0.18694764
111,0.19853287,0.25326813,0.11810725,0.11218693,0.18685872
112,0.19264995,0.25263502,0.11677274,0.11197428,0.18158368
113,0.20488340,0.25228003,0.12011839,0.11180311,0.19369965
114,0.20190457,0.25203225,0.11851082,0.11166555,0.18826703
115,0.19644017,0.25180020,0.11684435,0.11162779,0.18315690
116,0.19751518,0.25189384,0.11582053,0.11161584,0.18162720
117,0.18691354,0.25229170,0.11517556,0.11157173,0.17591374
118,0.19743212,0.25244484,0.11589633,0.11152854,0.17944842
119,0.19711202,0.25219236,0.11704062,0.11143371,0.18072614
120,0.18582316,0.25148192,0.11308683,0.11136708,0.16984248
121,0.18985983,0.25135530,0.11633940,0.11137442,0.17271987
122,0.18733643,0.25168373,0.11461271,0.11133121,0.16954062
123,0.18859560,0.25219323,0.11404969,0.11137625,0.17013181
124,0.19188496,0.25250733,0.11455472,0.11143184,0.16874931
125,0.18671028,0.25216882,0.11470239,0.11122619,0.16767277
126,0.18810143,0.25172396,0.11443549,0.11085526,0.16602035
127,0.18729905,0.25121943,0.11419200,0.11057334,0.16495509
128,0.18934464,0.25043479,0.11573801,0.11046536,0.16736253
129,0.18786935,0.24989769,0.11521359,0.11065563,0.16461390
130,0.18029786,0.24948385,0.11426696,0.11089427,0.15938938
131,0.19158762,0.24895433,0.11594205,0.11077513,0.16522817
132,0.19260585,0.24845631,0.11433354,0.11042329,0.16307471
133,0.18571133,0.24870686,0.11368447,0.11026674,0.15818350
134,0.18415254,0.24920579,0.11327523,0.11022989,0.15517277
135,0.18670841,0.25020149,0.11425048,0.11038499,0.15994027
136,0.18215855,0.25065127,0.11268944,0.11065350,0.15469623
137,0.18345481,0.25029464,0.11347018,0.11071137,0.15295818
138,0.18730326,0.24936958,0.11312509,0.11052051,0.15511520
139,0.18573076,0.24905927,0.11328090,0.11042983,0.15225174
140,0.17892879,0.24905101,0.11244486,0.11039838,0.14764470
141,0.18261799,0.24928310,0.11291434,0.11042396,0.14858679
142,0.18200619,0.24945560,0.11305994,0.11049421,0.14652923
143,0.18542708,0.24914036,0.11351995,0.11051422,0.14800894
144,0.18119288,0.24841473,0.11313793,0.11043965,0.14498933
145,0.18512741,0.24776898,0.11332503,0.11028207,0.14592002
146,0.18143222,0.24715186,0.11326279,0.11021683,0.14250396
147,0.18288705,0.24695063,0.11221325,0.11017389,0.14293855
148,0.17918538,0.24744132,0.11255901,0.11016555,0.13691076
149,0.18101638,0.24835701,0.11181340,0.11029103,0.14015542
150,0.17756215,0.24872097,0.11160610,0.11048827,0.13572378
151,0.17902349,0.24768567,0.11140349,0.11026069,0.13503977
152,0.18107180,0.24687491,0.11135264,0.10986854,0.13926736
153,0.17751037,0.24720628,0.11102239,0.10983119,0.13626590
154,0.17695806,0.24780923,0.11073911,0.10991810,0.13578191
155,0.18070865,0.24842752,0.11047922,0.11005615,0.13712669
156,0.17693318,0.24889255,0.11099818,0.11023374,0.13378757
157,0.18009640,0.24871120,0.11142255,0.11008182,0.13641293
158,0.18007950,0.24797008,0.11078548,0.10982073,0.13479563
159,0.17920043,0.24733057,0.11090011,0.10963230,0.13361748
160,0.17729815,0.24696651,0.11122644,0.10953965,0.13202423
161,0.18051815,0.24690055,0.11118192,0.10951971,0.13464969
162,0.17812783,0.24684624,0.11068532,0.10953010,0.13282358
163,0.17702375,0.24748524,0.11027440,0.10967506,0.13180648
164,0.18117884,0.24841505,0.11153176,0.10995888,0.13300342
165,0.18144444,0.24900607,0.11031358,0.11016304,0.13230883
166,0.17592774,0.24887147,0.10949895,0.11021187,0.12994343
167,0.17780969,0.24839332,0.10969930,0.11011640,0.13171405
168,0.18104511,0.24783682,0.11075508,0.10990447,0.13175861
169,0.17248405,0.24747291,0.10906744,0.10975291,0.12746519
170,0.17557382,0.24756145,0.11052623,0.10955847,0.13171826
171,0.17384999,0.24730152,0.11067983,0.10929837,0.12909795
172,0.17646277,0.24640985,0.11051920,0.10902986,0.12895110
173,0.17757293,0.24576117,0.11094403,0.10891843,0.12890773
174,0.17736976,0.24551134,0.10828458,0.10903403,0.12851182
175,0.17008559,0.24559481,0.11035540,0.10913170,0.12626819
176,0.17331006,0.24540203,0.10999719,0.10909217,0.12609013
