epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.94361141,0.43260157,0.26595089,0.16165552,1.18872383
2,0.45330471,0.34497655,0.18019436,0.13906887,0.54791355
3,0.35864329,0.30599286,0.16014865,0.12804014,0.43244104
4,0.30609560,0.28483086,0.14794281,0.12158865,0.36836614
5,0.27035017,0.27280627,0.13878948,0.11753506,0.32443554
6,0.24618450,0.26449174,0.13203962,0.11488991,0.29471228
7,0.22763020,0.25804363,0.12683766,0.11287747,0.27179137
8,0.21259123,0.25394061,0.12241813,0.11143283,0.25355491
9,0.20106226,0.24984880,0.11888135,0.11027164,0.23914205
10,0.19004533,0.24660252,0.11565428,0.10922498,0.22602895
11,0.18241178,0.24412087,0.11321266,0.10834664,0.21657226
12,0.17527912,0.24174491,0.11093632,0.10786299,0.20786755
13,0.16841648,0.23997280,0.10851227,0.10707033,0.19926150
14,0.16314869,0.23814036,0.10690403,0.10658004,0.19312561
15,0.15763902,0.23708962,0.10506661,0.10607680,0.18641458
16,0.15247811,0.23499753,0.10340415,0.10551882,0.18038933
17,0.14818323,0.23394466,0.10181300,0.10547693,0.17490524
18,0.14489988,0.23151386,0.10069047,0.10441604,0.17109195
19,0.14101895,0.23228299,0.09940462,0.10430876,0.16647025
20,0.13755298,0.23130555,0.09815404,0.10429247,0.16240769
21,0.13423578,0.23009983,0.09694313,0.10408362,0.15833410
22,0.13134034,0.22842148,0.09592871,0.10352009,0.15490349
23,0.12860215,0.22886056,0.09489868,0.10352653,0.15155050
24,0.12558661,0.22664197,0.09391030,0.10285172,0.14824921
25,0.12325434,0.22642493,0.09296318,0.10268302,0.14530568
26,0.12085851,0.22691897,0.09213081,0.10275543,0.14260726
27,0.11821135,0.22601152,0.09111558,0.10255265,0.13956600
28,0.11612142,0.22500246,0.09022292,0.10241699,0.13697015
29,0.11341010,0.22550678,0.08922900,0.10242610,0.13397494
30,0.11190997,0.22455286,0.08870698,0.10182976,0.13230246
31,0.10995924,0.22418494,0.08799948,0.10172809,0.13009490
32,0.10794626,0.22148674,0.08716317,0.10160808,0.12778594
33,0.10629343,0.22216576,0.08654841,0.10148850,0.12602366
34,0.10445829,0.22340059,0.08573148,0.10175043,0.12372761
35,0.10300018,0.22253024,0.08521898,0.10135500,0.12215707
36,0.10097277,0.22181319,0.08446182,0.10092461,0.12013446
37,0.09951731,0.22258943,0.08379136,0.10124683,0.11840090
38,0.09835290,0.22158626,0.08332328,0.10103267,0.11706989
39,0.09675760,0.22079440,0.08267570,0.10077493,0.11540159
40,0.09520101,0.22184667,0.08201072,0.10126116,0.11370083
41,0.09356506,0.22166524,0.08132102,0.10121923,0.11193208
42,0.09267572,0.22153653,0.08102318,0.10102886,0.11098609
43,0.09119935,0.22111112,0.08034000,0.10099326,0.10938714
44,0.09057552,0.22143220,0.08008481,0.10135310,0.10867392
45,0.08863910,0.22087712,0.07928745,0.10105035,0.10674606
46,0.08821912,0.22016974,0.07909805,0.10083365,0.10618368
47,0.08649538,0.22169329,0.07836532,0.10135219,0.10437761
48,0.08592286,0.22002902,0.07809239,0.10082096,0.10369024
49,0.08483460,0.22101678,0.07757072,0.10106373,0.10259466
50,0.08400327,0.22015357,0.07724970,0.10113963,0.10175223
51,0.08292430,0.22139663,0.07674590,0.10113904,0.10054811
52,0.08221141,0.22115365,0.07640861,0.10108833,0.09983335
53,0.08135382,0.22319273,0.07599669,0.10178542,0.09881889
54,0.08036186,0.22163242,0.07554882,0.10150024,0.09789811
55,0.07977111,0.22286750,0.07525021,0.10149092,0.09707928
56,0.07892856,0.22070564,0.07485757,0.10088846,0.09619557
57,0.07798943,0.22296505,0.07443804,0.10162896,0.09522229
58,0.07691208,0.22273315,0.07398432,0.10159324,0.09429267
59,0.07642471,0.22206931,0.07364096,0.10157443,0.09355202
60,0.07586142,0.22289139,0.07345993,0.10178592,0.09299562
61,0.07506044,0.22190092,0.07309688,0.10125276,0.09221206
62,0.07490935,0.22133194,0.07294267,0.10139912,0.09183192
63,0.07404990,0.22298444,0.07254477,0.10163813,0.09098809
64,0.07369132,0.22371532,0.07237146,0.10232407,0.09048243
65,0.07279132,0.22288152,0.07193783,0.10188067,0.08964091
66,0.07223061,0.22303394,0.07161306,0.10208912,0.08894037
67,0.07209062,0.22464140,0.07148433,0.10222761,0.08856910
68,0.07142162,0.22275741,0.07118699,0.10181009,0.08792082
69,0.07115024,0.22245497,0.07104702,0.10173744,0.08750892
