epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.18117810,0.23647998,0.10849998,0.10628260,0.21437430
2,0.16484111,0.22538514,0.10276726,0.10330289,0.19470636
3,0.14842966,0.21664581,0.09779506,0.10151948,0.17631348
4,0.13487760,0.21256334,0.09391923,0.10058088,0.16150735
5,0.12454562,0.21122779,0.09078260,0.10046565,0.15022295
6,0.11694964,0.21227689,0.08835078,0.10077415,0.14193908
7,0.11079993,0.21204517,0.08624632,0.10060829,0.13520018
8,0.10522541,0.21339446,0.08435341,0.10074450,0.12914968
9,0.10034908,0.21304610,0.08260163,0.10077763,0.12378531
10,0.09594846,0.21390666,0.08103712,0.10092066,0.11902162
11,0.09233942,0.21524989,0.07969000,0.10107257,0.11511315
12,0.08885879,0.21557763,0.07832815,0.10118683,0.11123600
13,0.08594065,0.21649358,0.07717396,0.10108602,0.10800327
14,0.08347085,0.21829337,0.07616917,0.10143240,0.10526050
15,0.08111310,0.21990467,0.07521041,0.10140122,0.10268612
16,0.07903482,0.21861385,0.07434498,0.10135668,0.10043422
17,0.07696497,0.21963440,0.07346913,0.10131229,0.09807462
18,0.07546501,0.21915851,0.07280230,0.10166165,0.09643281
19,0.07361688,0.21950375,0.07194267,0.10158145,0.09428752
20,0.07193304,0.22041352,0.07119727,0.10132995,0.09239933
21,0.07062296,0.22071873,0.07054515,0.10152463,0.09087592
22,0.06932879,0.22113024,0.06996021,0.10153558,0.08941660
23,0.06761486,0.22078647,0.06921838,0.10136271,0.08751439
24,0.06649304,0.22007546,0.06864047,0.10130854,0.08626171
25,0.06546163,0.22157004,0.06809588,0.10165060,0.08501218
26,0.06424724,0.22083373,0.06753381,0.10106046,0.08366660
27,0.06319472,0.22098786,0.06690651,0.10100604,0.08230470
28,0.06194750,0.22192729,0.06629675,0.10121134,0.08088556
29,0.06114058,0.22275817,0.06586669,0.10121701,0.07994384
30,0.06009859,0.22104380,0.06526861,0.10113068,0.07867026
31,0.05890064,0.22246680,0.06465516,0.10116607,0.07732743
32,0.05801679,0.22146888,0.06420747,0.10096750,0.07626001
33,0.05702879,0.22095901,0.06364397,0.10104719,0.07513556
34,0.05618480,0.22479281,0.06313606,0.10149323,0.07408172
35,0.05557237,0.22324181,0.06276281,0.10125364,0.07328331
36,0.05480999,0.22480530,0.06229385,0.10135818,0.07236695
37,0.05388692,0.22334519,0.06175294,0.10100013,0.07125557
38,0.05311380,0.22402874,0.06130379,0.10124620,0.07035029
39,0.05238949,0.22615060,0.06088679,0.10116614,0.06950319
40,0.05150594,0.22580580,0.06035034,0.10110777,0.06845262
41,0.05099809,0.22457544,0.06000962,0.10101638,0.06779298
42,0.05028952,0.22337165,0.05959355,0.10074371,0.06697809
43,0.04956149,0.22328612,0.05912949,0.10041858,0.06604671
44,0.04881570,0.22572683,0.05865385,0.10072481,0.06512081
45,0.04831494,0.22560611,0.05832739,0.10080661,0.06453094
46,0.04763499,0.22754269,0.05783504,0.10101901,0.06362317
47,0.04689388,0.22509604,0.05739313,0.10055406,0.06275386
48,0.04627282,0.22519442,0.05696350,0.10075590,0.06197758
49,0.04566183,0.22607568,0.05663103,0.10064446,0.06135074
50,0.04523454,0.22633903,0.05625690,0.10051831,0.06071966
51,0.04467085,0.22556345,0.05589447,0.10060710,0.06001517
52,0.04398050,0.22666846,0.05546490,0.10121513,0.05922621
53,0.04348488,0.22413227,0.05516559,0.10065449,0.05867004
54,0.04277006,0.22502520,0.05466659,0.10070103,0.05778392
55,0.04234288,0.22655144,0.05436767,0.10096332,0.05727479
56,0.04178743,0.22554425,0.05398247,0.10054245,0.05658266
57,0.04145214,0.22610095,0.05368358,0.10069955,0.05614379
58,0.04072448,0.22554318,0.05325592,0.10077144,0.05531069
59,0.04013718,0.22462294,0.05287491,0.10035775,0.05462675
60,0.03978026,0.22341268,0.05259882,0.10071926,0.05416734
61,0.03924032,0.22402212,0.05217146,0.10059878,0.05348164
62,0.03892163,0.22655677,0.05194894,0.10098618,0.05312688
63,0.03847808,0.22885953,0.05170599,0.10073999,0.05264645
64,0.03810955,0.22419274,0.05137300,0.10071223,0.05212047
65,0.03762401,0.22363870,0.05105579,0.10030473,0.05159915
66,0.03728983,0.22416564,0.05076893,0.10085263,0.05115231
67,0.03695874,0.22517713,0.05051359,0.10057378,0.05075729
68,0.03647763,0.22731568,0.05023672,0.10078945,0.05024572
69,0.03589090,0.22387720,0.04988069,0.10038215,0.04962997
70,0.03554845,0.22518572,0.04955427,0.10077279,0.04911793
71,0.03528780,0.22543541,0.04935959,0.10104612,0.04882872
72,0.03480646,0.22113513,0.04893527,0.10038343,0.04820713
73,0.03447549,0.22326878,0.04866517,0.10041375,0.04778237
74,0.03404028,0.22399438,0.04845158,0.10086102,0.04738826
75,0.03379513,0.22314858,0.04826533,0.10024236,0.04708910
76,0.03341837,0.22338381,0.04800189,0.10100772,0.04666952
77,0.03302744,0.22459324,0.04768376,0.10100601,0.04618838
78,0.03276737,0.22383452,0.04744681,0.10037274,0.04587445
