epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.19030663,0.24617537,0.11243072,0.11002593,0.22534447
2,0.19394762,0.24571541,0.11211730,0.10983044,0.23064023
3,0.18972573,0.24526285,0.11188446,0.10963843,0.22493517
4,0.19083859,0.24482903,0.11156651,0.10945047,0.22588692
5,0.18685192,0.24439013,0.11131667,0.10926836,0.22132523
6,0.18417700,0.24394901,0.11102787,0.10909327,0.21787564
7,0.18524731,0.24353111,0.11076145,0.10893119,0.21979696
8,0.18008220,0.24311905,0.11046300,0.10877829,0.21472986
9,0.18401565,0.24271773,0.11022569,0.10863283,0.21728329
10,0.18238118,0.24232714,0.10999496,0.10849524,0.21647738
11,0.18628480,0.24192966,0.10975202,0.10835786,0.21929660
12,0.18200371,0.24152466,0.10946736,0.10821493,0.21546650
13,0.18156051,0.24111456,0.10925478,0.10806529,0.21462898
14,0.18220077,0.24069162,0.10898669,0.10791037,0.21483377
15,0.18140448,0.24025401,0.10870407,0.10774857,0.21451762
16,0.17453276,0.23980550,0.10839636,0.10758120,0.20703027
17,0.17851546,0.23932120,0.10819235,0.10740661,0.21105307
18,0.17603443,0.23881559,0.10789583,0.10722573,0.20701990
19,0.17669330,0.23829190,0.10758861,0.10703498,0.20937874
20,0.17798519,0.23773856,0.10726387,0.10683146,0.21028499
21,0.17177508,0.23716189,0.10690125,0.10661792,0.20365054
22,0.17089266,0.23653707,0.10654906,0.10639817,0.20346510
23,0.17466059,0.23586130,0.10625071,0.10618028,0.20550828
24,0.17717852,0.23516154,0.10585244,0.10597006,0.20781975
25,0.17144415,0.23445183,0.10537838,0.10576405,0.20300954
26,0.16746824,0.23376053,0.10502145,0.10555714,0.19783457
27,0.17479971,0.23307043,0.10451811,0.10534161,0.20545171
28,0.16559246,0.23237574,0.10411776,0.10512384,0.19438531
29,0.16659692,0.23168386,0.10371255,0.10491490,0.19806136
30,0.16474243,0.23097699,0.10319783,0.10472109,0.19363713
31,0.16561360,0.23024831,0.10279284,0.10454134,0.19421097
32,0.16007542,0.22951089,0.10234460,0.10438967,0.18883036
33,0.16157705,0.22876347,0.10191622,0.10425415,0.19080199
34,0.16153642,0.22801780,0.10154136,0.10411708,0.18968577
35,0.15248262,0.22725318,0.10084166,0.10397478,0.18006402
36,0.15742911,0.22652829,0.10051713,0.10382766,0.18500113
37,0.15441472,0.22585045,0.10013157,0.10369431,0.18084127
38,0.15443889,0.22522676,0.09946472,0.10357152,0.17930549
39,0.14942425,0.22461922,0.09893101,0.10345860,0.17512181
40,0.15513591,0.22403632,0.09875801,0.10331936,0.18263455
41,0.15016458,0.22351555,0.09825973,0.10318761,0.17680810
42,0.15364562,0.22307338,0.09766716,0.10307565,0.18086588
43,0.14677429,0.22269707,0.09729008,0.10298567,0.17201127
44,0.14708477,0.22226722,0.09678295,0.10288273,0.17183913
45,0.14349350,0.22165120,0.09622588,0.10276935,0.16841944
46,0.14653048,0.22102825,0.09587463,0.10265251,0.17158194
47,0.13799141,0.22040407,0.09544430,0.10253986,0.16197699
48,0.13751062,0.21974072,0.09487091,0.10243544,0.16168266
49,0.13949917,0.21900131,0.09448727,0.10231173,0.16306107
50,0.13375745,0.21829480,0.09399854,0.10218981,0.15677966
51,0.13682771,0.21787389,0.09365300,0.10212824,0.16016579
52,0.13338751,0.21768669,0.09289375,0.10212131,0.15612864
53,0.13577644,0.21760098,0.09281489,0.10214556,0.15918224
54,0.12955200,0.21752464,0.09207899,0.10215062,0.15254112
55,0.12721918,0.21739031,0.09125268,0.10213415,0.14946383
56,0.12951105,0.21742216,0.09125829,0.10212570,0.15156000
57,0.13094268,0.21746684,0.09082331,0.10210944,0.15244741
58,0.12901997,0.21749934,0.09023251,0.10210450,0.15134729
59,0.12701800,0.21740988,0.09036493,0.10211409,0.14800684
60,0.12717953,0.21714695,0.08956481,0.10208002,0.14979971
61,0.12322573,0.21679866,0.08914386,0.10203152,0.14497071
62,0.12222134,0.21672810,0.08880870,0.10200684,0.14372468
63,0.11487163,0.21678082,0.08769796,0.10200183,0.13409406
64,0.11810977,0.21675102,0.08787210,0.10204547,0.13781348
65,0.11464840,0.21667961,0.08722123,0.10209120,0.13451064
66,0.11677864,0.21657912,0.08653087,0.10216572,0.13750618
67,0.11589495,0.21639159,0.08662987,0.10222147,0.13685150
68,0.11178423,0.21619856,0.08573694,0.10224140,0.13099809
69,0.11333653,0.21635730,0.08496550,0.10225346,0.13325109
70,0.11187122,0.21675342,0.08546154,0.10227026,0.13048908
71,0.10718402,0.21745832,0.08428536,0.10239234,0.12564851
72,0.10965100,0.21844457,0.08385297,0.10256841,0.12840317
73,0.10885738,0.21964597,0.08339433,0.10269155,0.12663516
74,0.11004575,0.22086096,0.08306733,0.10275070,0.12872914
75,0.10424288,0.22179459,0.08238045,0.10279926,0.12188210
76,0.10385954,0.22239396,0.08238392,0.10279284,0.12196624
77,0.10321264,0.22280768,0.08147782,0.10286585,0.12017087
78,0.10562840,0.22197761,0.08183917,0.10288054,0.12366039
79,0.10351770,0.22105308,0.08091021,0.10283424,0.12098663
80,0.10329562,0.22040616,0.08111913,0.10279092,0.12119997
81,0.09936467,0.22017987,0.07992801,0.10283539,0.11686459
82,0.10069180,0.22041330,0.07996117,0.10292620,0.11753879
83,0.09694435,0.22137264,0.07917484,0.10321489,0.11283246
84,0.09431749,0.22237847,0.07864434,0.10345344,0.11123414
85,0.09452640,0.22292452,0.07868655,0.10345183,0.10998029
86,0.09495663,0.22317932,0.07860632,0.10349626,0.11164505
87,0.09346430,0.22340660,0.07816321,0.10356810,0.11008088
88,0.09121805,0.22352052,0.07765399,0.10362681,0.10627083
89,0.09004027,0.22410962,0.07682036,0.10371190,0.10584023
90,0.08816088,0.22443913,0.07671932,0.10368697,0.10337196
91,0.09070168,0.22436865,0.07648332,0.10363262,0.10616995
92,0.08671161,0.22460869,0.07531172,0.10364408,0.10102510
93,0.08467789,0.22508597,0.07523270,0.10374089,0.09976505
94,0.08606405,0.22619026,0.07524809,0.10390875,0.10098723
95,0.08411074,0.22749527,0.07423663,0.10411557,0.09911708
96,0.08409178,0.22715192,0.07423712,0.10413713,0.09871944
97,0.08292720,0.22685920,0.07401043,0.10414862,0.09715597
98,0.08116997,0.22693138,0.07331767,0.10415412,0.09567881
99,0.08150817,0.22744572,0.07307501,0.10425251,0.09587333
100,0.08263459,0.22835187,0.07300756,0.10439778,0.09725460
101,0.07954350,0.22936047,0.07192080,0.10463021,0.09287192
102,0.08105571,0.23018304,0.07214273,0.10485369,0.09521905
103,0.07623632,0.23024037,0.07179566,0.10510718,0.09010225
104,0.07698772,0.23101897,0.07140055,0.10524241,0.08993641
105,0.07570557,0.23238755,0.07057513,0.10523184,0.08864539
106,0.07340502,0.23327908,0.07061470,0.10548101,0.08675649
107,0.07491449,0.23359787,0.06985348,0.10552475,0.08776823
108,0.07349477,0.23369859,0.06931596,0.10553098,0.08616349
109,0.07366836,0.23430405,0.06942013,0.10554815,0.08589415
110,0.07283549,0.23457871,0.06920196,0.10545063,0.08582797
111,0.07031204,0.23427923,0.06847451,0.10538892,0.08234698
112,0.07192332,0.23380140,0.06895169,0.10541608,0.08507170
113,0.07073430,0.23382476,0.06807250,0.10549139,0.08369686
114,0.07133719,0.23430626,0.06778720,0.10554293,0.08396815
115,0.07071821,0.23588980,0.06799340,0.10583457,0.08336348
116,0.06744161,0.23620803,0.06679437,0.10602489,0.07949189
117,0.06837516,0.23717134,0.06709067,0.10651597,0.08089490
118,0.06997231,0.23803188,0.06743793,0.10635248,0.08287103
119,0.06542450,0.24017358,0.06655733,0.10636512,0.07685847
120,0.06699067,0.24080372,0.06550020,0.10638431,0.07880436
121,0.06788255,0.24014377,0.06619362,0.10653812,0.07996801
122,0.06566540,0.23860139,0.06558321,0.10646642,0.07742506
123,0.06243420,0.23821574,0.06515074,0.10629272,0.07339893
124,0.06316664,0.23828138,0.06462636,0.10639568,0.07437630
125,0.06194641,0.23935106,0.06424412,0.10688079,0.07285240
126,0.06191495,0.24004793,0.06435344,0.10691636,0.07306184
127,0.06243348,0.24163739,0.06359917,0.10683562,0.07389227
128,0.06146574,0.24322038,0.06382635,0.10706120,0.07240039
129,0.06086814,0.24401226,0.06390280,0.10753612,0.07295781
130,0.05779097,0.24501842,0.06244317,0.10792614,0.06854917
131,0.05909281,0.24515338,0.06254924,0.10756905,0.07010158
132,0.05784311,0.24603828,0.06255099,0.10742336,0.06848623
133,0.06065762,0.24570708,0.06280126,0.10751150,0.07121317
134,0.05814956,0.24623557,0.06236216,0.10765967,0.06841535
135,0.06000141,0.24650292,0.06191376,0.10728541,0.07097442
136,0.05692974,0.24670853,0.06160074,0.10721694,0.06750234
137,0.05602197,0.24632336,0.06103715,0.10739155,0.06609681
138,0.05409767,0.24666218,0.06056815,0.10751133,0.06406358
139,0.05575982,0.24696472,0.06104335,0.10737874,0.06604212
140,0.05409967,0.24752220,0.06059411,0.10740306,0.06398054
141,0.05588277,0.24769362,0.06080438,0.10767895,0.06655280
142,0.05343114,0.24869517,0.05983110,0.10795600,0.06381450
143,0.05442724,0.24972656,0.06045094,0.10792478,0.06474678
144,0.05287654,0.24972908,0.05972058,0.10791693,0.06298266
