epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,2.22506535,2.53435943,0.43452284,0.41996750,2.98392558
2,2.16667104,2.45990510,0.42652457,0.41157016,2.89687634
3,2.13955569,2.38356980,0.42386695,0.40290091,2.86227274
4,2.08738005,2.30552134,0.42178777,0.39400980,2.72886205
5,2.01382583,2.22585961,0.41045589,0.38488257,2.62224150
6,1.91679537,2.14563878,0.40054926,0.37565743,2.50234377
7,1.91938442,2.06591760,0.39776944,0.36642651,2.49606371
8,1.90173787,1.98589585,0.39528144,0.35716109,2.47876763
9,1.83399725,1.90556909,0.38593206,0.34793734,2.34371376
10,1.80717528,1.82630838,0.38213159,0.33886007,2.31351113
11,1.67679930,1.74814853,0.36476890,0.32995170,2.08923078
12,1.63395393,1.67060270,0.36323086,0.32127632,2.05904686
13,1.63597596,1.59489620,0.36767489,0.31286926,2.08158898
14,1.59703761,1.52043379,0.35503704,0.30477334,2.01571977
15,1.60904080,1.44807757,0.35483929,0.29695983,2.02455068
16,1.49626464,1.37859401,0.34412553,0.28945638,1.90437406
17,1.50058085,1.31118523,0.34222486,0.28217483,1.89078540
18,1.39333355,1.24635716,0.33192257,0.27507601,1.72413784
19,1.35946578,1.18459138,0.32452360,0.26819769,1.70321518
20,1.32783395,1.12598174,0.32069858,0.26145572,1.65926421
21,1.29657495,1.07081855,0.31920219,0.25486062,1.63609481
22,1.24352658,1.01843433,0.31170762,0.24838699,1.54391700
23,1.21997851,0.96854614,0.30662480,0.24204806,1.51668590
24,1.16289639,0.92085219,0.30031917,0.23580776,1.43668157
25,1.12440556,0.87522237,0.29696506,0.22963476,1.39150006
26,1.10579294,0.83196498,0.29386162,0.22356062,1.37562919
27,1.11161137,0.79083747,0.29046118,0.21758794,1.36695755
28,1.08387983,0.75230419,0.28538370,0.21183851,1.35083789
29,1.02726138,0.71641044,0.28235183,0.20635703,1.28051513
30,0.95720440,0.68311612,0.26991284,0.20115517,1.17498904
31,0.95118091,0.65294704,0.26958471,0.19630662,1.17674321
32,0.92050546,0.62574553,0.26712274,0.19186602,1.14656252
33,0.93701664,0.60081072,0.26647026,0.18778530,1.15320635
34,0.88437271,0.57800738,0.25785809,0.18406135,1.08094937
35,0.85513711,0.55760337,0.25359744,0.18058005,1.03774077
36,0.85895374,0.53991092,0.25476293,0.17740392,1.05830163
37,0.82563165,0.52404545,0.25141112,0.17452709,1.02163363
38,0.77886030,0.50983776,0.24194748,0.17194463,0.95109326
39,0.75396058,0.49676939,0.24066269,0.16961438,0.93288469
40,0.76914814,0.48502228,0.23922076,0.16748212,0.94382846
41,0.74970230,0.47438835,0.23634582,0.16550968,0.91595286
42,0.71948710,0.46443179,0.23457275,0.16357320,0.89310375
43,0.68892726,0.45475027,0.22680962,0.16168293,0.84158161
44,0.68838531,0.44472428,0.23057481,0.15977981,0.84855935
45,0.68045324,0.43515515,0.22410438,0.15796685,0.83215022
46,0.66191113,0.42650575,0.22245416,0.15633372,0.82042021
47,0.64550185,0.41885534,0.21820844,0.15477027,0.79876661
48,0.63704932,0.41214705,0.21705237,0.15322884,0.78162456
49,0.62549341,0.40636611,0.21578262,0.15184085,0.75736520
50,0.61525372,0.40146869,0.21405567,0.15062536,0.75145704
51,0.59533224,0.39725063,0.21082979,0.14950669,0.72867540
