epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.74116387,1.33989676,0.36762362,0.28404790,2.15240036
2,1.46471845,1.01691539,0.33379782,0.24563533,1.83026546
3,1.24269698,0.79084997,0.30458721,0.21527581,1.56809956
4,1.05771488,0.63860811,0.27882617,0.19271498,1.34615763
5,0.92753676,0.53689063,0.26033429,0.17584985,1.19292399
6,0.81896263,0.46919033,0.24476671,0.16377627,1.06902315
7,0.73437503,0.42115074,0.23157806,0.15439295,0.96751457
8,0.67407264,0.38812777,0.22152785,0.14743424,0.89640779
9,0.61442130,0.36471902,0.21105287,0.14182578,0.82501412
10,0.56951166,0.34574311,0.20324072,0.13689341,0.77214537
11,0.53175433,0.32809733,0.19626757,0.13325440,0.72594530
12,0.49796760,0.31345714,0.18938417,0.13009017,0.68421799
13,0.47328813,0.30351791,0.18450194,0.12755489,0.65495218
14,0.44941091,0.29350625,0.17967727,0.12519055,0.62737950
15,0.42916350,0.28678064,0.17544493,0.12365958,0.60126413
16,0.41222405,0.27875141,0.17212469,0.12204402,0.58398185
17,0.39358627,0.27334527,0.16807230,0.12051932,0.56074943
18,0.37676533,0.26793966,0.16444856,0.11946271,0.54130072
19,0.36509832,0.26307992,0.16140159,0.11823904,0.52573647
20,0.35281998,0.25691895,0.15911521,0.11696489,0.51388770
21,0.34012614,0.25449820,0.15581617,0.11614819,0.49632852
22,0.32821295,0.25003711,0.15310060,0.11486006,0.48291370
23,0.32183184,0.24730377,0.15129421,0.11415632,0.47526973
24,0.31038474,0.24463566,0.14884351,0.11353013,0.46173853
25,0.30271927,0.24245325,0.14687184,0.11294824,0.45307829
26,0.29171987,0.23996501,0.14410123,0.11256966,0.43928012
27,0.28627107,0.23624567,0.14302644,0.11149641,0.43404525
28,0.27955602,0.23314628,0.14166657,0.11063288,0.42657067
29,0.27029447,0.23276428,0.13892628,0.11033558,0.41432941
30,0.26379704,0.23114012,0.13712688,0.11008643,0.40595881
31,0.25841752,0.22812345,0.13587427,0.10926408,0.40017814
32,0.25471822,0.22702210,0.13479380,0.10908836,0.39535811
33,0.24952129,0.22468153,0.13338316,0.10846071,0.38971928
34,0.24388431,0.22447690,0.13171010,0.10826584,0.38176224
35,0.24090312,0.22387960,0.13090873,0.10767982,0.37715929
36,0.23389600,0.22118584,0.12925267,0.10722308,0.37086401
37,0.23047953,0.21991050,0.12836255,0.10687753,0.36690823
38,0.22828167,0.21900566,0.12765078,0.10679780,0.36403035
39,0.22221742,0.21705410,0.12598353,0.10604291,0.35609676
40,0.21968016,0.21666756,0.12539360,0.10613624,0.35405045
41,0.21469236,0.21602364,0.12372813,0.10562356,0.34597163
42,0.21241369,0.21621843,0.12334338,0.10565903,0.34472235
43,0.20943168,0.21488643,0.12214685,0.10507373,0.34056642
44,0.20839455,0.21452728,0.12212564,0.10524431,0.34096654
45,0.20433655,0.21219289,0.12078781,0.10444698,0.33470500
46,0.20298260,0.21174369,0.12042153,0.10427666,0.33411416
47,0.19992958,0.21143056,0.11937602,0.10434158,0.32950527
48,0.19660126,0.21064252,0.11864702,0.10394683,0.32614918
49,0.19336616,0.20992633,0.11769374,0.10398367,0.32228047
50,0.19196488,0.20971813,0.11704489,0.10347840,0.32016511
51,0.18869205,0.20871887,0.11624430,0.10321867,0.31577814
52,0.18764782,0.20767480,0.11596704,0.10296714,0.31521554
53,0.18615140,0.20650879,0.11549277,0.10269607,0.31314118
54,0.18397496,0.20580279,0.11465064,0.10264108,0.31016795
55,0.18095276,0.20575934,0.11383969,0.10234291,0.30722977
56,0.18111221,0.20555685,0.11371064,0.10246865,0.30698803
57,0.17898965,0.20408872,0.11303804,0.10192511,0.30435901
58,0.17669585,0.20427844,0.11250933,0.10216100,0.30162909
59,0.17488908,0.20327833,0.11180420,0.10182522,0.29922201
60,0.17397292,0.20394982,0.11167968,0.10178943,0.29944699
61,0.17269516,0.20315309,0.11099740,0.10149766,0.29633292
62,0.17100823,0.20193228,0.11067414,0.10132492,0.29536928
63,0.17012199,0.20165686,0.11042991,0.10120576,0.29497021
64,0.16772223,0.19963742,0.10966773,0.10061304,0.29109709
65,0.16715814,0.19984185,0.10926052,0.10078246,0.29061561
66,0.16476141,0.19998880,0.10847975,0.10072893,0.28713493
67,0.16503132,0.19852621,0.10855846,0.10023808,0.28742400
68,0.16322041,0.20028030,0.10799680,0.10072344,0.28523945
69,0.16229468,0.19830651,0.10770923,0.10034072,0.28313283
70,0.16111852,0.19811346,0.10727102,0.10013492,0.28301982
71,0.16085777,0.19725692,0.10718285,0.10012325,0.28209985
72,0.15988243,0.19725699,0.10675461,0.09960523,0.28128905
73,0.15781538,0.19731711,0.10636280,0.09982784,0.27909383
74,0.15776676,0.19598438,0.10620669,0.09941461,0.28055329
75,0.15693888,0.19596872,0.10600884,0.09950515,0.27737363
76,0.15609603,0.19543964,0.10556568,0.09920354,0.27708749
77,0.15532497,0.19537983,0.10506821,0.09933599,0.27512660
78,0.15352346,0.19416059,0.10470706,0.09910328,0.27279920
79,0.15313268,0.19591665,0.10463827,0.09926413,0.27312674
80,0.15275975,0.19445728,0.10455189,0.09884300,0.27384216
81,0.15224501,0.19370500,0.10438772,0.09876770,0.27217087
82,0.15060956,0.19365727,0.10372126,0.09850110,0.26989018
83,0.15092681,0.19351111,0.10382780,0.09896548,0.27069665
84,0.14997318,0.19207309,0.10348265,0.09850865,0.26907406
85,0.14931989,0.19232762,0.10312634,0.09837579,0.26910483
86,0.14797238,0.19330184,0.10273933,0.09840038,0.26651483
87,0.14842167,0.19287022,0.10292668,0.09829257,0.26769815
88,0.14690142,0.19225025,0.10223604,0.09838897,0.26525108
89,0.14753041,0.19107438,0.10245670,0.09785193,0.26639095
90,0.14652916,0.19183900,0.10229052,0.09805252,0.26483310
91,0.14538471,0.19180769,0.10181137,0.09820044,0.26418845
92,0.14600732,0.19247245,0.10184948,0.09826001,0.26454025
93,0.14479630,0.19126730,0.10152308,0.09792957,0.26258561
94,0.14410897,0.19007807,0.10143152,0.09766432,0.26196286
95,0.14422981,0.19011700,0.10138094,0.09750973,0.26266603
96,0.14364410,0.18992917,0.10104659,0.09775231,0.26114621
97,0.14253368,0.18939958,0.10059645,0.09757927,0.25955630
98,0.14216118,0.18893798,0.10071205,0.09745922,0.25970326
99,0.14191236,0.18839850,0.10062241,0.09726597,0.25985712
100,0.14215378,0.19004496,0.10053369,0.09780265,0.25966674
101,0.14163434,0.18846009,0.10054663,0.09715141,0.25834692
102,0.14073459,0.18863910,0.10000306,0.09734511,0.25782719
103,0.14087206,0.18758780,0.10010228,0.09713969,0.25839556
104,0.13978190,0.18753093,0.09972178,0.09691759,0.25673422
105,0.13959485,0.18872291,0.09960300,0.09753127,0.25701770
106,0.13950637,0.18737342,0.09951257,0.09690761,0.25591907
107,0.13904381,0.18816626,0.09933086,0.09693270,0.25485447
108,0.13887969,0.18775291,0.09939921,0.09717981,0.25677781
109,0.13828865,0.18696145,0.09907196,0.09653036,0.25506462
110,0.13832580,0.18801306,0.09927205,0.09687590,0.25537684
111,0.13777383,0.18585797,0.09884039,0.09645953,0.25421795
112,0.13688835,0.18784704,0.09859063,0.09681813,0.25385483
113,0.13738208,0.18787591,0.09887070,0.09721120,0.25405009
114,0.13575354,0.18709193,0.09814668,0.09659836,0.25107604
115,0.13615494,0.18695168,0.09827980,0.09685319,0.25166348
116,0.13686221,0.18649764,0.09848567,0.09641177,0.25255138
117,0.13559139,0.18705337,0.09810138,0.09698923,0.25120027
118,0.13621522,0.18617479,0.09829245,0.09670833,0.25367849
119,0.13551621,0.18581333,0.09786781,0.09647484,0.24989387
120,0.13529790,0.18628854,0.09788791,0.09651361,0.25039983
121,0.13557828,0.18562330,0.09802688,0.09635171,0.25148386
122,0.13528606,0.18517636,0.09777208,0.09657676,0.24983267
123,0.13467863,0.18470256,0.09780687,0.09606974,0.25044169
124,0.13447361,0.18528634,0.09773402,0.09630092,0.25022135
125,0.13356935,0.18547964,0.09741121,0.09647660,0.24882428
126,0.13361477,0.18537240,0.09735988,0.09651232,0.24933161
127,0.13448118,0.18654286,0.09756757,0.09653865,0.24987994
128,0.13383984,0.18590744,0.09737815,0.09651658,0.24919453
129,0.13380037,0.18513177,0.09721350,0.09657779,0.24858010
130,0.13351494,0.18470507,0.09747316,0.09620037,0.24887700
131,0.13363739,0.18545969,0.09736180,0.09622485,0.24963449
132,0.13291253,0.18412635,0.09702801,0.09621428,0.24860317
133,0.13291717,0.18389378,0.09703831,0.09648427,0.24778969
134,0.13216257,0.18489054,0.09681165,0.09663717,0.24780009
135,0.13242980,0.18390882,0.09674934,0.09626308,0.24693212
136,0.13222566,0.18402277,0.09677349,0.09608696,0.24804813
137,0.13250478,0.18380716,0.09676648,0.09589364,0.24657005
138,0.13237207,0.18457641,0.09675151,0.09606990,0.24736606
139,0.13263831,0.18384197,0.09676274,0.09617539,0.24602788
140,0.13106180,0.18431836,0.09631392,0.09609966,0.24604268
141,0.13275371,0.18355612,0.09691186,0.09585143,0.24843992
142,0.13155138,0.18378680,0.09640229,0.09572038,0.24552532
143,0.13213233,0.18322251,0.09667064,0.09597739,0.24671643
144,0.13171902,0.18353753,0.09657560,0.09604765,0.24537152
145,0.13200828,0.18299821,0.09660524,0.09593765,0.24621648
146,0.13105598,0.18378066,0.09629377,0.09598437,0.24533286
147,0.13150912,0.18358016,0.09620412,0.09625694,0.24569975
148,0.13105039,0.18444401,0.09616398,0.09593986,0.24475177
149,0.13088317,0.18321016,0.09618372,0.09595360,0.24462402
150,0.13062233,0.18404378,0.09607240,0.09594051,0.24586480
151,0.13014475,0.18311878,0.09591929,0.09578958,0.24431443
152,0.13000949,0.18342963,0.09589268,0.09598464,0.24211122
153,0.13094322,0.18363888,0.09609976,0.09596393,0.24397142
154,0.12996553,0.18434034,0.09574704,0.09619352,0.24265694
155,0.12992748,0.18298520,0.09589901,0.09589707,0.24284592
156,0.12947199,0.18304566,0.09561533,0.09580119,0.24007967
157,0.12935867,0.18256451,0.09564041,0.09564649,0.24059685
158,0.12920488,0.18221766,0.09551504,0.09576267,0.23996810
159,0.12911424,0.18249309,0.09551679,0.09527292,0.24005940
160,0.12885241,0.18196225,0.09532712,0.09539452,0.23847112
161,0.12845490,0.18185886,0.09515065,0.09554458,0.23669576
162,0.12867810,0.18317920,0.09509676,0.09598299,0.23798172
163,0.12761453,0.18285946,0.09495201,0.09570199,0.23747438
164,0.12890700,0.18092359,0.09543363,0.09525133,0.23868796
165,0.12863073,0.18168567,0.09515271,0.09532697,0.23674233
166,0.12846358,0.18192667,0.09517120,0.09548979,0.23667490
167,0.12754496,0.18189890,0.09488670,0.09564163,0.23544343
168,0.12732898,0.18331905,0.09464304,0.09604846,0.23448598
169,0.12726871,0.18194492,0.09468253,0.09567950,0.23378247
170,0.12717816,0.18200808,0.09458073,0.09548461,0.23403702
171,0.12695658,0.18155972,0.09468863,0.09524593,0.23393943
172,0.12690930,0.18208706,0.09460363,0.09552778,0.23362769
173,0.12766729,0.18127678,0.09483190,0.09536480,0.23396420
174,0.12656761,0.18183698,0.09449065,0.09531048,0.23307929
175,0.12659278,0.18083700,0.09439416,0.09523336,0.23300149
176,0.12645521,0.18145926,0.09451540,0.09549196,0.23234253
177,0.12668213,0.18148186,0.09454590,0.09541983,0.23258352
178,0.12650351,0.18087884,0.09451128,0.09504472,0.23131011
179,0.12588102,0.18082525,0.09419983,0.09505032,0.23061499
180,0.12562177,0.18081986,0.09406480,0.09491857,0.23028837
181,0.12500199,0.18167275,0.09396778,0.09506861,0.22878338
182,0.12529777,0.18025349,0.09410204,0.09479758,0.22957483
183,0.12573780,0.18131866,0.09412028,0.09494392,0.22936475
184,0.12479956,0.18019053,0.09372660,0.09492049,0.22886541
185,0.12525519,0.18161312,0.09387216,0.09521346,0.22878961
186,0.12481329,0.18042181,0.09387472,0.09502843,0.22815164
187,0.12440106,0.18088322,0.09362029,0.09483176,0.22662468
188,0.12480161,0.18064805,0.09359452,0.09475440,0.22751093
189,0.12367082,0.18011392,0.09325248,0.09480702,0.22601896
190,0.12384365,0.17996878,0.09332179,0.09470860,0.22629044
191,0.12444048,0.18040458,0.09373303,0.09490456,0.22660828
192,0.12373617,0.18052367,0.09345761,0.09506243,0.22569477
193,0.12382957,0.18024917,0.09334608,0.09456427,0.22628435
194,0.12427959,0.18001352,0.09349276,0.09456350,0.22581694
195,0.12325848,0.18040790,0.09320941,0.09484259,0.22532107
196,0.12445797,0.18036104,0.09364365,0.09486582,0.22659123
197,0.12323548,0.18036307,0.09322661,0.09465190,0.22479240
198,0.12322750,0.18008877,0.09314203,0.09478819,0.22436187
199,0.12332388,0.18067473,0.09321156,0.09450839,0.22474679
200,0.12353134,0.18074908,0.09334139,0.09475766,0.22417560
201,0.12346293,0.17967158,0.09331137,0.09478763,0.22485939
202,0.12190220,0.17924307,0.09259286,0.09411761,0.22223336
203,0.12272742,0.17931005,0.09292083,0.09444974,0.22364541
204,0.12260859,0.17977532,0.09297781,0.09493432,0.22345614
205,0.12267953,0.18017127,0.09310867,0.09492369,0.22285659
206,0.12249567,0.17970716,0.09291323,0.09434755,0.22238044
207,0.12249201,0.17894365,0.09290496,0.09410592,0.22215344
208,0.12174058,0.17892410,0.09283600,0.09378137,0.22198782
209,0.12200334,0.17980393,0.09266372,0.09441468,0.22182589
210,0.12168965,0.17930977,0.09255971,0.09447202,0.22109497
211,0.12220127,0.18003760,0.09273628,0.09457636,0.22115823
212,0.12186786,0.18044958,0.09295552,0.09478940,0.22184695
213,0.12176142,0.17991253,0.09253789,0.09466503,0.22028409
214,0.12200470,0.17969975,0.09269846,0.09445050,0.22061062
215,0.12137311,0.18022039,0.09235566,0.09446478,0.22006302
216,0.12084466,0.17893969,0.09220032,0.09397544,0.21861710
217,0.12115088,0.17934726,0.09237615,0.09392519,0.21973943
218,0.12080828,0.17951197,0.09231065,0.09405384,0.21959548
219,0.12131818,0.17962073,0.09246723,0.09428507,0.22006772
220,0.12143446,0.17914322,0.09234064,0.09434556,0.21914956
221,0.11960551,0.17936434,0.09193876,0.09410802,0.21829770
222,0.12048080,0.17874320,0.09219335,0.09387721,0.21826897
223,0.12076111,0.17869531,0.09215901,0.09400318,0.21846679
224,0.12000264,0.17823594,0.09200327,0.09368615,0.21780849
225,0.12045589,0.17803585,0.09215605,0.09377809,0.21805769
226,0.12038788,0.17822694,0.09205038,0.09409258,0.21778825
227,0.11989972,0.17792294,0.09177063,0.09392100,0.21748052
228,0.11982551,0.17914173,0.09200310,0.09379147,0.21672791
229,0.11944321,0.17807086,0.09169084,0.09392109,0.21655448
230,0.11955354,0.17810967,0.09188081,0.09382053,0.21711113
231,0.11997192,0.17808898,0.09183885,0.09361968,0.21668630
232,0.11991762,0.17859045,0.09196663,0.09380211,0.21738418
233,0.11966376,0.17755710,0.09168805,0.09355234,0.21585784
234,0.11919204,0.17704750,0.09172302,0.09346271,0.21652025
235,0.11947494,0.17759112,0.09177370,0.09338330,0.21624777
236,0.11966453,0.17795734,0.09161645,0.09358854,0.21566688
237,0.11946439,0.17841181,0.09164799,0.09380713,0.21584946
238,0.11885086,0.17878053,0.09140850,0.09372729,0.21506142
239,0.11854773,0.17809049,0.09156376,0.09374870,0.21508070
240,0.11829862,0.17829009,0.09134425,0.09397565,0.21417925
241,0.11895360,0.17772512,0.09149692,0.09362570,0.21516109
242,0.11891094,0.17699214,0.09139600,0.09347089,0.21520347
243,0.11895127,0.17655255,0.09154089,0.09365505,0.21542691
244,0.11852290,0.17719895,0.09149603,0.09314304,0.21497817
245,0.11788566,0.17672561,0.09109136,0.09328921,0.21369296
246,0.11803355,0.17746887,0.09124233,0.09367677,0.21468075
247,0.11862865,0.17732905,0.09129937,0.09353157,0.21416973
248,0.11813611,0.17780703,0.09128325,0.09363387,0.21383421
249,0.11875556,0.17783426,0.09147656,0.09343335,0.21425240
250,0.11818259,0.17712642,0.09127810,0.09356341,0.21435957
251,0.11796797,0.17731452,0.09106480,0.09353493,0.21274091
252,0.11799334,0.17680350,0.09106560,0.09310443,0.21295048
253,0.11738228,0.17667905,0.09091107,0.09307217,0.21242096
254,0.11732136,0.17666729,0.09088574,0.09320786,0.21214445
255,0.11770484,0.17741326,0.09104032,0.09327934,0.21257429
256,0.11785984,0.17807520,0.09114921,0.09354974,0.21279590
257,0.11772308,0.17718404,0.09112233,0.09347462,0.21247729
258,0.11737002,0.17643964,0.09084513,0.09278873,0.21139725
259,0.11740151,0.17647451,0.09097536,0.09311828,0.21296084
260,0.11680075,0.17640299,0.09080303,0.09303902,0.21131656
261,0.11680162,0.17602547,0.09074049,0.09277099,0.21107790
262,0.11715763,0.17846545,0.09078285,0.09346118,0.21172915
263,0.11675680,0.17667081,0.09059183,0.09313703,0.21070769
264,0.11670229,0.17631247,0.09070568,0.09273591,0.21128570
265,0.11688257,0.17727647,0.09075656,0.09333097,0.21142203
266,0.11695662,0.17718621,0.09069459,0.09312910,0.21091118
267,0.11744858,0.17676712,0.09098566,0.09291627,0.21135491
