epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.59758789,1.03414531,0.35050253,0.24770591,1.95411508
2,1.16881661,0.66500598,0.29448973,0.19671879,1.42796308
3,0.90446779,0.49374757,0.25731587,0.16816666,1.10811131
4,0.73509712,0.41071115,0.23185821,0.15190318,0.90597496
5,0.62957354,0.36323687,0.21394941,0.14211296,0.77541889
6,0.55734880,0.33689616,0.20088312,0.13558019,0.68532767
7,0.50950645,0.31410780,0.19199600,0.13013874,0.62680747
8,0.46629638,0.29831289,0.18388964,0.12690292,0.57531338
9,0.43482915,0.28522860,0.17705590,0.12355074,0.53479766
10,0.40635088,0.27448081,0.17097581,0.12102682,0.49962731
11,0.38201905,0.26753935,0.16602874,0.11917702,0.47108558
12,0.36195700,0.26019328,0.16112711,0.11743130,0.44564732
13,0.34477952,0.25537240,0.15742988,0.11608292,0.42523179
14,0.32981737,0.24965934,0.15376383,0.11480942,0.40595162
15,0.31457032,0.24650073,0.15026283,0.11363914,0.38843224
16,0.30085215,0.24134923,0.14661698,0.11264736,0.37126125
17,0.28952292,0.23620664,0.14424939,0.11112645,0.35846558
18,0.27779036,0.23544274,0.14108157,0.11103545,0.34333140
19,0.26841063,0.23255362,0.13907026,0.10982714,0.33323460
20,0.25867869,0.22976974,0.13653370,0.10922610,0.32164128
21,0.25088708,0.22732204,0.13422472,0.10863051,0.31170903
22,0.24468500,0.22562708,0.13244607,0.10806818,0.30429036
23,0.23819913,0.22197407,0.13085096,0.10713122,0.29682827
24,0.23184950,0.22114484,0.12889286,0.10691604,0.28879497
25,0.22708411,0.21891238,0.12760401,0.10627849,0.28310670
26,0.21979511,0.21771812,0.12585573,0.10590624,0.27497961
27,0.21378740,0.21757258,0.12409389,0.10588918,0.26757028
28,0.20958761,0.21569232,0.12290305,0.10524000,0.26262993
29,0.20373635,0.21498657,0.12128870,0.10490474,0.25592006
30,0.20021695,0.21377743,0.12007472,0.10446870,0.25143321
31,0.19596311,0.21199008,0.11889133,0.10425824,0.24664143
32,0.19318142,0.21055003,0.11807763,0.10366599,0.24332538
33,0.18868193,0.21032351,0.11666725,0.10374096,0.23807356
34,0.18516826,0.20896337,0.11563242,0.10327262,0.23394464
35,0.18249715,0.20858567,0.11468609,0.10303464,0.23043672
36,0.17871279,0.20801760,0.11343189,0.10300932,0.22605172
37,0.17598149,0.20489951,0.11273794,0.10224148,0.22321220
38,0.17365065,0.20477619,0.11183447,0.10223142,0.22007273
39,0.17055474,0.20412863,0.11112632,0.10203619,0.21699595
40,0.16812705,0.20409359,0.11027203,0.10180776,0.21400658
41,0.16489568,0.20363857,0.10919180,0.10197358,0.21017306
42,0.16222886,0.20238251,0.10821905,0.10125668,0.20665591
43,0.16048257,0.20065558,0.10761370,0.10101800,0.20465661
44,0.15856621,0.20011909,0.10716919,0.10089294,0.20314550
45,0.15647069,0.19960599,0.10641163,0.10049501,0.20029378
46,0.15482412,0.19956496,0.10572106,0.10043421,0.19813773
47,0.15277045,0.19852066,0.10510740,0.10020917,0.19608292
48,0.14966154,0.19771625,0.10411609,0.09997974,0.19246301
49,0.14866406,0.19708284,0.10373385,0.09960444,0.19136193
50,0.14630370,0.19559935,0.10277489,0.09952074,0.18807699
51,0.14476124,0.19572294,0.10236292,0.09943661,0.18682842
52,0.14328209,0.19488557,0.10184419,0.09908620,0.18514088
53,0.14150659,0.19524131,0.10120424,0.09912996,0.18279649
54,0.13976369,0.19498816,0.10058753,0.09928536,0.18112924
55,0.13901974,0.19461029,0.10032270,0.09888850,0.18000171
56,0.13772934,0.19410627,0.09988767,0.09884302,0.17878425
57,0.13518957,0.19325140,0.09901284,0.09853566,0.17593508
58,0.13480746,0.19259856,0.09879092,0.09835461,0.17532306
59,0.13258131,0.19206958,0.09789783,0.09818113,0.17258541
60,0.13216149,0.19174651,0.09779702,0.09812554,0.17223915
61,0.13067615,0.19186537,0.09716804,0.09812279,0.17041488
62,0.12929512,0.19134600,0.09674593,0.09813372,0.16897937
63,0.12820131,0.19053916,0.09622338,0.09779344,0.16750253
64,0.12680811,0.19006460,0.09585933,0.09780226,0.16641032
65,0.12653284,0.19017449,0.09555637,0.09768435,0.16578674
66,0.12440505,0.18990168,0.09486802,0.09760281,0.16351467
67,0.12471824,0.18933743,0.09515943,0.09720479,0.16431146
68,0.12257131,0.18922087,0.09422208,0.09729091,0.16168264
69,0.12250667,0.18855840,0.09419101,0.09721247,0.16163177
70,0.12088399,0.18735037,0.09360614,0.09679808,0.15982498
71,0.11987379,0.18843178,0.09320113,0.09698494,0.15878839
72,0.11856991,0.18879660,0.09257465,0.09696149,0.15705103
73,0.11763434,0.18762604,0.09223371,0.09656752,0.15584113
74,0.11714701,0.18693731,0.09226041,0.09685713,0.15586195
75,0.11632677,0.18639463,0.09168477,0.09675369,0.15444226
76,0.11522626,0.18642766,0.09143004,0.09639638,0.15360392
77,0.11429169,0.18547559,0.09097998,0.09621448,0.15233941
78,0.11322804,0.18679241,0.09056577,0.09658314,0.15123518
79,0.11240046,0.18471549,0.09018533,0.09590409,0.15043638
80,0.11148016,0.18719445,0.08993510,0.09668341,0.14944932
81,0.11091928,0.18602434,0.08982346,0.09636397,0.14909785
82,0.11068712,0.18571018,0.08947598,0.09623345,0.14869713
83,0.10977743,0.18607921,0.08928380,0.09601065,0.14782873
84,0.10862673,0.18412617,0.08880776,0.09575216,0.14654156
85,0.10806303,0.18524043,0.08852534,0.09614053,0.14602656
86,0.10738863,0.18420263,0.08823166,0.09553199,0.14525887
87,0.10609075,0.18354663,0.08781634,0.09539550,0.14407952
88,0.10594281,0.18299097,0.08750537,0.09548410,0.14339599
89,0.10507812,0.18350698,0.08734858,0.09552782,0.14288815
90,0.10424445,0.18358534,0.08699020,0.09566315,0.14192042
91,0.10349519,0.18287464,0.08682464,0.09515298,0.14139029
92,0.10234382,0.18278261,0.08631284,0.09503499,0.14010022
93,0.10285694,0.18237013,0.08625869,0.09496433,0.14035048
94,0.10159525,0.18222607,0.08604577,0.09524410,0.13940344
95,0.10052590,0.18310902,0.08552163,0.09518416,0.13816224
96,0.10024675,0.18240562,0.08530902,0.09483247,0.13790406
97,0.09949714,0.18219002,0.08493297,0.09493937,0.13680886
98,0.09897404,0.18137043,0.08485706,0.09453867,0.13665218
99,0.09928056,0.18285781,0.08507965,0.09479697,0.13733328
100,0.09745651,0.18240289,0.08424505,0.09482119,0.13498478
101,0.09728757,0.18170834,0.08408491,0.09477121,0.13480428
102,0.09621598,0.18195030,0.08359348,0.09501962,0.13366209
103,0.09602282,0.18139490,0.08359592,0.09442550,0.13360762
104,0.09499251,0.18188071,0.08314285,0.09439055,0.13264634
105,0.09495645,0.18103870,0.08326804,0.09424918,0.13261702
106,0.09410574,0.18236692,0.08291975,0.09475534,0.13205319
