epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.14939353,0.19428661,0.10081066,0.09844071,0.18142866
2,0.14509018,0.19152542,0.09907264,0.09720621,0.17605407
3,0.14053368,0.18823109,0.09703015,0.09570008,0.16995581
4,0.13569672,0.18513236,0.09492389,0.09449375,0.16348809
5,0.13104791,0.18208329,0.09309069,0.09356083,0.15748520
6,0.12661599,0.17925107,0.09148776,0.09298653,0.15201141
7,0.12241467,0.17702813,0.09008532,0.09262437,0.14705248
8,0.11867182,0.17538301,0.08889668,0.09244086,0.14275805
9,0.11529196,0.17392140,0.08771635,0.09244611,0.13875149
10,0.11255614,0.17316695,0.08678644,0.09246098,0.13557180
11,0.11006664,0.17203587,0.08593698,0.09237804,0.13263317
12,0.10797148,0.17172357,0.08513935,0.09240172,0.13007363
13,0.10591475,0.17083688,0.08443684,0.09231747,0.12772716
14,0.10407296,0.16999702,0.08370851,0.09222912,0.12548070
15,0.10230066,0.16939035,0.08309630,0.09211705,0.12341989
16,0.10083300,0.16873545,0.08245648,0.09191301,0.12153697
17,0.09938501,0.16799045,0.08194282,0.09179775,0.11987470
18,0.09788758,0.16753554,0.08139839,0.09164463,0.11815087
19,0.09659457,0.16695774,0.08086960,0.09160801,0.11658719
20,0.09527445,0.16702881,0.08030232,0.09148672,0.11496059
21,0.09406198,0.16633466,0.07982798,0.09123649,0.11352299
22,0.09291752,0.16626461,0.07940424,0.09132539,0.11222401
23,0.09210228,0.16651207,0.07905976,0.09108915,0.11124209
24,0.09094297,0.16578030,0.07856389,0.09097491,0.10983866
25,0.08992570,0.16599051,0.07817027,0.09096049,0.10863251
26,0.08874114,0.16603063,0.07763192,0.09089061,0.10717907
27,0.08785227,0.16592203,0.07728862,0.09078417,0.10611449
28,0.08696033,0.16581793,0.07686790,0.09071415,0.10496845
29,0.08633985,0.16593124,0.07664010,0.09064105,0.10429697
30,0.08540539,0.16647063,0.07618754,0.09051520,0.10310248
31,0.08471293,0.16583287,0.07589615,0.09041597,0.10226087
32,0.08380344,0.16631165,0.07546719,0.09049712,0.10111015
33,0.08303196,0.16621110,0.07513412,0.09039511,0.10018116
34,0.08235918,0.16620982,0.07487287,0.09040591,0.09942875
35,0.08161729,0.16618666,0.07449921,0.09013971,0.09846316
36,0.08097244,0.16663801,0.07422258,0.09025646,0.09767454
37,0.08016309,0.16599441,0.07385918,0.09001612,0.09669526
38,0.07951613,0.16676862,0.07351770,0.09010676,0.09583525
39,0.07897853,0.16638478,0.07329682,0.09003569,0.09525884
40,0.07825759,0.16638428,0.07299312,0.08988534,0.09440549
41,0.07763218,0.16631917,0.07262797,0.08974965,0.09346338
42,0.07709857,0.16608973,0.07242686,0.08973819,0.09293400
43,0.07647024,0.16643256,0.07208887,0.08979207,0.09211158
44,0.07599466,0.16681797,0.07186865,0.08975369,0.09150239
45,0.07527307,0.16640443,0.07156319,0.08965713,0.09069556
46,0.07501118,0.16665859,0.07143100,0.08979648,0.09036061
47,0.07425588,0.16670427,0.07101534,0.08992678,0.08931178
48,0.07368495,0.16657926,0.07078564,0.08976992,0.08871992
49,0.07317346,0.16614592,0.07047335,0.08962881,0.08800582
50,0.07278983,0.16594013,0.07032637,0.08947496,0.08755493
51,0.07229916,0.16635977,0.06999302,0.08959653,0.08684228
52,0.07172887,0.16617912,0.06972234,0.08942485,0.08618508
53,0.07132065,0.16547324,0.06956349,0.08929476,0.08571202
54,0.07097638,0.16582074,0.06930454,0.08926639,0.08516488
55,0.07021139,0.16558398,0.06890045,0.08935684,0.08416597
56,0.07010306,0.16513579,0.06880637,0.08910354,0.08402689
57,0.06958105,0.16577619,0.06852629,0.08919561,0.08332748
58,0.06919103,0.16523245,0.06837760,0.08919354,0.08289671
59,0.06859954,0.16498024,0.06802837,0.08918559,0.08214187
60,0.06836598,0.16555333,0.06789232,0.08922064,0.08183156
61,0.06789181,0.16580745,0.06762932,0.08901004,0.08122242
62,0.06741751,0.16588444,0.06731715,0.08901584,0.08051966
63,0.06712679,0.16575459,0.06711153,0.08893328,0.08011893
64,0.06653537,0.16554239,0.06679285,0.08892231,0.07934028
65,0.06622209,0.16449109,0.06664303,0.08866720,0.07896821
66,0.06586975,0.16472427,0.06643266,0.08876669,0.07850569
67,0.06571984,0.16375985,0.06627234,0.08831460,0.07825217
68,0.06507297,0.16471512,0.06591975,0.08878651,0.07741127
69,0.06471394,0.16388865,0.06573952,0.08842952,0.07697696
70,0.06437888,0.16459768,0.06545321,0.08849219,0.07646955
71,0.06391350,0.16313782,0.06515590,0.08819850,0.07582167
72,0.06376681,0.16323032,0.06506592,0.08817773,0.07561700
73,0.06333911,0.16279789,0.06483501,0.08814854,0.07513337
74,0.06292821,0.16427138,0.06461749,0.08843396,0.07460522
75,0.06251618,0.16339376,0.06432791,0.08825061,0.07401835
76,0.06229165,0.16245670,0.06415557,0.08808019,0.07369354
77,0.06217783,0.16250856,0.06410122,0.08802556,0.07355544
78,0.06164159,0.16341875,0.06372670,0.08815773,0.07279044
79,0.06121410,0.16252700,0.06346454,0.08788523,0.07227196
80,0.06089070,0.16243104,0.06326234,0.08784662,0.07183712
81,0.06051715,0.16299144,0.06302770,0.08781468,0.07136172
82,0.06044038,0.16129351,0.06293058,0.08753509,0.07119811
83,0.05994167,0.16302890,0.06260257,0.08779412,0.07054175
84,0.05990826,0.16147327,0.06253969,0.08738461,0.07042443
85,0.05954384,0.16165615,0.06238808,0.08746373,0.07004340
86,0.05900743,0.16150877,0.06200561,0.08757267,0.06929638
87,0.05890238,0.16130930,0.06188294,0.08727274,0.06910906
88,0.05873090,0.16035481,0.06184369,0.08740759,0.06897274
89,0.05845667,0.16111831,0.06164912,0.08723812,0.06858150
90,0.05807730,0.16071808,0.06151373,0.08700941,0.06820371
91,0.05781499,0.16002180,0.06131276,0.08698913,0.06787582
