epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.15131366,0.19626764,0.10129848,0.09928873,0.18322678
2,0.15012538,0.19549380,0.10087976,0.09896815,0.18190207
3,0.14898342,0.19475701,0.10040848,0.09867164,0.18047437
4,0.14784737,0.19402025,0.09992893,0.09837632,0.17904650
5,0.14679656,0.19325355,0.09950788,0.09806338,0.17776705
6,0.14566621,0.19238857,0.09903150,0.09770228,0.17635826
7,0.14405411,0.19139681,0.09835792,0.09729801,0.17429125
8,0.14221628,0.19029915,0.09762013,0.09682296,0.17195839
9,0.14110747,0.18918708,0.09697778,0.09634535,0.17030194
10,0.13946137,0.18806886,0.09625405,0.09588519,0.16814964
11,0.13778168,0.18688215,0.09558900,0.09540660,0.16600874
12,0.13592502,0.18578505,0.09480754,0.09498556,0.16362346
13,0.13439851,0.18465581,0.09413228,0.09463895,0.16156925
14,0.13248423,0.18346253,0.09339008,0.09428088,0.15920838
15,0.13081826,0.18232152,0.09267308,0.09394167,0.15701008
16,0.12913248,0.18110357,0.09210014,0.09367842,0.15504002
17,0.12753213,0.17995454,0.09158254,0.09341685,0.15318622
18,0.12564556,0.17886370,0.09098374,0.09320404,0.15106948
19,0.12412287,0.17799121,0.09039302,0.09304620,0.14916322
20,0.12247196,0.17704166,0.08979120,0.09294734,0.14727052
21,0.12060917,0.17623596,0.08925808,0.09279997,0.14524192
22,0.11928895,0.17558509,0.08879001,0.09273778,0.14369002
23,0.11787649,0.17478324,0.08828224,0.09267326,0.14204389
24,0.11632228,0.17429533,0.08777779,0.09269802,0.14025542
25,0.11546403,0.17373653,0.08751079,0.09260092,0.13936792
26,0.11377387,0.17330276,0.08695053,0.09261656,0.13748545
27,0.11260589,0.17285586,0.08648286,0.09266712,0.13598011
28,0.11119420,0.17238615,0.08607102,0.09257186,0.13454219
29,0.11031079,0.17220307,0.08573333,0.09266098,0.13358167
30,0.10935207,0.17159216,0.08533942,0.09267745,0.13234911
31,0.10814707,0.17142772,0.08497312,0.09275293,0.13109866
32,0.10728256,0.17108310,0.08454876,0.09258314,0.12990595
33,0.10650451,0.17090689,0.08416410,0.09267244,0.12889460
34,0.10557530,0.17045247,0.08389485,0.09267542,0.12790168
35,0.10430497,0.17040208,0.08356269,0.09259790,0.12659141
36,0.10384931,0.16990489,0.08329495,0.09252838,0.12591525
37,0.10304169,0.16938283,0.08311331,0.09242588,0.12527305
38,0.10242081,0.16913909,0.08284651,0.09243908,0.12450147
39,0.10148937,0.16895114,0.08249552,0.09234437,0.12336966
40,0.10077036,0.16846837,0.08223874,0.09226476,0.12270442
41,0.10024338,0.16812191,0.08205733,0.09208826,0.12205927
42,0.09933380,0.16781596,0.08161582,0.09207467,0.12091305
43,0.09855152,0.16773640,0.08135920,0.09204700,0.12003246
44,0.09783330,0.16742935,0.08108056,0.09181346,0.11915305
45,0.09731549,0.16695691,0.08085268,0.09195034,0.11849497
46,0.09691718,0.16717852,0.08073572,0.09187992,0.11808506
47,0.09617552,0.16691995,0.08027115,0.09184237,0.11705015
48,0.09529982,0.16682068,0.08006925,0.09173346,0.11614959
49,0.09461839,0.16689794,0.07965863,0.09164775,0.11528015
50,0.09399943,0.16673782,0.07949492,0.09164831,0.11466140
51,0.09368638,0.16639347,0.07929872,0.09153371,0.11419800
52,0.09317982,0.16610917,0.07918657,0.09148233,0.11372577
53,0.09251560,0.16634315,0.07882799,0.09147475,0.11277268
54,0.09202577,0.16603012,0.07861376,0.09147681,0.11217298
55,0.09153459,0.16596097,0.07838995,0.09129537,0.11162938
56,0.09128751,0.16557133,0.07822741,0.09136804,0.11124822
57,0.09026585,0.16531235,0.07795802,0.09106313,0.11026835
58,0.09023545,0.16549823,0.07789224,0.09130953,0.11018325
59,0.08951714,0.16568384,0.07761278,0.09125425,0.10940896
60,0.08940176,0.16557430,0.07750052,0.09103772,0.10910938
61,0.08832101,0.16499400,0.07714414,0.09092005,0.10797507
62,0.08813455,0.16566475,0.07697255,0.09096660,0.10761962
63,0.08761141,0.16537041,0.07671736,0.09098944,0.10697180
64,0.08711881,0.16494624,0.07658454,0.09076861,0.10650857
65,0.08682120,0.16489820,0.07650786,0.09082520,0.10623933
66,0.08635135,0.16553506,0.07632172,0.09076535,0.10571668
67,0.08552096,0.16562384,0.07591697,0.09076206,0.10469069
68,0.08556145,0.16540163,0.07586948,0.09061127,0.10464232
69,0.08517772,0.16566303,0.07574688,0.09077764,0.10426152
70,0.08464895,0.16530557,0.07546928,0.09057137,0.10348842
71,0.08407579,0.16496970,0.07518801,0.09063073,0.10276162
72,0.08361760,0.16507394,0.07500118,0.09055546,0.10229980
73,0.08295571,0.16522480,0.07484003,0.09055010,0.10176267
74,0.08262518,0.16558110,0.07457169,0.09059157,0.10111477
75,0.08263822,0.16556273,0.07460785,0.09048926,0.10117109
76,0.08221088,0.16499272,0.07434122,0.09034791,0.10057722
77,0.08175192,0.16516207,0.07407814,0.09048796,0.10000434
78,0.08171317,0.16468276,0.07412829,0.09035859,0.09997841
79,0.08134648,0.16514615,0.07394470,0.09037603,0.09953468
80,0.08110987,0.16534938,0.07383558,0.09028757,0.09927997
81,0.08082570,0.16465591,0.07383193,0.09012409,0.09908082
82,0.07977067,0.16437408,0.07328685,0.09005365,0.09773063
83,0.07967992,0.16448026,0.07321855,0.09003273,0.09763655
84,0.07955832,0.16510399,0.07317873,0.09027482,0.09747724
85,0.07913566,0.16455434,0.07289372,0.08985798,0.09685931
