epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.66635615,0.29259306,0.74631061,0.12954073,1.00000000,0.00000000
2,0.40856057,0.25906273,0.58674840,0.12009092,1.00000000,0.00000000
3,0.34582918,0.24471278,0.54168572,0.11659280,1.00000000,0.00000000
4,0.31172697,0.23699809,0.51467855,0.11402614,1.00000000,0.00000000
5,0.28893024,0.22981937,0.49561691,0.11248340,1.00000000,0.00000000
6,0.26960841,0.22428984,0.47868071,0.11085160,1.00000000,0.00000000
7,0.25402397,0.22016733,0.46454014,0.10959405,1.00000000,0.00000000
8,0.24014900,0.21707175,0.45148321,0.10844696,1.00000000,0.00000000
9,0.22813919,0.21437289,0.44006478,0.10804439,1.00000000,0.00000000
10,0.21733965,0.21036970,0.42941821,0.10687667,1.00000000,0.00000000
11,0.20807031,0.20629911,0.42001844,0.10574365,1.00000000,0.00000000
12,0.19983707,0.20647761,0.41157678,0.10551243,1.00000000,0.00000000
13,0.19199620,0.20264809,0.40321453,0.10450057,1.00000000,0.00000000
14,0.18496747,0.19929544,0.39562896,0.10374167,1.00000000,0.00000000
15,0.17861985,0.19866778,0.38874434,0.10335134,1.00000000,0.00000000
16,0.17263567,0.19447092,0.38205078,0.10252459,1.00000000,0.00000000
17,0.16692794,0.19589261,0.37569450,0.10207639,1.00000000,0.00000000
18,0.16175931,0.19386201,0.36976379,0.10165125,1.00000000,0.00000000
19,0.15660261,0.19577569,0.36372792,0.10172567,1.00000000,0.00000000
20,0.15205768,0.18893904,0.35837071,0.10047768,1.00000000,0.00000000
21,0.14784201,0.18984205,0.35330318,0.10040898,1.00000000,0.00000000
22,0.14357571,0.18851561,0.34802108,0.09958443,1.00000000,0.00000000
23,0.13997276,0.18698324,0.34367403,0.09914298,1.00000000,0.00000000
24,0.13618414,0.18600435,0.33894071,0.09905812,1.00000000,0.00000000
25,0.13333508,0.18502010,0.33533295,0.09895885,1.00000000,0.00000000
26,0.13008690,0.18297219,0.33106995,0.09833926,1.00000000,0.00000000
27,0.12716601,0.18557604,0.32749100,0.09864257,1.00000000,0.00000000
28,0.12447893,0.18231626,0.32402733,0.09825541,1.00000000,0.00000000
29,0.12195179,0.18449330,0.32063857,0.09844317,1.00000000,0.00000000
30,0.11955502,0.18074377,0.31746605,0.09791993,1.00000000,0.00000000
31,0.11713885,0.17528222,0.31421517,0.09684806,1.00000000,0.00000000
32,0.11481041,0.17928519,0.31118806,0.09757493,1.00000000,0.00000000
33,0.11257306,0.17869285,0.30811385,0.09724815,1.00000000,0.00000000
34,0.11051931,0.17785187,0.30541350,0.09766241,1.00000000,0.00000000
35,0.10848937,0.17762005,0.30251283,0.09726678,1.00000000,0.00000000
36,0.10691460,0.17370590,0.30033688,0.09627757,1.00000000,0.00000000
37,0.10501140,0.17451339,0.29771321,0.09622890,1.00000000,0.00000000
38,0.10321498,0.17421401,0.29516851,0.09715255,1.00000000,0.00000000
39,0.10169632,0.17662973,0.29308918,0.09733979,1.00000000,0.00000000
40,0.10000315,0.17447014,0.29057463,0.09646078,1.00000000,0.00000000
41,0.09855883,0.17595397,0.28849741,0.09666982,1.00000000,0.00000000
42,0.09730843,0.17487117,0.28673150,0.09651026,1.00000000,0.00000000
43,0.09591736,0.17640998,0.28465494,0.09599806,1.00000000,0.00000000
44,0.09454352,0.17491264,0.28264187,0.09689888,1.00000000,0.00000000
45,0.09317422,0.17785419,0.28060896,0.09783331,1.00000000,0.00000000
46,0.09193450,0.17937763,0.27879560,0.09758357,1.00000000,0.00000000
47,0.09068512,0.17968392,0.27690195,0.09722575,1.00000000,0.00000000
48,0.08944742,0.17840347,0.27502182,0.09679703,1.00000000,0.00000000
49,0.08838557,0.17845737,0.27346883,0.09722258,1.00000000,0.00000000
50,0.08720451,0.18050077,0.27157332,0.09679094,1.00000000,0.00000000
51,0.08600925,0.17912868,0.26970018,0.09645821,1.00000000,0.00000000
52,0.08521854,0.18021947,0.26854843,0.09672866,1.00000000,0.00000000
53,0.08412849,0.17842505,0.26691471,0.09683666,1.00000000,0.00000000
54,0.08288813,0.17674349,0.26489142,0.09616891,1.00000000,0.00000000
55,0.08226155,0.17711684,0.26395807,0.09628604,1.00000000,0.00000000
56,0.08143158,0.17982878,0.26270772,0.09657046,1.00000000,0.00000000
57,0.08029495,0.17760444,0.26086701,0.09561396,1.00000000,0.00000000
58,0.07973750,0.18315365,0.25996546,0.09705977,1.00000000,0.00000000
59,0.07875275,0.17994292,0.25851409,0.09704378,1.00000000,0.00000000
60,0.07806630,0.18133045,0.25730711,0.09770006,1.00000000,0.00000000
61,0.07751173,0.17885785,0.25637964,0.09623936,1.00000000,0.00000000
62,0.07665242,0.17802691,0.25498593,0.09660379,1.00000000,0.00000000
63,0.07578390,0.18133072,0.25349208,0.09651500,1.00000000,0.00000000
64,0.07548337,0.18022036,0.25306607,0.09602234,1.00000000,0.00000000
65,0.07476500,0.18038780,0.25180389,0.09676514,1.00000000,0.00000000
66,0.07402856,0.18203751,0.25062367,0.09708999,1.00000000,0.00000000
67,0.07335486,0.18449887,0.24945014,0.09763234,1.00000000,0.00000000
68,0.07287886,0.17881404,0.24868985,0.09605049,1.00000000,0.00000000
69,0.07212952,0.18400687,0.24753426,0.09746164,1.00000000,0.00000000
70,0.07179244,0.18441409,0.24687379,0.09758918,1.00000000,0.00000000
71,0.07116538,0.18227494,0.24579351,0.09690713,1.00000000,0.00000000
72,0.07076124,0.17992258,0.24510401,0.09669483,1.00000000,0.00000000
73,0.07021634,0.18774641,0.24430131,0.09855996,1.00000000,0.00000000
74,0.06965199,0.18112843,0.24325135,0.09734916,1.00000000,0.00000000
75,0.06919371,0.18566588,0.24244885,0.09709365,1.00000000,0.00000000
76,0.06882022,0.18276141,0.24170573,0.09742478,1.00000000,0.00000000
77,0.06829634,0.18563860,0.24099594,0.09793491,1.00000000,0.00000000
78,0.06796344,0.18388090,0.24035308,0.09708779,1.00000000,0.00000000
79,0.06762504,0.18444663,0.23973757,0.09729567,1.00000000,0.00000000
80,0.06699596,0.18728013,0.23871156,0.09728004,1.00000000,0.00000000
81,0.06671765,0.18748976,0.23815804,0.09740102,1.00000000,0.00000000
82,0.06637091,0.18677739,0.23760096,0.09726512,1.00000000,0.00000000
83,0.06587934,0.18549322,0.23668318,0.09757567,1.00000000,0.00000000
84,0.06534230,0.18474999,0.23580505,0.09731185,1.00000000,0.00000000
85,0.06514823,0.18582244,0.23549265,0.09751376,1.00000000,0.00000000
86,0.06469207,0.18650224,0.23454182,0.09797181,1.00000000,0.00000000
87,0.06438852,0.18820517,0.23407458,0.09781660,1.00000000,0.00000000
88,0.06418964,0.18636874,0.23373003,0.09776513,1.00000000,0.00000000
89,0.06372856,0.18845100,0.23288432,0.09827602,1.00000000,0.00000000
90,0.06351752,0.18594796,0.23257600,0.09773412,1.00000000,0.00000000
91,0.06311212,0.18548590,0.23182633,0.09690292,1.00000000,0.00000000
92,0.06271880,0.18960984,0.23112341,0.09842636,1.00000000,0.00000000
93,0.06247109,0.18808160,0.23067592,0.09936485,1.00000000,0.00000000
94,0.06207399,0.18977116,0.22986875,0.09888126,1.00000000,0.00000000
95,0.06173090,0.18638956,0.22930305,0.09770769,1.00000000,0.00000000
96,0.06159726,0.18978963,0.22901822,0.09841494,1.00000000,0.00000000
97,0.06127938,0.18976571,0.22842543,0.09817443,1.00000000,0.00000000
98,0.06089921,0.19291268,0.22774410,0.09894457,1.00000000,0.00000000
99,0.06067965,0.18880822,0.22737752,0.09852834,1.00000000,0.00000000
100,0.06051183,0.18800296,0.22700955,0.09772150,1.00000000,0.00000000
101,0.06030232,0.19082908,0.22663568,0.09859389,1.00000000,0.00000000
102,0.05987199,0.19215954,0.22582531,0.09908902,1.00000000,0.00000000
103,0.05981990,0.18884605,0.22570579,0.09842401,1.00000000,0.00000000
104,0.05932566,0.19252363,0.22492687,0.09891389,1.00000000,0.00000000
105,0.05914471,0.19046705,0.22456916,0.09859133,1.00000000,0.00000000
106,0.05914236,0.18946260,0.22451285,0.09813478,1.00000000,0.00000000
107,0.05866616,0.19128144,0.22368773,0.09833127,1.00000000,0.00000000
108,0.05852761,0.19413112,0.22333832,0.10002025,1.00000000,0.00000000
109,0.05816339,0.19324633,0.22265846,0.09936212,1.00000000,0.00000000
110,0.05810342,0.19327681,0.22258203,0.09952208,1.00000000,0.00000000
111,0.05788590,0.19392945,0.22224747,0.09915457,1.00000000,0.00000000
112,0.05778343,0.19625910,0.22194387,0.09934309,1.00000000,0.00000000
113,0.05738320,0.19709760,0.22127474,0.10018258,1.00000000,0.00000000
114,0.05730689,0.19150723,0.22113309,0.09862123,1.00000000,0.00000000
115,0.05703037,0.19523145,0.22061500,0.10014383,1.00000000,0.00000000
116,0.05685798,0.19601913,0.22020211,0.09962726,1.00000000,0.00000000
117,0.05664596,0.19590813,0.21983055,0.10015085,1.00000000,0.00000000
118,0.05648095,0.19654631,0.21958457,0.10040758,1.00000000,0.00000000
119,0.05632087,0.19549562,0.21919637,0.09992563,1.00000000,0.00000000
120,0.05620234,0.19700507,0.21906037,0.09960996,1.00000000,0.00000000
121,0.05586417,0.19688939,0.21826965,0.09997446,1.00000000,0.00000000
122,0.05591416,0.19457290,0.21845738,0.09933322,1.00000000,0.00000000
123,0.05557172,0.19378748,0.21790845,0.09947702,1.00000000,0.00000000
124,0.05546558,0.19864910,0.21764552,0.10013271,1.00000000,0.00000000
125,0.05521901,0.19435592,0.21710783,0.10007721,1.00000000,0.00000000
126,0.05507666,0.19529624,0.21689823,0.09972709,1.00000000,0.00000000
127,0.05506398,0.19441157,0.21679302,0.09957772,1.00000000,0.00000000
128,0.05483727,0.19872905,0.21639156,0.10004153,1.00000000,0.00000000
129,0.05468736,0.19418540,0.21616498,0.09962038,1.00000000,0.00000000
130,0.05448241,0.19316712,0.21575239,0.09948039,1.00000000,0.00000000
131,0.05428656,0.19656785,0.21526994,0.10041586,1.00000000,0.00000000
