epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.98312505,0.29319395,0.89890468,0.13022160,1.00000000,0.00000000
2,0.24041070,0.20267982,0.45234782,0.10418651,0.97600000,0.02400000
3,0.18975482,0.19089101,0.40102895,0.10021174,0.95200000,0.04800000
4,0.16940480,0.18345313,0.37789815,0.09689250,0.92800000,0.07200000
5,0.15731425,0.17599189,0.36325797,0.09484766,0.90400000,0.09600000
6,0.14920991,0.17339483,0.35312260,0.09397413,0.88000000,0.12000000
7,0.14404570,0.16933151,0.34664327,0.09263320,0.85600000,0.14400000
8,0.14055763,0.16554740,0.34250197,0.09211959,0.83200000,0.16800000
9,0.13997308,0.16540877,0.34224779,0.09127358,0.80800000,0.19200000
10,0.14334296,0.16084262,0.34780293,0.09078110,0.78400000,0.21600000
11,0.16162831,0.18353529,0.37628683,0.09754075,0.76000000,0.24000000
12,0.24760069,0.21988136,0.47364940,0.10862447,0.73600000,0.26400000
13,0.27960933,0.22079896,0.48530268,0.10872432,0.71200000,0.28800000
14,0.28027910,0.22095774,0.48591599,0.10859229,0.68800000,0.31200000
15,0.28051932,0.22197402,0.48638765,0.10886557,0.66400000,0.33600000
16,0.28076231,0.22230056,0.48680865,0.10884617,0.64000000,0.36000000
17,0.28092625,0.22263613,0.48722044,0.10897555,0.61600000,0.38400000
18,0.28123687,0.22266911,0.48760251,0.10888381,0.59200000,0.40800000
19,0.28149256,0.22339672,0.48800431,0.10908945,0.56800000,0.43200000
20,0.28139122,0.22422163,0.48835567,0.10922931,0.54400000,0.45600000
21,0.28144397,0.22442462,0.48865011,0.10929760,0.52000000,0.48000000
22,0.28170486,0.22473736,0.48894343,0.10931594,0.49600000,0.50400000
23,0.28165485,0.22499035,0.48921805,0.10938696,0.47200000,0.52800000
24,0.28183127,0.22561933,0.48948332,0.10947376,0.44800000,0.55200000
25,0.28160842,0.22591677,0.48972741,0.10949644,0.42400000,0.57600000
26,0.28163088,0.22611569,0.48997127,0.10961955,0.40000000,0.60000000
27,0.28177222,0.22672840,0.49015209,0.10971449,0.40000000,0.60000000
28,0.28187611,0.22709989,0.49034573,0.10984822,0.40000000,0.60000000
29,0.28215303,0.22708387,0.49054351,0.10985027,0.40000000,0.60000000
30,0.28239834,0.22747658,0.49068439,0.10991731,0.40000000,0.60000000
31,0.28226990,0.22799340,0.49081345,0.11000764,0.40000000,0.60000000
32,0.28273727,0.22770937,0.49097402,0.10991008,0.40000000,0.60000000
33,0.28287216,0.22823853,0.49108322,0.11005523,0.40000000,0.60000000
34,0.28297505,0.22824325,0.49120275,0.11003941,0.40000000,0.60000000
35,0.28267309,0.22850807,0.49130096,0.11008765,0.40000000,0.60000000
36,0.28320210,0.22845177,0.49141225,0.11003843,0.40000000,0.60000000
37,0.28331519,0.22857957,0.49150061,0.11006478,0.40000000,0.60000000
38,0.28318287,0.22887075,0.49157932,0.11016165,0.40000000,0.60000000
39,0.28373746,0.22877103,0.49167104,0.11013839,0.40000000,0.60000000
40,0.28317376,0.22919013,0.49173432,0.11020404,0.40000000,0.60000000
