epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.14403137,0.13059211,0.37849396,0.08415234
2,0.13933168,0.13025669,0.37187813,0.08404848
3,0.13739539,0.12969073,0.36913933,0.08381453
4,0.13592023,0.13010214,0.36704993,0.08409759
5,0.13451308,0.13061848,0.36503817,0.08428582
6,0.13320221,0.13043961,0.36315121,0.08403144
7,0.13216143,0.13191503,0.36165365,0.08434967
8,0.13125945,0.13210651,0.36034007,0.08450448
9,0.13029737,0.13146039,0.35894136,0.08435430
10,0.12123562,0.11505772,0.34525500,0.07952424
11,0.11636264,0.11101216,0.33760559,0.07850483
12,0.11395662,0.10853806,0.33378295,0.07802763
13,0.11231428,0.10718493,0.33114069,0.07764479
14,0.11117918,0.10635401,0.32929841,0.07757835
15,0.11017674,0.10583549,0.32769023,0.07751072
16,0.10918731,0.10538497,0.32607953,0.07734609
17,0.10843532,0.10522888,0.32483892,0.07729595
18,0.10772321,0.10446185,0.32366538,0.07702302
19,0.10716884,0.10472449,0.32275337,0.07725223
20,0.10658647,0.10427964,0.32178960,0.07704823
21,0.10598879,0.10347523,0.32079541,0.07673115
22,0.10563049,0.10298399,0.32018286,0.07683163
23,0.10512937,0.10281040,0.31936655,0.07652781
24,0.10464373,0.10339510,0.31854078,0.07677008
25,0.10433584,0.10305250,0.31801672,0.07653913
26,0.10393544,0.10310455,0.31732516,0.07652846
27,0.10372472,0.10297030,0.31698024,0.07664002
28,0.10330247,0.10290601,0.31626652,0.07644488
29,0.10301503,0.10267273,0.31578002,0.07643619
30,0.10272726,0.10220943,0.31529539,0.07622723
31,0.10246173,0.10283301,0.31482455,0.07637879
32,0.10217471,0.10199400,0.31434609,0.07623188
33,0.10198368,0.10231172,0.31401412,0.07624786
34,0.10172520,0.10209302,0.31358716,0.07621009
35,0.10131773,0.10330623,0.31290144,0.07631716
36,0.10109513,0.10253852,0.31251838,0.07618433
37,0.10088587,0.10281866,0.31214821,0.07639360
38,0.10064958,0.10215216,0.31174867,0.07618856
39,0.10030766,0.10247276,0.31115642,0.07621665
40,0.10022097,0.10255425,0.31101849,0.07631655
41,0.09985856,0.10281606,0.31038705,0.07636252
42,0.09972199,0.10250587,0.31016477,0.07622137
43,0.09950755,0.10229724,0.30979966,0.07619697
44,0.09927724,0.10300170,0.30940301,0.07624685
45,0.09916871,0.10232736,0.30922126,0.07619225
46,0.09886147,0.10280873,0.30868500,0.07645278
47,0.09875041,0.10354363,0.30849782,0.07637367
48,0.09870083,0.10346146,0.30840719,0.07646882
49,0.09847802,0.10391816,0.30803711,0.07642857
50,0.09827116,0.10377697,0.30765257,0.07655205
51,0.09801307,0.10267468,0.30722401,0.07629872
52,0.09776862,0.10374442,0.30680259,0.07662294
53,0.09757264,0.10447698,0.30646236,0.07673100
54,0.09736122,0.10372618,0.30610261,0.07665521
55,0.09737752,0.10425643,0.30612454,0.07664367
56,0.09706807,0.10374837,0.30559323,0.07648619
57,0.09700458,0.10363823,0.30549521,0.07649440
58,0.09681408,0.10373294,0.30516131,0.07641764
59,0.09657805,0.10431948,0.30475915,0.07652084
60,0.09641863,0.10594909,0.30447146,0.07695317
61,0.09620381,0.10444801,0.30409414,0.07657025
62,0.09613152,0.10443884,0.30396901,0.07655843
63,0.09590314,0.10481188,0.30359811,0.07660570
64,0.09584075,0.10467380,0.30350377,0.07678101
65,0.09561819,0.10516811,0.30308844,0.07676857
66,0.09551254,0.10606637,0.30290313,0.07710689
67,0.09539495,0.10583967,0.30270567,0.07708150
68,0.09511912,0.10582212,0.30222473,0.07682791
