epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.13873570,0.88359214,0.09590471,0.09493146,0.70158036,6.03166627e-02,5.40670029e-04,1.59870455e-04,3.13455530e-02
2,0.13223935,0.87935896,0.09360653,0.09462694,0.68384059,7.90927097e-02,5.41321789e-04,1.60382838e-04,4.19208926e-02
3,0.12984899,0.87648759,0.09289951,0.09453114,0.67517509,8.40857303e-02,5.42015627e-04,1.59305010e-04,4.56515041e-02
4,0.12801737,0.88021799,0.09239464,0.09478328,0.66855373,8.78923997e-02,5.41516486e-04,1.59536598e-04,4.82157857e-02
5,0.12697971,0.88277292,0.09209488,0.09498779,0.66441406,8.98048989e-02,5.40492731e-04,1.60017482e-04,4.99927102e-02
6,0.12620761,0.88282141,0.09184733,0.09508293,0.66108965,9.11226600e-02,5.41485817e-04,1.59898504e-04,5.13789115e-02
7,0.12147248,0.84933562,0.09041503,0.09269881,0.64017026,8.91872165e-02,4.21980097e-02,2.12200237e-02,5.09331041e-02
8,0.11741863,0.83961021,0.08934633,0.09197498,0.62013817,8.63602063e-02,5.49743604e-02,4.08513196e-02,4.64089203e-02
9,0.11618779,0.83491661,0.08900872,0.09158690,0.61364993,8.56092442e-02,5.66673461e-02,4.61598593e-02,4.42191340e-02
10,0.11537784,0.83248542,0.08877722,0.09137137,0.60906523,8.53509787e-02,5.77077437e-02,4.91333146e-02,4.30599402e-02
11,0.11476740,0.83003923,0.08859146,0.09122255,0.60598145,8.54105821e-02,5.79068123e-02,5.10243973e-02,4.21977198e-02
12,0.11416878,0.82790909,0.08838087,0.09112986,0.60368558,8.56085609e-02,5.77769399e-02,5.23251333e-02,4.17756156e-02
13,0.11405781,0.82800011,0.08837802,0.09114091,0.60293030,8.55833920e-02,5.75304405e-02,5.28698426e-02,4.13403255e-02
14,0.11386155,0.82753475,0.08830052,0.09112740,0.60203055,8.58254023e-02,5.78649310e-02,5.32118164e-02,4.10876312e-02
15,0.11394928,0.82756459,0.08834206,0.09113244,0.60259786,8.56486457e-02,5.79213341e-02,5.33542231e-02,4.11125367e-02
16,0.11320622,0.82154349,0.08813459,0.09087358,0.59941124,8.55802795e-02,5.91902787e-02,5.56672997e-02,4.03863687e-02
17,0.11126319,0.82052262,0.08748094,0.09119339,0.59178108,8.67377057e-02,5.97542858e-02,5.97752791e-02,3.88338380e-02
18,0.11002484,0.81865911,0.08708062,0.09125197,0.58686995,8.67751903e-02,6.09624246e-02,6.33132676e-02,3.77884573e-02
19,0.10869610,0.81604959,0.08665897,0.09125043,0.58180454,8.78622936e-02,6.04578704e-02,6.58779715e-02,3.70113656e-02
20,0.10805854,0.81495757,0.08644609,0.09122020,0.57925319,8.83318893e-02,6.09166949e-02,6.77648025e-02,3.62992605e-02
