epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.14476175,0.13033019,0.37950147,0.08408630,7.17512682e-02,5.58064524e-04,1.80146822e-04,3.53999896e-02
2,0.14026504,0.12988843,0.37318734,0.08391371,8.81082631e-02,5.58344107e-04,1.79999880e-04,3.91449779e-02
3,0.13851264,0.12944940,0.37071742,0.08373206,9.24680389e-02,5.58446294e-04,1.79953325e-04,3.94782831e-02
4,0.13725769,0.12973003,0.36894907,0.08383280,9.51774552e-02,5.58910720e-04,1.80351764e-04,3.94778533e-02
5,0.13614996,0.12997364,0.36737428,0.08394884,9.82447267e-02,5.58121929e-04,1.80544957e-04,3.95656600e-02
6,0.13513474,0.12958971,0.36592518,0.08375027,1.00458048e-01,5.58837856e-04,1.80406734e-04,3.93846144e-02
7,0.13454288,0.13024322,0.36508333,0.08393149,1.01548467e-01,5.58754239e-04,1.80602674e-04,3.92941850e-02
8,0.12733249,0.11574154,0.35443428,0.07991023,1.02749197e-01,6.84923085e-02,3.65040936e-02,3.15951615e-02
9,0.12311885,0.11278422,0.34803043,0.07899659,1.05359511e-01,7.94444879e-02,5.35345999e-02,2.51151601e-02
10,0.12139014,0.11150092,0.34537659,0.07859127,1.06153584e-01,8.10559363e-02,5.89766113e-02,2.32792247e-02
11,0.12034310,0.11045363,0.34374882,0.07836153,1.07002316e-01,8.20465262e-02,6.14791263e-02,2.26821818e-02
12,0.11973316,0.10980074,0.34280437,0.07820846,1.07158711e-01,8.27083881e-02,6.31228772e-02,2.21865668e-02
13,0.11932715,0.10940704,0.34216357,0.07809209,1.07531585e-01,8.29903299e-02,6.40794743e-02,2.20182694e-02
14,0.11913005,0.10928899,0.34186024,0.07804722,1.07600969e-01,8.33010419e-02,6.44454808e-02,2.19159999e-02
15,0.11904236,0.10927616,0.34173191,0.07805446,1.07554193e-01,8.28753643e-02,6.46843265e-02,2.19241602e-02
16,0.11807893,0.10697907,0.34019246,0.07753585,1.08427896e-01,8.49094165e-02,6.66230958e-02,2.14601503e-02
17,0.11638238,0.10551615,0.33752667,0.07723108,1.09681774e-01,8.60251422e-02,6.92135435e-02,2.09981410e-02
18,0.11499717,0.10460861,0.33533225,0.07697006,1.11135972e-01,8.73078524e-02,7.09046234e-02,2.11868536e-02
19,0.11418584,0.10468702,0.33404592,0.07714253,1.11779972e-01,8.76391795e-02,7.19288748e-02,2.20315506e-02
20,0.11331970,0.10428130,0.33266142,0.07693553,1.12743705e-01,8.80468159e-02,7.30237699e-02,2.28131659e-02
21,0.11264660,0.10375866,0.33159198,0.07665567,1.13481360e-01,8.81925132e-02,7.36557360e-02,2.35894599e-02
