epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.18880168,0.13334766,0.39229651,0.08496382
2,0.18055613,0.13111616,0.38306423,0.08439168
3,0.17721478,0.13192022,0.37997481,0.08452920
4,0.17322941,0.13263587,0.37648149,0.08504855
5,0.16924905,0.13387737,0.37235570,0.08537633
6,0.16546223,0.13377640,0.36806674,0.08540312
7,0.16183421,0.13347063,0.36396805,0.08543969
8,0.15850641,0.13352808,0.36029242,0.08562339
9,0.15558777,0.13533144,0.35707288,0.08620957
10,0.15305036,0.13601027,0.35423392,0.08617892
11,0.15063259,0.13722430,0.35143099,0.08618233
12,0.14847530,0.13916733,0.34888720,0.08681399
13,0.14673705,0.14007299,0.34682920,0.08683849
14,0.14529804,0.14079954,0.34512744,0.08655888
15,0.13902135,0.13296105,0.33780089,0.08394425
16,0.13409597,0.13249899,0.33200766,0.08347507
17,0.13248105,0.13321148,0.33012344,0.08375139
18,0.13107149,0.13404662,0.32844587,0.08397137
19,0.12975547,0.13363395,0.32688871,0.08389621
20,0.12849992,0.13523353,0.32536467,0.08465667
21,0.12730658,0.13438067,0.32392463,0.08421005
22,0.12618468,0.13476848,0.32255268,0.08459040
23,0.12510540,0.13483299,0.32121871,0.08463154
24,0.12406847,0.13531245,0.31990207,0.08473786
25,0.12312614,0.13603980,0.31873222,0.08507904
26,0.12218877,0.13550547,0.31752563,0.08500362
27,0.12130347,0.13655851,0.31638591,0.08515349
28,0.12046112,0.13652236,0.31529391,0.08530826
29,0.11964983,0.13700439,0.31422170,0.08540476
30,0.11885317,0.13757966,0.31317279,0.08552458
31,0.11808908,0.13835790,0.31215881,0.08571458
32,0.11737070,0.13924393,0.31119612,0.08591670
33,0.11663042,0.13882715,0.31021428,0.08577236
34,0.11592325,0.13921390,0.30926025,0.08583165
35,0.11525754,0.13976075,0.30836820,0.08618620
36,0.11458458,0.13987956,0.30744887,0.08605928
37,0.11394334,0.14070385,0.30658661,0.08636060
38,0.11331496,0.14149400,0.30573234,0.08650826
39,0.11270651,0.14065124,0.30491616,0.08634708
40,0.11211094,0.14104168,0.30410899,0.08635506
41,0.11152458,0.14193566,0.30331021,0.08637536
42,0.11091707,0.14292219,0.30250033,0.08660915
43,0.11037647,0.14394653,0.30176143,0.08675278
44,0.10983996,0.14317787,0.30103524,0.08659467
45,0.10931233,0.14341490,0.30031736,0.08688309
46,0.10883220,0.14582254,0.29966391,0.08707678
47,0.10833030,0.14445623,0.29898386,0.08672811
48,0.10787360,0.14547388,0.29835968,0.08701027
49,0.10740190,0.14494958,0.29770628,0.08681478
50,0.10695210,0.14689156,0.29709222,0.08725232
51,0.10652801,0.14631528,0.29650217,0.08728626
52,0.10609404,0.14652317,0.29590789,0.08728839
53,0.10570207,0.14776239,0.29536559,0.08748175
54,0.10528777,0.14703224,0.29479253,0.08755122
55,0.10488978,0.14826187,0.29423315,0.08747743
56,0.10451675,0.15020566,0.29373250,0.08790149
