epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.66816444,0.29273408,0.74225914,0.13076005,1.00000000,0.00000000
2,0.41863242,0.25404853,0.58462331,0.12024061,1.00000000,0.06666667
3,0.36209311,0.23907928,0.53807476,0.11599906,1.00000000,0.13333333
4,0.33442113,0.23079650,0.51193291,0.11354228,1.00000000,0.20000000
5,0.31603104,0.22189132,0.49282623,0.11104404,1.00000000,0.26666667
6,0.30305486,0.21797448,0.47817827,0.10950454,1.00000000,0.33333333
7,0.29298203,0.21178448,0.46607581,0.10807821,1.00000000,0.40000000
8,0.28471236,0.20688024,0.45575810,0.10681265,1.00000000,0.46666667
9,0.27868049,0.20421821,0.44775016,0.10609789,1.00000000,0.53333333
10,0.27365831,0.20052990,0.44076882,0.10528101,1.00000000,0.60000000
11,0.26890570,0.19623369,0.43432396,0.10423242,1.00000000,0.66666667
12,0.26493452,0.19292491,0.42887153,0.10319305,1.00000000,0.73333333
13,0.26178294,0.19119288,0.42443159,0.10285588,1.00000000,0.80000000
14,0.25880110,0.18943778,0.42041519,0.10198039,1.00000000,0.86666667
15,0.25620075,0.18738826,0.41684485,0.10135517,1.00000000,0.93333333
16,0.25411601,0.18379787,0.41406102,0.10047297,1.00000000,1.00000000
17,0.25233494,0.18288451,0.41169002,0.09996446,1.00000000,1.06666667
18,0.25060581,0.17983606,0.40973814,0.09912790,1.00000000,1.13333333
19,0.24900095,0.18004879,0.40791388,0.09900468,1.00000000,1.20000000
20,0.24780212,0.17909273,0.40636344,0.09857732,1.00000000,1.26666667
21,0.24686041,0.17604249,0.40536858,0.09740026,1.00000000,1.33333333
22,0.24578667,0.17524958,0.40424768,0.09784700,1.00000000,1.40000000
23,0.24535197,0.17526758,0.40382683,0.09754359,1.00000000,1.46666667
24,0.24495216,0.17465954,0.40344304,0.09731221,1.00000000,1.53333333
25,0.24463972,0.17485705,0.40308935,0.09745896,1.00000000,1.60000000
26,0.24474711,0.17328791,0.40323546,0.09686834,1.00000000,1.66666667
27,0.24471169,0.17416748,0.40306493,0.09739490,1.00000000,1.73333333
28,0.24477540,0.17298527,0.40310329,0.09714128,1.00000000,1.80000000
29,0.24515667,0.17222364,0.40353498,0.09691680,1.00000000,1.86666667
30,0.24521241,0.17265768,0.40355045,0.09694115,1.00000000,1.93333333
31,0.24559565,0.17265981,0.40390766,0.09685157,1.00000000,2.00000000
32,0.24415732,0.17221930,0.40295206,0.09728427,1.00000000,2.00000000
33,0.24279625,0.17114869,0.40179522,0.09664015,1.00000000,2.00000000
34,0.24148699,0.17051063,0.40061986,0.09664785,1.00000000,2.00000000
35,0.24040332,0.17084898,0.39971878,0.09678633,1.00000000,2.00000000
36,0.23917121,0.17061520,0.39842429,0.09635175,1.00000000,2.00000000
37,0.23808151,0.17063800,0.39731696,0.09679887,1.00000000,2.00000000
38,0.23736530,0.16959545,0.39651312,0.09663130,1.00000000,2.00000000
39,0.23617232,0.16998894,0.39536433,0.09652472,1.00000000,2.00000000
40,0.23554379,0.16607025,0.39458574,0.09582834,1.00000000,2.00000000
41,0.23449389,0.16678424,0.39343500,0.09590026,1.00000000,2.00000000
42,0.23363771,0.16774958,0.39242852,0.09644486,1.00000000,2.00000000
43,0.23293518,0.16763410,0.39167583,0.09598252,1.00000000,2.00000000
44,0.23204984,0.16651112,0.39072850,0.09591392,1.00000000,2.00000000
45,0.23118839,0.16567628,0.38972487,0.09553345,1.00000000,2.00000000
46,0.23054997,0.16481444,0.38894531,0.09554379,1.00000000,2.00000000
47,0.22997017,0.16381490,0.38827319,0.09526258,1.00000000,2.00000000
48,0.22949155,0.16306243,0.38764156,0.09503311,1.00000000,2.00000000
49,0.22877753,0.16444489,0.38681022,0.09588084,1.00000000,2.00000000
50,0.22806337,0.16448545,0.38607932,0.09558070,1.00000000,2.00000000
51,0.22766481,0.16355313,0.38529249,0.09483169,1.00000000,2.00000000
52,0.22691941,0.16275268,0.38453416,0.09474139,1.00000000,2.00000000
53,0.22622815,0.16289918,0.38370973,0.09454878,1.00000000,2.00000000
54,0.22580605,0.16313415,0.38319845,0.09492883,1.00000000,2.00000000
55,0.22512723,0.16331661,0.38239942,0.09482671,1.00000000,2.00000000
56,0.22477339,0.16205051,0.38181485,0.09485060,1.00000000,2.00000000
57,0.22426538,0.16046917,0.38126054,0.09425298,1.00000000,2.00000000
58,0.22379258,0.16326691,0.38069757,0.09491318,1.00000000,2.00000000
59,0.22328189,0.16132355,0.38012935,0.09486903,1.00000000,2.00000000
60,0.22287248,0.16084656,0.37952674,0.09437032,1.00000000,2.00000000
61,0.22249914,0.16189946,0.37902101,0.09447408,1.00000000,2.00000000
62,0.22217108,0.16282002,0.37859036,0.09492821,1.00000000,2.00000000
63,0.22170790,0.16142894,0.37801812,0.09419641,1.00000000,2.00000000
64,0.22123065,0.16163734,0.37744306,0.09447176,1.00000000,2.00000000
65,0.22091179,0.16157202,0.37702935,0.09440172,1.00000000,2.00000000
66,0.22059675,0.16200325,0.37663973,0.09468072,1.00000000,2.00000000
67,0.22028501,0.16340264,0.37623795,0.09480019,1.00000000,2.00000000
68,0.21996328,0.16203022,0.37584860,0.09435275,1.00000000,2.00000000
69,0.21962085,0.16212605,0.37548939,0.09433301,1.00000000,2.00000000
70,0.21925811,0.16213510,0.37489512,0.09414259,1.00000000,2.00000000
71,0.21905062,0.16096325,0.37472321,0.09428660,1.00000000,2.00000000
72,0.21870356,0.16102828,0.37419468,0.09432350,1.00000000,2.00000000
73,0.21826867,0.16176440,0.37377556,0.09418475,1.00000000,2.00000000
74,0.21809006,0.16223232,0.37347569,0.09439933,1.00000000,2.00000000
75,0.21779055,0.16093558,0.37310521,0.09454634,1.00000000,2.00000000
76,0.21754461,0.16166840,0.37275443,0.09464377,1.00000000,2.00000000
77,0.21743740,0.16276853,0.37249575,0.09475090,1.00000000,2.00000000
78,0.21716818,0.16343691,0.37218271,0.09461583,1.00000000,2.00000000
79,0.21699464,0.16209081,0.37200674,0.09441023,1.00000000,2.00000000
80,0.21665490,0.16220239,0.37150396,0.09432347,1.00000000,2.00000000
81,0.21642193,0.16210279,0.37125128,0.09396775,1.00000000,2.00000000
82,0.21622288,0.16190516,0.37105278,0.09405324,1.00000000,2.00000000
83,0.21582608,0.16245648,0.37058981,0.09450569,1.00000000,2.00000000
84,0.21580451,0.16361785,0.37043526,0.09458337,1.00000000,2.00000000
85,0.21553373,0.16154479,0.37015890,0.09407328,1.00000000,2.00000000
86,0.21531815,0.16173254,0.36982907,0.09431989,1.00000000,2.00000000
87,0.21517133,0.16159109,0.36963961,0.09428929,1.00000000,2.00000000
88,0.21491012,0.16356373,0.36928227,0.09444229,1.00000000,2.00000000
89,0.21468487,0.16254125,0.36908075,0.09436720,1.00000000,2.00000000
90,0.21445380,0.16336350,0.36869173,0.09428272,1.00000000,2.00000000
91,0.21442099,0.16151868,0.36869782,0.09390631,1.00000000,2.00000000
92,0.21418479,0.16312375,0.36833646,0.09434231,1.00000000,2.00000000
93,0.21392647,0.16259684,0.36811281,0.09413429,1.00000000,2.00000000
94,0.21378505,0.16131628,0.36790480,0.09417868,1.00000000,2.00000000
95,0.21366113,0.16274034,0.36769496,0.09432370,1.00000000,2.00000000
96,0.21353753,0.16325521,0.36755183,0.09412713,1.00000000,2.00000000
97,0.21338798,0.16308592,0.36738004,0.09442308,1.00000000,2.00000000
98,0.21320384,0.16249668,0.36703442,0.09426531,1.00000000,2.00000000
99,0.21303041,0.16285358,0.36686287,0.09439919,1.00000000,2.00000000
100,0.21288852,0.16313125,0.36674369,0.09468262,1.00000000,2.00000000
101,0.21259881,0.16293664,0.36634887,0.09432288,1.00000000,2.00000000
102,0.21253800,0.16148856,0.36618288,0.09399970,1.00000000,2.00000000
103,0.21240288,0.16262281,0.36602823,0.09409592,1.00000000,2.00000000
104,0.21229002,0.16377745,0.36586299,0.09447206,1.00000000,2.00000000
105,0.21211703,0.16444311,0.36568728,0.09463544,1.00000000,2.00000000
106,0.21208993,0.16345769,0.36559427,0.09437559,1.00000000,2.00000000
107,0.21173693,0.16206580,0.36525245,0.09408653,1.00000000,2.00000000
108,0.21171688,0.16308715,0.36515953,0.09426550,1.00000000,2.00000000
109,0.21153502,0.16446305,0.36488150,0.09481805,1.00000000,2.00000000
110,0.21143040,0.16336525,0.36478452,0.09450466,1.00000000,2.00000000
111,0.21128926,0.16296833,0.36450726,0.09421147,1.00000000,2.00000000
112,0.21115131,0.16373829,0.36437794,0.09440299,1.00000000,2.00000000
113,0.21112422,0.16336639,0.36428755,0.09448146,1.00000000,2.00000000
