epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.19829720,0.33866711,0.98672701,0.14244218
2,0.66260101,0.28759389,0.74055503,0.12757470
3,0.51394768,0.27161045,0.65442186,0.12282792
4,0.44128002,0.26155530,0.60752161,0.12019727
5,0.39747192,0.25437631,0.57756737,0.11799785
6,0.36945129,0.24822225,0.55735252,0.11638224
7,0.34765769,0.24255579,0.54133817,0.11478780
8,0.33003979,0.23766864,0.52789803,0.11350877
9,0.31471529,0.23394001,0.51561921,0.11233235
10,0.30102417,0.23080047,0.50442612,0.11147587
11,0.28867880,0.22697556,0.49423636,0.11043918
12,0.27771427,0.22312717,0.48476285,0.10914437
13,0.26718723,0.21918538,0.47531303,0.10799003
14,0.25695255,0.21710420,0.46605578,0.10712071
15,0.24756788,0.21193597,0.45734783,0.10604457
16,0.23960297,0.21115708,0.44976713,0.10581595
17,0.23221536,0.20702164,0.44280643,0.10419375
18,0.22599252,0.20429360,0.43654645,0.10372843
19,0.21998807,0.20193507,0.43083573,0.10297295
20,0.21505052,0.19934392,0.42582873,0.10271970
21,0.20988075,0.19835200,0.42063770,0.10192836
22,0.20610423,0.19741248,0.41688997,0.10159647
23,0.20231740,0.19348748,0.41306989,0.10091521
24,0.19881588,0.19618340,0.40928493,0.10069255
25,0.19564899,0.19312547,0.40599469,0.10006621
26,0.19224009,0.19307825,0.40246174,0.10026824
27,0.18945861,0.19049280,0.39953277,0.09963909
28,0.18703702,0.19094287,0.39680307,0.09996805
29,0.18452130,0.19006781,0.39407623,0.09997331
30,0.18193206,0.18588976,0.39131155,0.09795843
31,0.17970328,0.18902069,0.38902227,0.09902058
32,0.17763806,0.18478043,0.38656269,0.09811595
33,0.17537395,0.18473130,0.38408744,0.09798330
34,0.17316366,0.18478840,0.38164158,0.09800619
35,0.17162001,0.18321853,0.37993937,0.09787516
36,0.16990718,0.17950819,0.37794747,0.09668395
37,0.16817826,0.18112768,0.37598637,0.09733475
38,0.16607904,0.18269801,0.37379304,0.09762738
39,0.16481631,0.18077043,0.37227900,0.09698275
40,0.16344730,0.17953680,0.37057863,0.09677024
41,0.16168489,0.17717457,0.36859717,0.09677132
42,0.16023308,0.17817646,0.36695148,0.09641299
43,0.15906707,0.17734462,0.36562174,0.09670163
44,0.15787665,0.17604431,0.36421881,0.09649012
45,0.15632865,0.17583452,0.36243621,0.09602639
46,0.15529609,0.17844868,0.36126635,0.09614867
47,0.15398521,0.17625804,0.35970109,0.09611247
48,0.15288853,0.17609739,0.35841712,0.09616197
49,0.15169044,0.17524156,0.35699868,0.09563094
50,0.15049506,0.17398564,0.35563847,0.09571353
51,0.14974485,0.17187269,0.35466272,0.09604340
52,0.14846660,0.17470084,0.35314698,0.09627612
53,0.14763800,0.17232583,0.35222242,0.09592047
54,0.14622101,0.17799064,0.35042103,0.09677372
55,0.14517055,0.17802170,0.34918236,0.09658563
56,0.14484181,0.17258633,0.34877337,0.09559171
57,0.14377551,0.17311667,0.34747940,0.09514939
58,0.14323583,0.17569472,0.34685441,0.09599446
59,0.14208167,0.17364412,0.34546743,0.09568064
60,0.14106947,0.17523843,0.34425490,0.09578138
61,0.14067746,0.17147594,0.34394777,0.09538589
62,0.13994093,0.17878770,0.34298782,0.09656056
63,0.13894570,0.17818592,0.34172497,0.09634773
64,0.13819698,0.17361038,0.34079245,0.09619265
65,0.13783723,0.17593287,0.34027535,0.09658428
66,0.13728116,0.17375684,0.33968733,0.09556806
67,0.13622671,0.17166709,0.33834020,0.09580781
68,0.13570507,0.17216665,0.33771057,0.09575528
69,0.13515934,0.17378499,0.33700487,0.09613354
70,0.13472369,0.17129947,0.33642145,0.09560731
71,0.13434222,0.17332150,0.33605624,0.09544518
72,0.13344029,0.17416448,0.33491207,0.09604429
73,0.13334085,0.17281274,0.33473032,0.09574275
74,0.13257304,0.17611451,0.33386919,0.09638159
75,0.13187538,0.17337110,0.33286363,0.09541590
76,0.13160050,0.17680897,0.33255642,0.09605904
77,0.13115734,0.17470279,0.33193101,0.09612596
78,0.13072559,0.17572193,0.33156425,0.09652014
79,0.13016604,0.17449988,0.33071954,0.09667883
80,0.13001364,0.17508156,0.33053610,0.09643127
81,0.12922239,0.17805677,0.32963637,0.09656675
82,0.12898897,0.17286113,0.32936864,0.09548685
83,0.12857517,0.17530963,0.32871467,0.09606445
84,0.12807590,0.17647367,0.32810166,0.09577746
85,0.12771800,0.17906030,0.32766406,0.09648791
86,0.12732570,0.17673015,0.32715882,0.09608627
87,0.12729392,0.17606290,0.32709124,0.09625198
88,0.12646559,0.17601495,0.32613823,0.09581403
89,0.12631922,0.17821735,0.32577508,0.09658981
90,0.12603279,0.17540521,0.32544413,0.09630179
91,0.12562767,0.17730438,0.32501278,0.09681729
92,0.12525553,0.17697092,0.32448909,0.09576517
93,0.12477528,0.17603418,0.32395873,0.09724501
94,0.12445243,0.17800309,0.32342895,0.09654994
95,0.12432385,0.17842322,0.32329802,0.09620267
96,0.12402230,0.17542242,0.32285986,0.09594516
97,0.12408528,0.17372903,0.32296234,0.09569151
98,0.12380154,0.18216163,0.32267908,0.09811832
99,0.12313047,0.18022970,0.32174914,0.09689701
100,0.12301622,0.17602143,0.32147795,0.09568281
101,0.12250665,0.17539489,0.32085582,0.09594033
102,0.12243465,0.17677694,0.32080407,0.09589675
103,0.12203515,0.17700860,0.32034955,0.09675889
104,0.12175229,0.17809907,0.31981839,0.09584865
105,0.12125165,0.17742170,0.31941764,0.09642203
106,0.12106607,0.17910041,0.31900026,0.09642094
107,0.12123395,0.17618756,0.31924279,0.09646105
108,0.12067687,0.18080040,0.31857567,0.09715083
109,0.12049644,0.17825212,0.31837808,0.09631536
110,0.12041285,0.17963902,0.31817418,0.09694003
111,0.12014523,0.17939587,0.31788655,0.09635917
112,0.11998768,0.18067393,0.31767836,0.09722804
113,0.11972783,0.17797755,0.31715079,0.09657930
114,0.11932776,0.17521146,0.31689317,0.09569873
115,0.11927960,0.17538829,0.31667219,0.09591401
116,0.11899773,0.17865621,0.31640296,0.09652600
117,0.11868126,0.17730306,0.31594896,0.09639053
118,0.11841577,0.17923104,0.31554059,0.09698495
119,0.11837255,0.17679385,0.31553080,0.09574559
120,0.11811967,0.18261409,0.31514815,0.09739712
