epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.70981026,0.25387332,0.75873729,0.12298807
2,0.34317455,0.21266825,0.53303007,0.11055113
3,0.27054997,0.19678351,0.47504411,0.10498530
4,0.23087289,0.18724441,0.43931944,0.10178991
5,0.20465196,0.17933288,0.41365852,0.09896663
6,0.18377109,0.17227386,0.39192084,0.09691214
7,0.16735905,0.16597058,0.37380217,0.09536968
8,0.15359188,0.16029365,0.35781107,0.09368329
9,0.14212044,0.15403787,0.34410816,0.09241428
10,0.13190606,0.15097655,0.33128359,0.09130097
11,0.12298099,0.14570691,0.31973297,0.08965156
12,0.11511105,0.14421830,0.30912604,0.08906370
13,0.10818761,0.13992149,0.29953211,0.08771769
14,0.10187870,0.13915663,0.29050325,0.08696015
15,0.09603354,0.13657659,0.28197846,0.08653902
16,0.09107104,0.13532683,0.27457839,0.08510185
17,0.08632193,0.13355257,0.26729906,0.08516398
18,0.08185179,0.13269794,0.26040435,0.08438046
19,0.07819053,0.13143548,0.25432242,0.08412727
20,0.07451712,0.12929421,0.24845672,0.08319588
21,0.07139435,0.12871568,0.24299200,0.08322804
22,0.06844866,0.12781702,0.23806457,0.08278165
23,0.06580146,0.12848581,0.23338158,0.08281385
24,0.06310159,0.12734106,0.22848162,0.08239996
25,0.06087241,0.12660357,0.22458104,0.08246103
26,0.05871318,0.12532596,0.22062743,0.08208169
27,0.05661941,0.12418768,0.21658487,0.08066968
28,0.05479657,0.12348500,0.21311745,0.08106986
29,0.05300635,0.12283876,0.20963770,0.08077347
30,0.05118301,0.12277331,0.20603942,0.08109572
31,0.04960320,0.12171560,0.20289502,0.08000869
32,0.04808903,0.12132348,0.19981761,0.07945199
33,0.04678082,0.12048361,0.19709052,0.07938299
34,0.04553309,0.12171909,0.19448572,0.07996372
35,0.04418342,0.12263760,0.19159436,0.07968266
36,0.04299741,0.12192508,0.18907528,0.07983449
37,0.04196848,0.11973935,0.18683831,0.07903131
38,0.04083625,0.11944153,0.18430771,0.07844676
39,0.03994052,0.11975304,0.18232027,0.07868563
40,0.03901851,0.11881429,0.18030210,0.07905226
41,0.03803408,0.12022686,0.17795400,0.07888062
42,0.03729482,0.12019440,0.17626711,0.07935221
43,0.03637389,0.11855837,0.17410859,0.07785721
44,0.03557145,0.11980649,0.17229018,0.07860762
45,0.03492244,0.12016193,0.17072795,0.07865364
46,0.03416362,0.12030768,0.16871454,0.07889605
47,0.03361497,0.12023522,0.16745101,0.07842012
48,0.03295148,0.11856622,0.16583960,0.07851442
49,0.03231759,0.12022288,0.16424638,0.07899750
50,0.03175389,0.11952896,0.16278463,0.07824275
51,0.03117068,0.11937712,0.16131587,0.07766964
52,0.03060262,0.11935810,0.15989727,0.07810877
53,0.03013236,0.12064670,0.15867510,0.07854139
54,0.02970266,0.12316471,0.15761018,0.07884045
55,0.02922577,0.11906276,0.15625868,0.07836124
56,0.02879780,0.11910432,0.15515055,0.07852628
57,0.02831450,0.11923848,0.15391821,0.07769035
58,0.02804213,0.11979954,0.15302010,0.07849615
59,0.02756375,0.12027496,0.15181929,0.07891631
60,0.02730616,0.12095096,0.15105271,0.07837015
61,0.02687087,0.12036623,0.14987877,0.07885140
62,0.02664368,0.12108855,0.14924853,0.07906587
63,0.02624368,0.12001074,0.14822559,0.07861090
64,0.02596379,0.12249599,0.14739801,0.07928103
65,0.02565499,0.12094077,0.14662994,0.07883150
66,0.02537585,0.12240129,0.14568867,0.07883868
67,0.02510198,0.12224052,0.14502436,0.07838729
68,0.02491270,0.12153012,0.14438618,0.07850323
69,0.02462356,0.12295132,0.14356502,0.07874604
70,0.02437813,0.12164677,0.14285475,0.07841314
71,0.02417117,0.12283673,0.14228821,0.07902799
72,0.02397611,0.12498718,0.14167757,0.07978433
73,0.02377407,0.12330107,0.14107817,0.07921483
74,0.02352994,0.12394647,0.14036484,0.07945751
75,0.02340321,0.12390865,0.14000660,0.07936008
76,0.02321149,0.12241964,0.13940138,0.07909310
77,0.02297314,0.12357599,0.13876604,0.07932288
78,0.02286281,0.12325290,0.13836078,0.07929159
79,0.02273331,0.12527885,0.13796453,0.07993240
80,0.02253260,0.12422124,0.13737531,0.07956477
81,0.02239083,0.12460078,0.13695727,0.07923778
82,0.02223007,0.12417524,0.13644662,0.07950220
83,0.02205893,0.12254879,0.13596042,0.07890019
84,0.02194452,0.12577041,0.13560746,0.07985707
85,0.02182313,0.12422289,0.13518094,0.07916986
86,0.02168385,0.12487816,0.13472367,0.07942029
87,0.02151308,0.12474353,0.13426333,0.07926116
88,0.02137585,0.12240115,0.13380476,0.07864191
89,0.02123712,0.12498594,0.13340066,0.07935326
90,0.02112944,0.12366854,0.13307117,0.07932054
91,0.02097726,0.12592807,0.13255332,0.07955622
92,0.02088236,0.12550081,0.13227646,0.07947380
93,0.02075231,0.12514771,0.13188246,0.07940073
