epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.95590485,0.84436851,1.25056601,0.23435709
2,0.93090747,0.48247442,0.87428348,0.17375788
3,0.67967888,0.37771484,0.74321986,0.15351273
4,0.57759115,0.32541979,0.68539546,0.14140050
5,0.51508196,0.29308081,0.64878628,0.13336411
6,0.46359625,0.26891914,0.61681588,0.12760291
7,0.42305550,0.25427106,0.58969923,0.12327865
8,0.38943024,0.24188629,0.56761929,0.11960941
9,0.36412931,0.23365905,0.54977644,0.11699786
10,0.34245768,0.22649378,0.53315079,0.11460526
11,0.32425752,0.22127536,0.51878377,0.11291013
12,0.30782465,0.21457991,0.50624015,0.11096050
13,0.29289129,0.21178313,0.49375243,0.10990563
14,0.28218930,0.20829029,0.48566786,0.10867596
15,0.26946806,0.20415065,0.47393139,0.10719362
16,0.25686123,0.20113574,0.46322086,0.10646627
17,0.25122839,0.19831984,0.45865429,0.10538376
18,0.24324494,0.19535995,0.45060973,0.10438649
19,0.23437599,0.19278605,0.44309786,0.10357628
20,0.22668268,0.19197212,0.43558159,0.10362870
21,0.22178955,0.19066971,0.43103124,0.10277522
22,0.21489825,0.18934633,0.42403195,0.10193751
23,0.20923518,0.18639137,0.41851514,0.10150201
24,0.20332569,0.18403571,0.41256748,0.10082233
25,0.19917670,0.18449059,0.40833585,0.10087834
26,0.19428498,0.18232042,0.40333108,0.09996445
27,0.18933858,0.18043823,0.39775379,0.09926705
28,0.18502792,0.17732601,0.39331666,0.09894121
29,0.18127180,0.17674937,0.38922617,0.09837946
30,0.17694514,0.17645453,0.38462695,0.09829205
31,0.17420225,0.17341295,0.38100487,0.09769371
32,0.16922921,0.17365068,0.37587039,0.09747746
33,0.16514561,0.17216173,0.37153199,0.09734257
34,0.16218043,0.16926346,0.36820455,0.09682128
35,0.15955849,0.16791729,0.36479511,0.09575713
36,0.15763801,0.16561270,0.36276392,0.09543539
37,0.15207693,0.16606437,0.35644088,0.09558546
38,0.15096130,0.16606672,0.35494072,0.09517969
39,0.14803519,0.16444387,0.35122456,0.09505217
40,0.14479850,0.16300090,0.34766325,0.09446859
41,0.14305207,0.16063589,0.34538607,0.09394143
42,0.14060607,0.15897521,0.34205347,0.09362980
43,0.13819976,0.15885763,0.33933797,0.09336960
44,0.13549023,0.15826699,0.33595453,0.09326320
45,0.13353684,0.15627313,0.33351629,0.09310082
46,0.13050796,0.15591371,0.32942901,0.09281128
47,0.12926531,0.15327514,0.32822526,0.09227113
48,0.12744956,0.15438659,0.32585639,0.09227238
49,0.12531503,0.15320137,0.32257159,0.09204736
50,0.12325688,0.15327331,0.32044937,0.09199561
51,0.12075261,0.15308178,0.31671969,0.09191948
52,0.11970694,0.14952913,0.31536188,0.09091912
53,0.11747834,0.15115121,0.31205826,0.09126167
54,0.11584739,0.14999079,0.31050685,0.09099675
55,0.11431753,0.15008715,0.30838614,0.09123784
56,0.11288141,0.14816474,0.30633494,0.09034301
57,0.11107005,0.14806837,0.30377156,0.09006722
58,0.11002717,0.14904584,0.30250846,0.09091755
59,0.10887366,0.14526713,0.30068954,0.08976202
60,0.10679518,0.14511856,0.29786859,0.08990860
61,0.10535538,0.14316824,0.29560940,0.08905229
62,0.10488979,0.14433923,0.29487070,0.08898134
63,0.10363827,0.14454684,0.29325124,0.08930407
64,0.10277025,0.14330827,0.29200004,0.08890458
65,0.10082727,0.14180217,0.28926363,0.08860705
66,0.09994901,0.14331824,0.28806532,0.08886238
67,0.09856193,0.14304920,0.28607416,0.08862492
68,0.09779847,0.14086718,0.28497051,0.08825602
69,0.09678471,0.14254849,0.28330940,0.08856269
70,0.09623436,0.14029981,0.28249045,0.08773218
71,0.09509952,0.14070895,0.28057285,0.08782580
72,0.09397167,0.14032737,0.27910799,0.08775199
73,0.09284667,0.14124971,0.27757709,0.08858176
74,0.09252978,0.13980296,0.27668466,0.08757981
75,0.09115305,0.13900404,0.27503898,0.08756083
76,0.09064761,0.13766009,0.27423466,0.08702587
77,0.08979270,0.13745026,0.27277039,0.08708054
78,0.08936075,0.13896042,0.27213034,0.08750291
79,0.08823374,0.13863698,0.27046325,0.08709432
80,0.08777023,0.13680112,0.26960842,0.08672355
81,0.08656656,0.13748207,0.26781015,0.08696280
82,0.08669441,0.13814978,0.26774772,0.08670592
83,0.08565006,0.14012597,0.26640186,0.08739008
84,0.08436109,0.13671075,0.26466196,0.08631219
85,0.08409023,0.13650708,0.26380056,0.08649158
86,0.08321980,0.13631511,0.26268487,0.08659892
87,0.08244893,0.13720708,0.26134983,0.08665593
88,0.08176803,0.13671215,0.26060077,0.08688203
89,0.08100230,0.13572653,0.25963606,0.08626138
90,0.08059626,0.13499248,0.25860057,0.08614056
91,0.08018224,0.13670237,0.25800986,0.08572839
92,0.07955060,0.13507264,0.25696870,0.08544370
93,0.07880173,0.13605122,0.25534264,0.08655033
94,0.07869411,0.13328315,0.25518133,0.08523948
95,0.07739526,0.13568797,0.25353262,0.08589640
96,0.07774004,0.13373595,0.25405379,0.08521568
97,0.07653694,0.13518738,0.25222730,0.08533938
98,0.07623411,0.13316549,0.25189677,0.08471556
99,0.07513108,0.13390010,0.24972973,0.08510472
100,0.07502159,0.13435257,0.24939964,0.08553401
101,0.07494673,0.13234666,0.24927342,0.08511713
102,0.07393237,0.13265975,0.24757942,0.08470677
103,0.07401649,0.13553574,0.24770152,0.08552857
104,0.07349501,0.13261496,0.24691213,0.08491113
105,0.07278939,0.13148150,0.24557207,0.08475016
106,0.07225499,0.13093527,0.24487985,0.08443077
107,0.07159742,0.13391405,0.24380075,0.08498772
