epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.94363045,0.32156048,0.87618889,0.14070796
2,0.44802513,0.24843942,0.61063526,0.12156680
3,0.35028302,0.22106574,0.54482279,0.11303169
4,0.29355957,0.20755309,0.50236782,0.10866301
5,0.25765216,0.19780127,0.47383571,0.10538511
6,0.23191809,0.18969812,0.45191168,0.10284627
7,0.21236108,0.18399784,0.43489246,0.10091429
8,0.19648659,0.17830692,0.42034231,0.09915499
9,0.18244727,0.17318733,0.40711146,0.09793947
10,0.17117825,0.16902967,0.39617843,0.09633208
11,0.16079299,0.16422877,0.38595739,0.09518378
12,0.15158927,0.15978261,0.37664141,0.09400100
13,0.14397545,0.15670880,0.36901488,0.09311653
14,0.13660554,0.15304680,0.36173450,0.09200681
15,0.13037862,0.14977691,0.35564406,0.09108818
16,0.12454484,0.14656786,0.34987742,0.09054143
17,0.11926657,0.14381813,0.34500288,0.08959235
18,0.11437391,0.14159091,0.34070230,0.08871060
19,0.10973700,0.13959208,0.33667989,0.08817762
20,0.10561212,0.13638146,0.33347787,0.08707923
21,0.10156925,0.13513014,0.33068748,0.08668299
22,0.09776797,0.13343042,0.32808579,0.08599328
23,0.09408401,0.13229762,0.32612929,0.08572802
24,0.09070396,0.13049596,0.32471493,0.08504266
25,0.08747188,0.12959382,0.32376360,0.08491986
26,0.08444398,0.12801643,0.32320958,0.08425050
27,0.08143990,0.12753514,0.32319108,0.08411639
28,0.07846006,0.12562764,0.32337407,0.08325647
29,0.07552957,0.12544910,0.32385483,0.08321988
30,0.07268666,0.12480757,0.32460188,0.08320204
31,0.06996534,0.12322508,0.32622234,0.08273751
32,0.06709363,0.12264652,0.32765321,0.08255167
33,0.06422970,0.12277828,0.32937871,0.08236345
34,0.06152893,0.12165949,0.33207336,0.08195200
35,0.05865203,0.12304908,0.33433279,0.08233158
36,0.05578124,0.12288647,0.33734835,0.08245342
37,0.05288213,0.12244067,0.34031139,0.08231164
38,0.04996184,0.12398604,0.34375776,0.08282292
39,0.04697093,0.12477838,0.34744653,0.08293184
40,0.04391483,0.12439110,0.35150448,0.08296248
41,0.04076965,0.12682350,0.35552940,0.08346758
42,0.03758644,0.12694031,0.36022797,0.08376793
43,0.03418588,0.12840265,0.36465509,0.08435578
44,0.03075640,0.13044996,0.36942240,0.08481949
45,0.02724933,0.13188209,0.37453417,0.08562382
46,0.02368382,0.13377488,0.38008391,0.08622082
47,0.01986637,0.13565299,0.38546807,0.08697308
48,0.01602534,0.13851963,0.39133261,0.08789897
49,0.01199168,0.14229839,0.39749261,0.08908852
50,0.00778861,0.14406970,0.40377762,0.08970992
51,0.00742314,0.14493885,0.40625013,0.09008310
52,0.00710632,0.14585786,0.40786394,0.09019223
53,0.00681009,0.14696227,0.40901870,0.09045667
54,0.00655734,0.14695985,0.40987288,0.09058776
55,0.00632819,0.14770089,0.41085653,0.09079060
56,0.00613905,0.14873645,0.41175514,0.09108380
57,0.00596028,0.14835321,0.41254830,0.09068897
58,0.00580075,0.14925076,0.41351035,0.09094299
59,0.00562138,0.15075233,0.41412009,0.09132410
60,0.00546054,0.15133803,0.41493080,0.09155487
61,0.00532441,0.15185124,0.41567216,0.09170253
62,0.00520090,0.15196225,0.41658684,0.09218494
63,0.00507982,0.15255995,0.41738081,0.09188982
64,0.00497285,0.15352984,0.41819966,0.09212729
65,0.00485236,0.15441330,0.41891435,0.09254778
66,0.00473269,0.15541880,0.41970317,0.09306283
67,0.00462049,0.15488814,0.42056362,0.09274342
68,0.00454436,0.15619070,0.42128060,0.09335457
69,0.00443878,0.15759832,0.42210650,0.09353249
70,0.00436347,0.15699099,0.42291334,0.09332304
71,0.00427242,0.15812892,0.42384978,0.09391946
72,0.00422257,0.15934488,0.42463654,0.09433577
73,0.00414676,0.15972998,0.42564664,0.09451274
74,0.00405511,0.16121438,0.42644515,0.09462462
75,0.00399173,0.16167491,0.42734553,0.09506970
76,0.00393401,0.16294081,0.42824820,0.09549689
77,0.00385233,0.16406942,0.42920052,0.09564898
78,0.00378827,0.16482630,0.43010148,0.09590269
79,0.00373114,0.16634302,0.43105843,0.09664092
80,0.00367788,0.16686744,0.43205685,0.09669826
81,0.00361690,0.16716334,0.43293711,0.09687821
82,0.00355835,0.16944339,0.43394320,0.09783344
83,0.00351948,0.16873955,0.43506610,0.09736539
84,0.00347675,0.17057510,0.43605936,0.09814587
85,0.00341388,0.17066691,0.43701392,0.09833289
86,0.00336654,0.17101971,0.43807981,0.09842314
87,0.00330834,0.17349268,0.43924404,0.09893198
88,0.00326887,0.17443849,0.44021252,0.09948805
89,0.00321819,0.17506708,0.44146728,0.09960974
90,0.00317505,0.17708978,0.44248380,0.10037678
91,0.00314677,0.17760014,0.44360302,0.10032684
92,0.00311461,0.17826821,0.44477187,0.10109838
93,0.00306941,0.17918986,0.44585115,0.10116356
94,0.00300870,0.18117631,0.44698481,0.10191003
95,0.00298972,0.18307612,0.44803704,0.10243492
96,0.00293192,0.18301386,0.44927613,0.10272658
97,0.00290599,0.18355085,0.45037584,0.10272136
98,0.00286747,0.18638989,0.45165597,0.10343821
99,0.00282856,0.18628100,0.45293981,0.10352602
100,0.00279865,0.18777998,0.45393918,0.10443595
