epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.69101413,0.25703605,0.74492235,0.12318126
2,0.33625943,0.21227180,0.52963934,0.11007011
3,0.26524260,0.19408809,0.47264218,0.10427132
4,0.22718172,0.18437259,0.43862538,0.10074889
5,0.20144928,0.17594982,0.41390144,0.09805214
6,0.18194961,0.17003139,0.39389428,0.09606179
7,0.16592121,0.16305346,0.37625272,0.09408845
8,0.15281600,0.15672079,0.36123247,0.09226593
9,0.14151971,0.15152638,0.34759544,0.09081077
10,0.13220371,0.14786762,0.33579562,0.08965709
11,0.12379292,0.14317788,0.32460857,0.08814008
12,0.11705736,0.14058212,0.31535367,0.08715841
13,0.11089784,0.13803637,0.30643751,0.08643948
14,0.10506529,0.13291791,0.29771371,0.08506436
15,0.10029659,0.13136917,0.29014595,0.08426181
16,0.09578890,0.12784674,0.28291849,0.08341850
17,0.09205627,0.12608746,0.27675865,0.08284619
18,0.08867238,0.12361172,0.27090281,0.08228694
19,0.08548731,0.12183311,0.26518138,0.08155560
20,0.08265675,0.12186140,0.26012565,0.08119707
21,0.08023486,0.11896412,0.25558501,0.08039766
22,0.07796341,0.11867320,0.25139419,0.07996644
23,0.07615092,0.11695896,0.24798889,0.07959221
24,0.07433167,0.11490495,0.24439885,0.07864931
25,0.07267848,0.11602123,0.24141804,0.07880736
26,0.07107549,0.11549364,0.23837927,0.07853954
27,0.07000905,0.11458100,0.23654001,0.07839668
28,0.06870433,0.11338065,0.23418830,0.07807628
29,0.06769125,0.11050723,0.23252806,0.07721501
30,0.06667527,0.11126783,0.23085842,0.07728971
31,0.06581547,0.11080002,0.22974642,0.07721192
32,0.06513102,0.11172892,0.22894668,0.07701690
33,0.06424590,0.10919766,0.22783371,0.07643427
34,0.06365732,0.10922232,0.22752129,0.07608939
35,0.06295181,0.10749829,0.22694663,0.07596428
36,0.06236661,0.10866855,0.22672681,0.07583562
37,0.06183975,0.10791844,0.22681072,0.07588493
38,0.06130927,0.10732948,0.22699304,0.07569737
39,0.06077796,0.10634593,0.22718064,0.07524951
40,0.06033940,0.10570473,0.22777299,0.07516933
41,0.05989551,0.10704442,0.22850171,0.07575871
42,0.05941665,0.10565494,0.22915187,0.07515071
43,0.05891752,0.10491609,0.22991199,0.07472938
44,0.05853540,0.10624919,0.23113361,0.07496376
45,0.05815417,0.10437190,0.23253679,0.07443161
46,0.05767970,0.10400854,0.23350048,0.07434543
47,0.05725470,0.10417733,0.23483605,0.07455408
48,0.05689372,0.10405432,0.23658541,0.07464473
49,0.05641467,0.10336515,0.23807934,0.07407617
50,0.05604117,0.10345117,0.23996740,0.07429814
51,0.05580307,0.10330915,0.23948519,0.07412381
52,0.05561905,0.10269693,0.23909936,0.07374424
53,0.05532555,0.10293982,0.23813611,0.07402994
54,0.05517074,0.10203618,0.23764346,0.07389782
55,0.05497247,0.10278216,0.23699819,0.07418923
56,0.05478057,0.10257611,0.23640394,0.07402520
57,0.05462374,0.10219661,0.23581961,0.07367619
58,0.05448481,0.10117511,0.23533250,0.07359106
59,0.05433560,0.10236586,0.23489887,0.07423893
60,0.05414190,0.10116908,0.23428430,0.07356413
61,0.05403990,0.10208595,0.23389305,0.07344389
62,0.05385305,0.10239010,0.23325995,0.07378808
63,0.05372150,0.10160470,0.23286823,0.07364988
64,0.05360672,0.10216976,0.23240229,0.07351083
65,0.05347339,0.10145204,0.23196372,0.07345206
66,0.05337466,0.10137954,0.23152860,0.07340590
67,0.05325474,0.10066974,0.23114258,0.07292146
68,0.05315876,0.10161465,0.23080235,0.07348112
69,0.05305269,0.10222561,0.23044696,0.07355969
70,0.05294067,0.10099823,0.23002856,0.07302375
71,0.05284772,0.10186772,0.22966604,0.07332296
72,0.05276476,0.10120834,0.22937845,0.07340821
73,0.05270367,0.10067681,0.22915977,0.07307587
74,0.05256596,0.10143050,0.22867636,0.07314099
75,0.05248360,0.10047135,0.22837879,0.07302317
76,0.05243065,0.10120368,0.22815786,0.07301317
77,0.05236979,0.10179235,0.22785208,0.07307083
78,0.05226980,0.10067295,0.22756607,0.07289874
79,0.05220798,0.10042119,0.22728678,0.07303947
80,0.05212423,0.09980857,0.22705550,0.07284768
81,0.05205322,0.10027468,0.22669664,0.07289859
82,0.05198779,0.09981134,0.22646879,0.07285350
83,0.05191142,0.09997923,0.22617471,0.07260627
84,0.05182929,0.10074003,0.22591651,0.07292396
85,0.05180919,0.10067949,0.22579924,0.07298478
86,0.05172943,0.10179417,0.22553807,0.07350621
87,0.05168948,0.10140237,0.22535798,0.07353902
88,0.05161274,0.10072081,0.22514012,0.07281701
89,0.05156815,0.10208488,0.22494182,0.07319086
90,0.05153107,0.10103598,0.22470706,0.07294449
91,0.05148285,0.09981762,0.22462886,0.07264773
92,0.05142221,0.09967134,0.22441246,0.07279707
93,0.05136719,0.10085293,0.22418509,0.07337819
94,0.05132223,0.10089978,0.22398708,0.07351454
95,0.05127965,0.10113771,0.22375661,0.07322304
96,0.05122773,0.10165866,0.22369201,0.07309804
97,0.05118601,0.09993018,0.22334186,0.07262306
98,0.05112008,0.10160597,0.22328427,0.07316451
99,0.05109843,0.10029730,0.22310273,0.07294350
100,0.05103565,0.10049801,0.22293175,0.07310048
101,0.05099794,0.10094331,0.22275779,0.07339059
102,0.05097590,0.10146292,0.22265253,0.07330900
103,0.05091104,0.10069767,0.22245349,0.07301160
104,0.05088049,0.10013116,0.22229981,0.07290727
105,0.05086492,0.10029457,0.22218809,0.07305118
106,0.05085405,0.10080463,0.22205730,0.07323553
107,0.05075554,0.10122895,0.22179903,0.07302885
108,0.05074487,0.09941928,0.22174750,0.07254975
109,0.05070825,0.09975948,0.22158729,0.07287896
110,0.05067990,0.10040632,0.22149565,0.07253043
111,0.05066177,0.10212669,0.22141319,0.07358049
112,0.05060906,0.10073055,0.22123220,0.07271293
113,0.05061070,0.10059363,0.22123212,0.07307261
114,0.05054023,0.09983740,0.22089909,0.07276535
115,0.05049480,0.10160458,0.22083663,0.07319983
116,0.05049376,0.10171184,0.22073884,0.07321446
117,0.05047132,0.10142268,0.22070675,0.07310781
118,0.05043997,0.10270119,0.22055696,0.07369763
119,0.05040043,0.10036978,0.22044591,0.07291413
120,0.05038499,0.10116906,0.22040382,0.07314715
121,0.05035895,0.10067955,0.22023649,0.07294718
122,0.05030208,0.10040644,0.22000308,0.07269439
123,0.05028861,0.09999814,0.22001446,0.07253199
124,0.05030009,0.10038237,0.21999554,0.07270816
125,0.05025928,0.10097344,0.21988539,0.07290719
126,0.05020825,0.10057512,0.21970343,0.07301681
127,0.05017759,0.10062923,0.21953841,0.07306459
128,0.05017943,0.10000737,0.21949823,0.07274550
129,0.05014556,0.10099090,0.21937703,0.07307610
130,0.05010881,0.10105040,0.21924930,0.07297585
131,0.05010289,0.10030895,0.21919427,0.07301777
132,0.05010971,0.10055914,0.21920372,0.07334276
133,0.05004395,0.10040709,0.21903845,0.07295268
134,0.05001527,0.10014988,0.21888416,0.07280921
135,0.05002338,0.10072285,0.21902973,0.07302206
136,0.05002257,0.10146717,0.21893489,0.07322230
137,0.04995339,0.10123080,0.21857455,0.07306220
138,0.04994032,0.10140874,0.21860999,0.07318740
139,0.04993856,0.10099457,0.21860925,0.07325650
140,0.04988688,0.10067251,0.21837117,0.07303658
141,0.04989825,0.10047620,0.21841054,0.07290853
142,0.04987543,0.10148007,0.21833513,0.07280626
143,0.04984305,0.10078646,0.21822102,0.07305874
144,0.04982133,0.10063509,0.21811028,0.07299721
145,0.04980598,0.10078871,0.21801197,0.07316912
146,0.04977277,0.10080320,0.21784860,0.07307708
147,0.04977642,0.10178195,0.21794938,0.07322674
148,0.04976591,0.10070561,0.21787893,0.07277348
149,0.04970827,0.10036964,0.21768980,0.07290887
150,0.04971025,0.10085371,0.21768961,0.07322511
151,0.04969549,0.10145014,0.21760439,0.07285163
152,0.04968938,0.10165082,0.21756007,0.07315159
153,0.04965989,0.10034914,0.21748751,0.07293445
154,0.04965397,0.10060659,0.21742476,0.07261580
155,0.04964673,0.10022026,0.21741726,0.07243587
156,0.04962424,0.10135683,0.21730354,0.07289367
157,0.04960245,0.10116453,0.21722066,0.07249712
158,0.04957718,0.10023951,0.21706323,0.07253962
