epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.27173051,0.44274436,0.99560597,0.16501358
2,0.58451250,0.31646579,0.69066359,0.13839879
3,0.46392539,0.26965074,0.61796279,0.12651079
4,0.39313851,0.24298952,0.57009919,0.11908612
5,0.34718649,0.22514561,0.53722820,0.11423492
6,0.31153127,0.21472418,0.50966167,0.11077478
7,0.28624283,0.20521624,0.48928265,0.10812819
8,0.26727091,0.19896705,0.47319684,0.10583559
9,0.25026090,0.19374067,0.45851002,0.10421709
10,0.23607989,0.19046114,0.44537930,0.10282256
11,0.22400418,0.18819077,0.43431716,0.10174460
12,0.21287076,0.18422387,0.42331940,0.10031360
13,0.20371742,0.18062198,0.41428844,0.09948118
14,0.19518172,0.17892261,0.40578829,0.09882376
15,0.18807352,0.17451833,0.39844306,0.09779814
16,0.17992346,0.17286165,0.38983340,0.09699237
17,0.17397909,0.17171555,0.38309732,0.09651752
18,0.16711971,0.16915044,0.37574549,0.09574443
19,0.16153072,0.16533862,0.36936596,0.09476241
20,0.15650079,0.16375487,0.36348313,0.09418680
21,0.15109699,0.16076109,0.35689684,0.09352359
22,0.14676453,0.15880504,0.35175731,0.09291745
23,0.14267335,0.15723811,0.34669301,0.09232439
24,0.13855292,0.15564205,0.34155299,0.09161181
25,0.13427393,0.15416651,0.33609174,0.09149678
26,0.13108023,0.15243482,0.33182277,0.09110332
27,0.12742655,0.14972759,0.32710840,0.09012381
28,0.12456258,0.14831755,0.32327332,0.08977173
29,0.12131169,0.14758193,0.31882048,0.08990823
30,0.11829671,0.14495785,0.31479646,0.08890832
31,0.11567693,0.14353084,0.31120879,0.08851632
32,0.11262915,0.14303482,0.30653889,0.08800214
33,0.10996201,0.14033718,0.30266488,0.08771279
34,0.10754566,0.13999283,0.29949093,0.08721591
35,0.10535781,0.13865833,0.29575450,0.08617129
36,0.10317060,0.13789874,0.29253398,0.08679487
37,0.10152306,0.13608209,0.28985750,0.08602948
38,0.09908770,0.13523044,0.28602877,0.08568498
39,0.09729156,0.13386383,0.28327101,0.08579208
40,0.09493958,0.13328084,0.27943115,0.08515668
41,0.09355466,0.13178534,0.27714981,0.08491519
42,0.09208626,0.13351701,0.27460298,0.08530299
43,0.09013779,0.13108278,0.27148206,0.08440006
44,0.08851133,0.13135073,0.26838887,0.08425243
45,0.08716311,0.13168396,0.26599792,0.08405136
46,0.08548154,0.12837292,0.26333208,0.08361061
47,0.08444050,0.12807491,0.26106099,0.08375151
48,0.08294629,0.12747307,0.25860962,0.08332838
49,0.08154921,0.12571037,0.25593379,0.08247402
50,0.08079217,0.12600542,0.25441007,0.08235066
