epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.60795301,0.17869221,0.69465576,0.10511553
2,0.32868857,0.14054625,0.51740484,0.09060509
3,0.25159920,0.12819846,0.45459832,0.08495412
4,0.21293601,0.12119940,0.41885369,0.08197725
5,0.19033349,0.11952650,0.39630143,0.08096889
6,0.17532945,0.11723857,0.38074252,0.08004858
7,0.16340736,0.11614715,0.36759996,0.07957045
8,0.15422437,0.11456444,0.35736701,0.07911516
9,0.14675824,0.11455471,0.34879284,0.07890453
10,0.13996434,0.11414465,0.34056150,0.07864853
11,0.13381526,0.11375074,0.33330840,0.07844472
12,0.12785038,0.11370912,0.32590544,0.07826124
13,0.12250375,0.11278102,0.31915464,0.07779571
14,0.11777901,0.11200605,0.31309793,0.07757865
15,0.11285925,0.11228785,0.30656912,0.07762061
16,0.10833954,0.11063933,0.30048121,0.07706233
17,0.10424448,0.11093225,0.29475605,0.07690804
18,0.10044239,0.11099196,0.28936943,0.07687015
19,0.09671920,0.11001677,0.28400948,0.07649589
20,0.09318560,0.11040632,0.27876908,0.07648312
21,0.08999647,0.10975164,0.27384915,0.07628342
22,0.08714855,0.10995916,0.26941318,0.07645611
23,0.08428574,0.11033041,0.26497581,0.07647642
24,0.08155714,0.10972237,0.26065055,0.07625147
25,0.07894301,0.11008197,0.25648774,0.07618963
26,0.07664202,0.11002139,0.25267287,0.07627463
27,0.07435897,0.11112824,0.24901874,0.07641909
28,0.07206720,0.11233239,0.24516719,0.07652272
29,0.06980273,0.11230764,0.24133143,0.07654718
30,0.06783121,0.11189540,0.23790849,0.07660427
31,0.06585707,0.11115134,0.23440247,0.07618729
32,0.06394859,0.11296876,0.23107645,0.07649112
33,0.06223066,0.11350471,0.22798285,0.07630650
34,0.06031077,0.11208132,0.22450520,0.07598529
35,0.05871613,0.11298788,0.22157651,0.07648094
36,0.05722866,0.11498584,0.21874711,0.07682285
37,0.05575379,0.11439069,0.21601725,0.07651449
38,0.05428831,0.11418304,0.21323842,0.07666367
39,0.05279205,0.11417993,0.21032595,0.07652463
40,0.05160013,0.11025078,0.20799050,0.07562162
41,0.05038307,0.11309681,0.20557131,0.07601653
