epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.78200204,0.23827670,0.78121840,0.12443821
2,0.43839844,0.17357291,0.59385707,0.10366865
3,0.34433134,0.14896354,0.52843706,0.09395848
4,0.28699402,0.13715828,0.48330937,0.08891641
5,0.25067574,0.12889843,0.45273357,0.08548832
6,0.22426795,0.12525745,0.42901740,0.08361992
7,0.20593810,0.12117519,0.41127576,0.08202436
8,0.19277454,0.11949512,0.39825529,0.08115954
9,0.18227184,0.11824287,0.38755193,0.08061427
10,0.17352707,0.11686657,0.37823552,0.08001995
11,0.16620836,0.11673986,0.37024490,0.07982401
12,0.15967543,0.11604233,0.36291682,0.07952579
13,0.15453895,0.11529119,0.35706200,0.07936768
14,0.14932893,0.11473068,0.35110948,0.07910702
15,0.14546053,0.11438408,0.34658281,0.07889044
16,0.14054465,0.11385401,0.34078806,0.07872626
17,0.13691285,0.11396313,0.33637308,0.07867650
18,0.13301853,0.11415607,0.33187865,0.07850244
19,0.12948910,0.11417107,0.32741095,0.07842546
20,0.12581144,0.11434878,0.32278677,0.07843006
21,0.12240447,0.11390318,0.31827130,0.07807407
22,0.11915828,0.11337522,0.31423217,0.07796211
23,0.11624284,0.11286872,0.31052017,0.07773704
24,0.11350987,0.11226224,0.30687493,0.07746191
25,0.11081323,0.11219907,0.30308287,0.07763850
26,0.10799543,0.11258141,0.29910285,0.07764477
27,0.10551435,0.11130528,0.29573579,0.07727840
28,0.10305491,0.11204099,0.29225113,0.07717850
29,0.10062834,0.11165694,0.28872820,0.07714150
30,0.09833485,0.11060257,0.28535880,0.07694367
31,0.09631779,0.10954028,0.28246027,0.07671441
32,0.09390249,0.11092814,0.27882624,0.07684940
33,0.09178659,0.11000815,0.27554536,0.07671296
34,0.08988331,0.11002019,0.27260249,0.07648421
35,0.08813874,0.10967069,0.26983704,0.07616891
36,0.08651199,0.11233577,0.26711762,0.07700429
37,0.08485360,0.11016333,0.26463862,0.07641931
38,0.08297198,0.10944080,0.26176333,0.07646009
39,0.08138309,0.10860775,0.25912056,0.07620364
40,0.07970905,0.11021577,0.25646673,0.07634494
41,0.07835168,0.10930573,0.25408853,0.07635594
42,0.07691615,0.11128416,0.25174211,0.07654558
43,0.07527051,0.11057618,0.24902613,0.07632245
44,0.07397725,0.11126663,0.24662638,0.07641541
45,0.07245863,0.11165622,0.24422319,0.07643166
46,0.07133784,0.11068346,0.24229067,0.07631896
