epoch,train_loss,val_loss,train_rmse,val_rmse
1,2.07751098,0.97642957,1.25839582,0.27045168
2,1.16233364,0.57887632,0.96978031,0.19838133
3,0.80042752,0.44598317,0.81064037,0.17266643
4,0.65024135,0.38642756,0.73244236,0.15805719
5,0.56855718,0.35255220,0.68618209,0.14915906
6,0.51685385,0.33452707,0.65465850,0.14442295
7,0.47513607,0.31874678,0.63019257,0.14019950
8,0.43721861,0.31300575,0.60497464,0.13810359
9,0.40692823,0.30098195,0.58441027,0.13518867
10,0.38043461,0.29720017,0.56652328,0.13350537
11,0.36037326,0.29401733,0.55136560,0.13295386
12,0.34442930,0.29276675,0.53984478,0.13227507
13,0.32574306,0.28670928,0.52557135,0.13057349
14,0.31230667,0.28375201,0.51484006,0.12931493
15,0.29826077,0.28511163,0.50411569,0.12934842
16,0.28648926,0.28440489,0.49381756,0.12915830
17,0.27626304,0.28374049,0.48501560,0.12957943
18,0.26702045,0.28258475,0.47673161,0.12905214
19,0.25635007,0.28102903,0.46770070,0.12831417
20,0.24954284,0.27840360,0.46175888,0.12803472
21,0.24321813,0.28185554,0.45628488,0.12873623
22,0.23435452,0.27955234,0.44851366,0.12808001
23,0.22933261,0.27727425,0.44296624,0.12768768
24,0.22352961,0.28134174,0.43739084,0.12845373
25,0.21693453,0.28296387,0.43107295,0.12913898
26,0.21177914,0.28147504,0.42647562,0.12870796
27,0.20739540,0.28283960,0.42237543,0.12852750
28,0.20145383,0.28018925,0.41630263,0.12793174
29,0.19682550,0.27814845,0.41123628,0.12843675
30,0.19399627,0.28039554,0.40836480,0.12875366
31,0.18769036,0.28067251,0.40188519,0.12868911
32,0.18402247,0.28234378,0.39813983,0.12964116
33,0.17981847,0.28177942,0.39345350,0.12915273
34,0.17640769,0.28456509,0.38963819,0.12985410
35,0.17304660,0.28121979,0.38646342,0.12888345
36,0.16874958,0.28501418,0.38152065,0.12951196
37,0.16665267,0.28860759,0.37928503,0.13014626
38,0.16404770,0.28350638,0.37604581,0.12983002
39,0.15941340,0.28554902,0.37081698,0.13000281
40,0.15627739,0.29121011,0.36694180,0.13040213
41,0.15404505,0.28698612,0.36457791,0.12993255
42,0.15014484,0.29075294,0.35975855,0.13054817
43,0.14794277,0.29047201,0.35775022,0.13100449
44,0.14682751,0.29398225,0.35593126,0.13100883
45,0.14485987,0.29058227,0.35346042,0.13073932
46,0.14088067,0.29245785,0.34902301,0.13123620
47,0.13897651,0.29414945,0.34620631,0.13066147
48,0.13713988,0.29713578,0.34407002,0.13168991
49,0.13363709,0.29237409,0.33983630,0.13044497
50,0.13186475,0.29475064,0.33745564,0.13095160
51,0.12987910,0.29475966,0.33465744,0.13113902
52,0.12813956,0.29211240,0.33241630,0.13125027
53,0.12588328,0.28898992,0.32969704,0.12980204
54,0.12392425,0.29023463,0.32708790,0.13023592
55,0.12270015,0.29218436,0.32536969,0.13046480
56,0.12123160,0.29670346,0.32341297,0.13074652
57,0.11973729,0.29829829,0.32144476,0.13121285
58,0.11786537,0.29644150,0.31884996,0.13072127
59,0.11708754,0.29869557,0.31764270,0.13170871
60,0.11523060,0.29658876,0.31541842,0.13023197
61,0.11405805,0.29581859,0.31339057,0.13073844
62,0.11312881,0.29918323,0.31205847,0.13032231
63,0.11170024,0.29568223,0.31011958,0.13109727
64,0.10971039,0.29387320,0.30740644,0.13097136
65,0.10944203,0.30009773,0.30716392,0.13113700
66,0.10752642,0.29807256,0.30424589,0.13007292
67,0.10604297,0.29777658,0.30222974,0.13083444
68,0.10584403,0.30550304,0.30192102,0.13165645
69,0.10545148,0.30154495,0.30135918,0.13167936
70,0.10301117,0.29759895,0.29778069,0.13132069
71,0.10302560,0.30050883,0.29774182,0.13183434
72,0.10142107,0.29927231,0.29533333,0.13104152
73,0.10075276,0.29648352,0.29442532,0.13010008
74,0.09985774,0.29764056,0.29321148,0.13111203
75,0.09932590,0.30221122,0.29222835,0.13109453
76,0.09764910,0.30201986,0.28985384,0.13078056
77,0.09691784,0.29820826,0.28912066,0.13114521
78,0.09675455,0.30355053,0.28846719,0.13154016
79,0.09623569,0.29915802,0.28764150,0.13096835
80,0.09435867,0.30353680,0.28477396,0.13121990
81,0.09388102,0.29674418,0.28417157,0.13100531
82,0.09334354,0.29943954,0.28343131,0.13121275
83,0.09291315,0.29806763,0.28249130,0.13111932
84,0.09255914,0.30048267,0.28187096,0.13197425
85,0.09147332,0.29862539,0.28037579,0.13134854
86,0.09107766,0.30018165,0.27979507,0.13166876
87,0.08986927,0.29906065,0.27801941,0.13118086
88,0.08923566,0.30062104,0.27720797,0.13114841
89,0.08838012,0.29860782,0.27562940,0.13205491
90,0.08781416,0.29643240,0.27494580,0.13099463
91,0.08734151,0.29600252,0.27382468,0.13100775
92,0.08566211,0.30103312,0.27124267,0.13149896
93,0.08585623,0.29392031,0.27143131,0.13096927
94,0.08574775,0.29389217,0.27136456,0.13121140
95,0.08446404,0.29661962,0.26932060,0.13202397
96,0.08417217,0.29462963,0.26842779,0.13083755
97,0.08404335,0.29879182,0.26836462,0.13136014
