epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.66923478,0.64230757,1.15576880,0.22221257
2,0.74836383,0.42665995,0.78793489,0.17383256
3,0.57463465,0.37784264,0.69250483,0.15862596
4,0.49029391,0.35529500,0.64267291,0.15078398
5,0.42883464,0.33702617,0.60488002,0.14558658
6,0.38740670,0.32331961,0.57763850,0.14189435
7,0.35064591,0.31420702,0.55139991,0.13996524
8,0.32462437,0.30557940,0.53272226,0.13781524
9,0.30266305,0.30279045,0.51573373,0.13714197
10,0.28198960,0.29434049,0.49955094,0.13529740
11,0.26697754,0.29162424,0.48731558,0.13447569
12,0.25266781,0.28758466,0.47539536,0.13396937
13,0.24059826,0.28581295,0.46524247,0.13323719
14,0.23010641,0.27941047,0.45538757,0.13268909
15,0.22066076,0.27964043,0.44694598,0.13233751
16,0.21249542,0.28090667,0.43926434,0.13262389
17,0.20443554,0.27566610,0.43198026,0.13188092
18,0.19768561,0.27718422,0.42503750,0.13221891
19,0.19114613,0.27516159,0.41852345,0.13186789
20,0.18588308,0.27301671,0.41353821,0.13110192
21,0.18049130,0.27283165,0.40826492,0.13109743
22,0.17544291,0.26719248,0.40296369,0.12988485
23,0.17060027,0.26967524,0.39839816,0.13034124
24,0.16650650,0.26687366,0.39421981,0.12981603
25,0.16270426,0.26592273,0.39000280,0.12973781
26,0.15891106,0.26311551,0.38624161,0.12867292
27,0.15553484,0.26026093,0.38341830,0.12855863
28,0.15190163,0.26240094,0.37935023,0.12843640
29,0.14935719,0.25935875,0.37736725,0.12765289
30,0.14606871,0.25800452,0.37431565,0.12730479
31,0.14351633,0.25649393,0.37203323,0.12657926
32,0.14107253,0.25617282,0.36999409,0.12656844
33,0.13843374,0.25026794,0.36785917,0.12569331
34,0.13612685,0.24932566,0.36606270,0.12509158
35,0.13383843,0.24829231,0.36444507,0.12479220
36,0.13206122,0.24525951,0.36334463,0.12372541
37,0.12949513,0.24615630,0.36122666,0.12406294
38,0.12763440,0.24269050,0.36067020,0.12343678
39,0.12568215,0.24506315,0.35963892,0.12326592
40,0.12423046,0.24250845,0.35988521,0.12264140
41,0.12239912,0.23961326,0.35906943,0.12193593
42,0.12050099,0.23929232,0.35810906,0.12148424
43,0.11906459,0.23815219,0.35824645,0.12140229
44,0.11722907,0.23487946,0.35789615,0.12055406
45,0.11595247,0.23444302,0.35867275,0.12059770
46,0.11420657,0.23252060,0.35865160,0.11965951
47,0.11268132,0.23043188,0.35849066,0.11961930
48,0.11115812,0.23071737,0.35919235,0.11930227
49,0.10964003,0.22929506,0.35961783,0.11885503
50,0.10827281,0.23014141,0.36015974,0.11894344
51,0.10758098,0.22828868,0.35999116,0.11902709
52,0.10679548,0.22900151,0.35842936,0.11905452
53,0.10634460,0.22752555,0.35821929,0.11814430
54,0.10546640,0.22557291,0.35608501,0.11799511
55,0.10497226,0.22905671,0.35552222,0.11839375
56,0.10452859,0.22772274,0.35448580,0.11861754
57,0.10404811,0.22657259,0.35371057,0.11786847
58,0.10363714,0.22634548,0.35261769,0.11748012
59,0.10277975,0.22400051,0.35104049,0.11722426
60,0.10244451,0.22342887,0.34989404,0.11712243
61,0.10177530,0.22346971,0.34876146,0.11683271
62,0.10180527,0.22405694,0.34877462,0.11691115
63,0.10108609,0.22650225,0.34754116,0.11761258
64,0.10083039,0.22190685,0.34659463,0.11675280
65,0.10040233,0.22443026,0.34599879,0.11720822
66,0.09997653,0.22411062,0.34433744,0.11686023
67,0.09967053,0.22158776,0.34447946,0.11625792
68,0.09930610,0.22168730,0.34331404,0.11670008
69,0.09894912,0.22006980,0.34286579,0.11658921
70,0.09856471,0.22130336,0.34168537,0.11649855
71,0.09825232,0.22138533,0.34106533,0.11621650
72,0.09774267,0.22300207,0.33937582,0.11698024
73,0.09739251,0.22289408,0.33928765,0.11648905
74,0.09705809,0.22382943,0.33796826,0.11718687
75,0.09680876,0.22089126,0.33739286,0.11588296
76,0.09656615,0.22074098,0.33715438,0.11591857
77,0.09627470,0.22248669,0.33645692,0.11620401
78,0.09593029,0.22427800,0.33527263,0.11660692
79,0.09545742,0.21979839,0.33413891,0.11636270
80,0.09553430,0.22075915,0.33474324,0.11618301
81,0.09499068,0.21900036,0.33290796,0.11600257
82,0.09496083,0.22144816,0.33297613,0.11625272
