epoch,train_loss,val_loss,train_rmse,val_rmse
1,2.64574617,1.61287046,1.39980094,0.36126896
2,2.29789042,1.38370629,1.31855021,0.33155820
3,1.88998094,1.16385131,1.22199185,0.30060062
4,1.57656246,0.96585729,1.12714691,0.26938173
5,1.34104967,0.80675618,1.04864296,0.24110483
6,1.15439779,0.69175496,0.97607037,0.21962677
7,1.02212040,0.60201506,0.92063295,0.20353487
8,0.87749696,0.52591420,0.85840619,0.18941060
9,0.78147140,0.47319619,0.81408581,0.17940252
10,0.71032976,0.44550057,0.77729905,0.17463909
11,0.65593329,0.42694852,0.74661453,0.17064184
12,0.61595643,0.40509046,0.72522744,0.16491064
13,0.57763986,0.38208288,0.70375701,0.15867282
14,0.55610876,0.36316389,0.69216969,0.15316988
15,0.52854675,0.34866762,0.67722440,0.14908054
16,0.50687619,0.33648535,0.66477449,0.14596998
17,0.48051206,0.32784367,0.64819944,0.14387425
18,0.46779104,0.32065430,0.64381331,0.14208468
19,0.44164474,0.31455005,0.62527008,0.14054572
20,0.43157180,0.31010999,0.62042172,0.13947802
21,0.42243883,0.30697907,0.61690200,0.13847160
22,0.40378038,0.30497294,0.60261962,0.13775311
23,0.39057352,0.30124138,0.59337976,0.13684154
24,0.37613613,0.29744160,0.58585506,0.13580148
25,0.36778846,0.29454779,0.57978723,0.13476457
26,0.35300348,0.29343983,0.56866272,0.13425546
27,0.34726806,0.29029923,0.56737021,0.13353273
28,0.33587304,0.28644949,0.55796557,0.13254625
29,0.33067457,0.28395634,0.55449022,0.13160732
30,0.32225616,0.28230097,0.54978374,0.13141648
31,0.31428675,0.28023670,0.54408006,0.13114999
32,0.30839781,0.27862352,0.54108684,0.13056016
33,0.30023339,0.27747851,0.53463498,0.13024468
34,0.29323386,0.27834500,0.53025317,0.13022518
35,0.29213163,0.27865932,0.53050721,0.12994603
36,0.28300472,0.27668858,0.52487871,0.12967302
37,0.27661128,0.27692425,0.51887376,0.12975447
38,0.26628575,0.27628741,0.51325238,0.12955914
39,0.26670546,0.27465203,0.51387454,0.12904082
40,0.26041222,0.27204204,0.50947561,0.12810501
41,0.25264198,0.26934910,0.50236073,0.12760464
42,0.24852866,0.26892590,0.50032641,0.12769399
43,0.24448737,0.26886773,0.49776937,0.12755131
44,0.24357044,0.26850962,0.50016004,0.12761399
45,0.23625321,0.26803531,0.49229774,0.12761699
46,0.23319933,0.26779665,0.49115384,0.12726120
47,0.22851532,0.26738799,0.48862921,0.12712083
48,0.22645643,0.26713602,0.48948012,0.12718710
49,0.22158507,0.26548223,0.48551059,0.12661307
50,0.21983381,0.26411807,0.48639718,0.12599179
51,0.21599890,0.26403336,0.48122022,0.12618127
52,0.21774982,0.26376152,0.48499866,0.12599609
53,0.21204096,0.26387120,0.47783866,0.12610362
54,0.20956676,0.26348747,0.47689073,0.12627174
55,0.20798830,0.26133602,0.47330489,0.12569285
56,0.20603437,0.26026004,0.47276932,0.12512647
57,0.20794128,0.26064984,0.47618796,0.12529218
58,0.20233141,0.26018103,0.46804865,0.12529805
59,0.19935294,0.25988522,0.46473780,0.12515932
60,0.19819548,0.26089314,0.46238568,0.12548529
61,0.19577400,0.25921482,0.46007276,0.12516625
62,0.19639018,0.25844316,0.46184469,0.12509507
63,0.19526339,0.25848382,0.45926480,0.12504619
64,0.19356961,0.25957475,0.45904612,0.12511511
65,0.19245552,0.25926670,0.45757163,0.12513501
66,0.19051770,0.25832695,0.45662724,0.12500037
67,0.18952312,0.25781492,0.45475040,0.12484966
68,0.18940888,0.25764348,0.45427657,0.12484291
69,0.18536890,0.25684738,0.44900011,0.12459039
70,0.18525742,0.25627819,0.44837316,0.12443086
71,0.18471108,0.25643617,0.44756559,0.12458683
72,0.18417799,0.25605478,0.44790619,0.12473155
73,0.18178912,0.25548729,0.44491127,0.12463691
74,0.18195358,0.25514810,0.44545052,0.12444044
75,0.18016815,0.25505496,0.44312346,0.12435933
76,0.17931655,0.25485817,0.44256602,0.12407474
77,0.17895086,0.25523876,0.44175012,0.12403551
78,0.17792403,0.25576258,0.43993622,0.12423746
79,0.17591372,0.25496544,0.43814626,0.12416874
80,0.17697761,0.25341508,0.43769176,0.12378618
81,0.17588369,0.25315862,0.43759072,0.12383079
82,0.17412868,0.25268104,0.43490615,0.12380579
83,0.17310157,0.25265555,0.43391420,0.12365102
84,0.17282772,0.25379070,0.43314557,0.12404887
85,0.17098289,0.25457749,0.43113799,0.12411964
86,0.17018862,0.25376394,0.43024799,0.12387901
87,0.17166886,0.25287449,0.43036227,0.12394537
88,0.16874064,0.25260609,0.42735368,0.12393629
89,0.16636743,0.25110122,0.42516305,0.12353363
90,0.16832200,0.25167161,0.42858642,0.12374499
91,0.16740739,0.25325909,0.42569986,0.12402812
92,0.16600687,0.25164001,0.42562029,0.12357214
93,0.16510072,0.25050997,0.42364926,0.12362804
94,0.16483763,0.25048354,0.42321581,0.12373375
95,0.16430607,0.24965637,0.42085551,0.12352198
96,0.16402200,0.25161187,0.42208881,0.12380789
97,0.16185834,0.25338466,0.42001581,0.12397383
98,0.16393420,0.25331155,0.42194024,0.12374280
99,0.16232491,0.25313459,0.41940247,0.12380268
100,0.16074873,0.25277883,0.41800581,0.12414643
101,0.16178278,0.25148024,0.41909561,0.12388607
102,0.16003973,0.25254830,0.41744576,0.12411579
103,0.15877260,0.25337879,0.41499590,0.12429812
104,0.15718203,0.25172924,0.41269068,0.12378629
105,0.15741802,0.25114978,0.41242369,0.12350255
106,0.15737442,0.25123452,0.41253363,0.12360520
107,0.15790588,0.25033211,0.41257205,0.12349070
108,0.15635275,0.25049630,0.41134119,0.12355581
109,0.15596849,0.25040331,0.41145980,0.12360024
110,0.15599698,0.25059183,0.41066849,0.12366303
111,0.15469059,0.25071061,0.40953363,0.12370256
112,0.15526365,0.25037950,0.40941297,0.12384474
113,0.15325031,0.24929740,0.40807183,0.12335635
114,0.15383623,0.24850587,0.40718654,0.12329452
115,0.15398873,0.24908160,0.41040217,0.12340248
116,0.15223659,0.24956746,0.40510544,0.12336863
117,0.15242793,0.25052837,0.40693446,0.12354074
118,0.15283497,0.24958565,0.40715574,0.12332999
119,0.15268186,0.24869362,0.40728036,0.12312167
120,0.14937432,0.24914277,0.40127504,0.12339848
121,0.15051639,0.24946468,0.40228314,0.12357198
122,0.14933509,0.24918561,0.40141897,0.12346110
123,0.14967441,0.24818229,0.40152238,0.12330364
124,0.15043991,0.24898631,0.40316530,0.12340540
125,0.14904234,0.24878285,0.40167061,0.12325771
126,0.14745143,0.24904602,0.39886217,0.12317899
127,0.14914990,0.24891469,0.40108378,0.12349408
128,0.14733746,0.24765629,0.39822804,0.12336934
129,0.14802073,0.24658870,0.39958357,0.12293786
130,0.14809675,0.24835363,0.39858386,0.12343136
131,0.14601876,0.25002766,0.39766814,0.12368128
132,0.14470287,0.24883943,0.39476876,0.12313591
133,0.14706332,0.24877618,0.39760060,0.12331684
134,0.14522220,0.24964597,0.39537663,0.12334003
135,0.14369659,0.24890721,0.39211560,0.12327016
136,0.14508916,0.24916460,0.39445223,0.12333581
137,0.14470008,0.24913686,0.39509173,0.12325228
138,0.14333978,0.24797225,0.39331097,0.12337648
139,0.14330748,0.24762566,0.39184034,0.12340150
140,0.14334371,0.24885420,0.39108345,0.12364484
141,0.14165992,0.24946208,0.39011768,0.12376952
142,0.14156164,0.24881336,0.39062514,0.12354573
143,0.14253796,0.24746272,0.39080443,0.12317037
144,0.14231028,0.24660440,0.39193010,0.12287299
145,0.14265004,0.24866065,0.39234058,0.12346806
146,0.14019158,0.25103058,0.38805604,0.12382761
147,0.14009108,0.25029069,0.38717929,0.12365784
148,0.14056030,0.24812987,0.38806667,0.12337823
149,0.13838344,0.24656743,0.38531810,0.12340309
150,0.13931089,0.24686117,0.38615441,0.12337745
151,0.13816118,0.24942333,0.38393138,0.12363191
152,0.13801619,0.25004283,0.38412976,0.12352374
153,0.13977473,0.24865047,0.38642432,0.12341982
154,0.13939426,0.24839272,0.38587980,0.12340739
155,0.13850994,0.24842488,0.38570773,0.12354376
156,0.13848341,0.24714629,0.38351465,0.12342553
157,0.13751372,0.24626256,0.38294527,0.12315647
158,0.13722301,0.24893487,0.38292187,0.12375526
159,0.13597410,0.24837623,0.38176203,0.12355613
160,0.13624517,0.24736369,0.38055898,0.12328869
161,0.13576696,0.24775761,0.38071739,0.12338509
