epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27711887,0.22680004,0.49339174,0.11452163
2,0.26267778,0.22155226,0.47901060,0.11237985
3,0.24514905,0.21672720,0.45976326,0.11127968
4,0.22815846,0.21386839,0.43795814,0.11085986
5,0.21602731,0.21296572,0.41989387,0.11068992
6,0.20744192,0.21355132,0.40568691,0.11075770
7,0.20136849,0.21447188,0.39543600,0.11092862
8,0.19630888,0.21614421,0.38676647,0.11110991
9,0.19209571,0.21798265,0.37938762,0.11125488
10,0.18824344,0.21878325,0.37305139,0.11123085
11,0.18537053,0.21902602,0.36781360,0.11126791
12,0.18236605,0.22201663,0.36258717,0.11165242
13,0.17997743,0.22493160,0.35834848,0.11169749
14,0.17762809,0.22379783,0.35391321,0.11150184
15,0.17560273,0.22405027,0.35005528,0.11135815
16,0.17367637,0.22373582,0.34678882,0.11108491
17,0.17184626,0.22204541,0.34340559,0.11088100
18,0.17029111,0.22076141,0.34022228,0.11086405
19,0.16892276,0.22315418,0.33783421,0.11108583
20,0.16757224,0.22217877,0.33522177,0.11090837
21,0.16619104,0.22341494,0.33250666,0.11106642
22,0.16510396,0.21960729,0.33021456,0.11027367
23,0.16387838,0.21921029,0.32824316,0.11021215
24,0.16271048,0.22050978,0.32591858,0.11066362
25,0.16174917,0.21900924,0.32400658,0.11013864
26,0.16086869,0.21793127,0.32227540,0.11040612
27,0.15994853,0.21376089,0.32038740,0.10932826
28,0.15896540,0.21403639,0.31840471,0.10921462
29,0.15807496,0.21581512,0.31702700,0.10966196
30,0.15748489,0.21479989,0.31540518,0.10997917
31,0.15653441,0.21686332,0.31384366,0.10939324
32,0.15585914,0.21251210,0.31252887,0.10899663
33,0.15481818,0.21277661,0.31087705,0.10906485
34,0.15416975,0.21516282,0.30930147,0.10947462
35,0.15348026,0.21467704,0.30815469,0.10933880
36,0.15279728,0.21079205,0.30655970,0.10876643
37,0.15201601,0.21305178,0.30494819,0.10933022
38,0.15166303,0.21051037,0.30434869,0.10829100
39,0.15090049,0.21004789,0.30287386,0.10887507
40,0.15013001,0.21099314,0.30125477,0.10918702
41,0.14939750,0.21086831,0.30003412,0.10930392
42,0.14907142,0.20792236,0.29945075,0.10904582
43,0.14849809,0.21123038,0.29807925,0.10961501
44,0.14787665,0.21181676,0.29666774,0.10908890
45,0.14749762,0.21212776,0.29609622,0.10969452
46,0.14663178,0.20856657,0.29476303,0.10953928
47,0.14619127,0.20885304,0.29347152,0.10894057
48,0.14586696,0.21090687,0.29288616,0.10965593
49,0.14544099,0.20678154,0.29169186,0.10977702
50,0.14502198,0.21086812,0.29103897,0.11002604
51,0.14438635,0.20824608,0.28974756,0.11025090
52,0.14402157,0.20744942,0.28915554,0.10946392
53,0.14366406,0.20816328,0.28829252,0.10984394
54,0.14308948,0.20876410,0.28711542,0.11044666
55,0.14268764,0.20901817,0.28649367,0.11053797
56,0.14215159,0.20947619,0.28515656,0.11017578
57,0.14201678,0.21061979,0.28490192,0.11074674
58,0.14159134,0.20914655,0.28392237,0.11114659
59,0.14104764,0.20816252,0.28285559,0.11010238
60,0.14077733,0.20766098,0.28242813,0.11058961
61,0.14048951,0.20930727,0.28161814,0.11089362
62,0.14018512,0.21222518,0.28123905,0.11092834
63,0.14003016,0.20983787,0.28048800,0.11112199
64,0.13951433,0.20937807,0.27993144,0.11094964
65,0.13922925,0.21038381,0.27909926,0.11123960
66,0.13888319,0.20829785,0.27829837,0.11107422
67,0.13841086,0.21048367,0.27742415,0.11093784
68,0.13859942,0.21209074,0.27774458,0.11133556
69,0.13800114,0.21018360,0.27636483,0.11131603
70,0.13794966,0.21061799,0.27657407,0.11151376
71,0.13780195,0.21131642,0.27591573,0.11196629
72,0.13760880,0.20885736,0.27530221,0.11073480
73,0.13720576,0.21043754,0.27472721,0.11079824
74,0.13713655,0.21096457,0.27439142,0.11138663
75,0.13688530,0.21085839,0.27396256,0.11155614
76,0.13640774,0.21244000,0.27311596,0.11163784
77,0.13633442,0.21203500,0.27267552,0.11138354
78,0.13613219,0.21180732,0.27196192,0.11194573
79,0.13590107,0.21017414,0.27196978,0.11134739
80,0.13558093,0.21106178,0.27114872,0.11176008
81,0.13557594,0.21094133,0.27121363,0.11169893
82,0.13519990,0.21224959,0.27036280,0.11189056
83,0.13525720,0.21041063,0.27039214,0.11143702
84,0.13483298,0.20937816,0.26981330,0.11147979
85,0.13486618,0.21133675,0.26936266,0.11198434
86,0.13460199,0.21180478,0.26921540,0.11162461
87,0.13437620,0.21131459,0.26840231,0.11182872
88,0.13415623,0.21149595,0.26803403,0.11192204
89,0.13416887,0.21023477,0.26806805,0.11170343
90,0.13402602,0.21060166,0.26740648,0.11148370
91,0.13400949,0.21009006,0.26771349,0.11174263
92,0.13378584,0.21190656,0.26711464,0.11242108
93,0.13365398,0.21193351,0.26647375,0.11213088
94,0.13335184,0.20945077,0.26639053,0.11179305
95,0.13341604,0.21171775,0.26626653,0.11205264
96,0.13326212,0.21209234,0.26568985,0.11149506
97,0.13283364,0.21154470,0.26513371,0.11218406
98,0.13275559,0.21013127,0.26460500,0.11194629
99,0.13265562,0.21065411,0.26449734,0.11196951
100,0.13221726,0.21301864,0.26355453,0.11213273
101,0.13219865,0.21089701,0.26367335,0.11203194
102,0.13222392,0.21274025,0.26370057,0.11202129
103,0.13213699,0.21067549,0.26334799,0.11240552
104,0.13201258,0.21144787,0.26324369,0.11206616
105,0.13192269,0.21005652,0.26286593,0.11180837
106,0.13187078,0.21035569,0.26263741,0.11161054
107,0.13171854,0.21044064,0.26260911,0.11254369
108,0.13170330,0.21060332,0.26231537,0.11183495
109,0.13124797,0.21349400,0.26129564,0.11293118
110,0.13148842,0.21098902,0.26143819,0.11230052
111,0.13132889,0.21172776,0.26152090,0.11241948
112,0.13120736,0.21058284,0.26124842,0.11216709
113,0.13098339,0.21302441,0.26052348,0.11257828
114,0.13091720,0.21161153,0.26049322,0.11214018
115,0.13084770,0.21111570,0.26018445,0.11308886
116,0.13049694,0.21038146,0.25958235,0.11244219
117,0.13060153,0.20998783,0.25969678,0.11251424
118,0.13030723,0.21065340,0.25936451,0.11222127
119,0.13047932,0.21179752,0.25935215,0.11252072
120,0.13037691,0.21357201,0.25923710,0.11249078
121,0.13031633,0.21083651,0.25923023,0.11221679
122,0.13003253,0.21068208,0.25845578,0.11226687
123,0.12997220,0.21080602,0.25826353,0.11244904
124,0.12989054,0.21020905,0.25828344,0.11263596
125,0.12982561,0.21171490,0.25781573,0.11280631
