epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27990895,0.22923319,0.49625595,0.11582940
2,0.27291313,0.22758039,0.48982883,0.11462421
3,0.26376166,0.22525241,0.48152001,0.11321772
4,0.25128751,0.22280696,0.47013439,0.11208619
5,0.23674149,0.22082992,0.45630853,0.11145974
6,0.22122622,0.21936224,0.44070331,0.11124303
7,0.20644328,0.21872005,0.42484309,0.11133092
8,0.19297207,0.22206111,0.40948439,0.11206508
9,0.18257909,0.22345592,0.39674177,0.11266354
10,0.17310240,0.22813181,0.38457473,0.11368116
11,0.16567631,0.23227365,0.37512106,0.11477810
12,0.15893002,0.23768340,0.36589544,0.11583705
13,0.15386152,0.23891082,0.35873544,0.11606516
14,0.14863299,0.24308289,0.35143023,0.11655361
15,0.14425892,0.24772816,0.34525823,0.11754460
16,0.14040755,0.25090596,0.33948679,0.11739187
17,0.13707361,0.25747123,0.33479229,0.11892612
18,0.13360075,0.25546448,0.32926039,0.11859128
19,0.13056867,0.25933638,0.32494301,0.11860394
20,0.12794867,0.25655615,0.32082881,0.11777756
21,0.12489006,0.26385137,0.31639565,0.11890325
22,0.12296012,0.26495150,0.31295581,0.11891101
23,0.12020001,0.26283137,0.30893528,0.11850136
24,0.11865090,0.26282034,0.30606950,0.11831741
25,0.11673871,0.26602379,0.30286998,0.11885653
26,0.11455675,0.27384174,0.29947665,0.11929458
27,0.11317293,0.26723425,0.29749471,0.11890436
28,0.11181856,0.26610268,0.29477408,0.11857581
29,0.10910317,0.26630260,0.29035726,0.11850090
30,0.10850749,0.26616179,0.28932932,0.11847932
31,0.10668249,0.26721867,0.28593488,0.11902041
32,0.10559896,0.26828584,0.28444196,0.11897241
33,0.10420022,0.27155850,0.28197296,0.11886512
34,0.10312229,0.26763957,0.27979888,0.11871419
35,0.10186733,0.26640859,0.27770395,0.11848803
36,0.10101744,0.26835203,0.27601305,0.11861071
37,0.09984183,0.26355579,0.27413403,0.11799453
38,0.09926332,0.26313737,0.27325824,0.11852335
39,0.09745829,0.26050845,0.26965316,0.11798027
40,0.09654307,0.26602496,0.26830996,0.11781753
41,0.09567865,0.26016897,0.26656341,0.11747675
42,0.09530803,0.25456803,0.26591510,0.11747788
43,0.09402130,0.26015226,0.26355533,0.11771484
44,0.09316011,0.26142899,0.26225419,0.11786112
45,0.09299633,0.26034807,0.26157896,0.11721245
46,0.09118086,0.26102801,0.25837035,0.11735768
47,0.09107198,0.25062353,0.25820643,0.11671078
48,0.09023305,0.24965525,0.25633223,0.11629334
49,0.08886269,0.24553220,0.25433131,0.11631244
50,0.08855925,0.25874425,0.25340123,0.11735351
51,0.08783376,0.25243279,0.25201822,0.11731104
52,0.08683948,0.24707355,0.25022584,0.11637615
53,0.08583039,0.24900774,0.24811107,0.11719917
54,0.08531461,0.25665110,0.24714201,0.11760983
55,0.08490790,0.25351145,0.24630628,0.11760898
56,0.08397380,0.25139123,0.24471124,0.11702150
57,0.08336498,0.25374447,0.24370518,0.11748135
58,0.08244436,0.24931476,0.24145033,0.11648975
59,0.08225000,0.25350616,0.24098491,0.11721870
60,0.08155777,0.24916469,0.24008111,0.11725891
61,0.08102599,0.25012983,0.23863658,0.11790061
62,0.08083211,0.24877025,0.23836446,0.11718549
63,0.08046975,0.24903465,0.23775063,0.11723181
64,0.07941712,0.24606965,0.23553185,0.11744595
65,0.07911682,0.24582163,0.23491736,0.11720932
66,0.07847847,0.24513506,0.23380548,0.11652876
67,0.07785876,0.24317838,0.23272059,0.11671628
68,0.07797245,0.24965987,0.23277373,0.11720716
69,0.07726412,0.24763652,0.23115655,0.11792530
70,0.07659273,0.24608429,0.23034996,0.11748889
71,0.07691695,0.24876904,0.23071386,0.11749222
72,0.07594953,0.24686888,0.22879091,0.11717397
73,0.07554543,0.23916366,0.22760461,0.11693727
74,0.07566822,0.24973695,0.22822333,0.11768502
75,0.07514506,0.24753400,0.22722341,0.11758658
76,0.07405600,0.25102802,0.22489168,0.11813160
77,0.07376943,0.25241056,0.22440669,0.11930298
78,0.07336805,0.24814717,0.22351918,0.11881808
79,0.07354521,0.24942955,0.22399552,0.11884062
80,0.07270570,0.24658050,0.22209871,0.11881959
81,0.07284876,0.24284773,0.22250364,0.11826243
82,0.07224672,0.24592153,0.22133130,0.11889672
83,0.07175599,0.24791598,0.21992562,0.11908780
84,0.07186621,0.24897412,0.22072499,0.11941153
85,0.07142770,0.24298314,0.21920059,0.11878644
86,0.07046972,0.24822741,0.21758347,0.11905751
87,0.07101624,0.25149963,0.21842654,0.11951584
88,0.07082107,0.25332567,0.21806438,0.11994640
89,0.07025499,0.24211627,0.21695392,0.11958992
90,0.07000120,0.24030498,0.21657449,0.11924766
91,0.06949198,0.24415194,0.21534131,0.11912485
92,0.06895815,0.24506070,0.21395932,0.11946700
93,0.06897704,0.23961011,0.21423298,0.11925897
