epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.28357957,0.22982683,0.49929518,0.11627755
2,0.27911153,0.22870051,0.49504435,0.11561600
3,0.27542348,0.22735532,0.49115705,0.11485869
4,0.27176235,0.22561627,0.48729557,0.11402476
5,0.26746249,0.22354021,0.48287549,0.11319492
6,0.26215852,0.22151547,0.47727873,0.11250908
7,0.25516439,0.21978847,0.46933157,0.11208437
8,0.24859107,0.21792371,0.46135167,0.11173585
9,0.24214108,0.21626316,0.45286768,0.11139269
10,0.23636944,0.21486106,0.44454849,0.11111633
11,0.23060677,0.21374928,0.43628634,0.11101659
12,0.22684446,0.21288020,0.42995428,0.11083260
13,0.22179901,0.21305008,0.42220099,0.11087348
14,0.21895533,0.21253555,0.41738097,0.11098533
15,0.21534982,0.21288165,0.41185107,0.11081199
16,0.21271654,0.21239518,0.40695759,0.11086449
17,0.21093078,0.21426045,0.40369879,0.11121591
18,0.20772284,0.21314093,0.39898380,0.11100253
19,0.20659728,0.21452098,0.39669270,0.11100155
20,0.20432631,0.21341808,0.39254184,0.11079239
21,0.20203916,0.21461312,0.38918939,0.11105420
22,0.20064447,0.21533673,0.38604976,0.11119379
23,0.19998056,0.21539826,0.38448816,0.11110051
24,0.19698249,0.21523076,0.38033410,0.11088820
25,0.19646298,0.21644990,0.37858671,0.11124238
26,0.19533745,0.21886572,0.37674830,0.11159178
27,0.19363252,0.21764445,0.37411302,0.11137164
28,0.19237754,0.21832102,0.37180566,0.11160232
29,0.19139366,0.21810191,0.36992954,0.11147193
30,0.18916774,0.21894803,0.36660430,0.11145005
31,0.18905184,0.21937112,0.36559316,0.11143142
32,0.18850302,0.21915693,0.36486608,0.11140077
33,0.18703587,0.21972336,0.36194656,0.11113745
34,0.18642806,0.22039247,0.36121190,0.11142391
35,0.18560502,0.21806425,0.35910413,0.11086030
36,0.18467319,0.21975007,0.35785798,0.11143491
37,0.18380147,0.21992240,0.35540587,0.11136750
38,0.18348421,0.21887748,0.35610065,0.11109649
39,0.18286709,0.22051728,0.35417747,0.11152454
40,0.18236511,0.21976768,0.35217276,0.11141946
41,0.18146007,0.22199488,0.35187817,0.11142807
42,0.18073395,0.22235425,0.35052123,0.11141096
43,0.17984755,0.22253227,0.34907522,0.11123538
44,0.17974646,0.22101922,0.34831912,0.11145399
45,0.17915228,0.21834391,0.34703540,0.11078453
46,0.17817183,0.22168458,0.34553145,0.11089509
47,0.17798378,0.22061449,0.34519742,0.11084740
48,0.17773189,0.21755053,0.34420956,0.11068388
49,0.17732515,0.22281675,0.34371038,0.11101791
50,0.17666693,0.22173942,0.34197812,0.11088937
51,0.17593300,0.21884152,0.34172527,0.11054055
52,0.17548762,0.21867567,0.34005077,0.11047069
53,0.17526079,0.22100518,0.33900317,0.11087350
54,0.17487163,0.21920401,0.33959446,0.11032628
55,0.17460349,0.22082145,0.33741129,0.11057961
56,0.17416172,0.21945840,0.33736432,0.11054659
57,0.17366359,0.21922189,0.33639802,0.11023533
58,0.17306409,0.21674834,0.33574486,0.11023225
59,0.17288080,0.21845695,0.33434897,0.11042028
60,0.17254781,0.21715490,0.33476102,0.10976807
61,0.17242143,0.21966236,0.33436762,0.11073110
62,0.17219207,0.21449636,0.33290741,0.10945155
63,0.17130504,0.21828212,0.33313873,0.11000836
64,0.17105687,0.21556174,0.33156579,0.10969976
65,0.17049392,0.21895206,0.33145118,0.10989815
66,0.17050839,0.21390750,0.33072284,0.10974938
67,0.17008042,0.21785264,0.32988048,0.10992741
68,0.17015573,0.21816818,0.32985869,0.10951134
69,0.16895872,0.21555921,0.32756666,0.10991418
70,0.16947197,0.21811668,0.32978552,0.10975452
71,0.16870765,0.21535788,0.32717200,0.10986264
72,0.16877806,0.21613895,0.32754384,0.10989868
73,0.16846310,0.21567298,0.32662569,0.10939885
74,0.16847542,0.21569749,0.32715394,0.10961000
75,0.16801741,0.21562437,0.32598954,0.10960438
76,0.16746511,0.21534204,0.32553981,0.10927387
77,0.16687149,0.21493388,0.32412880,0.10951572
78,0.16741606,0.21502653,0.32467700,0.10951024
79,0.16708167,0.21451954,0.32354890,0.10908761
80,0.16714183,0.21501214,0.32475828,0.10957720
81,0.16660379,0.21390057,0.32314003,0.10917127
82,0.16630370,0.21474962,0.32263584,0.10930236
83,0.16589481,0.21518673,0.32296771,0.10926887
84,0.16547341,0.21514653,0.32117941,0.10960600
85,0.16554420,0.21553791,0.32133438,0.10922709
86,0.16566222,0.21407906,0.32095492,0.10918577
87,0.16531234,0.21499584,0.32132530,0.10926800
88,0.16536129,0.21456439,0.31957871,0.10929385
89,0.16491815,0.21355194,0.32030200,0.10929890
90,0.16432908,0.21457395,0.31838654,0.10900969
91,0.16518727,0.21403728,0.32048545,0.10930649
92,0.16446340,0.21242469,0.31899810,0.10899501
93,0.16406075,0.21393433,0.31910890,0.10905242
94,0.16424423,0.21307394,0.31793160,0.10910851
95,0.16358257,0.21147683,0.31802573,0.10919480
96,0.16388173,0.21187122,0.31789961,0.10923823
97,0.16322721,0.21379190,0.31689823,0.10908658
98,0.16369002,0.21167776,0.31786927,0.10905682
