epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.80625446,1.35510903,0.37299416,0.27999423,2.31672847
2,1.11189739,0.78798295,0.28273802,0.21597676,1.35837546
3,0.76699926,0.57992227,0.23426779,0.18470244,0.93319801
4,0.61761659,0.49355973,0.21030381,0.16856955,0.75489530
5,0.54284967,0.45260637,0.19728809,0.16044452,0.66510769
6,0.49615548,0.42248704,0.18849516,0.15418119,0.60703811
7,0.45975976,0.40311640,0.18079380,0.15012947,0.56093060
8,0.43185789,0.38508949,0.17529863,0.14602008,0.52652538
9,0.40902138,0.37172477,0.17010249,0.14271571,0.49695214
10,0.38849824,0.36216567,0.16577218,0.14007425,0.47141299
11,0.37169222,0.35066978,0.16245679,0.13751864,0.45175335
12,0.35619653,0.34473232,0.15826105,0.13550930,0.43098414
13,0.34218504,0.33466716,0.15516153,0.13355808,0.41375861
14,0.32748568,0.33175717,0.15152828,0.13215652,0.39481696
15,0.31726437,0.32548824,0.14911627,0.13078165,0.38231287
16,0.30551647,0.32157832,0.14612444,0.12959998,0.36755178
17,0.29603907,0.31727506,0.14396167,0.12839692,0.35654184
18,0.28746992,0.31391695,0.14138424,0.12760280,0.34472282
19,0.27856749,0.31060671,0.13953541,0.12666919,0.33489407
20,0.27101514,0.30823301,0.13750055,0.12602248,0.32506489
21,0.26604209,0.30569483,0.13553908,0.12517399,0.31753774
22,0.25692495,0.30268632,0.13364790,0.12460501,0.30782898
23,0.25120156,0.30039913,0.13182797,0.12391155,0.30004023
24,0.24686554,0.29688879,0.13068765,0.12336349,0.29477451
25,0.24239295,0.29564150,0.12938166,0.12292489,0.28927705
26,0.23639404,0.29572752,0.12770153,0.12285357,0.28173320
27,0.22924309,0.29100218,0.12594902,0.12162519,0.27361940
28,0.22789258,0.28966900,0.12533553,0.12168665,0.27173265
29,0.22052991,0.29089900,0.12318951,0.12160513,0.26271865
30,0.21869197,0.28838671,0.12277242,0.12097921,0.26053990
31,0.21388304,0.28524163,0.12157912,0.12067517,0.25524920
32,0.21091909,0.28626797,0.12058566,0.12045666,0.25154021
33,0.20470633,0.28388687,0.11875680,0.12030219,0.24387871
34,0.20425681,0.28405364,0.11858671,0.11998007,0.24332494
35,0.20076981,0.28084705,0.11772248,0.11968589,0.23922368
36,0.19634684,0.28058967,0.11646588,0.11903790,0.23434207
37,0.19255333,0.28092663,0.11505475,0.11911567,0.22921920
38,0.19105028,0.27898411,0.11470840,0.11890153,0.22773113
