epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.94360987,0.43261255,0.26595075,0.16165801,1.18886562
2,0.45329148,0.34500509,0.18019257,0.13907438,0.54807627
3,0.35862348,0.30602043,0.16014565,0.12804879,0.43263743
4,0.30606631,0.28487672,0.14793804,0.12159716,0.36858880
5,0.27031579,0.27286653,0.13878342,0.11754992,0.32468239
6,0.24613855,0.26457125,0.13203081,0.11490487,0.29498499
7,0.22757225,0.25814512,0.12682599,0.11290150,0.27208853
8,0.21252368,0.25405332,0.12240378,0.11146121,0.25387049
9,0.20097986,0.24999805,0.11886288,0.11030661,0.23947863
10,0.18994675,0.24674793,0.11563114,0.10926377,0.22637451
11,0.18229933,0.24429273,0.11318557,0.10838931,0.21693360
12,0.17514686,0.24195109,0.11090232,0.10791701,0.20823961
13,0.16826659,0.24020299,0.10847378,0.10713228,0.19963655
14,0.16297794,0.23839269,0.10685950,0.10664865,0.19351211
15,0.15745043,0.23735245,0.10501486,0.10614508,0.18680008
16,0.15226627,0.23527839,0.10334463,0.10559984,0.18077137
17,0.14794577,0.23424241,0.10174489,0.10556127,0.17527844
18,0.14463516,0.23184344,0.10061436,0.10450731,0.17147301
19,0.14072079,0.23262275,0.09931674,0.10440802,0.16683941
20,0.13722676,0.23172328,0.09805613,0.10440528,0.16276299
21,0.13387829,0.23054168,0.09683314,0.10421056,0.15868051
22,0.13094879,0.22884588,0.09580774,0.10364557,0.15523139
23,0.12817129,0.22933999,0.09476331,0.10366828,0.15185934
24,0.12512103,0.22714622,0.09376263,0.10299416,0.14853312
25,0.12275115,0.22697182,0.09280154,0.10283097,0.14556934
26,0.12031611,0.22747345,0.09195331,0.10291767,0.14285171
27,0.11762003,0.22661220,0.09092055,0.10272298,0.13977376
28,0.11548852,0.22563625,0.09000957,0.10259712,0.13714915
29,0.11272304,0.22619613,0.08899489,0.10261808,0.13410652
30,0.11118401,0.22527664,0.08845934,0.10203064,0.13242127
31,0.10917806,0.22496474,0.08772782,0.10194062,0.13017677
32,0.10711931,0.22222870,0.08687141,0.10183265,0.12783136
33,0.10542198,0.22297225,0.08624003,0.10172448,0.12604702
34,0.10352477,0.22431079,0.08539881,0.10200703,0.12370224
35,0.10201045,0.22350416,0.08485875,0.10162905,0.12210083
36,0.09993185,0.22286180,0.08408106,0.10120480,0.12003179
37,0.09841974,0.22365417,0.08338486,0.10154585,0.11826035
38,0.09717712,0.22271912,0.08288549,0.10133699,0.11689330
39,0.09553413,0.22198653,0.08221512,0.10110873,0.11518971
40,0.09389854,0.22318366,0.08151459,0.10162904,0.11343577
41,0.09220591,0.22306734,0.08079987,0.10157935,0.11161444
42,0.09125483,0.22303994,0.08047493,0.10140402,0.11064359
43,0.08970187,0.22268825,0.07975559,0.10140682,0.10899284
44,0.08900695,0.22311975,0.07946647,0.10179676,0.10825684
45,0.08701036,0.22267512,0.07864028,0.10151808,0.10627098
46,0.08649870,0.22198595,0.07841483,0.10131038,0.10568807
47,0.08470562,0.22358660,0.07764309,0.10184379,0.10381557
48,0.08405772,0.22206747,0.07733550,0.10134712,0.10311025
49,0.08290205,0.22309881,0.07678044,0.10160512,0.10197676
50,0.08198974,0.22222860,0.07642052,0.10169525,0.10110086
51,0.08082408,0.22379575,0.07587368,0.10174997,0.09985539
52,0.08003614,0.22344028,0.07550161,0.10167047,0.09910953
53,0.07907446,0.22577124,0.07503854,0.10244042,0.09805148
54,0.07802291,0.22414453,0.07455961,0.10216232,0.09710867
55,0.07734157,0.22563228,0.07421181,0.10219311,0.09625996
56,0.07641069,0.22342739,0.07377547,0.10158024,0.09534615
57,0.07537319,0.22585551,0.07331204,0.10234570,0.09433296
58,0.07421490,0.22577517,0.07280872,0.10231766,0.09335926
59,0.07363640,0.22516481,0.07241966,0.10234434,0.09260039
60,0.07297504,0.22612565,0.07218474,0.10260849,0.09201303
61,0.07208618,0.22512924,0.07178308,0.10204325,0.09121013
62,0.07184829,0.22448395,0.07157906,0.10222205,0.09083223
63,0.07088772,0.22652254,0.07113128,0.10250942,0.08995194
64,0.07042788,0.22737630,0.07090574,0.10324923,0.08944150
65,0.06943923,0.22662782,0.07041582,0.10282401,0.08855306
66,0.06877160,0.22673728,0.07002904,0.10306737,0.08783508
67,0.06853372,0.22870148,0.06985217,0.10324068,0.08747138
68,0.06775509,0.22660198,0.06949537,0.10282279,0.08679045
69,0.06737093,0.22635983,0.06929656,0.10276774,0.08637762
70,0.06662380,0.22777040,0.06889650,0.10308287,0.08563092
71,0.06617852,0.22949799,0.06863176,0.10384674,0.08516391
72,0.06576784,0.22648444,0.06840871,0.10334084,0.08466815
73,0.06523440,0.22693127,0.06808361,0.10331363,0.08416561
74,0.06465497,0.22706134,0.06779247,0.10363939,0.08355891
75,0.06450765,0.22624526,0.06767544,0.10385560,0.08333483
76,0.06388489,0.22627765,0.06732858,0.10366411,0.08266441
77,0.06330362,0.22755006,0.06705424,0.10398146,0.08220190
78,0.06312378,0.22835156,0.06686998,0.10433310,0.08184277
79,0.06265807,0.22943229,0.06660478,0.10427682,0.08141420
80,0.06257503,0.22683374,0.06648153,0.10436631,0.08111221
81,0.06213672,0.22749341,0.06627241,0.10372957,0.08070738
82,0.06176822,0.22675685,0.06610986,0.10420028,0.08033443
83,0.06137601,0.22852579,0.06584542,0.10452512,0.07987928
84,0.06115020,0.22564117,0.06574096,0.10381805,0.07956439
85,0.06102266,0.22624660,0.06562739,0.10414725,0.07933575
86,0.06053321,0.22607739,0.06532779,0.10442377,0.07887741
87,0.06042137,0.22491065,0.06517422,0.10416316,0.07855659
88,0.06011234,0.22790102,0.06499280,0.10455655,0.07815768
89,0.06003083,0.22619599,0.06497194,0.10434536,0.07805538
90,0.05972684,0.22584465,0.06476246,0.10479956,0.07763894
91,0.05949431,0.22497372,0.06459595,0.10424920,0.07722538
92,0.05954102,0.22665861,0.06454936,0.10497197,0.07712043
93,0.05940906,0.22449970,0.06453746,0.10437608,0.07696275
94,0.05899551,0.22467093,0.06425777,0.10435205,0.07649289
95,0.05887159,0.22419597,0.06413028,0.10434866,0.07612735
96,0.05880151,0.22313320,0.06412681,0.10404108,0.07607156
97,0.05867060,0.22309173,0.06397397,0.10447457,0.07568727
98,0.05854087,0.22449107,0.06390337,0.10436151,0.07544116
99,0.05811985,0.22412336,0.06362125,0.10408243,0.07501068
100,0.05846334,0.22443075,0.06382019,0.10480390,0.07502790
101,0.05838068,0.22387298,0.06373078,0.10479746,0.07476862
102,0.05793523,0.22241582,0.06344500,0.10398865,0.07435357
103,0.05850670,0.22384820,0.06374302,0.10451594,0.07453673
104,0.05823501,0.22225286,0.06353966,0.10418357,0.07410295
105,0.05822735,0.22384411,0.06351210,0.10445076,0.07393246
106,0.05824660,0.22306863,0.06348808,0.10425961,0.07372856
107,0.05816952,0.22000994,0.06346594,0.10346153,0.07352465
108,0.05822392,0.22151731,0.06345692,0.10409742,0.07337311
109,0.05812507,0.22073782,0.06336436,0.10395412,0.07307538
110,0.05839700,0.22061746,0.06355145,0.10390451,0.07312583
111,0.05832532,0.22026846,0.06339353,0.10368679,0.07278347
112,0.05836908,0.22110740,0.06337957,0.10381610,0.07261657
113,0.05856587,0.22040711,0.06345385,0.10399077,0.07245922
114,0.05864416,0.22100710,0.06354161,0.10372061,0.07234031
115,0.05860762,0.21907281,0.06345482,0.10356993,0.07210819
116,0.05884456,0.21965250,0.06361619,0.10399883,0.07204268
117,0.05891913,0.21942021,0.06357812,0.10356948,0.07183171
118,0.05909376,0.21928234,0.06368917,0.10359000,0.07172436
119,0.05925495,0.21940178,0.06367435,0.10391885,0.07150430
120,0.05925885,0.21794266,0.06374597,0.10315708,0.07138698
121,0.05920817,0.21807430,0.06369109,0.10352610,0.07106562
122,0.05957916,0.21803360,0.06388112,0.10324515,0.07105047
123,0.05984735,0.21835716,0.06395490,0.10376665,0.07090399
124,0.05978784,0.21817163,0.06388985,0.10343245,0.07066576
125,0.06027257,0.21864332,0.06411738,0.10366906,0.07064848
