epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.63128241,1.16054267,0.35451034,0.28274278,2.09544613
2,1.02232311,0.76003426,0.27519905,0.22025444,1.25736759
3,0.70966126,0.54423906,0.22565750,0.18443141,0.85799152
4,0.56967625,0.45074693,0.20099159,0.16607198,0.68640261
5,0.49474061,0.40582504,0.18790038,0.15484104,0.59796887
6,0.44979108,0.37656783,0.17893945,0.14709734,0.54053144
7,0.42022325,0.35642670,0.17294990,0.14160446,0.50427946
8,0.39059899,0.33784008,0.16686253,0.13663607,0.46767139
9,0.36953546,0.32667615,0.16189893,0.13313212,0.44068610
10,0.34608515,0.31624374,0.15671697,0.12993510,0.41203924
11,0.32736560,0.30531602,0.15256372,0.12700707,0.38970780
12,0.31433268,0.29824065,0.14939518,0.12430642,0.37302609
13,0.30101315,0.29054127,0.14583188,0.12226980,0.35598900
14,0.28690105,0.28568156,0.14278302,0.12044644,0.34007799
15,0.27477108,0.28126613,0.13928947,0.11907138,0.32424892
16,0.26699522,0.27778296,0.13741728,0.11785892,0.31460921
17,0.25635967,0.27426545,0.13452282,0.11640057,0.30127474
18,0.25172680,0.26960736,0.13324233,0.11512741,0.29536905
19,0.24278725,0.26611456,0.13086446,0.11417869,0.28470933
20,0.23531854,0.26466997,0.12849264,0.11340222,0.27488573
21,0.22809440,0.26148563,0.12688074,0.11276998,0.26695543
22,0.22352221,0.25832342,0.12550813,0.11186296,0.26081689
23,0.22026189,0.25710306,0.12433075,0.11102633,0.25607397
24,0.21260035,0.25646199,0.12196332,0.11074018,0.24654477
25,0.20811890,0.25454660,0.12074165,0.11006695,0.24155518
26,0.20578087,0.25068437,0.12004415,0.10935585,0.23799416
27,0.20121303,0.25010504,0.11901932,0.10893062,0.23311957
28,0.19721919,0.24865052,0.11759632,0.10892159,0.22801594
29,0.19344705,0.24777182,0.11635552,0.10819181,0.22277762
30,0.18880634,0.24635820,0.11535184,0.10758027,0.21796300
31,0.18601838,0.24507492,0.11418865,0.10740080,0.21365534
32,0.18450309,0.24416527,0.11335091,0.10712373,0.21078838
33,0.18057712,0.24343169,0.11248311,0.10698679,0.20664471
34,0.17647533,0.24220560,0.11110241,0.10662042,0.20158644
35,0.17557469,0.24197072,0.11066904,0.10627784,0.20010961
36,0.17392934,0.24184405,0.11009531,0.10604908,0.19767840
37,0.17071668,0.23908107,0.10927564,0.10581970,0.19414697
38,0.16936037,0.23832092,0.10857670,0.10552248,0.19150328
39,0.16543873,0.23798294,0.10735212,0.10551904,0.18699467
40,0.16438508,0.23733734,0.10717769,0.10493913,0.18570531
41,0.16201843,0.23672338,0.10629510,0.10506083,0.18252084
42,0.15987652,0.23629687,0.10555357,0.10479576,0.18004133
43,0.15926888,0.23572571,0.10538205,0.10487242,0.17840460
44,0.15692490,0.23325403,0.10473785,0.10428225,0.17606565
45,0.15517918,0.23502172,0.10397786,0.10444463,0.17354897
46,0.15328234,0.23458486,0.10337645,0.10433294,0.17107040
47,0.15263506,0.23182342,0.10321824,0.10373421,0.16990299
48,0.15068224,0.23275970,0.10270167,0.10370265,0.16796824
49,0.14873348,0.23203953,0.10198234,0.10375489,0.16523214
50,0.14781806,0.23059698,0.10139410,0.10353626,0.16354246
51,0.14585379,0.23053215,0.10082956,0.10331499,0.16126938
52,0.14509370,0.23002526,0.10059613,0.10326436,0.15988754
53,0.14269235,0.23010793,0.09978483,0.10308895,0.15720880
54,0.14220700,0.22875295,0.09942836,0.10297838,0.15621733
55,0.14071987,0.22885980,0.09918191,0.10273435,0.15473976
