epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.18117277,0.23655058,0.10849792,0.10630830,0.21426094
2,0.16477465,0.22542396,0.10274094,0.10329423,0.19418767
3,0.14826131,0.21683922,0.09774363,0.10156848,0.17512188
4,0.13461339,0.21289690,0.09384937,0.10066977,0.15961555
5,0.12421146,0.21185940,0.09069810,0.10062797,0.14771501
6,0.11658045,0.21327677,0.08825587,0.10101845,0.13897351
7,0.11039804,0.21335028,0.08614001,0.10092976,0.13187950
8,0.10480574,0.21498111,0.08424295,0.10112937,0.12551889
9,0.09988804,0.21487815,0.08247578,0.10122315,0.11987909
10,0.09546933,0.21600671,0.08090486,0.10142855,0.11486252
11,0.09184851,0.21766403,0.07955180,0.10163406,0.11073090
12,0.08836719,0.21818936,0.07818704,0.10179213,0.10665193
13,0.08543297,0.21942098,0.07702866,0.10174136,0.10324906
14,0.08298150,0.22147100,0.07602706,0.10212130,0.10036530
15,0.08060835,0.22331940,0.07506111,0.10213200,0.09764777
16,0.07855883,0.22210223,0.07420467,0.10210964,0.09527887
17,0.07645711,0.22338167,0.07331531,0.10209871,0.09280972
18,0.07498289,0.22295955,0.07265830,0.10247551,0.09108575
19,0.07314124,0.22348807,0.07180057,0.10241285,0.08885019
20,0.07146373,0.22458315,0.07105343,0.10218181,0.08687467
21,0.07015158,0.22491954,0.07040035,0.10237968,0.08527715
22,0.06885270,0.22546695,0.06981210,0.10241537,0.08375705
23,0.06713141,0.22527945,0.06906984,0.10226812,0.08177762
24,0.06604459,0.22459480,0.06850150,0.10222017,0.08046779
25,0.06500144,0.22613847,0.06795000,0.10258819,0.07917039
26,0.06377425,0.22554717,0.06738710,0.10199820,0.07776497
27,0.06274042,0.22577102,0.06676611,0.10196419,0.07635401
28,0.06148146,0.22679665,0.06614924,0.10218352,0.07487851
29,0.06069464,0.22770536,0.06572668,0.10218898,0.07389027
30,0.05963433,0.22601667,0.06511733,0.10212554,0.07257378
31,0.05845788,0.22743539,0.06451574,0.10214706,0.07117123
32,0.05754700,0.22639479,0.06405332,0.10194362,0.07006377
33,0.05657742,0.22594565,0.06349551,0.10203993,0.06889753
34,0.05573918,0.23001894,0.06299306,0.10252679,0.06780728
35,0.05512516,0.22839845,0.06261644,0.10227896,0.06697526
36,0.05436619,0.23000273,0.06215119,0.10238476,0.06603125
37,0.05342909,0.22850551,0.06160384,0.10202014,0.06486982
38,0.05268129,0.22926615,0.06116068,0.10228040,0.06392622
39,0.05192898,0.23154855,0.06073323,0.10222476,0.06303871
40,0.05106499,0.23119587,0.06020233,0.10215655,0.06196943
41,0.05055858,0.22988927,0.05986222,0.10205991,0.06127202
42,0.04986043,0.22863450,0.05945129,0.10179162,0.06043373
43,0.04910525,0.22861383,0.05897859,0.10148090,0.05945649
44,0.04837216,0.23117867,0.05850324,0.10179755,0.05850212
45,0.04787092,0.23101691,0.05817589,0.10187774,0.05789001
46,0.04719148,0.23311784,0.05768258,0.10211472,0.05694165
47,0.04645919,0.23058484,0.05724480,0.10164611,0.05604124
48,0.04582960,0.23062072,0.05681190,0.10183332,0.05523624
49,0.04522161,0.23170861,0.05647733,0.10175543,0.05458194
50,0.04479579,0.23194574,0.05610459,0.10161370,0.05392978
51,0.04421546,0.23117410,0.05573250,0.10171013,0.05319408
52,0.04354705,0.23236724,0.05530942,0.10236612,0.05237506
53,0.04304291,0.22952627,0.05501041,0.10177566,0.05179884
54,0.04232950,0.23048212,0.05450901,0.10182354,0.05086984
55,0.04190846,0.23208067,0.05420976,0.10207410,0.05035152
56,0.04135587,0.23101655,0.05382817,0.10164414,0.04962869
57,0.04100821,0.23173325,0.05351953,0.10183420,0.04917474
58,0.04028405,0.23114316,0.05309673,0.10191989,0.04831266
59,0.03969941,0.23000183,0.05271402,0.10147337,0.04758873
60,0.03935054,0.22879894,0.05243757,0.10184090,0.04712192
61,0.03879532,0.22951597,0.05200262,0.10170173,0.04640246
62,0.03848107,0.23225118,0.05177867,0.10215695,0.04603320
63,0.03804435,0.23467146,0.05154228,0.10188390,0.04553039
64,0.03767379,0.22969767,0.05120460,0.10185358,0.04499149
65,0.03718209,0.22899827,0.05087753,0.10140288,0.04443914
66,0.03685070,0.22969484,0.05059591,0.10199682,0.04397521
67,0.03652771,0.23071756,0.05034618,0.10171506,0.04357092
68,0.03602570,0.23305765,0.05005327,0.10194170,0.04303101
69,0.03546013,0.22918695,0.04971034,0.10147579,0.04239837
70,0.03511224,0.23055724,0.04937611,0.10188384,0.04186532
71,0.03485615,0.23113520,0.04918288,0.10221756,0.04156359
72,0.03437069,0.22640034,0.04874878,0.10152077,0.04090576
73,0.03402622,0.22843599,0.04847323,0.10152314,0.04046199
74,0.03360660,0.22941175,0.04826846,0.10201677,0.04005510
75,0.03334723,0.22839703,0.04807103,0.10134275,0.03974025
76,0.03298074,0.22876849,0.04781162,0.10215783,0.03930137
77,0.03258475,0.23015324,0.04749018,0.10215554,0.03879923
78,0.03234006,0.22916874,0.04726079,0.10145655,0.03848522
79,0.03191503,0.23343334,0.04700379,0.10233333,0.03800967
80,0.03144948,0.22849181,0.04662136,0.10156932,0.03741084
