epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.18487182,0.24124375,0.11000728,0.10795454,0.21907415
2,0.17721291,0.23567886,0.10728278,0.10611372,0.20993930
3,0.16832624,0.22940688,0.10420050,0.10411827,0.19931437
4,0.15852199,0.22402146,0.10108951,0.10298804,0.18808685
5,0.14918816,0.21908530,0.09824657,0.10230276,0.17757984
6,0.14038937,0.21474314,0.09580816,0.10170632,0.16814247
7,0.13275387,0.21185246,0.09359150,0.10118987,0.15983503
8,0.12664034,0.21138798,0.09178007,0.10121233,0.15324957
9,0.12127593,0.21054696,0.09000486,0.10131197,0.14721364
10,0.11688435,0.21117041,0.08861125,0.10117799,0.14246923
11,0.11294309,0.21007726,0.08726371,0.10133778,0.13806793
12,0.10956799,0.21056894,0.08611371,0.10114867,0.13439262
13,0.10620601,0.21030852,0.08493257,0.10129786,0.13064034
14,0.10298256,0.21140689,0.08377437,0.10119632,0.12710036
15,0.09976884,0.21123471,0.08257950,0.10095998,0.12343678
16,0.09727193,0.21134294,0.08174311,0.10090702,0.12085335
17,0.09474992,0.21174239,0.08080827,0.10101578,0.11808687
18,0.09250205,0.21244854,0.07989933,0.10099741,0.11546998
19,0.09026800,0.21211548,0.07905315,0.10076924,0.11308511
20,0.08799226,0.21355097,0.07821389,0.10087900,0.11065997
21,0.08631935,0.21352824,0.07743536,0.10079558,0.10861477
22,0.08467942,0.21333783,0.07680354,0.10073194,0.10688151
23,0.08303240,0.21452757,0.07616479,0.10087714,0.10507676
24,0.08149695,0.21392003,0.07561249,0.10050753,0.10348239
25,0.08041796,0.21380095,0.07501970,0.10053002,0.10208931
26,0.07888792,0.21404066,0.07444576,0.10053083,0.10048898
27,0.07772830,0.21367018,0.07395219,0.10037844,0.09927413
28,0.07627013,0.21473358,0.07333124,0.10029957,0.09758495
29,0.07503698,0.21642264,0.07273886,0.10020831,0.09617615
30,0.07373457,0.21499244,0.07214415,0.10025895,0.09469083
31,0.07274176,0.21558237,0.07186071,0.10016388,0.09373401
32,0.07166750,0.21574645,0.07118292,0.10030764,0.09227044
33,0.07049860,0.21807932,0.07075699,0.10051069,0.09119883
34,0.06948274,0.21656654,0.07023331,0.10047072,0.08982796
35,0.06867479,0.21721961,0.06980324,0.10038809,0.08889530
36,0.06764868,0.21634089,0.06925757,0.10002773,0.08761347
37,0.06695851,0.21760602,0.06905521,0.10025605,0.08701037
38,0.06631021,0.22049050,0.06869368,0.10043550,0.08625425
39,0.06557753,0.21788347,0.06832613,0.10016519,0.08533484
40,0.06458417,0.21859695,0.06784179,0.10018427,0.08428165
41,0.06372532,0.21867614,0.06743583,0.09993993,0.08330564
42,0.06276571,0.22006873,0.06690994,0.10029690,0.08214434
43,0.06226280,0.22009258,0.06672744,0.09994456,0.08165399
44,0.06134099,0.22173930,0.06622920,0.10042859,0.08050255
45,0.06097441,0.22366192,0.06605774,0.10041030,0.08012881
46,0.06016203,0.22397301,0.06564720,0.10068092,0.07920217
47,0.05967584,0.22124153,0.06522344,0.10031858,0.07844593
48,0.05882196,0.22371021,0.06489890,0.10086632,0.07755744
49,0.05806069,0.22308808,0.06435465,0.10036491,0.07651079
50,0.05753080,0.22213438,0.06415883,0.10045747,0.07601411
51,0.05716132,0.22375073,0.06392890,0.10048827,0.07553808
52,0.05620540,0.22322571,0.06337566,0.10063709,0.07442369
53,0.05596981,0.22226097,0.06321872,0.10049995,0.07417419
54,0.05523365,0.22114000,0.06278412,0.10045312,0.07319542
55,0.05476962,0.22362589,0.06259961,0.10055984,0.07277649
56,0.05427774,0.22470567,0.06231108,0.10037143,0.07219207
57,0.05366816,0.22522184,0.06189093,0.10065197,0.07139531
58,0.05324409,0.22500583,0.06168708,0.10055250,0.07088026
59,0.05258464,0.22161617,0.06126355,0.10026598,0.07004219
60,0.05229368,0.22355237,0.06098599,0.10054862,0.06958137
61,0.05196500,0.22650802,0.06079059,0.10101165,0.06920038
62,0.05095137,0.22384594,0.06035392,0.10059293,0.06820027
63,0.05089901,0.22495263,0.06017863,0.10059013,0.06796079
64,0.05045934,0.22397874,0.05990361,0.10062001,0.06740912
65,0.04960125,0.22563873,0.05948924,0.10061332,0.06648447
66,0.04919836,0.22410332,0.05917621,0.10037287,0.06589728
67,0.04887155,0.22616598,0.05887090,0.10050032,0.06545407
68,0.04835580,0.22738903,0.05860608,0.10053917,0.06488214
69,0.04825390,0.22662759,0.05848011,0.10099204,0.06469594
70,0.04754128,0.22437609,0.05809720,0.10065997,0.06389956
71,0.04708845,0.22738281,0.05780981,0.10108556,0.06334117
72,0.04689472,0.22803359,0.05762437,0.10074638,0.06304232
73,0.04644882,0.22427432,0.05733560,0.10046593,0.06247578
74,0.04608480,0.22403850,0.05713187,0.10032754,0.06208043
75,0.04542028,0.22685040,0.05670992,0.10085096,0.06129518
76,0.04519670,0.22581494,0.05645439,0.10066402,0.06092672
77,0.04475958,0.22861054,0.05623790,0.10110139,0.06047296
78,0.04442151,0.22691172,0.05604930,0.10109561,0.06014608
79,0.04388041,0.22488933,0.05559649,0.10071619,0.05934027
80,0.04351932,0.22751880,0.05536966,0.10089704,0.05893568
81,0.04317184,0.22428370,0.05519006,0.10057522,0.05857534
82,0.04276248,0.22507670,0.05491337,0.10106538,0.05806961
83,0.04244652,0.22666802,0.05464236,0.10143625,0.05760971
84,0.04198272,0.22489900,0.05432127,0.10101315,0.05699721
85,0.04178199,0.22564997,0.05416895,0.10101501,0.05683788
86,0.04160372,0.22447845,0.05400853,0.10084301,0.05652822
87,0.04110833,0.22539622,0.05372760,0.10101408,0.05602478
88,0.04101053,0.22317059,0.05362260,0.10078205,0.05582569
89,0.04034141,0.22502146,0.05314641,0.10144306,0.05507639
90,0.04013596,0.22689818,0.05299319,0.10138602,0.05477803
91,0.03988220,0.22753506,0.05288297,0.10130162,0.05456625
92,0.03955432,0.22585122,0.05263925,0.10109754,0.05415466
93,0.03897219,0.22659768,0.05222737,0.10149864,0.05345082
94,0.03895050,0.22527200,0.05217185,0.10116255,0.05338951
95,0.03861930,0.22313943,0.05188810,0.10084096,0.05296156
96,0.03846305,0.22437097,0.05180270,0.10085656,0.05278259
97,0.03780661,0.22049113,0.05135761,0.10043218,0.05203517
98,0.03765934,0.21987202,0.05124985,0.10057365,0.05186669
99,0.03744860,0.22336316,0.05103427,0.10075275,0.05155893
100,0.03715917,0.22627831,0.05088710,0.10163507,0.05124374
101,0.03694693,0.22399914,0.05078249,0.10099906,0.05104159
102,0.03658548,0.22778095,0.05045085,0.10152455,0.05058147
103,0.03630179,0.22134550,0.05021612,0.10048427,0.05017726
104,0.03585871,0.22276807,0.04993096,0.10076266,0.04967219
105,0.03585396,0.22389436,0.04988257,0.10090876,0.04968714
106,0.03540487,0.22347616,0.04957173,0.10072040,0.04912414
107,0.03503264,0.22329897,0.04930542,0.10096286,0.04872246
108,0.03512864,0.22369231,0.04942821,0.10103458,0.04887664
109,0.03484000,0.22184844,0.04910996,0.10061050,0.04842070
110,0.03447001,0.22263124,0.04877413,0.10119571,0.04798003
111,0.03440146,0.22501358,0.04884890,0.10127661,0.04794419
112,0.03379518,0.22504092,0.04842106,0.10104065,0.04727768
113,0.03368697,0.22414414,0.04827941,0.10080572,0.04708786
114,0.03317835,0.22632344,0.04782910,0.10141479,0.04643650
115,0.03327711,0.22551947,0.04793251,0.10131519,0.04657663
116,0.03294335,0.22357431,0.04772916,0.10130246,0.04625100
117,0.03279596,0.22333258,0.04761541,0.10084724,0.04604769
118,0.03258702,0.22399244,0.04741703,0.10113811,0.04578081
119,0.03215069,0.22257289,0.04716925,0.10057278,0.04536302
120,0.03197078,0.22478234,0.04699216,0.10092929,0.04508426
121,0.03166248,0.22505864,0.04675199,0.10102387,0.04473840
