epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.40538164,0.79169129,0.33652844,0.23683704,1.81279561
2,0.91535061,0.51738750,0.26328929,0.17584744,1.13056435
3,0.67328401,0.40499181,0.22260487,0.15093577,0.82233070
4,0.55664812,0.36199914,0.20132845,0.14102542,0.67698357
5,0.48993310,0.33599330,0.18815159,0.13451096,0.59424097
6,0.44535437,0.32353218,0.17924212,0.13089682,0.54029901
7,0.40911855,0.31185824,0.17125708,0.12830259,0.49479831
8,0.38019217,0.30440539,0.16489939,0.12673499,0.45979791
9,0.35850417,0.29753427,0.15994746,0.12484748,0.43308517
10,0.33978001,0.29048607,0.15557392,0.12341355,0.41042604
11,0.32305024,0.28650996,0.15147919,0.12254399,0.38960567
12,0.30860576,0.28250346,0.14798302,0.12143483,0.37232042
13,0.29625668,0.27963354,0.14491857,0.12074666,0.35741441
14,0.28469542,0.27663388,0.14204332,0.11997982,0.34355216
15,0.27445537,0.27298274,0.13954238,0.11947669,0.33182568
16,0.26618229,0.26998607,0.13723392,0.11869809,0.32127320
17,0.25678778,0.26919578,0.13471515,0.11845714,0.30984922
18,0.24820838,0.26362042,0.13237602,0.11750114,0.29952725
19,0.24273848,0.26191965,0.13113634,0.11709724,0.29349922
20,0.23541637,0.25983785,0.12879212,0.11676158,0.28380441
21,0.22978577,0.25787705,0.12728040,0.11614843,0.27726887
22,0.22352185,0.25540133,0.12555996,0.11568861,0.26986101
23,0.21800087,0.25250023,0.12402859,0.11510292,0.26320929
24,0.21316650,0.25216834,0.12253985,0.11508904,0.25729025
25,0.20773428,0.24953102,0.12106638,0.11455139,0.25081776
26,0.20318132,0.24896650,0.11971741,0.11434282,0.24544223
27,0.19884930,0.24680501,0.11839618,0.11399985,0.23991712
28,0.19455776,0.24341260,0.11719454,0.11321003,0.23512093
29,0.18975365,0.24256259,0.11584391,0.11300109,0.22941394
30,0.18574569,0.24177051,0.11466936,0.11279562,0.22493600
31,0.18316110,0.24124865,0.11376388,0.11263164,0.22163698
32,0.17948313,0.23860458,0.11272759,0.11200184,0.21726047
33,0.17577576,0.23727607,0.11146295,0.11182251,0.21266187
34,0.17263673,0.23677942,0.11075899,0.11174659,0.20945823
35,0.16953982,0.23543709,0.10970251,0.11128498,0.20548054
36,0.16607404,0.23451194,0.10864255,0.11104153,0.20148305
37,0.16333272,0.23428872,0.10767065,0.11067975,0.19803258
38,0.16053076,0.23230636,0.10682282,0.11032640,0.19482660
39,0.15794044,0.23116455,0.10603408,0.11013822,0.19176862
40,0.15500375,0.23041382,0.10511779,0.10993377,0.18834897
41,0.15278346,0.23102267,0.10433301,0.11000913,0.18575107
42,0.14991032,0.22906483,0.10333688,0.10935009,0.18208129
43,0.14766651,0.23067241,0.10269652,0.10961784,0.17969638
44,0.14526779,0.22945564,0.10200014,0.10921387,0.17705089
45,0.14348519,0.22831977,0.10146001,0.10861944,0.17484992
46,0.14152228,0.22708338,0.10055775,0.10828756,0.17232935
47,0.13932470,0.22743616,0.09985605,0.10796944,0.16970245
48,0.13731713,0.22575751,0.09915330,0.10784481,0.16725653
49,0.13489479,0.22804611,0.09839001,0.10824542,0.16459308
50,0.13313364,0.22704765,0.09777396,0.10765755,0.16248824
51,0.13118070,0.22694224,0.09708982,0.10767074,0.16020374
52,0.12978039,0.22720245,0.09661905,0.10716580,0.15857407
53,0.12774651,0.22609409,0.09578483,0.10723550,0.15586834
54,0.12562182,0.22695753,0.09509965,0.10712995,0.15348878
55,0.12412603,0.22600226,0.09457909,0.10701103,0.15181217
56,0.12235159,0.22604663,0.09390815,0.10652493,0.14963984
57,0.12108369,0.22488872,0.09336404,0.10617992,0.14807511
58,0.11976745,0.22564892,0.09292857,0.10623088,0.14658082
59,0.11857813,0.22499028,0.09248291,0.10598869,0.14514294
60,0.11680133,0.22243370,0.09183823,0.10538780,0.14296486
61,0.11541001,0.22281285,0.09140317,0.10564313,0.14156036
62,0.11402405,0.22451418,0.09082648,0.10591092,0.13968170
63,0.11296222,0.22351391,0.09034429,0.10558193,0.13833077
64,0.11102282,0.22188298,0.08954137,0.10521470,0.13593643
65,0.11028876,0.22403235,0.08941844,0.10539361,0.13537197
66,0.10894634,0.22274224,0.08884280,0.10501956,0.13369143
67,0.10758812,0.22292850,0.08822553,0.10506543,0.13183573
68,0.10660914,0.22470916,0.08806686,0.10533217,0.13097158
69,0.10580145,0.22229798,0.08750257,0.10485784,0.12973292
70,0.10464073,0.22262758,0.08711306,0.10495411,0.12847037
71,0.10339673,0.22368879,0.08668796,0.10483404,0.12706747
72,0.10243113,0.22325646,0.08634946,0.10501971,0.12597086
73,0.10127300,0.22331016,0.08581772,0.10463100,0.12453001
74,0.10069951,0.22295166,0.08557750,0.10453974,0.12377902
75,0.09992214,0.22315803,0.08514602,0.10443502,0.12262542
76,0.09842813,0.22387914,0.08458015,0.10451847,0.12090424
77,0.09730014,0.22442922,0.08419621,0.10472161,0.11961921
78,0.09684252,0.22416073,0.08398996,0.10480514,0.11912101
79,0.09593386,0.22165243,0.08366629,0.10387566,0.11817990
80,0.09484821,0.22319017,0.08311090,0.10410784,0.11665594
81,0.09381045,0.22400807,0.08272281,0.10418099,0.11548194
82,0.09338692,0.22290215,0.08256400,0.10418964,0.11496265
83,0.09278100,0.22440331,0.08228448,0.10464320,0.11421777
84,0.09208414,0.22494363,0.08203987,0.10458383,0.11340159
85,0.09106063,0.22552315,0.08153643,0.10456814,0.11213744
86,0.09010237,0.22630787,0.08124895,0.10411866,0.11117091
87,0.08961084,0.22434579,0.08087922,0.10434476,0.11034507
88,0.08846685,0.22420982,0.08038413,0.10419794,0.10888282
89,0.08807020,0.22688156,0.08020196,0.10453877,0.10843456
