epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.75244945,1.41713465,0.38255431,0.35299453,2.33385531
2,1.67399319,1.30045458,0.37199520,0.33500030,2.20102664
3,1.58192001,1.19679232,0.35988174,0.31774329,2.06591741
4,1.50201748,1.10615735,0.34868886,0.30144219,1.94286209
5,1.43444697,1.02659206,0.33975817,0.28618729,1.84378817
6,1.34027527,0.95630591,0.32770942,0.27198810,1.71805292
7,1.26750006,0.89337921,0.31615357,0.25866183,1.60249122
8,1.20021393,0.83438346,0.30675861,0.24601595,1.51463600
9,1.13828115,0.77999008,0.29743647,0.23410824,1.42819830
10,1.06943299,0.72961599,0.28656785,0.22286092,1.33471088
11,0.99904903,0.68340447,0.27668763,0.21253971,1.24283002
12,0.94579885,0.63892825,0.26791521,0.20277350,1.17023329
13,0.89896997,0.59857498,0.26039413,0.19378050,1.11019892
14,0.85669068,0.56457749,0.25359944,0.18606076,1.05061412
15,0.81085494,0.53587837,0.24517331,0.17985105,0.99255044
16,0.76158625,0.50669245,0.23766992,0.17391323,0.93319975
17,0.73451237,0.48040657,0.23281790,0.16863313,0.89605691
18,0.70485881,0.45647799,0.22690320,0.16349774,0.85698922
19,0.66749280,0.43700359,0.22015446,0.15891024,0.81021086
20,0.64259635,0.42290264,0.21673656,0.15525233,0.78272346
21,0.61983604,0.41111872,0.21263380,0.15227710,0.75489434
22,0.60198264,0.39881314,0.20982313,0.14954528,0.73430614
23,0.57815948,0.38938895,0.20478289,0.14748433,0.70088738
24,0.55925793,0.38151273,0.20144630,0.14585053,0.68043832
25,0.54053212,0.37422245,0.19779465,0.14414171,0.65718096
26,0.52730231,0.36612523,0.19524988,0.14232268,0.63944133
27,0.52422566,0.35970317,0.19490475,0.14107145,0.63654725
28,0.50375737,0.35474197,0.19114763,0.13995367,0.61258495
29,0.49650141,0.34922421,0.18934154,0.13854365,0.60222419
30,0.47777585,0.34364444,0.18626419,0.13698811,0.58175176
31,0.47311513,0.33911742,0.18495041,0.13599340,0.57467473
32,0.46971265,0.33444336,0.18420068,0.13488584,0.56983974
33,0.44964089,0.33142850,0.17983455,0.13408622,0.54555346
34,0.44511531,0.32804403,0.17938638,0.13334298,0.54225278
35,0.44016310,0.32454916,0.17812893,0.13256109,0.53396382
36,0.42845527,0.32237001,0.17444802,0.13185318,0.51562734
37,0.42051017,0.31989244,0.17364957,0.13091666,0.50941157
38,0.40826597,0.31744817,0.17104349,0.13019782,0.49460374
39,0.40225301,0.31527461,0.16933684,0.12975176,0.48499688
40,0.39757521,0.31231242,0.16868120,0.12921300,0.47994427
41,0.39563541,0.30988679,0.16854549,0.12874742,0.47894697
42,0.38990225,0.30719750,0.16714510,0.12820719,0.47210389
43,0.38294336,0.30495515,0.16565773,0.12760089,0.46430152
44,0.37430884,0.30347420,0.16317728,0.12722896,0.45263773
45,0.37061271,0.30185222,0.16212337,0.12688446,0.44653249
46,0.36366064,0.30145621,0.16084235,0.12676889,0.43909305
47,0.36146003,0.30015535,0.16057457,0.12628014,0.43583648
48,0.35762353,0.29803438,0.16012028,0.12570605,0.43353655
49,0.35766101,0.29638433,0.15972158,0.12524616,0.43206717
50,0.34776097,0.29541550,0.15783433,0.12493940,0.42069818
51,0.34379210,0.29540790,0.15574131,0.12496689,0.41307273
52,0.33609078,0.29459288,0.15488966,0.12477411,0.40715038
53,0.33524983,0.29267717,0.15420028,0.12439673,0.40425196
54,0.33184174,0.29144688,0.15321764,0.12413107,0.39959727
55,0.32871595,0.29143960,0.15305468,0.12398745,0.39768522
56,0.32162900,0.29036429,0.15121546,0.12362506,0.38812915
57,0.32040521,0.28875479,0.15048859,0.12302320,0.38587054
58,0.31353162,0.28738425,0.14912115,0.12261822,0.37848522
59,0.31750401,0.28729237,0.14995042,0.12263488,0.38276677
60,0.31064016,0.28718293,0.14794223,0.12275852,0.37302783
61,0.30553838,0.28494108,0.14726869,0.12238303,0.36976898
62,0.30432420,0.28217250,0.14701702,0.12188672,0.36761971
63,0.30098650,0.28062453,0.14589815,0.12156590,0.36134714
64,0.29975482,0.28057442,0.14537772,0.12142704,0.36131811
65,0.29646058,0.28088729,0.14483352,0.12132543,0.35645969
66,0.29354866,0.28001702,0.14364051,0.12122857,0.35307394
67,0.28853479,0.27831225,0.14334686,0.12095348,0.34961690
68,0.28497821,0.27748172,0.14168601,0.12059895,0.34327380
69,0.28592197,0.27777908,0.14221642,0.12049977,0.34477828
70,0.28203060,0.27824409,0.14062838,0.12082260,0.33882367
71,0.27764162,0.27705460,0.13946900,0.12049667,0.33344346
72,0.27697944,0.27486725,0.14027662,0.12000996,0.33447467
73,0.27510154,0.27448314,0.13951896,0.11981345,0.33227870
74,0.27311931,0.27481138,0.13870540,0.11983763,0.32920794
75,0.26998851,0.27300830,0.13799756,0.11975624,0.32541406
76,0.26752893,0.27129611,0.13722185,0.11950144,0.32280383
77,0.26405346,0.27050178,0.13657007,0.11932888,0.31887367
78,0.26502513,0.26955386,0.13693583,0.11906356,0.31963098
79,0.26052792,0.26942003,0.13545013,0.11897449,0.31422575
80,0.25840687,0.26912714,0.13456674,0.11887706,0.31086072
81,0.25306428,0.26878582,0.13386725,0.11887338,0.30582140
82,0.25788297,0.26819614,0.13462146,0.11877436,0.31051239
83,0.25656950,0.26739941,0.13426623,0.11861239,0.30973165
84,0.25069074,0.26745344,0.13241444,0.11847593,0.30126200
85,0.25039805,0.26746039,0.13294538,0.11831343,0.30210860
86,0.24727326,0.26702903,0.13199338,0.11822556,0.29782254
87,0.24517010,0.26691706,0.13161564,0.11819440,0.29558655
88,0.24709641,0.26616618,0.13185493,0.11816057,0.29779310
89,0.24383332,0.26469846,0.13122031,0.11793859,0.29362728
90,0.24280467,0.26340004,0.13103665,0.11780370,0.29348116
91,0.24094332,0.26166192,0.13048237,0.11744717,0.29099100
92,0.24057362,0.26110812,0.12995862,0.11727224,0.28928493
93,0.23670463,0.26063936,0.12901603,0.11714668,0.28515895
94,0.23258934,0.26214328,0.12805555,0.11722058,0.27986211
95,0.23466439,0.26156005,0.12867284,0.11704555,0.28313139
96,0.23291532,0.26100832,0.12809465,0.11704363,0.28112196
97,0.22897358,0.26034851,0.12665679,0.11706422,0.27563170
98,0.22777108,0.25850008,0.12690450,0.11666164,0.27555164
99,0.22628156,0.25806124,0.12615396,0.11646308,0.27244148
100,0.22425409,0.25690458,0.12538041,0.11628848,0.27028197
