epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.83527458,1.59516482,0.37914914,0.31194323,2.26650194
2,1.72234199,1.42816539,0.36482086,0.29380142,2.12568625
3,1.59215228,1.27347884,0.35003880,0.27644269,1.97724183
4,1.49038951,1.13283331,0.33761114,0.25997288,1.86701099
5,1.38489517,1.00808623,0.32305583,0.24454482,1.73649091
6,1.29860822,0.90016071,0.31266628,0.23035840,1.64320417
7,1.21718770,0.80660716,0.30014829,0.21758297,1.54365232
8,1.13436359,0.72641075,0.28947701,0.20618672,1.44594296
9,1.06650567,0.65913086,0.27936574,0.19626754,1.36410606
10,0.98287920,0.60269401,0.26794880,0.18732179,1.26261874
11,0.91791177,0.55538193,0.25803282,0.17927693,1.18431884
12,0.86381293,0.51542149,0.25184028,0.17212012,1.13072906
13,0.82127238,0.48382959,0.24586801,0.16648527,1.08192094
14,0.77646679,0.45716569,0.23797933,0.16173047,1.02347125
15,0.74041121,0.43442426,0.23272238,0.15782534,0.98143195
16,0.70207702,0.41417914,0.22574055,0.15395371,0.93502211
17,0.66671011,0.39725108,0.21998978,0.15018079,0.89025138
18,0.63985070,0.38194235,0.21464968,0.14636394,0.85509557
19,0.60808741,0.36834022,0.21029367,0.14324627,0.82276390
20,0.57824427,0.35533839,0.20468147,0.14030724,0.78393173
21,0.55892961,0.34442013,0.20125680,0.13805602,0.75990329
22,0.54638930,0.33677795,0.19791860,0.13616477,0.74237924
23,0.51723981,0.33005262,0.19333643,0.13422185,0.70997135
24,0.50813233,0.32205985,0.19202383,0.13223018,0.70335846
25,0.49038784,0.31399971,0.18835937,0.13075668,0.67854714
26,0.47119725,0.30756650,0.18429907,0.12942935,0.65435975
27,0.45964695,0.30108435,0.18185815,0.12773120,0.64082704
28,0.44679090,0.29479527,0.17905060,0.12607774,0.62306858
29,0.43937743,0.28973318,0.17798104,0.12497271,0.61855163
30,0.42567164,0.28425709,0.17466823,0.12368415,0.59682387
31,0.42379387,0.27984296,0.17369063,0.12257759,0.59584916
32,0.41184397,0.27671366,0.17203372,0.12190650,0.58282157
33,0.39590993,0.27474918,0.16801137,0.12144509,0.56018936
34,0.38953714,0.27253212,0.16660973,0.12066764,0.55365168
35,0.37796316,0.27056342,0.16393128,0.11978196,0.53880560
36,0.37051921,0.26775809,0.16234501,0.11904020,0.52988622
37,0.36595086,0.26277545,0.16120920,0.11830568,0.52275504
38,0.35921241,0.25900837,0.15992517,0.11771247,0.51545891
39,0.34773248,0.25707275,0.15711548,0.11722613,0.50098086
40,0.34382342,0.25412590,0.15618816,0.11636549,0.49788885
41,0.34090551,0.25197608,0.15596224,0.11567320,0.49511627
42,0.32981176,0.24882892,0.15414510,0.11505519,0.48375499
43,0.32275422,0.24616995,0.15248066,0.11451498,0.47525636
44,0.32211714,0.24317605,0.15167213,0.11390622,0.47193365
45,0.31679550,0.24166228,0.14993537,0.11343678,0.46555376
46,0.30834778,0.24096592,0.14820796,0.11311944,0.45535685
47,0.30371043,0.23978502,0.14758057,0.11277639,0.45162987
48,0.29740516,0.23906363,0.14570788,0.11252358,0.44220991
49,0.29345480,0.23938304,0.14487510,0.11239495,0.43760930
50,0.29156143,0.23801435,0.14394109,0.11213696,0.43563499
51,0.28397174,0.23577215,0.14228718,0.11173774,0.42480324
52,0.28455558,0.23420472,0.14244198,0.11131166,0.42689084
53,0.28203780,0.23172254,0.14176334,0.11060797,0.42401263
