epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.38041816,0.67170014,0.32340606,0.19761298,1.68470259
2,0.83669006,0.41882469,0.24741717,0.15375805,1.02540658
3,0.61228715,0.34411288,0.21097070,0.13700756,0.75320976
4,0.50509704,0.30814292,0.19092063,0.12864059,0.61875125
5,0.44324991,0.28473817,0.17880214,0.12318139,0.54289674
6,0.39631965,0.26715735,0.16910759,0.11919270,0.48614497
7,0.35991393,0.25639379,0.16075955,0.11637933,0.44072556
8,0.33248029,0.24842267,0.15450252,0.11435017,0.40773616
9,0.30742808,0.24147472,0.14848870,0.11232489,0.37712316
10,0.28906737,0.23519909,0.14397597,0.11078526,0.35495231
11,0.27260742,0.23064024,0.13982649,0.10958568,0.33504028
12,0.25777420,0.22804526,0.13600742,0.10868906,0.31739820
13,0.24578921,0.22408350,0.13283200,0.10739157,0.30293527
14,0.23439956,0.22062403,0.12982280,0.10662795,0.28956559
15,0.22597353,0.21887226,0.12726401,0.10592188,0.27883297
16,0.21698036,0.21711829,0.12491936,0.10538964,0.26879462
17,0.20813183,0.21340165,0.12240440,0.10457685,0.25815547
18,0.20212254,0.21070999,0.12066446,0.10386951,0.25102920
19,0.19609079,0.21014410,0.11864219,0.10357822,0.24352335
20,0.18910264,0.20802976,0.11669720,0.10289949,0.23552011
21,0.18445854,0.20661274,0.11524483,0.10230074,0.22990157
22,0.17908360,0.20618159,0.11375385,0.10219019,0.22390029
23,0.17444945,0.20422386,0.11206695,0.10199047,0.21796890
24,0.17064958,0.20362533,0.11088300,0.10156691,0.21374852
25,0.16558723,0.20301885,0.10923939,0.10130668,0.20752771
26,0.16296087,0.20125834,0.10848840,0.10086470,0.20460222
27,0.15911356,0.20029815,0.10714900,0.10034638,0.19991924
28,0.15570418,0.19852902,0.10607759,0.10006962,0.19624883
29,0.15303319,0.19817890,0.10516991,0.09986553,0.19302728
30,0.14948316,0.19645423,0.10402983,0.09937370,0.18893263
31,0.14634016,0.19536009,0.10283994,0.09913577,0.18513708
32,0.14415884,0.19556509,0.10212928,0.09900224,0.18268241
33,0.14199031,0.19429292,0.10128206,0.09855179,0.17989413
34,0.13905906,0.19472225,0.10035710,0.09865709,0.17684525
35,0.13623206,0.19345429,0.09928103,0.09830545,0.17333951
36,0.13428113,0.19329022,0.09848868,0.09822632,0.17088541
37,0.13220157,0.19141124,0.09781882,0.09795842,0.16863634
38,0.13000492,0.19147473,0.09703842,0.09775881,0.16624589
39,0.12840805,0.19099753,0.09638226,0.09783343,0.16426807
40,0.12666280,0.18952235,0.09567036,0.09738870,0.16215970
41,0.12513749,0.19033233,0.09523073,0.09738307,0.16068616
42,0.12270108,0.19007493,0.09414739,0.09739568,0.15757338
43,0.12150904,0.18992518,0.09373417,0.09728407,0.15624346
44,0.11925709,0.18780405,0.09298655,0.09678018,0.15398408
45,0.11800565,0.18823572,0.09247006,0.09661404,0.15248993
46,0.11659137,0.18779972,0.09192209,0.09677446,0.15095642
47,0.11491716,0.18702520,0.09122120,0.09636592,0.14897247
48,0.11414758,0.18633542,0.09101613,0.09630827,0.14833199
49,0.11256615,0.18669716,0.09032270,0.09637920,0.14638784
50,0.11106612,0.18566857,0.08976459,0.09610558,0.14466525
51,0.10970502,0.18606656,0.08916971,0.09626533,0.14309379
52,0.10827676,0.18611164,0.08870333,0.09596612,0.14160545
