epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.74118116,1.33993461,0.36762551,0.28404450,2.12824179
2,1.46474309,1.01703365,0.33380103,0.24563077,1.79048045
3,1.24274473,0.79100682,0.30459834,0.21528459,1.51846795
4,1.05776304,0.63873507,0.27885064,0.19275353,1.29069265
5,0.92754558,0.53694014,0.26036835,0.17588938,1.13310979
6,0.81890118,0.46897944,0.24480544,0.16374323,1.00570967
7,0.73427327,0.42102623,0.23161589,0.15437010,0.90191090
8,0.67391398,0.38827280,0.22156742,0.14744433,0.82816600
9,0.61477453,0.36572401,0.21121267,0.14206279,0.75565658
10,0.57182803,0.34786741,0.20377111,0.13734490,0.70385150
11,0.53600214,0.33124643,0.19717152,0.13389862,0.65895305
12,0.50365488,0.31706328,0.19062770,0.13085797,0.61778301
13,0.47977139,0.30742697,0.18594398,0.12839300,0.58837317
14,0.45666726,0.29758259,0.18130754,0.12602137,0.56048660
15,0.43660722,0.29082739,0.17715104,0.12451369,0.53443164
16,0.42037101,0.28346368,0.17403401,0.12301032,0.51591733
17,0.40190190,0.27766686,0.17005109,0.12142861,0.49323650
18,0.38506855,0.27223101,0.16645932,0.12033787,0.47344237
19,0.37360341,0.26736832,0.16353535,0.11910968,0.45745386
20,0.36148467,0.26118949,0.16130303,0.11778836,0.44481414
21,0.34861703,0.25858727,0.15798509,0.11697676,0.42755523
22,0.33669524,0.25423226,0.15532291,0.11570820,0.41339727
23,0.33069748,0.25104735,0.15362446,0.11485393,0.40574408
24,0.31867914,0.24834062,0.15109828,0.11423503,0.39172907
25,0.31106161,0.24626889,0.14918035,0.11368100,0.38209626
26,0.29968525,0.24380106,0.14628828,0.11326798,0.36861383
27,0.29434141,0.24003755,0.14532284,0.11217362,0.36260739
28,0.28735631,0.23678969,0.14387808,0.11129112,0.35489495
29,0.27804686,0.23629660,0.14115470,0.11095479,0.34232338
30,0.27119024,0.23453948,0.13933258,0.11063460,0.33452462
31,0.26573468,0.23166857,0.13801540,0.10987012,0.32783158
32,0.26182610,0.23021893,0.13694456,0.10962629,0.32321532
33,0.25640102,0.22805465,0.13547151,0.10906509,0.31664919
34,0.25054894,0.22729292,0.13380261,0.10870792,0.30884199
35,0.24686540,0.22734190,0.13282249,0.10830479,0.30388433
36,0.23995350,0.22434670,0.13120350,0.10775647,0.29692772
37,0.23620512,0.22282399,0.13025069,0.10732866,0.29309250
38,0.23340346,0.22190289,0.12941276,0.10728388,0.28959603
39,0.22713700,0.22027185,0.12767778,0.10662132,0.28196733
40,0.22444078,0.21956759,0.12705399,0.10663453,0.27849730
41,0.21891656,0.21926196,0.12526829,0.10623688,0.27134911
42,0.21649522,0.21909023,0.12484016,0.10612963,0.26937228
43,0.21292828,0.21837676,0.12350262,0.10568552,0.26461507
44,0.21225290,0.21740836,0.12362917,0.10564153,0.26450386
45,0.20756780,0.21566634,0.12202686,0.10509074,0.25800883
46,0.20608950,0.21434944,0.12169240,0.10459828,0.25681459
47,0.20245743,0.21457455,0.12038655,0.10485840,0.25157135
48,0.19898979,0.21356249,0.11972088,0.10443854,0.24850281
49,0.19544019,0.21295978,0.11867142,0.10443575,0.24422028
50,0.19323577,0.21272673,0.11778773,0.10407396,0.24150626
51,0.18988946,0.21184838,0.11704251,0.10380108,0.23750926
52,0.18811089,0.21088446,0.11652044,0.10351609,0.23578003
53,0.18693602,0.20942566,0.11610091,0.10324126,0.23417414
54,0.18403567,0.20853194,0.11512467,0.10310993,0.23069912
55,0.18076476,0.20899451,0.11422355,0.10311483,0.22710147
56,0.18091639,0.20869361,0.11402400,0.10306321,0.22660055
57,0.17843360,0.20755459,0.11335196,0.10265097,0.22378516
58,0.17570312,0.20726099,0.11260682,0.10272481,0.22056680
59,0.17363115,0.20661237,0.11178823,0.10260047,0.21802934
60,0.17229771,0.20696693,0.11157462,0.10241245,0.21703999
61,0.17038302,0.20707312,0.11073167,0.10237867,0.21431834
62,0.16857750,0.20515675,0.11038678,0.10190315,0.21273108
63,0.16738431,0.20499584,0.11006409,0.10201157,0.21128918
64,0.16467412,0.20312968,0.10911811,0.10141516,0.20803830
65,0.16396456,0.20289234,0.10865846,0.10154143,0.20673622
66,0.16115349,0.20333024,0.10776408,0.10149245,0.20331651
67,0.16059513,0.20208081,0.10755280,0.10109476,0.20303326
68,0.15875396,0.20332918,0.10701931,0.10134999,0.20065027
69,0.15701697,0.20241221,0.10645510,0.10137560,0.19843233
70,0.15590341,0.20196415,0.10598860,0.10103728,0.19731506
71,0.15513940,0.20066188,0.10579633,0.10093271,0.19602123
