epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.38040342,0.67161352,0.32340305,0.19759613,1.70240752
2,0.83671040,0.41880591,0.24740379,0.15375259,1.04587254
3,0.61173358,0.34318195,0.21084220,0.13680795,0.77453341
4,0.50307545,0.30674162,0.19048139,0.12833291,0.63990875
5,0.44056208,0.28304418,0.17818851,0.12282342,0.56494651
6,0.39334280,0.26548748,0.16838844,0.11885003,0.50910193
7,0.35677935,0.25459666,0.15996343,0.11600653,0.46453789
8,0.32921633,0.24661298,0.15364344,0.11399988,0.43242737
9,0.30418103,0.23951334,0.14759599,0.11195930,0.40254819
10,0.28580783,0.23329009,0.14305069,0.11042086,0.38097224
11,0.26941430,0.22861637,0.13888660,0.10921508,0.36197527
12,0.25468324,0.22609995,0.13506730,0.10834164,0.34503388
13,0.24283382,0.22190717,0.13190653,0.10701005,0.33131778
14,0.23158872,0.21857888,0.12891363,0.10626713,0.31853796
15,0.22339648,0.21674158,0.12640011,0.10555230,0.30844855
16,0.21457108,0.21479668,0.12407639,0.10498360,0.29918274
17,0.20594214,0.21110519,0.12162894,0.10413528,0.28911221
18,0.20009610,0.20832948,0.11990774,0.10341437,0.28272360
19,0.19439925,0.20758397,0.11797822,0.10304196,0.27600523
20,0.18760534,0.20543205,0.11606885,0.10240279,0.26856457
21,0.18326351,0.20381881,0.11469446,0.10169686,0.26372229
22,0.17813159,0.20313343,0.11326417,0.10151884,0.25832525
23,0.17364455,0.20136292,0.11162341,0.10133432,0.25295419
24,0.17031441,0.20043461,0.11059516,0.10086384,0.24971580
25,0.16547900,0.19962901,0.10898539,0.10054761,0.24401726
26,0.16313163,0.19773655,0.10833856,0.10005164,0.24188636
27,0.15959479,0.19655416,0.10708644,0.09949337,0.23769197
28,0.15661016,0.19488446,0.10614930,0.09914193,0.23459914
29,0.15414329,0.19447607,0.10529421,0.09900589,0.23219239
30,0.15113253,0.19259370,0.10434448,0.09838959,0.22889883
31,0.14825336,0.19150295,0.10323476,0.09816778,0.22568679
32,0.14649617,0.19149702,0.10266354,0.09795798,0.22398572
33,0.14460674,0.19006622,0.10193286,0.09748436,0.22181072
34,0.14206235,0.19034317,0.10111290,0.09765015,0.21949406
35,0.13961054,0.18902597,0.10018027,0.09722917,0.21636134
36,0.13809027,0.18849468,0.09954711,0.09698908,0.21461856
37,0.13640928,0.18695459,0.09902702,0.09684918,0.21324123
38,0.13464178,0.18675351,0.09838412,0.09660425,0.21147540
39,0.13338654,0.18624641,0.09785061,0.09672518,0.21002881
40,0.13219042,0.18510419,0.09733951,0.09626465,0.20873028
41,0.13107637,0.18563742,0.09705838,0.09630081,0.20792634
42,0.12893290,0.18537132,0.09611330,0.09618415,0.20544650
43,0.12830496,0.18487181,0.09589342,0.09603422,0.20481757
44,0.12637483,0.18237167,0.09529229,0.09541291,0.20331447
45,0.12562396,0.18286092,0.09494203,0.09534263,0.20242303
46,0.12458077,0.18242584,0.09457800,0.09532865,0.20163698
47,0.12346018,0.18159776,0.09405248,0.09504882,0.20013784
48,0.12309217,0.18110619,0.09401655,0.09503019,0.20020873
49,0.12191884,0.18132618,0.09348212,0.09514207,0.19894018
50,0.12106653,0.18006556,0.09317794,0.09469878,0.19807247
51,0.12007366,0.18046837,0.09277012,0.09501503,0.19701388
52,0.11918527,0.18032238,0.09248947,0.09473482,0.19621185
53,0.11858921,0.17885444,0.09212568,0.09417161,0.19565642
54,0.11754111,0.17870590,0.09178293,0.09419202,0.19469302
55,0.11711212,0.17883457,0.09166639,0.09424274,0.19469698
56,0.11626729,0.17828330,0.09126796,0.09399038,0.19355258
57,0.11565683,0.17864301,0.09097461,0.09406882,0.19304293
58,0.11523253,0.17786188,0.09094157,0.09397592,0.19283902
59,0.11435600,0.17759490,0.09051146,0.09359350,0.19198043
60,0.11399400,0.17697866,0.09038277,0.09387164,0.19178189
61,0.11335769,0.17722317,0.09014743,0.09362733,0.19122488
62,0.11336561,0.17774092,0.09014297,0.09375300,0.19120850
63,0.11231185,0.17699413,0.08965349,0.09356980,0.19020958
64,0.11185186,0.17677939,0.08949982,0.09342799,0.18991853
65,0.11115785,0.17602288,0.08921121,0.09316989,0.18915253
66,0.11081381,0.17688261,0.08907941,0.09330234,0.18906804
67,0.11027845,0.17667301,0.08886996,0.09353530,0.18857815
68,0.10998815,0.17612546,0.08879941,0.09287645,0.18864992
69,0.11006741,0.17593269,0.08877360,0.09305022,0.18863394
70,0.10965284,0.17604182,0.08855769,0.09323809,0.18839000
71,0.10905859,0.17629876,0.08834398,0.09297229,0.18812896
72,0.10893448,0.17556048,0.08824506,0.09275793,0.18779467
73,0.10853336,0.17458887,0.08809639,0.09253263,0.18757596
74,0.10814361,0.17405247,0.08799099,0.09242146,0.18760043
75,0.10760308,0.17488138,0.08769716,0.09262957,0.18677992
76,0.10737454,0.17435491,0.08759804,0.09254466,0.18682936
77,0.10740610,0.17389527,0.08757661,0.09218910,0.18704813
