epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.14923177,0.19416981,0.10068009,0.09853505,0.18117451
2,0.14489449,0.19138123,0.09886231,0.09734754,0.17569024
3,0.14016120,0.18836504,0.09673747,0.09593656,0.16939152
4,0.13491799,0.18557532,0.09445654,0.09470970,0.16247442
5,0.12988622,0.18308185,0.09250837,0.09392111,0.15624605
6,0.12521267,0.18052759,0.09088692,0.09329798,0.15075458
7,0.12109418,0.17849660,0.08954576,0.09292153,0.14602944
8,0.11754142,0.17646183,0.08841975,0.09247442,0.14206155
9,0.11408237,0.17502213,0.08725344,0.09220129,0.13809797
10,0.11123778,0.17390000,0.08631493,0.09209186,0.13489787
11,0.10875197,0.17306937,0.08541254,0.09196255,0.13200152
12,0.10648849,0.17213834,0.08453346,0.09187736,0.12930681
13,0.10470058,0.17156998,0.08391716,0.09181703,0.12735226
14,0.10278627,0.17057484,0.08317047,0.09174448,0.12506849
15,0.10110438,0.17012227,0.08256074,0.09166299,0.12321064
16,0.09945429,0.16957266,0.08190017,0.09151377,0.12127054
17,0.09798823,0.16880533,0.08133769,0.09143224,0.11960567
18,0.09650438,0.16827933,0.08079121,0.09134053,0.11793391
19,0.09532355,0.16790474,0.08031828,0.09116317,0.11653943
20,0.09378650,0.16756500,0.07973645,0.09115112,0.11483876
21,0.09288228,0.16708285,0.07934928,0.09097064,0.11376392
22,0.09152906,0.16750271,0.07882487,0.09101632,0.11222042
23,0.09037737,0.16708389,0.07833873,0.09098461,0.11090716
24,0.08930876,0.16743939,0.07789898,0.09096173,0.10961439
25,0.08844498,0.16717994,0.07749892,0.09078237,0.10856795
26,0.08742844,0.16674296,0.07709588,0.09078046,0.10741121
27,0.08654933,0.16734379,0.07669454,0.09067188,0.10634614
28,0.08552336,0.16721987,0.07626117,0.09061050,0.10516031
29,0.08483859,0.16709910,0.07596505,0.09062227,0.10435949
30,0.08389812,0.16724380,0.07560888,0.09053934,0.10333086
31,0.08309791,0.16721111,0.07524127,0.09058523,0.10235808
32,0.08250425,0.16773472,0.07495723,0.09054056,0.10162854
33,0.08185282,0.16825086,0.07466009,0.09051889,0.10084854
34,0.08094653,0.16828247,0.07429707,0.09063126,0.09981437
35,0.08033490,0.16775332,0.07392092,0.09047038,0.09896831
36,0.07980362,0.16816152,0.07375448,0.09051319,0.09842714
37,0.07893764,0.16817667,0.07334054,0.09068444,0.09736699
38,0.07846606,0.16816102,0.07310478,0.09053624,0.09675889
39,0.07768711,0.16802740,0.07279310,0.09025753,0.09592742
40,0.07726814,0.16766314,0.07259545,0.09028273,0.09545429
41,0.07636446,0.16788242,0.07215486,0.09029861,0.09431577
42,0.07601778,0.16773839,0.07198648,0.09012265,0.09389283
43,0.07547626,0.16720939,0.07163810,0.09011925,0.09311889
44,0.07484886,0.16730855,0.07139888,0.09004527,0.09243335
45,0.07423663,0.16729748,0.07110278,0.09003394,0.09170493
46,0.07367600,0.16745300,0.07082080,0.08994085,0.09101093
47,0.07317198,0.16719610,0.07055346,0.08991428,0.09037220
48,0.07277198,0.16764853,0.07034404,0.09003263,0.08985913
49,0.07229097,0.16728220,0.07003240,0.08989310,0.08917209
50,0.07181589,0.16717016,0.06990379,0.08998002,0.08876107
51,0.07139522,0.16752516,0.06959867,0.08991533,0.08815995
52,0.07071943,0.16684598,0.06926856,0.08997949,0.08730418
53,0.07036226,0.16758887,0.06908044,0.09013521,0.08686143
54,0.06982358,0.16670827,0.06872504,0.08990740,0.08609101
55,0.06942508,0.16664250,0.06862294,0.08976533,0.08573034
56,0.06880245,0.16748898,0.06825589,0.08976628,0.08491335
57,0.06876991,0.16721867,0.06825207,0.08960137,0.08491681
58,0.06818229,0.16694425,0.06786879,0.08955495,0.08409377
59,0.06770507,0.16689752,0.06759004,0.08937648,0.08344540
60,0.06730314,0.16693092,0.06742373,0.08945447,0.08303437
61,0.06676774,0.16670564,0.06704279,0.08944036,0.08223771
62,0.06656815,0.16677767,0.06702676,0.08945473,0.08209378
63,0.06604165,0.16625180,0.06665035,0.08938501,0.08132322
64,0.06558436,0.16638783,0.06636784,0.08921853,0.08073065
65,0.06519669,0.16711954,0.06609306,0.08927202,0.08021124
66,0.06494509,0.16652778,0.06598796,0.08914151,0.07992824
67,0.06446647,0.16667969,0.06569079,0.08915779,0.07925898
68,0.06407182,0.16665963,0.06538077,0.08922568,0.07868723
69,0.06352529,0.16622739,0.06511000,0.08921186,0.07801582
70,0.06354444,0.16644768,0.06509603,0.08901033,0.07802301
71,0.06286030,0.16674136,0.06466311,0.08897486,0.07712571
72,0.06264870,0.16611380,0.06451415,0.08888078,0.07685702
73,0.06239791,0.16551094,0.06436551,0.08874563,0.07653295
74,0.06201204,0.16554741,0.06410184,0.08914185,0.07597876
75,0.06155455,0.16527357,0.06377330,0.08887165,0.07535073
76,0.06132240,0.16591054,0.06361855,0.08886109,0.07502553
77,0.06090324,0.16543723,0.06336953,0.08871425,0.07451685
78,0.06054665,0.16531489,0.06323761,0.08853233,0.07412767
79,0.06037342,0.16564924,0.06300439,0.08853753,0.07380203
80,0.05993163,0.16511704,0.06280402,0.08830189,0.07334274
81,0.05982898,0.16570170,0.06256729,0.08843166,0.07301760
82,0.05936091,0.16461938,0.06234478,0.08836238,0.07246269
83,0.05920817,0.16569198,0.06220524,0.08842199,0.07223925
84,0.05879317,0.16525712,0.06192487,0.08850128,0.07167583
85,0.05862104,0.16434061,0.06177551,0.08839984,0.07142087
86,0.05830328,0.16417299,0.06159379,0.08817770,0.07104006
87,0.05813665,0.16623724,0.06161585,0.08845813,0.07099758
88,0.05767646,0.16524194,0.06124465,0.08833108,0.07033210
89,0.05754592,0.16446693,0.06116490,0.08791235,0.07012969
90,0.05724688,0.16516734,0.06092862,0.08831393,0.06973650
91,0.05698454,0.16518200,0.06077722,0.08816864,0.06944779
92,0.05662611,0.16602078,0.06052065,0.08830647,0.06893812
93,0.05640889,0.16414280,0.06037119,0.08805800,0.06866649
94,0.05612455,0.16443199,0.06015026,0.08798539,0.06823900
95,0.05599637,0.16373065,0.06002896,0.08800234,0.06809924
96,0.05563723,0.16488793,0.05983866,0.08825644,0.06767446
97,0.05532737,0.16436151,0.05965159,0.08801028,0.06729817
98,0.05534036,0.16366232,0.05970953,0.08780941,0.06736806
99,0.05479610,0.16306454,0.05935168,0.08777990,0.06670252
100,0.05474135,0.16259367,0.05922427,0.08792838,0.06652929
101,0.05445453,0.16409406,0.05906261,0.08789828,0.06619216
102,0.05432899,0.16301061,0.05898746,0.08771638,0.06603800
103,0.05416750,0.16477156,0.05885355,0.08805751,0.06581522
104,0.05390518,0.16339768,0.05868888,0.08780770,0.06551450
105,0.05365695,0.16464398,0.05846568,0.08807990,0.06512265
106,0.05344915,0.16421846,0.05834785,0.08784729,0.06488810
107,0.05334184,0.16423455,0.05827990,0.08770446,0.06474997
108,0.05308481,0.16356057,0.05813085,0.08779426,0.06449620
109,0.05277354,0.16357826,0.05790165,0.08747707,0.06409559
110,0.05274614,0.16285422,0.05786370,0.08739172,0.06403917
111,0.05252631,0.16266416,0.05773230,0.08764174,0.06378002
112,0.05234289,0.16337036,0.05750295,0.08796693,0.06346018
113,0.05210388,0.16248600,0.05742853,0.08782157,0.06325663
114,0.05196565,0.16290858,0.05730915,0.08752616,0.06304329
115,0.05173825,0.16522087,0.05716714,0.08802290,0.06273027
116,0.05154867,0.16424311,0.05711228,0.08786816,0.06264026
117,0.05129927,0.16496009,0.05693567,0.08791427,0.06232693
118,0.05113041,0.16182604,0.05679677,0.08737076,0.06208421
119,0.05078326,0.16325942,0.05663687,0.08779750,0.06172857
120,0.05101301,0.16323241,0.05663440,0.08773252,0.06186204
121,0.05073562,0.16233995,0.05647793,0.08722207,0.06156509
122,0.05055202,0.16346271,0.05635049,0.08780451,0.06134894
123,0.05032422,0.16370423,0.05619688,0.08746584,0.06107350
124,0.05010547,0.16272956,0.05602127,0.08761059,0.06077083
125,0.05013976,0.16279601,0.05607243,0.08736130,0.06087817
126,0.04986518,0.16423991,0.05596601,0.08770034,0.06059926
127,0.04978815,0.16196481,0.05584292,0.08758772,0.06043610
128,0.04965976,0.16358126,0.05571815,0.08789158,0.06023766
129,0.04945998,0.16322621,0.05558507,0.08771836,0.06001239
130,0.04928452,0.16187077,0.05548006,0.08747536,0.05979281
131,0.04919448,0.16191335,0.05536146,0.08755583,0.05964876
132,0.04894168,0.16334417,0.05523895,0.08779607,0.05939880
133,0.04892416,0.16248001,0.05523262,0.08773133,0.05940089
134,0.04867605,0.16293424,0.05506035,0.08773026,0.05906361
135,0.04856084,0.16304508,0.05494547,0.08794722,0.05894078
136,0.04842493,0.16261926,0.05489285,0.08767917,0.05879277
137,0.04834891,0.16236503,0.05481925,0.08745532,0.05868633
138,0.04811955,0.16310869,0.05465608,0.08812045,0.05838252
139,0.04789575,0.16303895,0.05451451,0.08770473,0.05812061
140,0.04793272,0.16272650,0.05443922,0.08773896,0.05810091
141,0.04770244,0.16228386,0.05430588,0.08763130,0.05785187
142,0.04762600,0.16278874,0.05434522,0.08744466,0.05786686
143,0.04752308,0.16251200,0.05424104,0.08727689,0.05767519
144,0.04736098,0.16244636,0.05407074,0.08745238,0.05745449
145,0.04718038,0.16377555,0.05388533,0.08803776,0.05718561
146,0.04718546,0.16342452,0.05392640,0.08761381,0.05723162
147,0.04708667,0.16296908,0.05384495,0.08786024,0.05712343
148,0.04702839,0.16243359,0.05387047,0.08751913,0.05709996
