epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.15189519,0.19691166,0.10202458,0.09963526,0.18704730
2,0.14856371,0.19678440,0.10195948,0.09958441,0.18152837
3,0.14548647,0.19665377,0.10189678,0.09953295,0.17893713
4,0.15277965,0.19652179,0.10182693,0.09948097,0.18776882
5,0.14868664,0.19638656,0.10178452,0.09942809,0.17970113
6,0.14795738,0.19624710,0.10167565,0.09937428,0.18116456
7,0.14989857,0.19610468,0.10158619,0.09931849,0.18291938
8,0.15184290,0.19596313,0.10156345,0.09926278,0.18517743
9,0.15163456,0.19581865,0.10143918,0.09920696,0.18415815
10,0.14953142,0.19567181,0.10134879,0.09914981,0.18320279
11,0.14655845,0.19552241,0.10127458,0.09909244,0.17921270
12,0.14917300,0.19537075,0.10118094,0.09903547,0.18202479
13,0.14758644,0.19521833,0.10110154,0.09897885,0.18053036
14,0.14624145,0.19506751,0.10104388,0.09892196,0.17922560
15,0.14645594,0.19491374,0.10087294,0.09886234,0.17866732
16,0.14800774,0.19475785,0.10080725,0.09880169,0.18276327
17,0.14380074,0.19459800,0.10073748,0.09873987,0.17580485
18,0.14585852,0.19443448,0.10067264,0.09867831,0.17874571
19,0.14454475,0.19427232,0.10053261,0.09861860,0.17767937
20,0.14432226,0.19410903,0.10045665,0.09856009,0.17751136
21,0.14508244,0.19394214,0.10035365,0.09849989,0.17724188
22,0.14959442,0.19377407,0.10025394,0.09843740,0.18166795
23,0.14722119,0.19360407,0.10017667,0.09837310,0.17965072
24,0.14539764,0.19343408,0.10005130,0.09830857,0.17705450
25,0.14680773,0.19326040,0.09994225,0.09824085,0.17894933
26,0.14529960,0.19307980,0.09985295,0.09816903,0.17906934
27,0.14533781,0.19289777,0.09971833,0.09809473,0.17753910
28,0.14775892,0.19271247,0.09952665,0.09801830,0.18014193
29,0.14499445,0.19251657,0.09947449,0.09793986,0.17799698
30,0.14176247,0.19231170,0.09933192,0.09785700,0.17498542
31,0.14554430,0.19209969,0.09921861,0.09777119,0.17767500
32,0.14381319,0.19188584,0.09909681,0.09768374,0.17760484
33,0.14193527,0.19166550,0.09892327,0.09759283,0.17360396
34,0.13816287,0.19143542,0.09880603,0.09749922,0.16969340
35,0.14086913,0.19120218,0.09863695,0.09740225,0.17113461
36,0.14008892,0.19095943,0.09845506,0.09730003,0.17098811
37,0.14539745,0.19070499,0.09836721,0.09719445,0.17656111
38,0.13953457,0.19044725,0.09819144,0.09709000,0.16955584
39,0.13995519,0.19018964,0.09802359,0.09698311,0.17127444
40,0.14247366,0.18993434,0.09775258,0.09687363,0.17290892
41,0.14102928,0.18967246,0.09775512,0.09676001,0.17239865
42,0.13767376,0.18940140,0.09750266,0.09664503,0.16808286
43,0.13727196,0.18912418,0.09729433,0.09652997,0.16692579
44,0.14533266,0.18884911,0.09711092,0.09641476,0.17688596
45,0.14063463,0.18858140,0.09701948,0.09629965,0.17224507
46,0.13214314,0.18831503,0.09664360,0.09618460,0.16157647
47,0.13695239,0.18803571,0.09647860,0.09605827,0.16702993
48,0.13800243,0.18775318,0.09622315,0.09592583,0.16847027
49,0.13615674,0.18748143,0.09615845,0.09579633,0.16546313
50,0.13348601,0.18722809,0.09600013,0.09566832,0.16380873
51,0.13370500,0.18697660,0.09572371,0.09553845,0.16288171
52,0.13476973,0.18673541,0.09539394,0.09540917,0.16374868
53,0.13095713,0.18648489,0.09536912,0.09527658,0.16048729
54,0.13387126,0.18623166,0.09520992,0.09515026,0.16253060
55,0.13286246,0.18597681,0.09492726,0.09503025,0.16124960
56,0.13410293,0.18570273,0.09462140,0.09491552,0.16338781
57,0.13430727,0.18541665,0.09446232,0.09480799,0.16245635
58,0.13291388,0.18512702,0.09413193,0.09470181,0.16181389
59,0.13254310,0.18482428,0.09396115,0.09459705,0.16018397
60,0.12887043,0.18454340,0.09360198,0.09449608,0.15577682
61,0.12982893,0.18428655,0.09354544,0.09440933,0.15668463
62,0.12932246,0.18405125,0.09312659,0.09433427,0.15711389
63,0.12630530,0.18381455,0.09299779,0.09425900,0.15188637
64,0.13090929,0.18359045,0.09265479,0.09418769,0.15822069
65,0.13564454,0.18337942,0.09259813,0.09411991,0.16381904
66,0.12567401,0.18317490,0.09231026,0.09405704,0.15252250
67,0.12754995,0.18297557,0.09197180,0.09399060,0.15494040
68,0.12721653,0.18275883,0.09202484,0.09391941,0.15399030
69,0.13030584,0.18251685,0.09187611,0.09385731,0.15771095
70,0.12365019,0.18226843,0.09163529,0.09381119,0.14914362
71,0.12830624,0.18201449,0.09127730,0.09377299,0.15496915
72,0.12316272,0.18175763,0.09115676,0.09372437,0.14989927
73,0.12795734,0.18150983,0.09083321,0.09366931,0.15375664
74,0.12512044,0.18125521,0.09039903,0.09363359,0.15071938
75,0.12249511,0.18098304,0.09027614,0.09361334,0.14790148
76,0.12098785,0.18073631,0.08995062,0.09359115,0.14762560
77,0.12213762,0.18050356,0.08993402,0.09356791,0.14718580
78,0.11913541,0.18029982,0.08974201,0.09354690,0.14413487
79,0.12052872,0.18008468,0.08987430,0.09350243,0.14680494
80,0.11675793,0.17984474,0.08932166,0.09343995,0.14065943
81,0.11579045,0.17960821,0.08859852,0.09338155,0.14182416
82,0.12208556,0.17936859,0.08901631,0.09331925,0.14706890
83,0.11785880,0.17913755,0.08906052,0.09325978,0.14327916
84,0.11733297,0.17893021,0.08820460,0.09320767,0.14124574
85,0.12149408,0.17874721,0.08820623,0.09317768,0.14476191
86,0.11737135,0.17857074,0.08801045,0.09315493,0.14104906
87,0.11529470,0.17841538,0.08784878,0.09313324,0.13929834
88,0.11433550,0.17827089,0.08752223,0.09309436,0.13831069
89,0.11551393,0.17810731,0.08730995,0.09303972,0.13890715
90,0.11478506,0.17794272,0.08693922,0.09298602,0.13798147
91,0.11563503,0.17779365,0.08712678,0.09293703,0.14029386
92,0.11433508,0.17764366,0.08680142,0.09290286,0.13804631
93,0.10726085,0.17746638,0.08670537,0.09290221,0.12997615
94,0.11347770,0.17723839,0.08606688,0.09293147,0.13580689
95,0.11239753,0.17696737,0.08648764,0.09297565,0.13549358
96,0.11151236,0.17670232,0.08591586,0.09299170,0.13338266
97,0.10982523,0.17649004,0.08607493,0.09299495,0.13302788
98,0.11136131,0.17631466,0.08619349,0.09298723,0.13587079
99,0.11220637,0.17615511,0.08579519,0.09294889,0.13568769
100,0.11152454,0.17601103,0.08602489,0.09291937,0.13437673
101,0.11256298,0.17589399,0.08551174,0.09291170,0.13491780
102,0.10977569,0.17579669,0.08527108,0.09292026,0.13138433
103,0.10867739,0.17573623,0.08483943,0.09295150,0.13064326
104,0.10793252,0.17569485,0.08450833,0.09298315,0.12932936
105,0.10805852,0.17569137,0.08428155,0.09298500,0.12904583
106,0.10464601,0.17565619,0.08486847,0.09299656,0.12694212
107,0.10876909,0.17558449,0.08406971,0.09302738,0.13128567
108,0.10261109,0.17544120,0.08351101,0.09304829,0.12334634
109,0.10660891,0.17528548,0.08442251,0.09307027,0.12860347
110,0.10674727,0.17516898,0.08411008,0.09307626,0.12956849
111,0.10374324,0.17507245,0.08349727,0.09306369,0.12475264
112,0.10548405,0.17500803,0.08362461,0.09305957,0.12751451
113,0.10645712,0.17504430,0.08316356,0.09305041,0.12744556
114,0.10525679,0.17519814,0.08335396,0.09306427,0.12596358
115,0.10294359,0.17543688,0.08344213,0.09310415,0.12515892
116,0.10490600,0.17564016,0.08365326,0.09314964,0.12775980
117,0.09992629,0.17574983,0.08271598,0.09320088,0.12108085
118,0.10205935,0.17584702,0.08240387,0.09324515,0.12317242
119,0.09861687,0.17594950,0.08238012,0.09329844,0.11889353
