epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.91917010,0.77826606,0.13910501,0.32191516,0.86380057
2,1.79790735,0.74277205,0.13393045,0.31217379,0.82422507
3,1.73922865,0.70696866,0.13219274,0.30237143,0.80656473
4,1.67543439,0.67128429,0.12887341,0.29255088,0.78441948
5,1.63567122,0.63577259,0.12805302,0.28276119,0.77369159
6,1.55681837,0.60070650,0.12462059,0.27308845,0.74538185
7,1.50299374,0.56668182,0.12119603,0.26363523,0.72557463
8,1.45435166,0.53392757,0.11788526,0.25443941,0.70406010
9,1.39309653,0.50265055,0.11605021,0.24552081,0.68373803
10,1.32526930,0.47290440,0.11219651,0.23692051,0.65658146
11,1.25783277,0.44497957,0.10805756,0.22869065,0.62906669
12,1.20221710,0.41922378,0.10496251,0.22093650,0.60848941
13,1.16892588,0.39557158,0.10362120,0.21364227,0.59513344
14,1.13394566,0.37415242,0.10225899,0.20691073,0.58067878
15,1.09587638,0.35473183,0.10058032,0.20079489,0.56892121
16,1.03775044,0.33716079,0.09752027,0.19526756,0.54435529
17,1.00026304,0.32143089,0.09549910,0.19017075,0.52659094
18,0.97514892,0.30729739,0.09363943,0.18546172,0.51696455
19,0.93432496,0.29452490,0.09150829,0.18107502,0.50050716
20,0.90603240,0.28329979,0.09128070,0.17710476,0.49177996
21,0.85822552,0.27338505,0.08817941,0.17351055,0.47014652
22,0.83334374,0.26449303,0.08725776,0.17025813,0.46030789
23,0.79748338,0.25681145,0.08463989,0.16741019,0.44437378
24,0.79145281,0.25006268,0.08467345,0.16483142,0.44099947
25,0.77963142,0.24362535,0.08378665,0.16232275,0.43580891
26,0.73706180,0.23780598,0.08174782,0.15993453,0.41829397
27,0.70901889,0.23239643,0.07990805,0.15771399,0.40549725
28,0.71642532,0.22705707,0.08005847,0.15557417,0.40852997
29,0.69561195,0.22185544,0.07901808,0.15346240,0.39988413
30,0.67919904,0.21713906,0.07810261,0.15153066,0.39358964
31,0.65452498,0.21296363,0.07742111,0.14975898,0.38226977
32,0.64718888,0.20918114,0.07601241,0.14804157,0.37611943
33,0.62912705,0.20541861,0.07523437,0.14631204,0.37050749
34,0.62185067,0.20213506,0.07580708,0.14473368,0.37150177
35,0.60036286,0.19926612,0.07430847,0.14329591,0.35916768
36,0.59385014,0.19678029,0.07295735,0.14205770,0.35460399
37,0.58535518,0.19423284,0.07276917,0.14082553,0.35139742
38,0.57391928,0.19126824,0.07261649,0.13943384,0.34769307
39,0.56390852,0.18832438,0.07195080,0.13806568,0.34326228
40,0.54875626,0.18567585,0.06998222,0.13682525,0.33173124
41,0.54561985,0.18332353,0.07025384,0.13573667,0.33256940
42,0.53234984,0.18113299,0.06961937,0.13473472,0.32749342
43,0.52339228,0.17911050,0.06899695,0.13380496,0.32167461
44,0.50581402,0.17729729,0.06805962,0.13285778,0.31348305
45,0.51398077,0.17570155,0.06794322,0.13201538,0.31636275
46,0.50066758,0.17435269,0.06673769,0.13119234,0.30961092
47,0.48875292,0.17292696,0.06658168,0.13037737,0.30552894
48,0.47959427,0.17121887,0.06629122,0.12955325,0.30106373
49,0.47156653,0.16942930,0.06543563,0.12867115,0.29646711
50,0.46255717,0.16776360,0.06428464,0.12777576,0.29193394
51,0.46020509,0.16629803,0.06398046,0.12698732,0.28888495
52,0.44868351,0.16482803,0.06297773,0.12625836,0.28371931
