epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.14941641,0.11362084,0.03517449,0.09961320,0.08578032
2,0.15031373,0.11350797,0.03519422,0.09954304,0.08620299
3,0.14918236,0.11339030,0.03518234,0.09946900,0.08574561
4,0.14878746,0.11327341,0.03511349,0.09939685,0.08545268
5,0.14946719,0.11315306,0.03504415,0.09932383,0.08580700
6,0.14695820,0.11303140,0.03476700,0.09924974,0.08423870
7,0.14881641,0.11290659,0.03507055,0.09917395,0.08548513
8,0.14630048,0.11278215,0.03474168,0.09909871,0.08415341
9,0.14907138,0.11265570,0.03507939,0.09902288,0.08553555
10,0.14818507,0.11252813,0.03491366,0.09894845,0.08507949
11,0.14755390,0.11239852,0.03478625,0.09887361,0.08458751
12,0.14588041,0.11226786,0.03465897,0.09879861,0.08387501
13,0.14655445,0.11213048,0.03477513,0.09872016,0.08424236
14,0.14630678,0.11199262,0.03464381,0.09864098,0.08391131
15,0.14557305,0.11184860,0.03460176,0.09855770,0.08366942
16,0.14446858,0.11169551,0.03454786,0.09846879,0.08302247
17,0.14425687,0.11153780,0.03433347,0.09837371,0.08284787
18,0.14377467,0.11137580,0.03444513,0.09827640,0.08270289
19,0.14321143,0.11120745,0.03449186,0.09817598,0.08252535
20,0.14423926,0.11103245,0.03439241,0.09807047,0.08305431
21,0.14361147,0.11085042,0.03449134,0.09796244,0.08295550
22,0.14271396,0.11065746,0.03426276,0.09784565,0.08223196
23,0.14268505,0.11045544,0.03419400,0.09772284,0.08227586
24,0.14259806,0.11024839,0.03420155,0.09759625,0.08214629
25,0.14294149,0.11003204,0.03406648,0.09746093,0.08223301
26,0.14202446,0.10981287,0.03393741,0.09732514,0.08173501
27,0.13912373,0.10958294,0.03376786,0.09718514,0.08031698
28,0.14044240,0.10934269,0.03380476,0.09703487,0.08099682
29,0.13969991,0.10909689,0.03364669,0.09688076,0.08042105
30,0.14111159,0.10884851,0.03367511,0.09672042,0.08115681
31,0.13849349,0.10859739,0.03354004,0.09655533,0.07995410
32,0.13704433,0.10834046,0.03336013,0.09638870,0.07913946
33,0.13913555,0.10807640,0.03336502,0.09622326,0.08017492
34,0.13693736,0.10781448,0.03304919,0.09605588,0.07885486
35,0.13627006,0.10754870,0.03304942,0.09587884,0.07844914
36,0.13652535,0.10728070,0.03283803,0.09570961,0.07854054
37,0.13571867,0.10701642,0.03281385,0.09553638,0.07814951
38,0.13485838,0.10675802,0.03274867,0.09536741,0.07783631
39,0.13261915,0.10650220,0.03247448,0.09520187,0.07652045
40,0.13278466,0.10626188,0.03233271,0.09504785,0.07657238
41,0.13190288,0.10602867,0.03241456,0.09490415,0.07623261
42,0.13194616,0.10579592,0.03209871,0.09477440,0.07602857
43,0.12966816,0.10558168,0.03199868,0.09466306,0.07495055
44,0.13007959,0.10537518,0.03198705,0.09456901,0.07514669
45,0.13039753,0.10517123,0.03187486,0.09447765,0.07534759
