epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.43678256,0.43610043,0.12432135,0.24677129,0.61329998
2,1.01733403,0.32299957,0.09857796,0.19283579,0.46498755
3,0.80174117,0.27140185,0.08493422,0.16696189,0.38973742
4,0.67504058,0.24293057,0.07726444,0.15276479,0.34528454
5,0.58919463,0.22548981,0.07157786,0.14404915,0.31226787
6,0.52918356,0.21384086,0.06758854,0.13816966,0.28831208
7,0.48164112,0.20479449,0.06415419,0.13359861,0.26834846
8,0.44463288,0.19927737,0.06139476,0.13088040,0.25254283
9,0.41396499,0.19306327,0.05909242,0.12788466,0.23882407
10,0.38843657,0.18825255,0.05706963,0.12566958,0.22713932
11,0.36906550,0.18522117,0.05547064,0.12430873,0.21785355
12,0.34850910,0.18194406,0.05386282,0.12261417,0.20829156
13,0.33132092,0.17938531,0.05256382,0.12175237,0.20056282
14,0.31562134,0.17697452,0.05113400,0.12051278,0.19278942
15,0.30552432,0.17510793,0.05038815,0.11982943,0.18766710
16,0.29226301,0.17319635,0.04923165,0.11920458,0.18123335
17,0.28206100,0.17162349,0.04827036,0.11863081,0.17588997
18,0.27214056,0.17003774,0.04747713,0.11799040,0.17105345
19,0.26336915,0.16832545,0.04668437,0.11741583,0.16621510
20,0.25526625,0.16640436,0.04589749,0.11689592,0.16193638
21,0.24698535,0.16471783,0.04521661,0.11625440,0.15768475
22,0.24077539,0.16361484,0.04464368,0.11577477,0.15411479
23,0.23440230,0.16219237,0.04400446,0.11536496,0.15062754
24,0.22763296,0.16142106,0.04342058,0.11526594,0.14691911
25,0.22176587,0.15973580,0.04282523,0.11464849,0.14362263
26,0.21692777,0.15935269,0.04233911,0.11447712,0.14094351
27,0.21196280,0.15798165,0.04189759,0.11408682,0.13813228
28,0.20720246,0.15682813,0.04141485,0.11351863,0.13535956
29,0.20241556,0.15582332,0.04094317,0.11323207,0.13255384
30,0.19732307,0.15510900,0.04049436,0.11294622,0.12956237
31,0.19379078,0.15447222,0.04014972,0.11266424,0.12768804
