epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.50435738,0.43945447,0.14765946,0.27150295,0.62515541
2,1.20380125,0.35248512,0.12567805,0.22695249,0.52414944
3,1.01220980,0.30437004,0.11192469,0.20090487,0.46140937
4,0.86974417,0.27307184,0.10263683,0.18408437,0.41605264
5,0.76872118,0.25223874,0.09585718,0.17246770,0.38226282
6,0.69237878,0.23848867,0.09055584,0.16499325,0.35666737
7,0.63160528,0.22773666,0.08609625,0.15916042,0.33414911
8,0.58396458,0.21944289,0.08224366,0.15448000,0.31629858
9,0.54652055,0.21238924,0.07907377,0.15093078,0.30094421
10,0.51175060,0.20682651,0.07627526,0.14727137,0.28694239
11,0.48242163,0.20197658,0.07410777,0.14497039,0.27559264
12,0.45897477,0.19842421,0.07184504,0.14289734,0.26512428
13,0.43507586,0.19487999,0.06968126,0.14105576,0.25453798
14,0.41734601,0.19244535,0.06779959,0.13968463,0.24561709
15,0.40241829,0.18936786,0.06667919,0.13800926,0.23976117
16,0.38589909,0.18699173,0.06483572,0.13664533,0.23155202
17,0.37233553,0.18415705,0.06382816,0.13503841,0.22562437
18,0.36131916,0.18271657,0.06255952,0.13404587,0.21960200
19,0.34742003,0.18158110,0.06162439,0.13348096,0.21365678
20,0.33595371,0.18023569,0.06032372,0.13310612,0.20771446
21,0.32803956,0.17891271,0.05928052,0.13230264,0.20339741
22,0.31774737,0.17792184,0.05842020,0.13166102,0.19881796
23,0.31045763,0.17594294,0.05755550,0.13057002,0.19429241
24,0.30154521,0.17537030,0.05670781,0.13020440,0.19033134
25,0.29624437,0.17428076,0.05598817,0.12978338,0.18716059
26,0.28839516,0.17400848,0.05512014,0.12978102,0.18319289
27,0.28152180,0.17285677,0.05456776,0.12899039,0.17966587
28,0.27546996,0.17205729,0.05390588,0.12878693,0.17632516
29,0.26858078,0.17153694,0.05301447,0.12888345,0.17246290
30,0.26306426,0.17024835,0.05246271,0.12817194,0.16913261
31,0.25842599,0.16998420,0.05197466,0.12824569,0.16659666
32,0.25335879,0.16976680,0.05139923,0.12834950,0.16378687
33,0.24835422,0.16899559,0.05074582,0.12811463,0.16087443
34,0.24391364,0.16871140,0.05035429,0.12786003,0.15866821
35,0.23999233,0.16800029,0.04967087,0.12755379,0.15610332
36,0.23638186,0.16755679,0.04933085,0.12754824,0.15373495
37,0.23169740,0.16746894,0.04897716,0.12748054,0.15172297
38,0.22704877,0.16727860,0.04825466,0.12772846,0.14871611
39,0.22379201,0.16665411,0.04788690,0.12756746,0.14637891
40,0.22129648,0.16629198,0.04747448,0.12726994,0.14509866
41,0.21584051,0.16638300,0.04707492,0.12723729,0.14219525
42,0.21369307,0.16537393,0.04676111,0.12710418,0.14081706
43,0.21174926,0.16596970,0.04648656,0.12741271,0.13948682
44,0.20640525,0.16558991,0.04571569,0.12751631,0.13622279
45,0.20429809,0.16502328,0.04567464,0.12740882,0.13546622
46,0.20180138,0.16497145,0.04539535,0.12728087,0.13356623
47,0.19937719,0.16500715,0.04503398,0.12750428,0.13218092
48,0.19695897,0.16446948,0.04473711,0.12763839,0.13062464
49,0.19372315,0.16388795,0.04416393,0.12719310,0.12846659
50,0.19117318,0.16454714,0.04398481,0.12767358,0.12704280
51,0.18887866,0.16455019,0.04366330,0.12778607,0.12565375
52,0.18563925,0.16450188,0.04322580,0.12767749,0.12358859
53,0.18475019,0.16509204,0.04308219,0.12798587,0.12278331
54,0.18108845,0.16402062,0.04270555,0.12775432,0.12095700
55,0.17995438,0.16458994,0.04259723,0.12790158,0.12060511
56,0.17791802,0.16447319,0.04226817,0.12813037,0.11903617
57,0.17487920,0.16380222,0.04182361,0.12834790,0.11698612
58,0.17321262,0.16358875,0.04170524,0.12804095,0.11619864
59,0.17172280,0.16365723,0.04158048,0.12811304,0.11508558
