epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.62695023,0.39765378,0.14209868,0.25013734,0.62667375
2,1.19231147,0.31286200,0.11860978,0.20978605,0.51103083
3,0.97279797,0.26826324,0.10680835,0.18536730,0.44956463
4,0.83163633,0.24333542,0.09871716,0.17087703,0.40712110
5,0.73478804,0.22543176,0.09296723,0.16055264,0.37669065
6,0.65932466,0.21200449,0.08770999,0.15263489,0.34921271
7,0.60520400,0.20241763,0.08362658,0.14681557,0.32965707
8,0.56102218,0.19433886,0.07984562,0.14202477,0.31156714
9,0.51752456,0.18734955,0.07658228,0.13800563,0.29507058
10,0.48423319,0.18219251,0.07318882,0.13483465,0.28029589
11,0.45311485,0.17793338,0.07036496,0.13200633,0.26665939
12,0.43095493,0.17368361,0.06870468,0.12978286,0.25806910
13,0.40635537,0.17004682,0.06640455,0.12784705,0.24695095
14,0.38794022,0.16731652,0.06460242,0.12607379,0.23849546
15,0.36808581,0.16462085,0.06262093,0.12443221,0.22902937
16,0.35272856,0.16324306,0.06113089,0.12369647,0.22223628
17,0.33860408,0.16152427,0.05960320,0.12274316,0.21502385
18,0.32438801,0.15940307,0.05835799,0.12163966,0.20872757
19,0.31382226,0.15713863,0.05727252,0.12036592,0.20345276
20,0.30393648,0.15599573,0.05621512,0.11990887,0.19864592
21,0.29268134,0.15518993,0.05512974,0.11945843,0.19280703
22,0.28456952,0.15400920,0.05418627,0.11890505,0.18906635
23,0.27804680,0.15285213,0.05351098,0.11834549,0.18575392
24,0.26919977,0.15187521,0.05262616,0.11777875,0.18114637
25,0.26146846,0.15080964,0.05182613,0.11730665,0.17723080
26,0.25598241,0.14989956,0.05108942,0.11691024,0.17438388
27,0.24946851,0.14944291,0.05059331,0.11665615,0.17125556
28,0.24341152,0.14923664,0.04978986,0.11678696,0.16826675
29,0.23900033,0.14834793,0.04926517,0.11635957,0.16575671
30,0.23290466,0.14778998,0.04859009,0.11607076,0.16268846
31,0.22812156,0.14727586,0.04821242,0.11587232,0.16067665
32,0.22375771,0.14673503,0.04756677,0.11575758,0.15811359
33,0.21894478,0.14620131,0.04695837,0.11548321,0.15561216
34,0.21699733,0.14640490,0.04683032,0.11576420,0.15458453
35,0.21343826,0.14556875,0.04631390,0.11536983,0.15273925
36,0.20870504,0.14514926,0.04574831,0.11519087,0.15043526
37,0.20644671,0.14539161,0.04545976,0.11519928,0.14907682
38,0.20341561,0.14525670,0.04512088,0.11517108,0.14767527
39,0.19905833,0.14393466,0.04476069,0.11480403,0.14572561
40,0.19651408,0.14371183,0.04433255,0.11452871,0.14410062
41,0.19395975,0.14323665,0.04406311,0.11458792,0.14311820
42,0.19066557,0.14419267,0.04361668,0.11494306,0.14142843
43,0.18841923,0.14350783,0.04330426,0.11500168,0.14023173
44,0.18617104,0.14393737,0.04311968,0.11524698,0.13905060
45,0.18386155,0.14316093,0.04273513,0.11493903,0.13808629
46,0.18105042,0.14240306,0.04238926,0.11434420,0.13678732
47,0.17873459,0.14314585,0.04204748,0.11458233,0.13547364
48,0.17698475,0.14254435,0.04173429,0.11455343,0.13442807
49,0.17463832,0.14242585,0.04150421,0.11447878,0.13349498
50,0.17317684,0.14252796,0.04135086,0.11473435,0.13305097
