epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.24854450,0.15593871,0.04774533,0.11585538,0.16023930
2,0.24506971,0.15462730,0.04732312,0.11506512,0.15857473
3,0.24140806,0.15294114,0.04677703,0.11406401,0.15644648
4,0.23697559,0.15123816,0.04609436,0.11309151,0.15379389
5,0.23109732,0.14981349,0.04528470,0.11231672,0.15043396
6,0.22511226,0.14863620,0.04447787,0.11173837,0.14703607
7,0.21880934,0.14735522,0.04360584,0.11124126,0.14345889
8,0.21281593,0.14623825,0.04276399,0.11081115,0.14008203
9,0.20707023,0.14496123,0.04195980,0.11041238,0.13695463
10,0.20143995,0.14404006,0.04115339,0.11018016,0.13379758
11,0.19639641,0.14341369,0.04052163,0.11006141,0.13111228
12,0.19196990,0.14282339,0.03992780,0.10993674,0.12891110
13,0.18761614,0.14255002,0.03933633,0.11005989,0.12649430
14,0.18300477,0.14209254,0.03883373,0.11005793,0.12423811
15,0.17966175,0.14203126,0.03839612,0.11026271,0.12254938
16,0.17636378,0.14195933,0.03803760,0.11033473,0.12100423
17,0.17312097,0.14149316,0.03764109,0.11040035,0.11941677
18,0.17022865,0.14151097,0.03728481,0.11065534,0.11789949
19,0.16758614,0.14123434,0.03695321,0.11070490,0.11660154
20,0.16525396,0.14075500,0.03673410,0.11063917,0.11550188
21,0.16249574,0.14084315,0.03632483,0.11077943,0.11387380
22,0.16032131,0.14122446,0.03616753,0.11101745,0.11303793
23,0.15858315,0.14064057,0.03595070,0.11092313,0.11198807
24,0.15668988,0.14058483,0.03570855,0.11088744,0.11109062
25,0.15484102,0.14028187,0.03545251,0.11093654,0.11005033
26,0.15376334,0.14026993,0.03538617,0.11088185,0.10958286
27,0.15205527,0.14001327,0.03524304,0.11082797,0.10865022
28,0.15041291,0.14045207,0.03497362,0.11111504,0.10779085
29,0.14891486,0.13956990,0.03486561,0.11074481,0.10715599
30,0.14766724,0.13987187,0.03463866,0.11082327,0.10643555
31,0.14675321,0.14020719,0.03448345,0.11112059,0.10571236
32,0.14561076,0.13978197,0.03442684,0.11098201,0.10522493
33,0.14444486,0.13964166,0.03422039,0.11104565,0.10452843
34,0.14378801,0.13966139,0.03414315,0.11089827,0.10410424
35,0.14274599,0.13946721,0.03404156,0.11095845,0.10356952
36,0.14181075,0.13942196,0.03394030,0.11092047,0.10308182
37,0.14082666,0.13948135,0.03373741,0.11096202,0.10264129
38,0.13985769,0.13934417,0.03370172,0.11084014,0.10198269
39,0.13895534,0.13808140,0.03349656,0.11047324,0.10137089
40,0.13779159,0.13878333,0.03342810,0.11064926,0.10081866
41,0.13701029,0.13840811,0.03327787,0.11043507,0.10040578
42,0.13613374,0.14010837,0.03320289,0.11084172,0.09984367
43,0.13537626,0.13920425,0.03307614,0.11078579,0.09944327
44,0.13425801,0.13896573,0.03300867,0.11067821,0.09884371
45,0.13385751,0.13927896,0.03286981,0.11093133,0.09848703
46,0.13316307,0.13934384,0.03273224,0.11095707,0.09793789
47,0.13235802,0.13995946,0.03264563,0.11091725,0.09765084
48,0.13125618,0.13977482,0.03244563,0.11080273,0.09686104
49,0.13067203,0.13964658,0.03243075,0.11063305,0.09668273
50,0.13009228,0.13988248,0.03235042,0.11074321,0.09630656
51,0.12929221,0.13998122,0.03222300,0.11073809,0.09576373
52,0.12899903,0.13952643,0.03223853,0.11041003,0.09570404
53,0.12822555,0.14043410,0.03211984,0.11096576,0.09516812
54,0.12787236,0.14071678,0.03194803,0.11113133,0.09487145
55,0.12700204,0.14032831,0.03194074,0.11070921,0.09450726
56,0.12641877,0.13999508,0.03183845,0.11051805,0.09408127
57,0.12562596,0.14016482,0.03173445,0.11060828,0.09361012
58,0.12522161,0.14014547,0.03171696,0.11054834,0.09341470
59,0.12431109,0.13973260,0.03151456,0.11049793,0.09287122
60,0.12374156,0.13947356,0.03144183,0.11049529,0.09244758
61,0.12304078,0.13989498,0.03135526,0.11046446,0.09200652
62,0.12266116,0.13960761,0.03126904,0.11070332,0.09183386
63,0.12181083,0.13887037,0.03113538,0.11022880,0.09126131
64,0.12161600,0.13964323,0.03108410,0.11050788,0.09116095
65,0.12044871,0.13875697,0.03095238,0.11028065,0.09051467
66,0.12040878,0.13992365,0.03095566,0.11040481,0.09042580
67,0.11971822,0.13966548,0.03083408,0.11059628,0.09008461
68,0.11920229,0.13968772,0.03074130,0.11051910,0.08976973
69,0.11881240,0.13961791,0.03069461,0.11075402,0.08948851
70,0.11827491,0.13868893,0.03060783,0.11030316,0.08920672
71,0.11782845,0.13956571,0.03042906,0.11073594,0.08883702
72,0.11727199,0.13955784,0.03036174,0.11053678,0.08836067
73,0.11694751,0.13855536,0.03035861,0.11027050,0.08834124
74,0.11611593,0.13968865,0.03022688,0.11079528,0.08773547
75,0.11583686,0.13966284,0.03014870,0.11060234,0.08754924
76,0.11518989,0.13969508,0.03005345,0.11079515,0.08714581
77,0.11499584,0.13936472,0.03003724,0.11065982,0.08715748
78,0.11450289,0.13986907,0.02998184,0.11050425,0.08681375
79,0.11413204,0.13924103,0.02973318,0.11073859,0.08638616
80,0.11352372,0.13916328,0.02973878,0.11054562,0.08611665
81,0.11342466,0.13928590,0.02977496,0.11080986,0.08605462
82,0.11297720,0.13789745,0.02963500,0.11056712,0.08571112
83,0.11233685,0.13859516,0.02950510,0.11056039,0.08534182
84,0.11231783,0.13900247,0.02949357,0.11056736,0.08526779
85,0.11134145,0.13920815,0.02942736,0.11078981,0.08482326
86,0.11133575,0.13874919,0.02931603,0.11058971,0.08469204
87,0.11077747,0.13845001,0.02914882,0.11055540,0.08421177
88,0.11021923,0.13902210,0.02920368,0.11058053,0.08403165
89,0.11008468,0.13877599,0.02910287,0.11059404,0.08379576
90,0.10965840,0.13886337,0.02898664,0.11042329,0.08368483
91,0.10931440,0.13867857,0.02899210,0.11040526,0.08336654
92,0.10894519,0.13893714,0.02894037,0.11067064,0.08324055
93,0.10873652,0.13856028,0.02879548,0.11051686,0.08300972
94,0.10817606,0.13831290,0.02876626,0.11066782,0.08274985
95,0.10785274,0.13856971,0.02862619,0.11063505,0.08243930
96,0.10730575,0.13815411,0.02857913,0.11055076,0.08214583
97,0.10717361,0.13852595,0.02856073,0.11048274,0.08204256
98,0.10666421,0.13869559,0.02840072,0.11060885,0.08173786
99,0.10681496,0.13807513,0.02838016,0.11058751,0.08172140
100,0.10604858,0.13809323,0.02828845,0.11040217,0.08124799
101,0.10567819,0.13832551,0.02821521,0.11083211,0.08100671
102,0.10551089,0.13672133,0.02815541,0.11051616,0.08095527
103,0.10528202,0.13700891,0.02811678,0.11002519,0.08077472
104,0.10478925,0.13853444,0.02800022,0.11038273,0.08053267
105,0.10433903,0.13887749,0.02795423,0.11063755,0.08023492
106,0.10431824,0.13807102,0.02791384,0.11036438,0.08015227
107,0.10375452,0.13839740,0.02787452,0.11029253,0.07985548
108,0.10349893,0.13742324,0.02774533,0.11034689,0.07965755
109,0.10326300,0.13721208,0.02760793,0.11019598,0.07948957
110,0.10312499,0.13766268,0.02763881,0.11042911,0.07940289
111,0.10273626,0.13703008,0.02759207,0.11004310,0.07908947
112,0.10221590,0.13785692,0.02748477,0.11020580,0.07877548
113,0.10198260,0.13751722,0.02746348,0.11022032,0.07873460
114,0.10166266,0.13873179,0.02730791,0.11046557,0.07841159
115,0.10135135,0.13781725,0.02735409,0.11019269,0.07836733
116,0.10076493,0.13733875,0.02720409,0.10981277,0.07802054
117,0.10053625,0.13773646,0.02717593,0.11031394,0.07785545
118,0.10060978,0.13711697,0.02707784,0.11013106,0.07774737
119,0.09997646,0.13659850,0.02695280,0.10959118,0.07741269
120,0.10010134,0.13784187,0.02699301,0.11023022,0.07744981
121,0.09924365,0.13812067,0.02683193,0.11032693,0.07704238
122,0.09937641,0.13668240,0.02687004,0.10971200,0.07704477
123,0.09888282,0.13845929,0.02681477,0.11046050,0.07679579
124,0.09836560,0.13775779,0.02665041,0.11014722,0.07639656
125,0.09839515,0.13901589,0.02669693,0.11077538,0.07652174
126,0.09802351,0.13787857,0.02662972,0.11037010,0.07632480
127,0.09793455,0.13817676,0.02655959,0.11019648,0.07611795
128,0.09750310,0.13776339,0.02645870,0.11003763,0.07580114
129,0.09750640,0.13803196,0.02643378,0.11022141,0.07587305
130,0.09717524,0.13907524,0.02637976,0.11062173,0.07559512
131,0.09638264,0.13823123,0.02631017,0.11018575,0.07525204
132,0.09649514,0.13843100,0.02624197,0.11047193,0.07529713
133,0.09600188,0.13864001,0.02621961,0.11046516,0.07497507
134,0.09619039,0.13796446,0.02609789,0.11034818,0.07495559
135,0.09553991,0.13829161,0.02603116,0.11014308,0.07468757
136,0.09535244,0.13958132,0.02602879,0.11075954,0.07464957
137,0.09511551,0.13974270,0.02596883,0.11057891,0.07446221
138,0.09500459,0.13827288,0.02596336,0.10967523,0.07444536
139,0.09467805,0.13890586,0.02579066,0.11007834,0.07411700
140,0.09443136,0.13870613,0.02581634,0.11035543,0.07408372
141,0.09416551,0.13827352,0.02582338,0.10998451,0.07398731
142,0.09382394,0.13891252,0.02565836,0.11038207,0.07366762
143,0.09347423,0.13983421,0.02560498,0.11060149,0.07343326
144,0.09357145,0.13944050,0.02558936,0.11026880,0.07349059
145,0.09342973,0.13934674,0.02559009,0.11048360,0.07335403
146,0.09303314,0.14003032,0.02550928,0.11070174,0.07313959
147,0.09275202,0.14047231,0.02550549,0.11076913,0.07304056
148,0.09252722,0.14058432,0.02545134,0.11097602,0.07292669
149,0.09230131,0.14037497,0.02535600,0.11087800,0.07279085
150,0.09222487,0.14019569,0.02537795,0.11078343,0.07262675
151,0.09196937,0.14096386,0.02521897,0.11131919,0.07261837
152,0.09188080,0.13993435,0.02522857,0.11048587,0.07246863
153,0.09166571,0.14012801,0.02520855,0.11066492,0.07230735
154,0.09133501,0.14015020,0.02508593,0.11037727,0.07209398
155,0.09096386,0.14170487,0.02503229,0.11075183,0.07185569
156,0.09084798,0.13958506,0.02497400,0.11031085,0.07182352
157,0.09081275,0.14121108,0.02496171,0.11071235,0.07185145
158,0.09052678,0.14059197,0.02501858,0.11045995,0.07160591
159,0.09020167,0.14058398,0.02485407,0.11040801,0.07150642
160,0.09004366,0.14169010,0.02483155,0.11096282,0.07135058
161,0.08984609,0.14127259,0.02483033,0.11062550,0.07132117
162,0.08986755,0.14164769,0.02482911,0.11071455,0.07132880
163,0.08960126,0.14206534,0.02481878,0.11099142,0.07118203
164,0.08957974,0.14128823,0.02483019,0.11076104,0.07120261
165,0.08911164,0.14212111,0.02473917,0.11102593,0.07081301
166,0.08911676,0.14226285,0.02478035,0.11135843,0.07094765
167,0.08890323,0.14146492,0.02461770,0.11077631,0.07079268
168,0.08855009,0.14111671,0.02459795,0.11044265,0.07059299
169,0.08835744,0.14226899,0.02459099,0.11117550,0.07043685
170,0.08823934,0.14143366,0.02456751,0.11055762,0.07041752
171,0.08835072,0.14309044,0.02461067,0.11134873,0.07043203
172,0.08799886,0.14235740,0.02451962,0.11121878,0.07026516
173,0.08785061,0.14287361,0.02442934,0.11120204,0.07013560
174,0.08786573,0.14196193,0.02437125,0.11105289,0.07021994
175,0.08763658,0.14148828,0.02440935,0.11050913,0.07011821
176,0.08740581,0.14361828,0.02435074,0.11146493,0.06994158
177,0.08711512,0.14282788,0.02428530,0.11153313,0.06974544
178,0.08711484,0.14269588,0.02430739,0.11164636,0.06969907
179,0.08671182,0.14222670,0.02424999,0.11161455,0.06950102
180,0.08651036,0.14383930,0.02416490,0.11208205,0.06939834
181,0.08638933,0.14309513,0.02416671,0.11152360,0.06936810
182,0.08613602,0.14374503,0.02412641,0.11223002,0.06914894
183,0.08642913,0.14417936,0.02425987,0.11251875,0.06942144
184,0.08633301,0.14349512,0.02410968,0.11188485,0.06931385
185,0.08615401,0.14403282,0.02409812,0.11181746,0.06922613
186,0.08595620,0.14385815,0.02408239,0.11165544,0.06906696
187,0.08600157,0.14346831,0.02406710,0.11190166,0.06912832
188,0.08589245,0.14458187,0.02409777,0.11271853,0.06909424
189,0.08559278,0.14291203,0.02399411,0.11197367,0.06880483
190,0.08581579,0.14518046,0.02400754,0.11284919,0.06893987
191,0.08556285,0.14430711,0.02398395,0.11211018,0.06890065
192,0.08528326,0.14466595,0.02386807,0.11231323,0.06857673
193,0.08505837,0.14478641,0.02384511,0.11226567,0.06856894
194,0.08446955,0.14499711,0.02378628,0.11237198,0.06822660
195,0.08505514,0.14560723,0.02392420,0.11276702,0.06854215
196,0.08488483,0.14539722,0.02385575,0.11283848,0.06838053
197,0.08483261,0.14557388,0.02381394,0.11288985,0.06852481
198,0.08460687,0.14487439,0.02378292,0.11252058,0.06830957
199,0.08452252,0.14551777,0.02376130,0.11282879,0.06829016
200,0.08472487,0.14404694,0.02380178,0.11256336,0.06836963
201,0.08465470,0.14524395,0.02378964,0.11265922,0.06837688
202,0.08443907,0.14545573,0.02373148,0.11241397,0.06823425
203,0.08398732,0.14493797,0.02368205,0.11254470,0.06794187
204,0.08406259,0.14569557,0.02363578,0.11264518,0.06796332
205,0.08404429,0.14436552,0.02368743,0.11225689,0.06810387
206,0.08401218,0.14480597,0.02366666,0.11230822,0.06797071
207,0.08386725,0.14486520,0.02359157,0.11255737,0.06781241
208,0.08367074,0.14550080,0.02359132,0.11296513,0.06787351
209,0.08374946,0.14411459,0.02359838,0.11226205,0.06785521
210,0.08370936,0.14392819,0.02354115,0.11282645,0.06772592
211,0.08336383,0.14422277,0.02352517,0.11205362,0.06762346
212,0.08310556,0.14523284,0.02348104,0.11278055,0.06741261
213,0.08320980,0.14554919,0.02346109,0.11272952,0.06753240
214,0.08320588,0.14629662,0.02342157,0.11291803,0.06745294
215,0.08316779,0.14602628,0.02344758,0.11264001,0.06744585
216,0.08303794,0.14601588,0.02346675,0.11287166,0.06738300
217,0.08300020,0.14590709,0.02344446,0.11332425,0.06736672
218,0.08287009,0.14581228,0.02334626,0.11283551,0.06730776
219,0.08275293,0.14453926,0.02333606,0.11228529,0.06722226
220,0.08248011,0.14502740,0.02324481,0.11236749,0.06704951
221,0.08275389,0.14402400,0.02332551,0.11219303,0.06721823
222,0.08246792,0.14552578,0.02337972,0.11245468,0.06700817
223,0.08244240,0.14535568,0.02336351,0.11273741,0.06715770
224,0.08242707,0.14590436,0.02329331,0.11274929,0.06695965
225,0.08214574,0.14648662,0.02321568,0.11297316,0.06688113
226,0.08216654,0.14564456,0.02326252,0.11292436,0.06685174
227,0.08228095,0.14524298,0.02324223,0.11275300,0.06686957
228,0.08237799,0.14434050,0.02323500,0.11224307,0.06693695
229,0.08214245,0.14667557,0.02324246,0.11334925,0.06680140
230,0.08183730,0.14725499,0.02315486,0.11344365,0.06670191
231,0.08217360,0.14497775,0.02327205,0.11271407,0.06689603
232,0.08175214,0.14748294,0.02306021,0.11362455,0.06661790
233,0.08224072,0.14602611,0.02327407,0.11280132,0.06692469
234,0.08197682,0.14609045,0.02315219,0.11291947,0.06675563
235,0.08154364,0.14745783,0.02308840,0.11381238,0.06652576
236,0.08173791,0.14720338,0.02325019,0.11340698,0.06664576
237,0.08169299,0.14677748,0.02314938,0.11335555,0.06663858
238,0.08138723,0.14641724,0.02307569,0.11286780,0.06645887
239,0.08097869,0.14730685,0.02298155,0.11356116,0.06621643
240,0.08144544,0.14700349,0.02308784,0.11354433,0.06642842
241,0.08108388,0.14620201,0.02308002,0.11291523,0.06633850
242,0.08102905,0.14581833,0.02306532,0.11306691,0.06624426
243,0.08155510,0.14595217,0.02311578,0.11269587,0.06639738
244,0.08115987,0.14623123,0.02297008,0.11286493,0.06623650
245,0.08145201,0.14597249,0.02310539,0.11279685,0.06644625
246,0.08106126,0.14763227,0.02299387,0.11375914,0.06621635
247,0.08115764,0.14729969,0.02302051,0.11334515,0.06620889
248,0.08097531,0.14738504,0.02285364,0.11311562,0.06601912
249,0.08088471,0.14660951,0.02296045,0.11305979,0.06609806
250,0.08066569,0.14528900,0.02288840,0.11249549,0.06603456
251,0.08068569,0.14514317,0.02286800,0.11272956,0.06588897
252,0.08060581,0.14549900,0.02287760,0.11283578,0.06589823
253,0.08049981,0.14597932,0.02291693,0.11312163,0.06583324
254,0.08077421,0.14507439,0.02291638,0.11244098,0.06595663
255,0.08049772,0.14449831,0.02288939,0.11246093,0.06583021
256,0.08056432,0.14469872,0.02290001,0.11242113,0.06592012
257,0.08021625,0.14528940,0.02283820,0.11250169,0.06569081
258,0.08026185,0.14496369,0.02278630,0.11221617,0.06567903
259,0.08006730,0.14511967,0.02277495,0.11283829,0.06555439
260,0.08002664,0.14538862,0.02280194,0.11257946,0.06557572
261,0.08014643,0.14610578,0.02284629,0.11309019,0.06569837
262,0.07988720,0.14448744,0.02271555,0.11256961,0.06547730
263,0.07995241,0.14605686,0.02268252,0.11288439,0.06546925
264,0.07996869,0.14720310,0.02274294,0.11338924,0.06564528
265,0.07991875,0.14672217,0.02275082,0.11342642,0.06555139
266,0.07996088,0.14705358,0.02276538,0.11331056,0.06559994
267,0.07977903,0.14655832,0.02279152,0.11318213,0.06541970
268,0.07992667,0.14761841,0.02275031,0.11336828,0.06549598
269,0.07971559,0.14746964,0.02265237,0.11330783,0.06540396
270,0.07971424,0.14589819,0.02264443,0.11233608,0.06532967
271,0.07981497,0.14621781,0.02280111,0.11292532,0.06548944
272,0.07955887,0.14660056,0.02264795,0.11325557,0.06527339
273,0.07958868,0.14624042,0.02257275,0.11349510,0.06522972
274,0.07962396,0.14767862,0.02271666,0.11372848,0.06537116
275,0.07976671,0.14640410,0.02266490,0.11316473,0.06530465
276,0.07932691,0.14744972,0.02262064,0.11302516,0.06512190
277,0.07941847,0.14601862,0.02270922,0.11279653,0.06529538
278,0.07919634,0.14733745,0.02260743,0.11311126,0.06513560
279,0.07932476,0.14635342,0.02254915,0.11257232,0.06516135
280,0.07933777,0.14622622,0.02262795,0.11281137,0.06513475
281,0.07906862,0.14557957,0.02259933,0.11288705,0.06500285
282,0.07917585,0.14659378,0.02257631,0.11290906,0.06506960
283,0.07882390,0.14539220,0.02251547,0.11302307,0.06485941
284,0.07942284,0.14533816,0.02266750,0.11248728,0.06519889
