epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.94699587,0.37127229,0.09594249,0.20482182,0.47302262
2,0.68957717,0.26990284,0.07804197,0.16457878,0.35660561
3,0.52405034,0.22572293,0.06635285,0.14563920,0.28594985
4,0.42746668,0.20278879,0.05992758,0.13599098,0.24669591
5,0.36954051,0.18905714,0.05596232,0.13031349,0.22209113
6,0.33415231,0.17936374,0.05333692,0.12637723,0.20644985
7,0.30756048,0.17209685,0.05125465,0.12306214,0.19344108
8,0.28668496,0.16715909,0.04943388,0.12077323,0.18296369
9,0.27111552,0.16235917,0.04810516,0.11868216,0.17526777
10,0.25681060,0.15825366,0.04683651,0.11654452,0.16749740
11,0.24457175,0.15585588,0.04568134,0.11507357,0.16096537
12,0.23396169,0.15382910,0.04467323,0.11401761,0.15536531
13,0.22490808,0.15159877,0.04387149,0.11249407,0.15051461
14,0.21717918,0.14975269,0.04314859,0.11141286,0.14639268
15,0.20972585,0.14744015,0.04232849,0.11027877,0.14219548
16,0.20270182,0.14680692,0.04156475,0.10986878,0.13840193
17,0.19623220,0.14472756,0.04092641,0.10841586,0.13482580
18,0.18993095,0.14462677,0.04033940,0.10811928,0.13146835
19,0.18415036,0.14306623,0.03975835,0.10729310,0.12836946
20,0.18027900,0.14149519,0.03928384,0.10628739,0.12611047
21,0.17516269,0.14072566,0.03873944,0.10556631,0.12347850
22,0.17134560,0.14019802,0.03828509,0.10528579,0.12123002
23,0.16783162,0.13944372,0.03793515,0.10497424,0.11940762
24,0.16382408,0.13824979,0.03753794,0.10407557,0.11734655
25,0.15972163,0.13781438,0.03696055,0.10374125,0.11485368
26,0.15597517,0.13670820,0.03661759,0.10294003,0.11297990
27,0.15297502,0.13630147,0.03624337,0.10273570,0.11128577
28,0.14984476,0.13519645,0.03598228,0.10192713,0.10973750
29,0.14645546,0.13458279,0.03556056,0.10158587,0.10782341
30,0.14397517,0.13382860,0.03528424,0.10125416,0.10656539
31,0.14152315,0.13286511,0.03501524,0.10050093,0.10527992
32,0.13931209,0.13197490,0.03471257,0.09994100,0.10401026
33,0.13624699,0.13192267,0.03438423,0.09965246,0.10240513
34,0.13448632,0.13063979,0.03408537,0.09876851,0.10141117
35,0.13212622,0.13070703,0.03386438,0.09895794,0.10016686
36,0.13066934,0.12998983,0.03357721,0.09874294,0.09931775
37,0.12770302,0.12931263,0.03331120,0.09795303,0.09798406
38,0.12636826,0.12835110,0.03308749,0.09752414,0.09716358
39,0.12454896,0.12824530,0.03290223,0.09767797,0.09620840
40,0.12254219,0.12855452,0.03260144,0.09754335,0.09503705
41,0.12081619,0.12725975,0.03239907,0.09656771,0.09423688
42,0.11964055,0.12660350,0.03227074,0.09614409,0.09385727
43,0.11744801,0.12732932,0.03193787,0.09676999,0.09253059
44,0.11612158,0.12650545,0.03177965,0.09607662,0.09191004
45,0.11467006,0.12541212,0.03156387,0.09559348,0.09107807
46,0.11263103,0.12610976,0.03132606,0.09579269,0.09018348
47,0.11154043,0.12519350,0.03114226,0.09524616,0.08958961
48,0.11014447,0.12521105,0.03097701,0.09513207,0.08882893
49,0.10883508,0.12534680,0.03081637,0.09509418,0.08836221
50,0.10729174,0.12427018,0.03067018,0.09482697,0.08763016
51,0.10615515,0.12548445,0.03044293,0.09508659,0.08697889
52,0.10472319,0.12471114,0.03025651,0.09474641,0.08626738
53,0.10337339,0.12480944,0.03005152,0.09471358,0.08556289
54,0.10212228,0.12501583,0.02991872,0.09473885,0.08521923
55,0.10138475,0.12319633,0.02980249,0.09399440,0.08466624
56,0.10022617,0.12348274,0.02963203,0.09424024,0.08417537
57,0.09927308,0.12406984,0.02953370,0.09457089,0.08391452
58,0.09839458,0.12332497,0.02940993,0.09391716,0.08356094
59,0.09713976,0.12270477,0.02920882,0.09370108,0.08278403
60,0.09602109,0.12218515,0.02907938,0.09342534,0.08254172
61,0.09542380,0.12324629,0.02901774,0.09377062,0.08208205
62,0.09431978,0.12284833,0.02887847,0.09366081,0.08176328
63,0.09397610,0.12237313,0.02870651,0.09366194,0.08140174
64,0.09244491,0.12215009,0.02854779,0.09337497,0.08074255
65,0.09171099,0.12345274,0.02843276,0.09372388,0.08043352
66,0.09133436,0.12190267,0.02837700,0.09318577,0.08042122
67,0.09038569,0.12184451,0.02831638,0.09336174,0.08013026
68,0.08922585,0.12167610,0.02807369,0.09317478,0.07947271
69,0.08841392,0.12220238,0.02796962,0.09362259,0.07915095
70,0.08793233,0.12238807,0.02793626,0.09341923,0.07906766
71,0.08714493,0.12196085,0.02783867,0.09341726,0.07869529
72,0.08662186,0.12092678,0.02769696,0.09278584,0.07852618
73,0.08580399,0.12231880,0.02759183,0.09347551,0.07817830
74,0.08556693,0.12106197,0.02758362,0.09313160,0.07831079
75,0.08452742,0.12148032,0.02747769,0.09351191,0.07777140
76,0.08418379,0.12206913,0.02737498,0.09351167,0.07770751
77,0.08360919,0.12093186,0.02730816,0.09290509,0.07737519
78,0.08293028,0.12196671,0.02720045,0.09346312,0.07723376
79,0.08235387,0.12184248,0.02708773,0.09344898,0.07704123
80,0.08156457,0.12114600,0.02692062,0.09321135,0.07650789
81,0.08087227,0.12206887,0.02691109,0.09366630,0.07645020
82,0.08084320,0.12145251,0.02686257,0.09323469,0.07659665
83,0.07999468,0.12283037,0.02675817,0.09389308,0.07620808
84,0.07968513,0.12144849,0.02671152,0.09309915,0.07610146
85,0.07916116,0.12137682,0.02659830,0.09339983,0.07591009
86,0.07868421,0.12185164,0.02655290,0.09350097,0.07579385
87,0.07869186,0.12093370,0.02654607,0.09336983,0.07596513
88,0.07812273,0.12066668,0.02643214,0.09299634,0.07565461
89,0.07741577,0.12161476,0.02637934,0.09336354,0.07536605
90,0.07712647,0.12158711,0.02636827,0.09369412,0.07549842
91,0.07619654,0.11944178,0.02616039,0.09276707,0.07506683
92,0.07596776,0.12030822,0.02605055,0.09279080,0.07495524
93,0.07567357,0.12119554,0.02606643,0.09327118,0.07490721
94,0.07544472,0.12119519,0.02607773,0.09332186,0.07496142
95,0.07508059,0.12061452,0.02595785,0.09332595,0.07478844
96,0.07469181,0.12127758,0.02588714,0.09358054,0.07469992
