epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.77947504,0.28062352,0.08635454,0.17339572,0.40316449
2,0.46968567,0.23478521,0.06369801,0.15558392,0.26794593
3,0.38157417,0.21758846,0.05732816,0.14700206,0.23023122
4,0.33927805,0.20550533,0.05373003,0.13994987,0.20904102
5,0.31073204,0.19880230,0.05133657,0.13587908,0.19397852
6,0.28827715,0.19301373,0.04936863,0.13313135,0.18188265
7,0.27091802,0.19060325,0.04773987,0.13231650,0.17187134
8,0.25615451,0.18427053,0.04644285,0.12879061,0.16402496
9,0.24395294,0.18006453,0.04523598,0.12670117,0.15666739
10,0.23256386,0.17461431,0.04425544,0.12489115,0.15025264
11,0.22338438,0.17087857,0.04321803,0.12311973,0.14446170
12,0.21499458,0.16770071,0.04252195,0.12142852,0.13959403
13,0.20714147,0.16726788,0.04168840,0.12123749,0.13498990
14,0.20002157,0.16405006,0.04097879,0.11963398,0.13088903
15,0.19309306,0.16249996,0.04025118,0.11850246,0.12657833
16,0.18702200,0.15859996,0.03964594,0.11686905,0.12321993
17,0.18081075,0.15630608,0.03902585,0.11554878,0.11977679
18,0.17564915,0.15418986,0.03838872,0.11471354,0.11644658
19,0.17062789,0.15257174,0.03785725,0.11395347,0.11374832
20,0.16575129,0.15163083,0.03738963,0.11362263,0.11064875
21,0.16104525,0.14934637,0.03680153,0.11223786,0.10781595
22,0.15689807,0.15130871,0.03631266,0.11305191,0.10550496
23,0.15263762,0.14719393,0.03591574,0.11141728,0.10309066
24,0.14912103,0.14603109,0.03545767,0.11055760,0.10087051
25,0.14599167,0.14635194,0.03507180,0.11092312,0.09897894
26,0.14143193,0.14483692,0.03468448,0.11000096,0.09638217
27,0.13764603,0.14404031,0.03420448,0.10960512,0.09417792
28,0.13470263,0.14490825,0.03385742,0.10984051,0.09231497
29,0.13148883,0.14394374,0.03349611,0.10892981,0.09047665
30,0.12869851,0.14310969,0.03312962,0.10909331,0.08875756
31,0.12623985,0.14185761,0.03291470,0.10877153,0.08736075
32,0.12324788,0.14403451,0.03247536,0.10903667,0.08543352
33,0.12097798,0.14219418,0.03219352,0.10833628,0.08416492
34,0.11855654,0.14201985,0.03199533,0.10810286,0.08283995
35,0.11565989,0.14146184,0.03156196,0.10822555,0.08102159
36,0.11307049,0.14070748,0.03122764,0.10808247,0.07935595
37,0.11126709,0.14101370,0.03099794,0.10800820,0.07835902
38,0.10902768,0.14077403,0.03079541,0.10784646,0.07708933
39,0.10647097,0.13988618,0.03043934,0.10740036,0.07559815
40,0.10513324,0.14076119,0.03031270,0.10770488,0.07488500
41,0.10309546,0.14155664,0.02997532,0.10772811,0.07348104
42,0.10103971,0.14264964,0.02972788,0.10794722,0.07214494
43,0.09930501,0.14081202,0.02953761,0.10750878,0.07123906
44,0.09775822,0.13994880,0.02927149,0.10719973,0.07018993
45,0.09567413,0.14154235,0.02898819,0.10747673,0.06875523
46,0.09435898,0.14128064,0.02884415,0.10731815,0.06825778
47,0.09256196,0.14175673,0.02855642,0.10819887,0.06691238
48,0.09117728,0.14085437,0.02834482,0.10777633,0.06599177
