epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.73642937,0.24769277,0.08514128,0.15544564,0.37942247
2,0.38165338,0.20248977,0.05719358,0.13673245,0.22639405
3,0.30166272,0.18276219,0.05098228,0.12767577,0.19019682
4,0.26623015,0.17443197,0.04798398,0.12327484,0.17207537
5,0.24265690,0.16492084,0.04568465,0.11741342,0.15896038
6,0.22501529,0.16227934,0.04398991,0.11606364,0.14928179
7,0.21081353,0.15636067,0.04257344,0.11328910,0.14125510
8,0.19910985,0.15422316,0.04141453,0.11167371,0.13476941
9,0.18806128,0.15007154,0.04037879,0.10969227,0.12863719
10,0.18036461,0.14904477,0.03951525,0.10886006,0.12425659
11,0.17225482,0.14709226,0.03864581,0.10760518,0.11948084
12,0.16515103,0.14472107,0.03786607,0.10653464,0.11554764
13,0.15837366,0.14390072,0.03710504,0.10622555,0.11173080
14,0.15301080,0.14146982,0.03654354,0.10502662,0.10863968
15,0.14802811,0.14287511,0.03591522,0.10542097,0.10585066
16,0.14319101,0.14148798,0.03528998,0.10483627,0.10302295
17,0.13887590,0.14008505,0.03486628,0.10386318,0.10082031
18,0.13502644,0.13933242,0.03436563,0.10381177,0.09846168
19,0.13082463,0.13882918,0.03384470,0.10307586,0.09612651
20,0.12741096,0.13873693,0.03339007,0.10335654,0.09426510
21,0.12368643,0.13753071,0.03294391,0.10259375,0.09229506
22,0.12106329,0.13631153,0.03260793,0.10187805,0.09073381
23,0.11789422,0.13679182,0.03223114,0.10193051,0.08896749
24,0.11510847,0.13539962,0.03180480,0.10096222,0.08728233
25,0.11291258,0.13481831,0.03149141,0.10105165,0.08609303
26,0.11011377,0.13464294,0.03111310,0.10092434,0.08461413
27,0.10809704,0.13241321,0.03089580,0.09984264,0.08350863
28,0.10588703,0.13303973,0.03052965,0.09992216,0.08246805
29,0.10326284,0.13326377,0.03023551,0.10043473,0.08085536
30,0.10178197,0.13214010,0.02997871,0.09976215,0.08017875
31,0.09963901,0.13100771,0.02964929,0.09944850,0.07911903
32,0.09791371,0.13045423,0.02934028,0.09888299,0.07796988
33,0.09569441,0.13164994,0.02908042,0.09920387,0.07694962
34,0.09389858,0.12970730,0.02884796,0.09883462,0.07608139
35,0.09224117,0.12861799,0.02860919,0.09806876,0.07520306
36,0.09050562,0.12814392,0.02838719,0.09789649,0.07434116
37,0.08876937,0.12891009,0.02810370,0.09826437,0.07352557
38,0.08758406,0.12841723,0.02793150,0.09755451,0.07295031
39,0.08584912,0.12887920,0.02766347,0.09821982,0.07187765
40,0.08475537,0.12855204,0.02760445,0.09804206,0.07165141
41,0.08314911,0.12620421,0.02734409,0.09713660,0.07070931
42,0.08158016,0.12649192,0.02704655,0.09713773,0.06987282
43,0.07982067,0.12620350,0.02680776,0.09682088,0.06898574
44,0.07954798,0.12609014,0.02677967,0.09696726,0.06891927
45,0.07794177,0.12523811,0.02650830,0.09664916,0.06827235
46,0.07690274,0.12442120,0.02632022,0.09591800,0.06757110
47,0.07543748,0.12485130,0.02607403,0.09668680,0.06683767
48,0.07455760,0.12546645,0.02600767,0.09661920,0.06656713
49,0.07321765,0.12505016,0.02580048,0.09674689,0.06584871
50,0.07229548,0.12397330,0.02564671,0.09599845,0.06551710
51,0.07155176,0.12359683,0.02547403,0.09620557,0.06518308
52,0.07056483,0.12340616,0.02538069,0.09624905,0.06462615
53,0.06942795,0.12326048,0.02512784,0.09595280,0.06411979
54,0.06895664,0.12296734,0.02502672,0.09607728,0.06385640
55,0.06774785,0.12280599,0.02489478,0.09579195,0.06334351
56,0.06697269,0.12265100,0.02472722,0.09544665,0.06301345
57,0.06636247,0.12262221,0.02457934,0.09582177,0.06267967
58,0.06532595,0.12056357,0.02440859,0.09521794,0.06229479
59,0.06478964,0.12168527,0.02429947,0.09565310,0.06199210
60,0.06376797,0.12156294,0.02409692,0.09524061,0.06152279
61,0.06312958,0.12247199,0.02401728,0.09570889,0.06127173
62,0.06235588,0.12033973,0.02386266,0.09559896,0.06091727
63,0.06163362,0.12062006,0.02373469,0.09541629,0.06063012
64,0.06108790,0.12143875,0.02359146,0.09619823,0.06047908
65,0.06030920,0.12183224,0.02349401,0.09609320,0.06014253
66,0.05954996,0.12203118,0.02329584,0.09586985,0.05970560
67,0.05901851,0.12022584,0.02320819,0.09550509,0.05960938
68,0.05843171,0.11960846,0.02306551,0.09516653,0.05921638
69,0.05810957,0.12005635,0.02304572,0.09517648,0.05921019
70,0.05743455,0.12091653,0.02290027,0.09557691,0.05891849
71,0.05665992,0.11973694,0.02269106,0.09512539,0.05862844
72,0.05638704,0.12062304,0.02262211,0.09589712,0.05857089
73,0.05568215,0.12034293,0.02255979,0.09557522,0.05833296
74,0.05524606,0.11945523,0.02234430,0.09536157,0.05806288
75,0.05461197,0.11948423,0.02223506,0.09458390,0.05779284
76,0.05415429,0.12059477,0.02218776,0.09543396,0.05767093
77,0.05367875,0.12024160,0.02206977,0.09511170,0.05753824
78,0.05344992,0.11918983,0.02200127,0.09540186,0.05754968
79,0.05275438,0.11925422,0.02181658,0.09542643,0.05718050
80,0.05247676,0.11855861,0.02177051,0.09508383,0.05720810
81,0.05218563,0.11914327,0.02165863,0.09554713,0.05715121
82,0.05172713,0.11899051,0.02162968,0.09516515,0.05701442
83,0.05116744,0.11908207,0.02140812,0.09558250,0.05674080
84,0.05061630,0.11944567,0.02130544,0.09583780,0.05653416
85,0.05049721,0.11963932,0.02126017,0.09543311,0.05655359
86,0.05022808,0.11912290,0.02120702,0.09499502,0.05657906
87,0.04953082,0.11863796,0.02104950,0.09511505,0.05630435
88,0.04901272,0.11910560,0.02090276,0.09495837,0.05610298
89,0.04880484,0.11805322,0.02081792,0.09514621,0.05610845
90,0.04858179,0.11779375,0.02082459,0.09481440,0.05616681
91,0.04825684,0.11996165,0.02069613,0.09538632,0.05605106
92,0.04805239,0.11847671,0.02064903,0.09517674,0.05610975
93,0.04768658,0.11902989,0.02053185,0.09457461,0.05591470
94,0.04728817,0.12002390,0.02043792,0.09616716,0.05580947
95,0.04699196,0.11809920,0.02040047,0.09493101,0.05579814
96,0.04650705,0.11812412,0.02025875,0.09522899,0.05559503
97,0.04631196,0.11878740,0.02017249,0.09490070,0.05559537
98,0.04596276,0.11817258,0.02013380,0.09482265,0.05558584
99,0.04599905,0.11967530,0.02010109,0.09540506,0.05567237
100,0.04547744,0.11803557,0.01997082,0.09500439,0.05551665
101,0.04532736,0.11911024,0.01992370,0.09551590,0.05551534
102,0.04522550,0.11749641,0.01987201,0.09436359,0.05553859
103,0.04487024,0.11821340,0.01974452,0.09508414,0.05547091
104,0.04491172,0.12027456,0.01981658,0.09569065,0.05570596
105,0.04453075,0.11841867,0.01969343,0.09488420,0.05560131
106,0.04438731,0.11912736,0.01964998,0.09558679,0.05555381
107,0.04405642,0.11891973,0.01960350,0.09536973,0.05555181
108,0.04378384,0.11912069,0.01952977,0.09542224,0.05553259
109,0.04369796,0.11937741,0.01948571,0.09545563,0.05554973
110,0.04339768,0.11821014,0.01943521,0.09529238,0.05556665
111,0.04326241,0.11895016,0.01940768,0.09555237,0.05559308
112,0.04294942,0.11946812,0.01935013,0.09527635,0.05559189
113,0.04300320,0.11906545,0.01931843,0.09531769,0.05571618
114,0.04298293,0.11915199,0.01932493,0.09529274,0.05577716
